season,team,fwd_RelNFI_A,fwd_RelNFI,fwd_NFI_ZA,goalie_id,goalie_name,CNFI_rebound_goal_rate,z_score,team_reb_goals,team_CNFI_saves,team_CNFI_reb_rate,points,exposed,GSAx_rate
20222023,ANA,0.1720232929634152,0.08920184287802117,0.391998114307929,8476434,John Gibson,0.8115,-1.242,5,521,0.5758157389635317,58,False,-0.05903021784961349
20222023,BOS,0.20505121324679237,0.05941324818560149,0.5438080573726631,8476999,Linus Ullmark,1.2143,-0.222,1,382,0.15706806282722513,135,False,0.740271097507652
20222023,BUF,0.4373316439806365,0.2031991956154924,0.4803665176272122,8480045,Ukko-Pekka Luukkonen,0.8621,-1.114,8,412,1.1650485436893203,89,False,-0.7988353626257279
20222023,CAR,0.2834078415100223,-0.013822684010067011,0.5783186595697517,8475883,Frederik Andersen,1.3079,0.015,2,404,0.297029702970297,113,True,-0.18634259259259262
20222023,CBJ,0.2804279958471734,-0.0025830192932575703,0.45087030682570384,8476914,Joonas Korpisalo,1.146,-0.395,10,397,1.5113350125944585,59,False,-0.3582089552238806
20222023,CGY,0.14318793910672842,0.06886497411942552,0.5379614059150516,8474593,Jacob Markstrom,1.3056,0.009,7,292,1.4383561643835616,93,True,-0.03138373751783167
20222023,CHI,0.21289783504155613,-0.21825029164783308,0.42690455462381455,8475852,Petr Mrazek,1.3994,0.247,11,408,1.6176470588235294,59,True,-1.2323699421965317
20222023,COL,0.30002318808479206,0.1829149515902855,0.5106096717360387,8480382,Alexandar Georgiev,1.4782,0.446,9,412,1.3106796116504855,107,True,0.05219298245614035
20222023,DAL,0.277672223352784,0.08402963654932114,0.5319606550055125,8479979,Jake Oettinger,1.1765,-0.318,9,399,1.3533834586466165,108,False,0.20924422236102436
20222023,DET,0.28209690679068655,0.14531422000465247,0.467985961719706,8478024,Ville Husso,1.6639,0.916,15,367,2.4523160762942777,80,True,0.2205159705159705
20222023,EDM,0.43611843555854984,0.28822367499963286,0.5564309211430676,8479973,Stuart Skinner,1.5674,0.672,18,391,2.762148337595908,109,True,-0.6966205837173579
20222023,FLA,0.3421974017100186,0.3393221556377864,0.5403527398337221,8475683,Sergei Bobrovsky,0.9346,-0.93,8,497,0.9657947686116701,92,False,0.7742628992628993
