rank,player_name,position,pos_group,age,es_toi_min,CF,CA,total,CF_pct,ci_low,ci_high
1,Kasperi Kapanen,RW,F,29,360.7,381,285,666,0.57207,0.53419,0.60913
2,Mark Jankowski,LW,F,31,405.4,449,343,792,0.56692,0.53217,0.60102
3,Marcus Foligno,LW,F,34,304.7,340,260,600,0.56667,0.52672,0.60577
4,Brady Tkachuk,LW,F,26,606.7,641,498,1139,0.56277,0.5338,0.59132
5,Jordan Spence,D,D,25,782.6,850,665,1515,0.56106,0.53594,0.58586
6,Maxim Tsyplakov,RW,F,27,258.0,256,202,458,0.55895,0.51318,0.60375
7,Nikolaj Ehlers,LW,F,30,680.4,701,559,1260,0.55635,0.52879,0.58357
8,Nico Sturm,C,F,30,287.2,302,241,543,0.55617,0.51413,0.59742
9,Mark Stone,RW,F,33,648.3,582,468,1050,0.55429,0.52408,0.5841
10,Jack Eichel,C,F,29,730.8,677,545,1222,0.55401,0.52601,0.58167
11,Leon Draisaitl,C,F,30,563.8,580,473,1053,0.55081,0.52063,0.58061
12,Ivan Barbashev,C,F,30,728.8,786,642,1428,0.55042,0.52452,0.57605
13,Mathieu Olivier,RW,F,29,413.3,434,358,792,0.54798,0.51317,0.58233
14,Seth Jarvis,C,F,24,588.2,577,477,1054,0.54744,0.51727,0.57726
15,Ross Colton,C,F,29,466.3,573,476,1049,0.54623,0.51599,0.57614
16,Dylan Cozens,C,F,25,688.6,663,551,1214,0.54613,0.51802,0.57395
17,Tyler Kleven,D,D,24,572.0,587,489,1076,0.54554,0.51568,0.57508
18,K'Andre Miller,D,D,26,849.8,895,747,1642,0.54507,0.5209,0.56902
19,Moritz Seider,D,D,25,1052.0,1010,845,1855,0.54447,0.52174,0.56702
20,Leo Carlsson,C,F,21,626.8,650,544,1194,0.54439,0.51604,0.57245
21,Alex DeBrincat,RW,F,28,785.1,800,670,1470,0.54422,0.51868,0.56953
22,Cole Caufield,RW,F,25,756.8,741,622,1363,0.54365,0.51712,0.56994
23,Brock Nelson,C,F,34,720.8,760,639,1399,0.54325,0.51706,0.56919
24,Patrick Kane,RW,F,37,619.8,635,534,1169,0.5432,0.51455,0.57157
25,Roope Hintz,C,F,29,360.2,356,301,657,0.54186,0.50362,0.5796
26,David Perron,LW,F,37,442.0,411,348,759,0.5415,0.50593,0.57665
27,Shea Theodore,D,D,30,834.2,798,677,1475,0.54102,0.51551,0.56631
28,Dylan Samberg,D,D,27,819.5,791,672,1463,0.54067,0.51506,0.56607
29,Jared Spurgeon,D,D,36,729.1,745,633,1378,0.54064,0.51425,0.5668
30,Logan Stankoven,C,F,23,652.4,720,614,1334,0.53973,0.51291,0.56632
31,Sebastian Aho,C,F,28,699.4,686,585,1271,0.53973,0.51225,0.56697
32,Eric Robinson,LW,F,30,433.9,470,401,871,0.53961,0.50641,0.57247
33,Andrei Svechnikov,RW,F,26,656.5,696,594,1290,0.53953,0.51226,0.56658
34,Mikael Granlund,C,F,34,614.9,595,508,1103,0.53944,0.50994,0.56867
35,Jaccob Slavin,D,D,31,540.7,527,450,977,0.53941,0.50806,0.57045
36,Sean Walker,D,D,31,906.6,962,823,1785,0.53894,0.51575,0.56195
37,Sam Malinski,D,D,27,781.7,893,764,1657,0.53893,0.51486,0.56281
38,Jake Sanderson,D,D,23,675.4,624,534,1158,0.53886,0.51007,0.5674
39,Nick Suzuki,C,F,26,850.5,811,695,1506,0.53851,0.51327,0.56356
40,Mattias Ekholm,D,D,35,864.5,881,756,1637,0.53818,0.51397,0.56221
41,Shayne Gostisbehere,D,D,33,517.9,520,447,967,0.53775,0.50623,0.56896
42,Vasily Podkolzin,RW,F,24,670.9,668,576,1244,0.53698,0.5092,0.56453
43,Josh Norris,C,F,26,460.3,422,364,786,0.5369,0.50194,0.57149
44,Jordan Staal,C,F,37,630.4,609,526,1135,0.53656,0.50748,0.5654
45,Brayden McNabb,D,D,35,777.8,715,620,1335,0.53558,0.50876,0.56219
46,Hendrix Lapierre,C,F,24,375.5,399,346,745,0.53557,0.49967,0.57111
47,Nick Foligno,LW,F,38,353.1,327,284,611,0.53519,0.49554,0.57439
48,Brandt Clarke,D,D,23,837.3,902,784,1686,0.53499,0.51113,0.5587
49,Gabriel Landeskog,LW,F,33,499.1,561,488,1049,0.5348,0.50454,0.5648
50,Simon Edvinsson,D,D,23,943.4,936,815,1751,0.53455,0.51114,0.55781
