rank,player_name,position,age,es_toi_min,CNFI_shots,MNFI_shots,shots_total,per60,per60_lo95,per60_hi95,small_sample_flag
1,Artturi Lehkonen,LW,30,560.4,73,50,123,13.1703,11.2396,15.3468,Y
2,Auston Matthews,C,28,543.2,74,43,117,12.9238,10.977,15.1192,Y
3,Alex Turcotte,C,25,317.7,40,26,66,12.4659,9.9956,15.329,Y
4,Anders Lee,LW,35,649.9,105,27,132,12.1868,10.4362,14.1424,Y
5,Brandon Saad,LW,33,293.6,42,16,58,11.8508,9.3492,14.7928,Y
6,Zach Hyman,LW,33,578.8,92,22,114,11.8179,9.9926,13.8741,Y
7,Ross Colton,C,29,466.3,45,44,89,11.4527,9.4728,13.7488,Y
8,Mark Jankowski,LW,31,405.4,47,27,74,10.9521,8.8872,13.3965,Y
9,Dmitri Voronkov,LW,25,378.0,47,20,67,10.6345,8.5233,13.1362,Y
10,Jackson Blake,RW,22,674.9,78,41,119,10.5788,8.9642,12.4112,Y
11,Brock Nelson,C,34,720.8,65,62,127,10.5713,9.0045,12.3388,Y
12,Mathieu Olivier,RW,29,413.3,54,18,72,10.4533,8.4474,12.8329,Y
13,Lawson Crouse,LW,28,620.4,63,44,107,10.349,8.6925,12.2591,Y
14,Gabriel Landeskog,LW,33,499.1,55,31,86,10.3386,8.5045,12.4772,Y
15,Jack McBain,C,26,488.2,71,13,84,10.3247,8.4739,12.4891,Y
16,Justin Brazeau,RW,28,459.3,52,27,79,10.3208,8.4202,12.5599,Y
17,Brandon Hagel,LW,27,634.4,64,45,109,10.3084,8.6731,12.1949,Y
18,Seth Jarvis,C,24,588.2,69,32,101,10.3032,8.6062,12.2617,Y
19,Timo Meier,RW,29,689.2,72,45,117,10.1857,8.6174,11.9796,Y
20,John Tavares,C,35,747.0,78,47,125,10.0395,8.537,11.7475,Y
21,Roope Hintz,C,29,360.2,35,25,60,9.9931,7.9038,12.5185,Y
22,Jordan Kyrou,C,27,502.2,38,45,83,9.9157,8.1244,12.0212,Y
23,Dylan Cozens,C,25,688.6,68,45,113,9.8453,8.294,11.6102,Y
24,Josh Doan,RW,24,677.8,79,32,111,9.8259,8.2664,11.607,Y
25,Jason Zucker,LW,34,470.8,60,17,77,9.812,7.9698,11.9747,Y
26,Barrett Hayton,C,25,423.6,49,20,69,9.7726,7.8394,12.0523,Y
27,Logan Stankoven,C,23,652.4,58,48,106,9.7481,8.1747,11.5717,Y
28,Anthony Beauvillier,LW,28,658.2,65,41,106,9.6632,8.0991,11.4683,Y
29,Evgeni Malkin,C,39,391.5,38,25,63,9.6544,7.6606,12.0202,Y
30,Brendan Gallagher,RW,33,470.2,54,21,75,9.5707,7.7547,11.7254,Y
