rank,player_name,position,age,es_toi_min,CNFI_shots,MNFI_shots,shots_total,per60,per60_lo95,per60_hi95,small_sample_flag
1,Zach Hyman,LW,33,5621.9,641,235,876,9.3491,8.7943,9.9319,N
2,Beckett Sennecke,RW,20,711.5,68,42,110,9.276,7.7884,10.9734,Y
3,Auston Matthews,C,28,5452.9,460,367,827,9.0997,8.5431,9.6855,N
4,Evander Kane,LW,34,3003.4,297,138,435,8.6901,7.9632,9.4738,N
5,William Carrier,LW,31,2618.8,273,99,372,8.523,7.7516,9.356,N
6,Danila Yurov,RW,22,504.5,50,20,70,8.3253,6.6851,10.3094,Y
7,Gabriel Landeskog,LW,33,1382.5,123,66,189,8.2022,7.1736,9.3463,Y
8,Jimmy Snuggerud,RW,21,643.8,44,44,88,8.2015,6.7358,9.9203,Y
9,Jackson Blake,RW,22,1590.0,147,69,216,8.1509,7.193,9.2142,Y
10,Oliver Kapanen,C,22,738.1,57,40,97,7.8848,6.5374,9.464,Y
11,Sam Bennett,C,29,4531.3,357,234,591,7.8256,7.2564,8.4333,N
12,Anders Lee,LW,35,5288.3,498,186,684,7.7605,7.2344,8.3199,N
13,Logan Stankoven,C,23,1934.0,158,91,249,7.7251,6.8733,8.6649,Y
14,Warren Foegele,LW,30,4244.4,342,200,542,7.6619,7.0802,8.2854,N
15,Matt Savoie,C,22,703.4,54,35,89,7.5921,6.2419,9.1937,Y
16,Josh Doan,RW,24,1392.2,121,53,174,7.4987,6.5191,8.6048,Y
17,Gabe Perreault,RW,20,530.2,41,25,66,7.4686,5.9454,9.3222,Y
18,Emmitt Finnie,C,20,701.8,60,27,87,7.4377,6.095,9.0224,Y
19,Artturi Lehkonen,LW,30,4310.0,320,213,533,7.42,6.8503,8.0298,N
20,John Tavares,C,35,5459.7,427,236,663,7.2861,6.7818,7.8216,N
21,Alex Turcotte,C,25,1309.0,98,59,157,7.1962,6.2065,8.3196,Y
22,Wyatt Johnston,C,22,4193.1,292,210,502,7.1833,6.6146,7.794,N
23,Ben Kindel,C,19,603.7,44,28,72,7.1563,5.7444,8.849,Y
24,Ross Colton,C,29,3897.3,273,191,464,7.1434,6.5562,7.7767,N
25,Connor McDavid,C,29,6331.4,446,307,753,7.1358,6.6717,7.6287,N
26,Jake Guentzel,C,31,5762.9,403,279,682,7.1006,6.6153,7.6162,N
27,Filip Chytil,C,26,2587.6,181,125,306,7.0954,6.3816,7.8749,N
28,Ryan Leonard,RW,21,600.5,38,32,70,6.9946,5.6031,8.6896,Y
29,Carter Verhaeghe,C,30,5289.5,350,263,613,6.9534,6.4519,7.4871,N
30,Justin Brazeau,RW,28,1443.0,117,50,167,6.9438,6.0142,7.996,Y
