rank,player_name,position,age,es_toi_min,CNFI_shots,per60,per60_lo95,per60_hi95,small_sample_flag
1,Anders Lee,LW,35,649.9,105,9.694,8.1148,11.5084,Y
2,Zach Hyman,LW,33,578.8,92,9.5372,7.8827,11.4545,Y
3,Jack McBain,C,26,488.2,71,8.7268,7.0186,10.7727,Y
4,Brandon Saad,LW,33,293.6,42,8.5816,6.4474,11.2483,Y
5,Auston Matthews,C,28,543.2,74,8.174,6.598,10.0623,Y
6,Mathieu Olivier,RW,29,413.3,54,7.84,6.0967,10.0018,Y
7,Artturi Lehkonen,LW,30,560.4,73,7.8165,6.2982,9.6469,Y
8,Jason Zucker,LW,34,470.8,60,7.6457,6.0158,9.6326,Y
9,Alex Turcotte,C,25,317.7,40,7.5551,5.625,10.0054,Y
10,Dmitri Voronkov,LW,25,378.0,47,7.46,5.6884,9.6858,Y
11,James van Riemsdyk,LW,36,407.4,49,7.2165,5.5365,9.3366,Y
12,Michael Eyssimont,C,29,292.5,35,7.1791,5.2294,9.6961,Y
13,Seth Jarvis,C,24,588.2,69,7.0388,5.627,8.7527,Y
14,Josh Doan,RW,24,677.8,79,6.9932,5.67,8.5716,Y
15,Matthew Tkachuk,LW,28,319.0,37,6.9596,5.1198,9.3471,Y
16,Mark Jankowski,LW,31,405.4,47,6.9561,5.3041,9.0548,Y
17,Barrett Hayton,C,25,423.6,49,6.94,5.3116,8.9705,Y
18,Jackson Blake,RW,22,674.9,78,6.934,5.615,8.5127,Y
19,Brendan Gallagher,RW,33,470.2,54,6.8909,5.348,8.8139,Y
20,Michael McCarron,C,31,567.6,65,6.871,5.4484,8.5948,Y
21,Zach Benson,LW,20,542.6,62,6.8555,5.4059,8.6211,Y
22,Justin Brazeau,RW,28,459.3,52,6.7934,5.2468,8.7332,Y
23,William Carrier,LW,31,452.0,51,6.7692,5.212,8.7193,Y
24,Brad Marchand,LW,37,379.2,42,6.6462,4.9822,8.7846,Y
25,Drew O'Connor,LW,27,623.0,69,6.6456,5.3074,8.2694,Y
26,Gabriel Landeskog,LW,33,499.1,55,6.6119,5.1399,8.4439,Y
27,Rickard Rakell,RW,32,619.8,68,6.5833,5.2465,8.2032,Y
28,Christian Dvorak,C,30,717.9,77,6.4356,5.1998,7.9201,Y
29,Curtis Lazar,C,31,205.6,22,6.4218,4.2954,9.3839,Y
30,Evander Kane,LW,34,534.8,57,6.3947,4.9887,8.1329,Y
