rank,player_name,position,age,es_toi_min,CNFI_shots,per60,per60_lo95,per60_hi95,small_sample_flag
1,Zach Hyman,LW,33,5621.9,641,6.8411,6.3582,7.3554,N
2,William Carrier,LW,31,2618.8,273,6.2548,5.5865,6.9916,N
3,Danila Yurov,RW,22,504.5,50,5.9467,4.5637,7.7049,Y
4,Evander Kane,LW,34,3003.4,297,5.9332,5.3238,6.6058,N
5,Beckett Sennecke,RW,20,711.5,68,5.7342,4.5622,7.159,Y
6,Anders Lee,LW,35,5288.3,498,5.6502,5.1957,6.1407,N
7,Jackson Blake,RW,22,1590.0,147,5.5471,4.7508,6.4614,Y
8,Gabriel Landeskog,LW,33,1382.5,123,5.338,4.5031,6.306,Y
9,Josh Doan,RW,24,1392.2,121,5.2146,4.3943,6.1731,Y
10,Emmitt Finnie,C,20,701.8,60,5.1294,4.0186,6.5085,Y
11,Auston Matthews,C,28,5452.9,460,5.0615,4.6362,5.5218,N
12,Logan Stankoven,C,23,1934.0,158,4.9019,4.2181,5.6849,Y
13,Justin Brazeau,RW,28,1443.0,117,4.8648,4.0851,5.7781,Y
14,Warren Foegele,LW,30,4244.4,342,4.8346,4.3662,5.3495,N
15,Sam Bennett,C,29,4531.3,357,4.7271,4.2779,5.2198,N
16,John Tavares,C,35,5459.7,427,4.6926,4.2826,5.1376,N
17,Justin Sourdif,RW,24,666.2,52,4.6833,3.6022,6.0576,Y
18,Gabe Perreault,RW,20,530.2,41,4.6396,3.452,6.196,Y
19,Oliver Kapanen,C,22,738.1,57,4.6333,3.6054,5.9256,Y
20,Matt Savoie,C,22,703.4,54,4.6064,3.5609,5.9328,Y
21,Dmitri Voronkov,LW,25,2276.8,174,4.5853,3.9722,5.2834,N
22,Matthew Tkachuk,LW,28,4792.6,364,4.557,4.1268,5.0273,N
23,Adam Klapka,RW,25,758.5,57,4.5089,3.5095,5.7713,Y
24,Alex Turcotte,C,25,1309.0,98,4.4919,3.7092,5.424,Y
25,Drew O'Connor,LW,27,3339.4,250,4.4918,3.9856,5.0578,N
26,Matthew Knies,LW,23,2911.5,217,4.4719,3.9319,5.0777,N
27,Artturi Lehkonen,LW,30,4310.0,320,4.4548,4.0075,4.9475,N
28,Zach Benson,LW,20,2305.4,171,4.4504,3.8509,5.1365,N
29,Justin Hryckowian,C,25,609.6,45,4.4289,3.3353,5.8373,Y
30,Seth Jarvis,C,24,4795.3,352,4.4043,3.9819,4.8683,N
