rank,player_name,position,age,es_toi_min,off_per60,off_z,def_per60,def_z,twoway_score,small_sample_flag
1,Alex Turcotte,C,25,317.7,12.4659,3.0990586046278774,12.6548,-0.6987566312098206,3.7978152358376978,Y
2,Mathieu Olivier,RW,29,413.3,10.4533,1.9795269577879648,11.1792,-1.4321660421439992,3.4116929999319643,Y
3,Dylan Cozens,C,25,688.6,9.8453,1.6413200407261206,10.6295,-1.7053804316740329,3.3467004724001534,Y
4,Tomas Hertl,C,32,684.4,9.3809,1.3829922573650677,10.17,-1.933763207713783,3.3167554650788507,Y
5,Artturi Lehkonen,LW,30,560.4,13.1703,3.490889118408079,14.4553,0.19613605270654455,3.2947530657015345,Y
6,Barrett Hayton,C,25,423.6,9.7726,1.6008798386366536,10.9057,-1.5681022537802813,3.168982092416935,Y
7,Shane Pinto,C,25,551.4,9.4674,1.4311088664536353,10.6644,-1.6880342752348874,3.1191431416885225,Y
8,Mark Jankowski,LW,31,405.4,10.9521,2.2569901325090957,12.5802,-0.7358346618791686,2.992824794388264,Y
9,Jordan Kyrou,C,27,502.2,9.9157,1.6804808416490706,11.9466,-1.0507494102987234,2.7312302519477942,Y
10,Brandon Hagel,LW,27,634.4,10.3084,1.8989246842974037,12.6727,-0.6898598919473358,2.5887845762447395,Y
11,Auston Matthews,C,28,543.2,12.9238,3.3537706890400787,15.7958,0.8623974483132583,2.4913732407268205,Y
12,Lawson Crouse,LW,28,620.4,10.349,1.9215088961933096,12.9604,-0.5468659318458431,2.4683748280391526,Y
13,Brock Nelson,C,34,720.8,10.5713,2.0451658002440465,13.235,-0.4103829932157773,2.455548793459824,Y
14,Adam Erne,LW,31,261.1,9.4205,1.4050202078842273,11.9479,-1.0501032783969786,2.455123486281206,Y
15,Pontus Holmberg,RW,27,538.3,7.9138,0.566901191540345,10.4774,-1.7809778641781595,2.3478790557185043,Y
16,Boone Jenner,C,32,572.1,9.2292,1.2986074065126307,11.956,-1.04607737962457,2.3446847861372007,Y
17,Danila Yurov,RW,22,501.4,8.3757,0.8238383214595321,11.0081,-1.5172069409043931,2.341045262363925,Y
18,Roope Hintz,C,29,360.2,9.9931,1.7235354722092464,12.991,-0.5316569809278534,2.2551924531371,Y
19,Mark Stone,RW,33,648.3,6.1081,-0.4375399764507266,8.6995,-2.664637793494963,2.2270978170442364,Y
