rank,player_name,position,age,es_toi_min,off_per60,off_z,def_per60,def_z,twoway_score,small_sample_flag
1,Danila Yurov,RW,22,504.5,8.3253,3.007272262542525,10.9419,-2.0453015794758254,5.052573842018351,Y
2,Auston Matthews,C,28,5452.9,9.0997,3.6743079035680193,12.4226,-1.043786871681373,4.7180947752493925,N
3,Zach Hyman,LW,33,5621.9,9.3491,3.8891305906441533,12.7643,-0.8126680929595753,4.701798683603728,N
4,Josh Doan,RW,24,1392.2,7.4987,2.295273733524351,11.2481,-1.83819426298588,4.133467996510231,Y
5,Jackson Blake,RW,22,1590.0,8.1509,2.857051426030585,12.1508,-1.227626743079044,4.084678169109629,Y
6,Patrice Bergeron,C,40,2115.5,6.4666,1.406266133960284,10.0685,-2.6360511883011615,4.042317322261446,N
7,Beckett Sennecke,RW,20,711.5,9.276,3.8261653202942516,14.0826,0.07900262986437721,3.7471626904298745,Y
8,Gabriel Landeskog,LW,33,1382.5,8.2022,2.901239091816493,12.759,-0.8162529028139082,3.717491994630401,Y
9,Alex Turcotte,C,25,1309.0,7.1962,2.034712936248767,11.734,-1.5095416010575191,3.544254537306286,Y
10,Wyatt Johnston,C,22,4193.1,7.1833,2.0236014179517254,12.1201,-1.2483915850654619,3.2719930030171875,N
11,William Carrier,LW,31,2618.8,8.523,3.1775627406297406,13.8613,-0.07068009103446243,3.248242831664203,N
12,Matt Savoie,C,22,703.4,7.5921,2.375724571426961,12.7956,-0.7914974234424778,3.1672219948694385,Y
13,Justin Hryckowian,C,25,609.6,5.8068,0.8379421205968784,10.5309,-2.323293437991068,3.161235558587946,Y
14,Pavel Dorofeyev,LW,25,2703.2,6.1484,1.1321820159665954,10.9872,-2.0146616009095473,3.1468436168761427,N
15,Jordan Staal,C,37,4845.6,6.4511,1.3929150848436842,11.4288,-1.715972538329665,3.108887623173349,N
16,Roope Hintz,C,29,4644.8,6.7819,1.6778523137321575,11.8585,-1.4253323884415883,3.1031847021737455,N
17,Connor McDavid,C,29,6331.4,7.1358,1.982686912594402,12.4332,-1.0366172519727073,3.0193041645671093,N
18,Artturi Lehkonen,LW,30,4310.0,7.42,2.2274848583323226,12.9466,-0.6893641615548826,2.9168490198872052,N
19,Logan Stankoven,C,23,1934.0,7.7251,2.4902851864274655,13.4647,-0.3389320888134045,2.82921727524087,Y
20,Seth Jarvis,C,24,4795.3,6.4563,1.3973941464828012,11.8742,-1.4147132347221492,2.8121073812049504,N
21,Sam Reinhart,C,30,5525.8,5.5268,0.5967618784905526,10.7062,-2.2047241611109656,2.801486039601518,N
22,Mavrik Bourque,C,24,1447.8,5.9676,0.9764484882065112,11.2721,-1.821961161758713,2.7984096499652242,Y
23,Warren Foegele,LW,30,4244.4,7.6619,2.4358473603520374,13.5001,-0.314988264503333,2.7508356248553705,N
24,Jordan Martinook,LW,33,4310.4,6.6675,1.5793129576715732,12.2493,-1.1610033901258776,2.740316347797451,N
25,Aleksander Barkov,C,30,4356.2,5.6333,0.688496506291709,11.0876,-1.946753127442563,2.635249633734272,N
26,John Tavares,C,35,5459.7,7.2861,2.112149021125048,13.2205,-0.5041038937998342,2.6162529149248823,N
27,Alex Laferriere,RW,24,2820.1,6.6807,1.5906828833708708,12.5954,-0.9269085428457668,2.5175914262166375,N
28,Justin Brazeau,RW,28,1443.0,6.9438,1.817306175150065,12.9312,-0.6997804015089815,2.5170865766590467,Y
29,Ryan Winterton,C,22,588.0,6.5306,1.4613930464417297,12.449,-1.0259304603314883,2.487323506773218,Y
30,Joel Eriksson Ek,C,29,4789.7,4.8479,0.011985927183465807,10.3221,-2.464521418667425,2.476507345850891,N
