rank,player_name,position,age,es_toi_min,reb_attempts,per60,per60_lo95,per60_hi95,small_sample_flag
1,Roope Hintz,C,29,360.2,17,2.8314,1.7813,4.459,Y
2,Jack McBain,C,26,488.2,21,2.5812,1.6989,3.8933,Y
3,Anders Lee,LW,35,649.9,26,2.4004,1.6465,3.4779,Y
4,Nino Niederreiter,RW,33,359.0,13,2.1726,1.2769,3.6577,Y
5,Casey Cizikas,C,35,505.3,17,2.0187,1.2673,3.1948,Y
6,Trent Frederic,C,28,446.4,15,2.0162,1.2291,3.2847,Y
7,Barclay Goodrow,C,33,483.6,15,1.8612,1.1322,3.03,Y
8,Valeri Nichushkin,RW,31,617.0,19,1.8478,1.1881,2.8556,Y
9,Jimmy Snuggerud,RW,21,557.6,17,1.8292,1.1464,2.8948,Y
10,Artturi Lehkonen,LW,30,560.4,17,1.8203,1.1423,2.8845,Y
11,Eric Robinson,LW,30,433.9,13,1.7976,1.0552,3.0341,Y
12,Barrett Hayton,C,25,423.6,12,1.6996,0.9757,2.9287,Y
13,Pontus Holmberg,RW,27,538.3,15,1.6719,1.0181,2.7293,Y
14,Zach Hyman,LW,33,578.8,16,1.6587,1.0248,2.6649,Y
15,Danton Heinen,LW,30,292.8,8,1.6393,0.8339,3.1766,Y
16,Shane Pinto,C,25,551.4,15,1.6323,0.9939,2.6657,Y
17,Pius Suter,C,29,553.4,15,1.6262,0.9903,2.6561,Y
18,Mathieu Olivier,RW,29,413.3,11,1.597,0.8962,2.8235,Y
19,Vladislav Namestnikov,C,33,346.2,9,1.5596,0.8246,2.9213,Y
20,Alex Turcotte,C,25,317.7,8,1.511,0.7681,2.9309,Y
21,Josh Doan,RW,24,677.8,17,1.5049,0.9428,2.3872,Y
22,Brandon Duhaime,RW,28,479.7,12,1.5009,0.8615,2.5911,Y
23,Brock Nelson,C,34,720.8,18,1.4983,0.9509,2.347,Y
24,Michael McCarron,C,31,567.6,14,1.4799,0.8843,2.4567,Y
25,Yakov Trenin,C,29,570.0,14,1.4737,0.8812,2.4482,Y
26,Rickard Rakell,RW,32,619.8,15,1.4522,0.8829,2.3719,Y
27,Ben Kindel,C,19,579.4,14,1.4497,0.8674,2.4105,Y
28,Drew O'Connor,LW,27,623.0,15,1.4447,0.8787,2.3606,Y
29,Justin Brazeau,RW,28,459.3,11,1.4371,0.806,2.544,Y
30,Viktor Arvidsson,LW,33,501.3,12,1.4362,0.8252,2.4837,Y
