rank,player_name,position,age,es_toi_min,reb_attempts,per60,per60_lo95,per60_hi95,small_sample_flag
1,Jimmy Snuggerud,RW,21,643.8,17,1.5844,0.9927,2.512,Y
2,Ben Kindel,C,19,603.7,14,1.3915,0.8314,2.3117,Y
3,Matt Savoie,C,22,703.4,16,1.3649,0.8434,2.199,Y
4,Anders Lee,LW,35,5288.3,114,1.2934,1.0786,1.55,N
5,Noah Laba,C,22,514.6,11,1.2826,0.7181,2.2703,Y
6,Emmitt Finnie,C,20,701.8,15,1.2824,0.7795,2.0972,Y
7,Dmitri Voronkov,LW,25,2276.8,47,1.2386,0.9335,1.6404,N
8,Justin Hryckowian,C,25,609.6,12,1.181,0.6773,2.0441,Y
9,Marco Kasper,C,22,1557.8,30,1.1555,0.8112,1.6413,Y
10,Jonah Gadjovich,LW,27,1259.4,24,1.1434,0.7706,1.6925,Y
11,Gabe Perreault,RW,20,530.2,10,1.1316,0.6168,2.0628,Y
12,Beckett Sennecke,RW,20,711.5,13,1.0962,0.642,1.8592,Y
13,Trent Frederic,C,28,3615.7,66,1.0952,0.8624,1.3893,N
14,Zach Hyman,LW,33,5621.9,102,1.0886,0.8981,1.3185,N
15,Ivan Miroshnichenko,LW,22,506.3,9,1.0666,0.5631,2.0073,Y
16,Evander Kane,LW,34,3003.4,53,1.0588,0.8111,1.3807,N
17,Alex Turcotte,C,25,1309.0,23,1.0542,0.7042,1.5737,Y
18,Nino Niederreiter,RW,33,4402.9,76,1.0357,0.8288,1.293,N
19,Mathieu Olivier,RW,29,2786.0,47,1.0122,0.7626,1.3416,N
20,Stefan Noesen,RW,33,2833.8,47,0.9951,0.7497,1.319,N
21,Sam Bennett,C,29,4531.3,75,0.9931,0.7936,1.2419,N
22,Logan Stankoven,C,23,1934.0,32,0.9928,0.7047,1.3959,Y
23,Jackson Blake,RW,22,1590.0,26,0.9811,0.671,1.4312,Y
24,Jack McBain,C,26,3158.1,51,0.9689,0.7383,1.2702,N
25,William Carrier,LW,31,2618.8,42,0.9623,0.7132,1.2963,N
26,Justin Brazeau,RW,28,1443.0,23,0.9563,0.6386,1.4283,Y
27,Gabriel Landeskog,LW,33,1382.5,22,0.9548,0.6317,1.4381,Y
28,Danila Yurov,RW,22,504.5,8,0.9515,0.4839,1.8604,Y
29,Artturi Lehkonen,LW,30,4310.0,68,0.9466,0.7479,1.1971,N
30,Drew O'Connor,LW,27,3339.4,52,0.9343,0.7138,1.2219,N
