rank,player_name,position,pos_group,age,es_toi_min,onice_CMNFI_for,onice_total_fenwick,pct,ci_low,ci_high,small_sample_flag
1,Evgeni Malkin,C,F,39,391.5,134,521,0.2572,0.22154,0.29641,Y
2,Mark Jankowski,LW,F,31,405.4,137,557,0.24596,0.21202,0.28339,Y
3,Connor Clifton,D,D,30,508.8,176,719,0.24478,0.21477,0.27751,Y
4,Eric Robinson,LW,F,30,433.9,155,634,0.24448,0.21263,0.27941,Y
5,Tommy Novak,C,F,28,641.0,221,947,0.23337,0.20754,0.26135,Y
6,Brock Nelson,C,F,34,720.8,241,1033,0.2333,0.20853,0.26005,Y
7,Robert Thomas,C,F,26,649.8,184,805,0.22857,0.20089,0.25883,Y
8,Mike Reilly,D,D,32,341.5,115,504,0.22817,0.19367,0.26679,Y
9,Jordan Spence,D,D,25,782.6,254,1114,0.22801,0.20433,0.25355,Y
10,Devon Toews,D,D,32,814.2,268,1184,0.22635,0.20342,0.25105,Y
11,Brady Tkachuk,LW,F,26,606.7,190,841,0.22592,0.19894,0.25539,Y
12,Jordan Kyrou,C,F,27,502.2,148,657,0.22527,0.19497,0.25876,Y
13,Alexander Nikishin,D,D,24,754.2,235,1051,0.2236,0.19944,0.24977,Y
14,Dylan Cozens,C,F,25,688.6,204,915,0.22295,0.19717,0.25105,Y
15,Tomas Hertl,C,F,32,684.4,184,827,0.22249,0.19546,0.25208,Y
16,Brandon Hagel,LW,F,27,634.4,198,892,0.22197,0.19593,0.25041,Y
17,Hendrix Lapierre,C,F,24,375.5,113,511,0.22114,0.18731,0.25913,Y
18,Lane Hutson,D,D,22,1018.2,273,1236,0.22087,0.19863,0.24485,Y
19,Alex Killorn,LW,F,36,633.2,192,876,0.21918,0.19304,0.24777,Y
20,Taylor Hall,LW,F,34,584.4,194,888,0.21847,0.19253,0.24683,Y
21,Ben Kindel,C,F,19,579.4,180,824,0.21845,0.19158,0.24793,Y
22,Adam Erne,LW,F,31,261.1,63,290,0.21724,0.17364,0.26823,Y
23,Drake Batherson,RW,F,27,661.7,183,845,0.21657,0.19011,0.24559,Y
24,Tyson Foerster,RW,F,24,200.2,51,237,0.21519,0.16763,0.27183,Y
25,Nathan MacKinnon,C,F,30,869.4,284,1322,0.21483,0.19353,0.23778,Y
26,Zach Hyman,LW,F,33,578.8,189,880,0.21477,0.18891,0.24312,Y
27,Connor McDavid,C,F,29,885.2,269,1255,0.21434,0.19253,0.2379,Y
28,Alex Turcotte,C,F,25,317.7,102,477,0.21384,0.1794,0.25284,Y
29,Gabriel Landeskog,LW,F,33,499.1,164,767,0.21382,0.18627,0.24423,Y
30,Jordan Martinook,LW,F,33,572.0,161,754,0.21353,0.18577,0.24419,Y
31,Logan Stankoven,C,F,23,652.4,207,975,0.21231,0.18779,0.23908,Y
32,Trevor Zegras,C,F,25,759.6,211,996,0.21185,0.1876,0.23831,Y
33,William Carrier,LW,F,31,452.0,129,609,0.21182,0.18123,0.24603,Y
34,Jackson Blake,RW,F,22,674.9,209,990,0.21111,0.18683,0.23762,Y
35,Mattias Ekholm,D,D,35,864.5,259,1228,0.21091,0.18901,0.23461,Y
36,Steven Stamkos,C,F,36,734.7,209,992,0.21069,0.18645,0.23715,Y
37,Anthony Mantha,RW,F,31,641.0,184,877,0.20981,0.18415,0.23799,Y
38,Artturi Lehkonen,LW,F,30,560.4,180,860,0.2093,0.18344,0.23775,Y
39,Jordan Staal,C,F,37,630.4,172,822,0.20925,0.18282,0.23837,Y
40,Valeri Nichushkin,RW,F,31,617.0,194,928,0.20905,0.18411,0.23639,Y
41,Alexandre Texier,C,F,26,352.4,104,499,0.20842,0.17507,0.24622,Y
42,K'Andre Miller,D,D,26,849.8,239,1149,0.20801,0.18553,0.23243,Y
43,Thomas Chabot,D,D,29,575.8,153,737,0.2076,0.17987,0.23836,Y
44,Darren Raddysh,D,D,30,841.4,241,1161,0.20758,0.18523,0.23186,Y
45,Owen Tippett,RW,F,27,679.4,180,868,0.20737,0.18172,0.23561,Y
46,Adam Fantilli,C,F,21,786.1,219,1060,0.2066,0.18331,0.23202,Y
47,Evan Bouchard,D,D,26,956.0,267,1293,0.2065,0.18532,0.22941,Y
48,Travis Sanheim,D,D,30,976.2,248,1201,0.20649,0.18455,0.23031,Y
49,Justin Brazeau,RW,F,28,459.3,139,675,0.20593,0.17712,0.23806,Y
50,Cale Makar,D,D,27,804.8,230,1118,0.20572,0.18306,0.23041,Y
