zone,y_band_label,y_band_mid,attempts,goals,conversion_rate,ci_low,ci_high
CNFI,0-5,2.5,49572,7596,0.15323,0.15009,0.15643
CNFI,5-10,7.5,42833,4455,0.10401,0.10115,0.10694
CNFI,10-15,12.5,19923,1575,0.07905,0.07539,0.08288
CNFI,15-20,17.5,12678,696,0.0549,0.05107,0.059
CNFI,20-25,22.5,9265,295,0.03184,0.02845,0.03561
CNFI,25-30,27.5,6435,131,0.02036,0.01718,0.0241
CNFI,30+,35.0,7650,97,0.01268,0.01041,0.01544
MNFI,0-5,2.5,23317,2637,0.11309,0.10909,0.11722
MNFI,5-10,7.5,18853,1883,0.09988,0.09568,0.10424
MNFI,10-15,12.5,21354,1973,0.09239,0.08858,0.09635
MNFI,15-20,17.5,22976,1646,0.07164,0.06838,0.07505
MNFI,20-25,22.5,20856,1040,0.04987,0.04699,0.0529
MNFI,25-30,27.5,15611,426,0.02729,0.02485,0.02996
MNFI,30+,35.0,24285,274,0.01128,0.01003,0.01269
FNFI,0-5,2.5,16553,601,0.03631,0.03356,0.03927
FNFI,5-10,7.5,14630,505,0.03452,0.03168,0.0376
FNFI,10-15,12.5,15084,462,0.03063,0.028,0.0335
FNFI,15-20,17.5,17063,441,0.02585,0.02357,0.02834
FNFI,20-25,22.5,20087,414,0.02061,0.01874,0.02267
FNFI,25-30,27.5,20733,305,0.01471,0.01316,0.01644
FNFI,30+,35.0,43828,418,0.00954,0.00867,0.01049
