team,season,ca_D,ca_O,cf_D,cf_O,cm_a_D,cm_a_O,cm_f_D,cm_f_O,fen_a_D,fen_a_O,fen_f_D,fen_f_O,n_shifts_D,n_shifts_O,sec_D,sec_O,Corsi_DZ,Fenwick_DZ,CNFI_MNFI_DZ,V5_DZ,V1_DZ,OZ_ratio
ANA,20222023,18381.0,13488.0,13047.0,12147.0,5890.0,3925.0,2886.0,3164.0,15333.0,10222.0,8318.0,9324.0,8196.0,6448.0,1053167.0,870327.0,0.415139366170294,0.35169760263836625,0.3288514129443938,0.3288514129443938,9.865102115808794,0.44031685331876536
ANA,20232024,13815.0,10981.0,11895.0,10810.0,3724.0,2683.0,2342.0,2448.0,11024.0,7682.0,7345.0,7931.0,6954.0,6137.0,920907.0,801305.0,0.46266044340723456,0.39985845718329793,0.38608638311902405,0.38608638311902405,9.155321872892703,0.46879535558780844
ANA,20242025,17047.0,13609.0,15329.0,13387.0,4465.0,3389.0,3203.0,3090.0,13492.0,9657.0,9576.0,9640.0,7805.0,6595.0,1039550.0,868996.0,0.4734680009883865,0.41512051326512917,0.41770996348461137,0.41770996348461137,11.092107161752681,0.4579861111111111
ANA,20252026,7933.0,8492.0,7759.0,9584.0,2167.0,2025.0,1760.0,2566.0,5937.0,5615.0,5313.0,7648.0,4061.0,4512.0,518475.0,613607.0,0.49445577364262044,0.47226666666666667,0.4481792717086835,0.4481792717086835,12.220454216693186,0.5263035110229791
BOS,20222023,13627.0,11508.0,11690.0,14669.0,3584.0,2659.0,3168.0,4568.0,11030.0,7656.0,7914.0,11991.0,7030.0,7037.0,870463.0,896238.0,0.46174507248094165,0.41775760135135137,0.46919431279620855,0.46919431279620855,13.101992847484615,0.5002488092699225
BOS,20232024,14751.0,11094.0,13575.0,11562.0,3720.0,2520.0,3103.0,2899.0,11732.0,7743.0,8533.0,8491.0,7599.0,6333.0,974194.0,814250.0,0.4792416860834569,0.4210708117443869,0.4547852850652206,0.4547852850652206,11.466709916094741,0.4545650301464255
BOS,20242025,13880.0,12344.0,12081.0,12218.0,3342.0,2638.0,2227.0,2817.0,10909.0,8266.0,7009.0,8837.0,7352.0,6560.0,900727.0,845006.0,0.46535187396479333,0.3911708896082152,0.3998922607290357,0.3998922607290357,8.900810123378117,0.4715353651523864
BOS,20252026,8313.0,7979.0,7500.0,7983.0,2164.0,1858.0,1538.0,1972.0,6428.0,5474.0,4821.0,5682.0,4318.0,3983.0,569219.0,541007.0,0.4742933029785619,0.42857142857142855,0.41545110750945435,0.41545110750945435,9.727011923354631,0.47982170822792436
BUF,20222023,14756.0,13777.0,11912.0,15174.0,4919.0,4209.0,3293.0,4403.0,12109.0,9600.0,8587.0,12686.0,6975.0,7763.0,901456.0,1013922.0,0.4466776661166942,0.4149110939311944,0.4009985387238188,0.4009985387238188,13.150725049253651,0.5267336137874882
BUF,20232024,12962.0,14165.0,12125.0,14830.0,3520.0,3220.0,2747.0,3737.0,9910.0,9184.0,7836.0,11296.0,6680.0,7471.0,856010.0,991902.0,0.4833180531749512,0.4415642961794207,0.4383277485240147,0.4383277485240147,11.55266877723391,0.5279485548724472
BUF,20242025,13226.0,12625.0,12123.0,12718.0,3217.0,2866.0,2601.0,3037.0,10117.0,8395.0,7957.0,9768.0,6935.0,6580.0,864165.0,861341.0,0.4782437177008955,0.44024565674449484,0.4470608456514266,0.4470608456514266,10.835430733714048,0.486866444691084
BUF,20252026,7977.0,7441.0,7770.0,7874.0,2332.0,1738.0,1588.0,2055.0,6477.0,5133.0,5079.0,6139.0,4482.0,4279.0,571590.0,554747.0,0.49342731948942653,0.43951194184839043,0.4051020408163265,0.4051020408163265,10.00157455518816,0.4884145645474261
CAR,20222023,11206.0,15649.0,11212.0,19859.0,3121.0,3691.0,3145.0,5702.0,8373.0,9643.0,8655.0,17011.0,6464.0,9043.0,827521.0,1224204.0,0.5001338210366669,0.5082804792107117,0.501915097350782,0.501915097350782,13.681828014032272,0.5831559940671954
CAR,20232024,12614.0,15153.0,12630.0,17496.0,2930.0,2897.0,2651.0,4143.0,8795.0,8685.0,9429.0,14611.0,6605.0,8308.0,851654.0,1060484.0,0.5003169069877991,0.5173946444249341,0.47500447948396346,0.47500447948396346,11.20595922757364,0.5570978341044726
CAR,20242025,11706.0,14594.0,12076.0,16479.0,3115.0,3091.0,2745.0,4201.0,8063.0,8305.0,8816.0,13821.0,6221.0,8074.0,812211.0,1049112.0,0.5077789925153477,0.5223058238047278,0.4684300341296928,0.4684300341296928,12.166789171779255,0.5648128716334383
CAR,20252026,6852.0,9416.0,7371.0,11660.0,1947.0,2084.0,1841.0,3275.0,4858.0,5224.0,5465.0,9612.0,3835.0,5405.0,498166.0,710533.0,0.5182450959713141,0.5294003681100455,0.48600844772967267,0.48600844772967267,13.303999068583565,0.58495670995671
CBJ,20222023,19277.0,14627.0,14799.0,14854.0,5516.0,3760.0,3391.0,3733.0,15939.0,10453.0,9361.0,11125.0,8106.0,7136.0,1039178.0,939691.0,0.43429393121258364,0.37,0.38071179970809477,0.38071179970809477,11.747361857160177,0.4681800288676027
CBJ,20232024,15725.0,15352.0,14184.0,15244.0,4098.0,3477.0,2736.0,3350.0,12113.0,10236.0,8710.0,11267.0,7172.0,7306.0,926248.0,969290.0,0.4742385235213481,0.4182874705854104,0.4003511852502195,0.4003511852502195,10.63386911496705,0.504627711009808
CBJ,20242025,14521.0,14060.0,13542.0,14954.0,3645.0,2910.0,2783.0,3729.0,11300.0,9360.0,8549.0,11085.0,7018.0,6990.0,924913.0,933102.0,0.482557103659623,0.43070179857927354,0.4329495955196017,0.4329495955196017,10.832153943127624,0.4990005711022273
CBJ,20252026,9170.0,8937.0,8308.0,9141.0,2236.0,1845.0,1917.0,2521.0,7073.0,5765.0,5292.0,7102.0,4491.0,4391.0,578520.0,598656.0,0.47534042796658654,0.427982207844723,0.4615940284131953,0.4615940284131953,11.92906036092097,0.494370637243864
CGY,20222023,12455.0,14590.0,11606.0,18798.0,3486.0,3454.0,2860.0,5562.0,9552.0,8913.0,8319.0,15714.0,6515.0,8778.0,806640.0,1090513.0,0.48235734175636924,0.4655027698505959,0.45067759218405296,0.45067759218405296,12.764058315977389,0.5739880991303211
CGY,20232024,13847.0,14385.0,13836.0,15143.0,3436.0,3131.0,2806.0,3391.0,10161.0,9336.0,9050.0,11131.0,7109.0,7581.0,920807.0,979164.0,0.4998013221110429,0.47108427463432406,0.4495354053188081,0.4495354053188081,10.970377071416703,0.5160653505786249
CGY,20242025,14907.0,15565.0,14056.0,16330.0,3510.0,3157.0,2541.0,3437.0,11093.0,9756.0,8627.0,11979.0,7534.0,8140.0,961720.0,1066593.0,0.4853088423160584,0.437474645030426,0.41993058998512645,0.41993058998512645,9.511708189493824,0.5193313768023479
CGY,20252026,7849.0,8736.0,7046.0,8549.0,2183.0,2159.0,1432.0,2012.0,6061.0,5788.0,4526.0,6326.0,4147.0,4578.0,515741.0,589459.0,0.47304464585431355,0.4275054311891943,0.3961272475795297,0.3961272475795297,9.995714903410821,0.5246991404011462
CHI,20222023,15470.0,11877.0,12202.0,12362.0,5061.0,3471.0,2782.0,3091.0,12987.0,8653.0,7595.0,9306.0,7321.0,6150.0,949098.0,818882.0,0.44095114194854,0.3690117578466621,0.3547112074461303,0.3547112074461303,10.55233495381931,0.4565362630836612
CHI,20232024,14734.0,13174.0,12146.0,12061.0,4077.0,3379.0,2480.0,2635.0,11800.0,9539.0,7203.0,8383.0,7116.0,6528.0,918342.0,846766.0,0.451860119047619,0.3790454138820186,0.37822174775049566,0.37822174775049566,9.721868323565731,0.47845206684256814
CHI,20242025,14094.0,11380.0,12249.0,10506.0,3835.0,2747.0,2168.0,2327.0,11287.0,8145.0,7123.0,7418.0,7122.0,5870.0,924409.0,794653.0,0.4649812094294499,0.386909288430201,0.3611527569548559,0.3611527569548559,8.443016024292277,0.4518165024630542
CHI,20252026,9109.0,7068.0,7551.0,6569.0,2943.0,2096.0,1594.0,1614.0,7432.0,5271.0,4793.0,4731.0,4561.0,3842.0,578422.0,493613.0,0.45324129651860745,0.39206543967280166,0.35133348027330835,0.35133348027330835,9.920784479151898,0.45721766035939543
COL,20222023,15415.0,13921.0,12883.0,16680.0,4264.0,3062.0,3099.0,4464.0,12137.0,8805.0,8560.0,13603.0,7224.0,7580.0,933284.0,1009400.0,0.45526185596155205,0.41358651012223996,0.4208882249083254,0.4208882249083254,11.953917564214107,0.512023777357471
COL,20232024,14385.0,15281.0,13806.0,14860.0,3730.0,3104.0,3046.0,3895.0,10816.0,9776.0,8957.0,11326.0,7035.0,7465.0,909336.0,1020448.0,0.48973076513780994,0.452991452991453,0.4495277449822904,0.4495277449822904,12.058908918155664,0.5148275862068965
COL,20242025,12807.0,13082.0,13104.0,14488.0,2768.0,2544.0,2868.0,3376.0,9018.0,7889.0,8741.0,11014.0,6767.0,7187.0,860235.0,943366.0,0.5057311566516152,0.49220113745143307,0.5088715400993612,0.5088715400993612,12.00230169662941,0.5150494481868998
COL,20252026,8378.0,8505.0,8521.0,9307.0,1968.0,1801.0,2224.0,2590.0,5877.0,5072.0,6368.0,7496.0,4203.0,4529.0,552146.0,573905.0,0.5042310195869578,0.5200489995916701,0.5305343511450382,0.5305343511450382,14.500512545594825,0.5186669720568026
DAL,20222023,13871.0,13837.0,12152.0,14526.0,3625.0,3233.0,3229.0,4432.0,10595.0,9189.0,8198.0,11457.0,7098.0,7236.0,897110.0,952948.0,0.46697152518925567,0.4362262544564465,0.4711117595564634,0.4711117595564634,12.957608320049937,0.5048137295939724
DAL,20232024,14241.0,14584.0,14545.0,16388.0,3123.0,2658.0,3229.0,4398.0,10477.0,8745.0,9590.0,12634.0,7741.0,7730.0,992889.0,1023981.0,0.5052803446119641,0.47789903822195645,0.5083438287153652,0.5083438287153652,11.70765312134589,0.49964449615409473
DAL,20242025,15429.0,13159.0,13173.0,12734.0,3421.0,2660.0,2874.0,3180.0,11761.0,8578.0,8458.0,9711.0,7656.0,6798.0,994576.0,894320.0,0.460562198447661,0.4183194025421633,0.45655281969817313,0.45655281969817313,10.402824922378985,0.4703196347031963
DAL,20252026,6677.0,6086.0,6669.0,6292.0,1675.0,1415.0,1554.0,1647.0,5274.0,4096.0,3885.0,4429.0,4008.0,3628.0,510666.0,472519.0,0.49970028472950695,0.42417294464461186,0.48126354908640445,0.48126354908640445,10.95510568551656,0.4751178627553693
DET,20222023,13611.0,10649.0,11380.0,11830.0,3988.0,2719.0,2521.0,3063.0,11331.0,7418.0,6931.0,9036.0,6966.0,6120.0,895558.0,781216.0,0.4553639310151655,0.37953126711203594,0.3873098786295898,0.3873098786295898,10.13401700392381,0.4676753782668501
DET,20232024,15534.0,12645.0,13021.0,12122.0,3921.0,3017.0,2395.0,2562.0,12497.0,8741.0,7750.0,8666.0,7731.0,6381.0,987793.0,835954.0,0.4559971983890737,0.38277275645774683,0.3791956934768841,0.3791956934768841,8.728549402557015,0.45216836734693877
DET,20242025,14372.0,12957.0,12424.0,12541.0,3618.0,2937.0,2357.0,2710.0,11235.0,8817.0,7639.0,9190.0,7171.0,6934.0,912687.0,877301.0,0.46365129123749815,0.4047366747907174,0.39447698744769877,0.39447698744769877,9.296944078309432,0.4915987238567884
DET,20252026,8901.0,7829.0,8197.0,8320.0,2408.0,1981.0,1700.0,1916.0,7093.0,5376.0,5175.0,6090.0,4574.0,4136.0,585410.0,550790.0,0.4794127968183413,0.42182914900554286,0.41382667964946446,0.41382667964946446,10.454211578210144,0.4748564867967853
EDM,20222023,14982.0,12469.0,12674.0,15113.0,4261.0,3064.0,3709.0,5211.0,12132.0,8340.0,8904.0,12546.0,7338.0,7244.0,950200.0,955497.0,0.45827306913508825,0.4232743867655448,0.4653701380175659,0.4653701380175659,14.052199536939591,0.49677684816897544
EDM,20232024,12496.0,14311.0,12928.0,15944.0,2980.0,2937.0,3206.0,4736.0,9138.0,8984.0,8962.0,12693.0,6736.0,7798.0,856318.0,1032449.0,0.5084959093769666,0.49513812154696135,0.5182670546395086,0.5182670546395086,13.478170492737512,0.5365350213292969
EDM,20242025,11747.0,13420.0,11771.0,15205.0,2838.0,2716.0,2641.0,3951.0,8651.0,8548.0,8074.0,11789.0,6085.0,7493.0,803760.0,963874.0,0.5005102474700229,0.48275037369207774,0.48202226683701405,0.48202226683701405,11.828904150492685,0.551848578583002
EDM,20252026,6557.0,7857.0,6813.0,8382.0,1749.0,1963.0,1553.0,2047.0,5201.0,5516.0,4398.0,6244.0,3729.0,4293.0,475252.0,584736.0,0.5095736724008976,0.4581727263256589,0.4703210175651121,0.4703210175651121,11.763864223611893,0.5351533283470457
FLA,20222023,14285.0,13829.0,12419.0,15926.0,3926.0,3621.0,3174.0,4709.0,11199.0,9172.0,9084.0,13293.0,6915.0,7442.0,877128.0,971478.0,0.4650614140203715,0.44786274219789973,0.44704225352112675,0.44704225352112675,13.02706104468219,0.518353416451905
