metric,multiplier,effective_factor,R2,r,N
V1a,0.25,2.237642125675988,0.1815266663636531,0.4260594634128587,126
V1a,0.5,4.475284251351976,0.17465851310629954,0.4179216590538226,126
V1a,0.75,6.712926377027964,0.1674871906310629,0.4092519891595677,126
V1a,1.0,8.950568502703952,0.16003501817976712,0.4000437703299067,126
V1a,1.25,11.18821062837994,0.15232964826303297,0.39029430980099233,126
V1a,1.5,13.425852754055928,0.1444040604108561,0.3800053426083061,126
V1a,1.75,15.663494879731916,0.1362963878631022,0.3691834068090035,126
V1a,2.0,17.901137005407904,0.12804956205119142,0.3578401347685743,126
V1a,2.25,20.138779131083894,0.11971076833829902,0.3459924397126316,126
V1a,2.5,22.37642125675988,0.11133071698502174,0.33366257953960277,126
V1a,2.75,24.614063382435866,0.10296274498335753,0.3208780842989398,126
V1a,3.0,26.851705508111856,0.0946617762828791,0.30767153960494803,126
V1b,0.25,0.06691433156694095,0.5209993458051217,0.7218028441375953,126
V1b,0.5,0.1338286631338819,0.5227182072087824,0.7229925360671314,126
V1b,0.75,0.20074299470082285,0.5230818062357937,0.7232439465600757,126
V1b,1.0,0.2676573262677638,0.5218382143238763,0.7223837029750023,126
V1b,1.25,0.3345716578347047,0.5187224612221784,0.72022389659201,126
V1b,1.5,0.4014859894016457,0.5134666064026511,0.716565842335965,126
V1b,1.75,0.46840032096858664,0.5058138104575629,0.711205884718035,126
V1b,2.0,0.5353146525355276,0.49553641808927323,0.7039434764874757,126
V1b,2.25,0.6022289841024685,0.48245738904410945,0.694591526758072,126
V1b,2.5,0.6691433156694094,0.46647352092000605,0.6829886682222525,126
V1b,2.75,0.7360576472363504,0.4475779296853905,0.6690126528589654,126
V1b,3.0,0.8029719788032914,0.42587843524704777,0.6525936218252886,126
V2,0.25,1.3378960052478164,0.2053490088922425,0.45315450885127745,126
V2,0.5,2.6757920104956328,0.19915223826469586,0.44626476251738256,126
V2,0.75,4.013688015743449,0.19260979177686705,0.4388733208761579,126
V2,1.0,5.3515840209912655,0.18573233811907955,0.43096674827540876,126
V2,1.25,6.689480026239082,0.17853538149073403,0.4225344737305277,126
V2,1.5,8.027376031486899,0.17103953897130086,0.4135692674405351,126
V2,1.75,9.365272036734714,0.16327070611919767,0.4040676999206911,126
V2,2.0,10.703168041982531,0.15526008611480283,0.39403056494998306,126
V2,2.25,12.041064047230348,0.14704406115664662,0.38346324616141064,126
V2,2.5,13.378960052478163,0.13866389043457808,0.3723760067922987,126
V2,2.75,14.71685605772598,0.13016522677098602,0.360784183094251,126
V2,3.0,16.054752062973797,0.12159745360872125,0.3487082643252397,126
