player_name,team,pos,GP,OZI_pooled_score,OZI_23_24,OZI_24_25,OZI_25_26,OZI_trend,OZI_recent,OZI_flag,DZI_pooled_score,DZI_23_24,DZI_24_25,DZI_25_26,DZI_trend,DZI_recent,DZI_flag,NZI_pooled_score,NZI_23_24,NZI_24_25,NZI_25_26,NZI_trend,NZI_recent,NZI_flag,TNZI_pooled_score,TNZI_23_24,TNZI_24_25,TNZI_25_26,TNZI_trend,TNZI_recent,TNZI_flag
Michael Stone,CGY,D,48,9.1,,,,,,,1.6,,,,,,,2.5,,,,,,,4.5,,,,,,
Ryker Evans,SEA,D,175,6.6,,0.3077,-0.5781,-0.1352,-0.5781,DECLINING,8.1,,0.3896,-0.4177,-0.0141,-0.4177,DECLINING,8.2,,0.5468,-0.1164,0.2152,-0.1164,DECLINING,6.9,,0.4494,-0.0258,0.2118,-0.0258,STABLE
Vincent Iorio,NYR,D,36,5.1,,,,,,,6.9,,,,,,,4.1,,,,,,,2.5,,,,,,
TJ Brodie,CHI,D,190,7.8,-0.2318,-0.2672,,-0.2495,-0.2672,DECLINING,7.7,-0.1144,-0.2285,,-0.1714,-0.2285,DECLINING,6.8,0.0756,-0.2791,,-0.1018,-0.2791,DECLINING,8.1,0.0057,-0.2301,,-0.1122,-0.2301,DECLINING
Ryan Suter,STL,D,246,8.1,0.2195,-0.1696,,0.0249,-0.1696,DECLINING,7.2,-0.2411,0.0403,,-0.1004,0.0403,STABLE,7.3,-0.0402,-0.1606,,-0.1004,-0.1606,DECLINING,8.1,-0.0713,0.0619,,-0.0047,0.0619,RISING
Brent Burns,COL,D,327,8.6,0.0678,-0.1526,0.1106,0.0086,0.1106,RISING,8.2,-0.2316,0.2602,-0.1829,-0.0514,-0.1829,DECLINING,9.1,-0.0977,-0.1088,-0.1856,-0.1307,-0.1856,DECLINING,9.7,-0.05,-0.1156,-0.1135,-0.093,-0.1135,DECLINING
Jared Spurgeon,MIN,D,240,9.2,,,0.065,0.065,0.065,RISING,8.6,,,0.0185,0.0185,0.0185,STABLE,7.9,,,0.3035,0.3035,0.3035,RISING,9.2,,,0.1198,0.1198,0.1198,RISING
Joel Nystrom,CAR,D,38,6.8,,,,,,,5.3,,,,,,,6.3,,,,,,,6.2,,,,,,
Emil Lilleberg,TBL,D,163,5.7,,-0.3093,0.3325,0.0116,0.3325,RISING,6.3,,-0.174,-0.062,-0.118,-0.062,DECLINING,6.0,,-0.0375,-0.0267,-0.0321,-0.0267,STABLE,7.0,,0.2839,-0.095,0.0945,-0.095,DECLINING
Will Borgen,NYR,D,323,8.4,-0.0104,0.0028,-0.0663,-0.0246,-0.0663,DECLINING,7.1,-0.0365,0.0264,-0.0801,-0.0301,-0.0801,DECLINING,6.9,-0.0734,-0.0675,0.0617,-0.0264,0.0617,RISING,7.7,-0.1907,0.1301,-0.2132,-0.0913,-0.2132,DECLINING
Colton White,NJD,D,69,7.9,,,,,,,4.6,,,,,,,5.6,,,,,,,5.8,,,,,,
Alexandre Carrier,MTL,D,268,7.6,0.1296,-0.1853,-0.0408,-0.0322,-0.0408,STABLE,8.4,0.0018,-0.1853,0.27,0.0289,0.27,RISING,7.9,-0.2983,-0.0619,0.1519,-0.0694,0.1519,RISING,8.5,-0.1903,0.028,-0.0223,-0.0615,-0.0223,STABLE
Ryan Shea,PIT,D,150,6.6,,0.0877,0.2504,0.169,0.2504,RISING,6.7,,0.296,0.2511,0.2735,0.2511,RISING,7.1,,-0.0384,0.3119,0.1368,0.3119,RISING,8.0,,0.4385,0.0853,0.2619,0.0853,RISING
Niko Mikkola,FLA,D,307,8.6,0.2226,-0.0315,-0.1804,0.0036,-0.1804,DECLINING,8.5,0.0547,0.0988,-0.2382,-0.0283,-0.2382,DECLINING,8.6,0.0456,0.1995,0.0859,0.1103,0.0859,RISING,9.0,-0.2001,0.4332,-0.0496,0.0612,-0.0496,STABLE
Arber Xhekaj,MTL,D,230,5.9,0.1946,-0.299,0.278,0.0579,0.278,RISING,8.0,-0.2957,0.1944,-0.0442,-0.0485,-0.0442,STABLE,7.4,0.137,-0.2815,0.4254,0.0936,0.4254,RISING,7.6,-0.1274,0.2815,0.1581,0.1041,0.1581,RISING
Vladislav Gavrikov,NYR,D,313,7.6,0.1282,-0.1237,0.0702,0.0249,0.0702,RISING,8.7,-0.0707,-0.1529,-0.0067,-0.0768,-0.0067,STABLE,7.9,-0.0045,-0.0792,0.1799,0.0321,0.1799,RISING,8.1,-0.101,0.1299,0.015,0.0146,0.015,STABLE
