player_name,team,pos,GP,OZI_pooled_score,OZI_23_24,OZI_24_25,OZI_25_26,OZI_trend,OZI_recent,OZI_flag,DZI_pooled_score,DZI_23_24,DZI_24_25,DZI_25_26,DZI_trend,DZI_recent,DZI_flag,NZI_pooled_score,NZI_23_24,NZI_24_25,NZI_25_26,NZI_trend,NZI_recent,NZI_flag,TNZI_pooled_score,TNZI_23_24,TNZI_24_25,TNZI_25_26,TNZI_trend,TNZI_recent,TNZI_flag
Adam Henrique,EDM,C,289,6.7,0.2243,-0.1937,-0.0914,-0.0203,-0.0914,DECLINING,6.7,0.284,-0.0267,-0.0372,0.0734,-0.0372,STABLE,6.5,0.0006,0.1514,0.1549,0.1023,0.1549,RISING,7.6,-0.1503,0.1393,0.0824,0.0238,0.0824,RISING
Zack Ostapchuk,SJS,C,121,4.6,,,-0.0206,-0.0206,-0.0206,STABLE,4.4,,,0.1377,0.1377,0.1377,RISING,7.7,,,0.4944,0.4944,0.4944,RISING,8.2,,,0.283,0.283,0.283,RISING
Gustav Nyquist,WPG,L,262,7.7,0.1093,-0.0218,-0.3512,-0.0879,-0.3512,DECLINING,6.8,0.0907,0.0358,-0.4069,-0.0935,-0.4069,DECLINING,6.9,0.143,-0.136,-0.1234,-0.0388,-0.1234,DECLINING,7.2,0.0848,-0.0255,-0.2672,-0.0693,-0.2672,DECLINING
Derek Grant,ANA,C,46,4.4,,,,,,,3.8,,,,,,,2.7,,,,,,,4.7,,,,,,
Jaroslav Chmelar,NYR,R,28,2.0,,,,,,,4.6,,,,,,,5.7,,,,,,,3.3,,,,,,
Eric Staal,FLA,C,72,7.9,,,,,,,4.8,,,,,,,5.8,,,,,,,7.3,,,,,,
Jeff Carter,PIT,C,151,6.8,-0.0905,,,-0.0905,,,5.8,0.0892,,,0.0892,,,7.1,-0.1153,,,-0.1153,,,6.3,-0.2342,,,-0.2342,,
Tyson Kozak,BUF,C,67,4.4,,,,,,,4.4,,,0.2309,0.2309,0.2309,RISING,7.1,,,0.3837,0.3837,0.3837,RISING,7.7,,,0.003,0.003,0.003,STABLE
Zach Parise,COL,L,112,7.2,-0.0953,,,-0.0953,,,4.9,0.0377,,,0.0377,,,5.2,0.0789,,,0.0789,,,6.3,-0.0933,,,-0.0933,,
Matt Martin,NYI,L,170,8.1,0.246,-0.0231,,0.1115,-0.0231,STABLE,6.9,-0.1808,-0.1261,,-0.1534,-0.1261,DECLINING,9.0,-0.1541,-0.0951,,-0.1246,-0.0951,DECLINING,8.5,-0.2206,-0.068,,-0.1443,-0.068,DECLINING
Cam Atkinson,TBL,R,109,7.1,,-0.4875,,-0.4875,-0.4875,DECLINING,4.7,,-0.3338,,-0.3338,-0.3338,DECLINING,6.5,,-0.2687,,-0.2687,-0.2687,DECLINING,7.4,,-0.0726,,-0.0726,-0.0726,DECLINING
Corey Perry,TBL,R,288,6.6,0.303,-0.0102,0.1168,0.1365,0.1168,RISING,8.0,0.1343,-0.3418,-0.2714,-0.1596,-0.2714,DECLINING,8.4,-0.2402,-0.021,0.1021,-0.053,0.1021,RISING,7.3,-0.2731,0.3169,-0.1171,-0.0244,-0.1171,DECLINING
Patrice Bergeron,BOS,C,78,10.0,,,,,,,3.8,,,,,,,5.1,,,,,,,7.7,,,,,,
Kevin Stenlund,UTA,C,296,7.8,0.4421,0.064,-0.2335,0.0909,-0.2335,DECLINING,6.9,0.2608,0.0914,-0.1567,0.0652,-0.1567,DECLINING,8.1,0.1789,-0.081,0.0428,0.0469,0.0428,STABLE,8.1,-0.0767,0.0584,-0.0687,-0.029,-0.0687,DECLINING
Denis Malgin,COL,C,65,7.8,,,,,,,4.4,,,,,,,6.1,,,,,,,5.8,,,,,,
Zakhar Bardakov,COL,C,59,5.1,,,,,,,4.5,,,,,,,5.4,,,,,,,3.9,,,,,,
Conor Garland,CBJ,R,315,8.3,0.1057,0.0807,-0.2479,-0.0205,-0.2479,DECLINING,7.2,0.2981,-0.1965,0.0705,0.0574,0.0705,RISING,7.6,0.2961,-0.0332,-0.0759,0.0623,-0.0759,DECLINING,8.3,0.2492,-0.106,-0.0784,0.0216,-0.0784,DECLINING
Kirill Kaprizov,MIN,L,261,8.6,0.0868,-0.263,0.1845,0.0028,0.1845,RISING,10.0,-0.0333,-0.0367,-0.1094,-0.0598,-0.1094,DECLINING,8.5,0.0644,0.147,0.0313,0.0809,0.0313,STABLE,8.5,0.0041,0.0507,0.1307,0.0618,0.1307,RISING
Troy Terry,ANA,R,283,8.1,0.1611,0.0341,0.0662,0.0871,0.0662,RISING,6.5,-0.0322,0.0326,-0.0293,-0.0097,-0.0293,STABLE,6.5,-0.0365,0.0722,0.0154,0.0171,0.0154,STABLE,7.3,-0.1709,0.2434,-0.0196,0.0176,-0.0196,STABLE
Adam Gaudette,SJS,C,149,3.7,,,-0.0012,-0.0012,-0.0012,STABLE,6.0,,,0.4545,0.4545,0.4545,RISING,6.2,,,0.1051,0.1051,0.1051,RISING,6.9,,,0.0869,0.0869,0.0869,RISING
Mason Appleton,DET,C,259,7.7,0.3103,-0.1285,0.0682,0.0833,0.0682,RISING,7.7,-0.115,-0.0585,-0.0459,-0.0732,-0.0459,STABLE,7.6,0.282,-0.0097,-0.303,-0.0102,-0.303,DECLINING,7.9,0.251,0.0589,-0.2081,0.034,-0.2081,DECLINING
Steven Lorentz,TOR,C,269,7.5,-0.2499,-0.1122,0.1638,-0.0661,0.1638,RISING,5.6,-0.0321,-0.1469,0.0915,-0.0292,0.0915,RISING,6.4,0.1523,-0.2235,0.2573,0.062,0.2573,RISING,7.1,0.0389,0.1733,-0.0612,0.0503,-0.0612,DECLINING
Tyler Johnson,BOS,C,132,7.3,0.1491,,,0.1491,,,5.2,0.196,,,0.196,,,3.7,0.2275,,,0.2275,,,4.7,0.1174,,,0.1174,,
Lane Pederson,PHI,C,32,4.2,,,,,,,4.9,,,,,,,6.3,,,,,,,5.5,,,,,,
Mason Marchment,CBJ,L,279,7.5,0.0438,-0.0531,0.1198,0.0368,0.1198,RISING,8.3,-0.2806,-0.1146,0.1034,-0.0972,0.1034,RISING,8.6,-0.0232,-0.1598,0.1055,-0.0258,0.1055,RISING,8.4,0.0849,-0.0003,-0.0271,0.0191,-0.0271,STABLE
Mike Hoffman,SJS,L,133,7.6,0.1798,,,0.1798,,,5.7,-0.2781,,,-0.2781,,,4.9,-0.2734,,,-0.2734,,,5.6,-0.2083,,,-0.2083,,
Joe Pavelski,DAL,C,164,8.0,0.2273,,,0.2273,,,5.1,-0.0815,,,-0.0815,,,6.5,0.0405,,,0.0405,,,7.8,0.062,,,0.062,,
Rodrigo Abols,PHI,C,64,4.0,,,-0.0659,-0.0659,-0.0659,DECLINING,4.0,,,,,,,6.1,,,,,,,7.0,,,,,,
Ryan Lomberg,CGY,L,294,6.3,0.195,-0.398,-0.0598,-0.0876,-0.0598,DECLINING,7.2,-0.0802,-0.1669,0.2327,-0.0048,0.2327,RISING,7.8,0.2368,-0.5286,0.46,0.0561,0.46,RISING,7.7,0.0672,-0.0633,-0.1068,-0.0343,-0.1068,DECLINING
Marcus Johansson,MIN,L,305,7.4,0.2889,-0.195,0.0828,0.0589,0.0828,RISING,8.6,-0.112,0.0692,-0.1758,-0.0729,-0.1758,DECLINING,8.1,-0.1056,0.0364,0.0512,-0.006,0.0512,RISING,8.2,-0.0302,-0.0264,0.1273,0.0236,0.1273,RISING
Kyle Palmieri,NYI,C,244,7.5,-0.0192,0.1533,-0.3584,-0.0748,-0.3584,DECLINING,7.2,0.3525,0.0251,-0.5185,-0.047,-0.5185,DECLINING,7.4,0.1673,0.0378,-0.1941,0.0037,-0.1941,DECLINING,6.9,0.2603,-0.0852,-0.0682,0.0356,-0.0682,DECLINING
Ryan O'Reilly,NSH,C,294,8.5,-0.097,-0.0286,0.1637,0.0127,0.1637,RISING,7.0,0.0824,-0.1227,-0.0493,-0.0299,-0.0493,STABLE,6.7,0.3251,-0.0855,-0.1168,0.0409,-0.1168,DECLINING,7.6,0.2516,-0.0509,-0.0347,0.0553,-0.0347,STABLE
Jakob Silfverberg,ANA,R,162,8.7,-0.0004,,,-0.0004,,,3.9,-0.0118,,,-0.0118,,,3.8,0.3586,,,0.3586,,,6.6,0.1906,,,0.1906,,
John Tavares,TOR,C,317,7.9,-0.1786,0.0543,0.0012,-0.041,0.0012,STABLE,7.4,0.065,-0.1436,-0.0165,-0.0317,-0.0165,STABLE,7.0,0.2366,-0.2506,0.0395,0.0085,0.0395,STABLE,7.4,0.2629,-0.0734,-0.0621,0.0425,-0.0621,DECLINING
Matt Duchene,DAL,C,290,6.9,0.0321,-0.0272,-0.0214,-0.0055,-0.0214,STABLE,7.7,-0.2043,-0.0977,-0.0098,-0.1039,-0.0098,STABLE,7.4,0.1604,-0.0598,-0.0988,0.0006,-0.0988,DECLINING,7.8,0.0996,0.0657,-0.1904,-0.0084,-0.1904,DECLINING
Evander Kane,VAN,L,189,7.4,-0.0332,,,-0.0332,,,9.2,0.2235,,,0.2235,,,9.1,-0.1528,,,-0.1528,,,7.7,-0.1029,,,-0.1029,,
