player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Gavin Bayreuther,CBJ,D,51,1,0.7744,0.6473,6.8,5.5,6.2,5.2,7.9,8.0,10.0,10.0,4.3,4.6,1.3,1.4,4.1,4.4,1.1,1.0,,,,,,
Victor Soderstrom,BOS,D,41,1,0.7562,0.5956,7.0,5.6,6.6,5.8,5.6,6.2,9.8,9.9,4.6,5.9,1.0,0.9,4.7,5.1,1.1,1.3,,,,,,
Maxwell Crozier,TBL,D,53,1,0.775,0.7076,6.9,7.1,6.1,6.0,9.5,9.7,9.4,9.7,8.3,8.7,4.8,4.7,7.1,7.4,3.6,3.9,,,,,,
William Lagesson,DET,D,47,1,0.7775,0.6801,3.3,2.8,3.0,2.5,8.5,8.6,9.5,9.5,6.5,6.5,2.7,2.8,5.7,6.0,3.1,3.1,,,,,,
Nathan Beaulieu,ANA,D,52,1,0.7537,0.6181,6.4,4.4,6.1,4.8,5.4,6.0,8.9,9.2,2.8,3.8,0.0,0.0,4.8,5.2,0.4,0.5,,,,,,
Wyatt Kaiser,CHI,D,175,3,0.785,0.6257,7.9,7.5,7.0,6.6,6.8,6.4,9.8,9.2,6.6,6.4,2.4,2.6,7.0,7.1,1.9,1.6,,0.2776,-0.078,0.0998,-0.078,DECLINING
Ian Cole,UTA,D,319,4,0.7809,0.7085,8.5,8.1,8.2,8.0,9.1,9.1,9.1,9.1,8.4,8.3,4.8,4.8,8.2,8.3,4.9,4.8,-0.0418,-0.0201,0.0215,-0.0135,0.0215,STABLE
Caleb Jones,PIT,D,111,2,0.7661,0.6479,7.7,6.1,6.8,5.7,6.6,6.9,9.0,9.1,6.2,6.6,3.2,3.2,6.8,7.1,3.1,3.1,-0.3511,,,-0.3511,,
Jarred Tinordi,CHI,D,96,2,0.7794,0.6292,6.3,4.5,5.6,4.3,6.2,6.0,9.2,8.8,4.9,4.3,1.6,1.9,5.6,5.6,1.8,1.3,-0.1103,,,-0.1103,,
Marc-Edouard Vlasic,SJS,D,162,3,0.7756,0.6621,9.3,8.0,8.5,7.6,7.1,7.1,8.9,8.8,6.0,6.1,0.5,0.7,7.6,7.8,2.9,2.9,-0.0085,-0.1483,,-0.0784,-0.1483,DECLINING
Juuso Välimäki,UTA,D,189,3,0.7813,0.6834,8.7,7.4,8.4,7.7,7.8,7.7,8.8,8.7,8.0,7.9,4.9,4.9,8.1,8.2,4.9,4.7,-0.364,0.1688,,-0.0976,0.1688,RISING
Gustav Lindstrom,ANA,D,82,2,0.771,0.6306,6.1,5.2,5.3,4.6,5.7,5.8,8.8,8.6,6.0,6.3,1.5,1.6,6.0,6.3,2.5,2.5,0.2493,,,0.2493,,
MacKenzie Weegar,UTA,D,322,4,0.7849,0.7091,9.3,8.5,8.9,8.5,8.7,8.5,8.7,8.6,6.3,5.5,1.4,1.8,8.4,8.4,4.7,4.4,0.0006,-0.0002,-0.1066,-0.0354,-0.1066,DECLINING
Ryan Johnson,BUF,D,47,1,0.7711,0.7581,6.2,6.2,6.0,6.0,9.7,10.0,8.0,8.6,5.9,6.5,3.2,3.2,5.0,5.3,4.0,4.0,,,,,,
Kevin Korchinski,CHI,D,105,1,0.7887,0.6164,6.8,5.6,6.1,5.2,5.8,5.3,9.3,8.5,6.0,5.3,1.8,2.2,5.9,5.9,2.4,1.9,,,,,,
Mario Ferraro,SJS,D,310,4,0.7836,0.7211,7.0,6.3,6.3,5.7,8.9,8.8,8.5,8.5,7.4,6.8,1.8,2.1,7.8,7.9,2.9,2.7,-0.345,0.0995,0.1205,-0.0417,0.1205,RISING
Connor Murphy,EDM,D,273,4,0.788,0.6407,6.9,5.4,6.0,4.8,6.6,6.2,9.2,8.5,6.6,5.9,2.2,2.5,7.2,7.2,2.4,1.8,0.0234,-0.0578,-0.1871,-0.0739,-0.1871,DECLINING
TJ Brodie,CHI,D,190,3,0.7852,0.6897,7.8,6.1,7.2,6.1,7.7,7.4,8.5,8.2,6.8,6.1,2.6,2.9,8.1,7.9,3.9,3.3,-0.1144,-0.2285,,-0.1714,-0.2285,DECLINING
Connor Mackey,NYR,D,36,1,0.7638,0.5894,7.4,5.6,7.0,5.9,3.7,3.9,8.5,8.2,3.6,4.7,0.0,0.0,4.6,4.9,0.0,0.0,,,,,,
Tyler Myers,DAL,D,299,4,0.7845,0.7122,8.9,7.9,8.4,7.8,8.2,8.0,8.2,8.1,7.6,7.3,4.2,4.3,8.5,8.6,4.4,4.2,0.0717,-0.0331,-0.1862,-0.0492,-0.1862,DECLINING
Erik Brannstrom,VAN,D,178,3,0.7725,0.7141,8.8,7.9,8.1,7.6,7.7,7.8,7.8,8.0,7.2,7.5,4.0,3.9,7.8,7.9,4.9,4.8,-0.1435,-0.0511,,-0.0973,-0.0511,DECLINING
Nikita Zaitsev,CHI,D,84,2,0.7704,0.6519,7.3,6.2,6.6,5.7,5.6,5.7,8.0,7.9,6.2,6.7,2.5,2.5,6.9,7.1,2.6,2.6,-0.2848,,,-0.2848,,
Scott Mayfield,NYI,D,269,4,0.7755,0.7171,8.0,7.5,7.5,7.3,7.8,7.8,7.7,7.9,9.0,9.1,6.5,6.4,8.6,8.7,4.6,4.5,-0.1984,0.1716,-0.2823,-0.103,-0.2823,DECLINING
