player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Ben Kindel,PIT,C,77,1,0.7051,0.5748,4.8,4.7,4.5,4.5,7.4,7.4,10.0,10.0,8.2,7.7,3.4,3.3,7.3,7.6,3.1,3.9,,,,,,
Jayson Megna,BOS,C,56,1,0.6893,0.5656,8.0,5.5,7.6,6.3,6.3,6.8,9.5,9.9,4.3,4.6,0.6,0.4,4.7,4.7,1.2,1.7,,,,,,
Michael Pezzetta,TOR,L,158,3,0.6838,0.6291,5.8,4.2,5.4,4.4,8.1,8.9,8.9,9.8,6.3,6.5,3.0,2.8,5.9,6.0,1.0,1.5,-0.1706,,,-0.1706,,
Boris Katchouk,TBL,L,120,2,0.6992,0.5728,7.7,5.8,7.3,6.4,6.8,7.0,9.6,9.7,7.2,7.2,4.6,4.4,7.0,7.1,3.4,3.8,0.2784,,,0.2784,,
Nicolas Deslauriers,CAR,L,202,4,0.6883,0.63,7.0,6.4,6.8,6.9,7.9,8.6,8.7,9.5,9.2,9.1,5.1,4.9,8.1,8.3,4.9,5.4,0.0495,,,0.0495,,
Filip Zadina,SJS,R,102,2,0.7075,0.5916,6.5,3.7,6.4,4.8,7.2,7.1,9.4,9.3,5.1,5.0,3.3,3.3,6.0,5.9,3.3,3.4,0.0802,,,0.0802,,
Laurent Dauphin,UTA,C,21,1,0.6819,0.5434,4.1,2.1,4.2,3.0,4.8,5.3,8.9,9.3,0.4,0.9,1.7,1.7,0.8,0.6,0.2,0.6,,,,,,
Maxime Comtois,CAR,L,65,1,0.6885,0.5744,6.4,3.0,6.3,4.3,5.9,6.3,8.8,9.2,3.0,3.9,0.7,0.4,4.0,3.9,1.8,2.2,,,,,,
Oskar Lindblom,SJS,L,74,1,0.689,0.5479,6.5,3.6,6.4,4.8,5.1,5.4,9.0,9.2,4.1,4.5,2.5,2.3,5.0,5.0,2.9,3.3,,,,,,
Bo Groulx,TOR,C,60,1,0.713,0.6147,4.6,2.7,4.7,3.5,7.9,7.7,9.2,9.1,8.1,7.4,3.8,3.9,6.5,6.3,3.8,3.8,,,,,,
Nick Ritchie,CGY,L,74,1,0.6898,0.5684,8.2,5.8,8.3,7.5,5.7,6.0,8.8,9.1,3.8,4.6,3.6,3.3,6.6,6.8,4.4,4.9,,,,,,
Wade Allison,PHI,R,60,1,0.6874,0.6882,8.7,5.9,8.8,7.9,9.1,9.9,7.8,9.0,6.7,7.2,4.3,4.1,6.0,6.2,4.6,5.1,,,,,,
Joe Veleno,MTL,C,296,4,0.7006,0.6191,7.0,5.8,6.7,6.3,7.4,7.5,8.6,8.9,6.8,6.9,3.7,3.5,7.3,7.4,3.6,4.1,0.1883,-0.1815,0.1776,0.0615,0.1776,RISING
Ross Johnston,ANA,L,189,3,0.6999,0.621,6.4,6.2,5.9,6.0,7.4,7.6,8.6,8.9,8.6,8.0,4.0,4.0,8.4,8.6,4.0,4.5,,-0.2543,0.3719,0.0588,0.3719,RISING
Brett Ritchie,UTA,R,50,1,0.6982,0.5217,8.9,6.7,8.9,8.3,4.2,4.1,9.1,8.8,3.9,4.1,1.9,1.8,6.4,6.4,3.6,3.8,,,,,,
Noah Laba,NYR,C,74,1,0.6984,0.621,5.5,5.8,5.0,5.1,7.1,7.4,8.3,8.7,7.3,7.3,4.5,4.3,4.9,5.2,2.5,3.5,,,,,,
Morgan Barron,WPG,C,289,4,0.7061,0.6407,7.4,6.0,7.1,6.6,8.0,8.0,8.4,8.6,8.4,8.1,5.5,5.4,8.4,8.4,4.8,5.1,-0.0339,-0.1233,-0.1392,-0.0988,-0.1392,DECLINING
Alex Chiasson,DET,R,20,1,0.6881,0.4939,,,,,2.6,2.7,8.7,8.5,2.4,2.8,2.1,2.0,3.8,3.6,1.6,1.8,,,,,,
