player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Mattias Ekholm,EDM,D,303,4,0.7531,0.9458,9.9,7.8,9.7,8.6,9.0,8.5,2.4,2.6,9.4,8.4,10.0,10.0,9.2,9.1,8.4,8.0,-0.0233,-0.1679,-0.0226,-0.0713,-0.0226,STABLE
Brent Burns,COL,D,327,4,0.744,0.9302,8.6,7.4,8.2,7.6,8.2,8.0,4.0,4.2,9.1,8.7,9.6,9.5,9.7,9.7,10.0,10.0,-0.0977,-0.1088,-0.1856,-0.1307,-0.1856,DECLINING
Mikey Anderson,LAK,D,307,4,0.7473,0.9082,7.4,6.3,7.1,6.4,8.3,8.0,3.6,3.8,9.0,8.4,9.1,9.0,8.9,8.9,7.9,7.8,0.0779,-0.4787,0.2447,-0.052,0.2447,RISING
Evan Bouchard,EDM,D,326,4,0.7558,0.8919,9.2,7.3,9.2,8.3,9.6,9.1,3.9,4.0,10.0,8.8,8.9,9.0,9.3,9.1,8.0,7.4,-0.0299,-0.1444,-0.0986,-0.091,-0.0986,DECLINING
Shea Theodore,VGK,D,240,4,0.7442,0.9086,9.2,8.0,9.3,8.8,9.1,8.9,3.0,3.3,9.1,8.7,9.1,9.0,9.1,9.0,8.1,7.8,-0.0127,-0.026,0.1935,0.0516,0.1935,RISING
Jaccob Slavin,CAR,D,276,4,0.744,0.8929,8.2,6.9,8.1,7.3,8.4,8.3,5.1,5.3,9.9,9.5,8.9,8.8,10.0,10.0,9.8,9.7,0.0072,-0.1433,-0.0235,-0.0532,-0.0235,STABLE
Drew Doughty,LAK,D,264,4,0.7531,0.8599,8.1,6.5,7.4,6.3,8.8,8.5,5.2,5.3,9.7,8.7,8.1,8.2,9.3,9.2,7.6,7.3,0.1081,-0.6148,0.3969,-0.0366,0.3969,RISING
Jalen Chatfield,CAR,D,301,4,0.7426,0.8772,8.2,7.7,7.7,7.4,7.9,7.8,4.1,4.4,8.4,8.1,8.2,8.1,9.1,9.2,8.1,8.1,0.134,-0.0986,-0.0408,-0.0018,-0.0408,STABLE
Brayden McNabb,VGK,D,310,4,0.7452,0.865,9.4,8.2,9.2,8.7,9.2,9.1,4.3,4.6,9.4,8.9,8.2,8.1,9.2,9.1,7.3,7.1,-0.1142,0.2303,-0.0741,0.014,-0.0741,DECLINING
Alexander Edler,LAK,D,64,1,0.7255,0.8774,7.7,5.7,7.2,5.8,7.6,8.2,1.3,2.4,9.2,10.0,8.4,8.0,7.6,7.9,7.3,7.6,,,,,,
Alec Regula,EDM,D,33,1,0.7368,0.8706,5.2,6.6,4.8,5.7,4.7,4.7,0.5,0.7,7.0,7.0,7.7,7.6,5.9,6.2,5.7,5.8,,,,,,
Vince Dunn,SEA,D,282,4,0.7412,0.8501,8.0,6.8,7.7,7.0,8.6,8.4,4.2,4.4,8.6,8.3,7.6,7.6,8.4,8.4,6.8,6.6,-0.0874,0.1938,-0.2214,-0.0383,-0.2214,DECLINING
Dylan DeMelo,WPG,D,320,4,0.7455,0.8478,9.0,8.0,9.0,8.6,8.2,7.9,4.7,4.7,8.2,7.8,7.5,7.5,8.5,8.5,7.0,6.7,0.0476,0.1478,-0.292,-0.0322,-0.292,DECLINING
Cody Ceci,LAK,D,326,4,0.7503,0.8383,7.1,5.8,6.5,5.7,8.6,8.2,3.7,3.8,8.5,7.7,7.4,7.4,8.4,8.4,6.7,6.3,0.1312,-0.2701,0.0661,-0.0243,0.0661,RISING
Sebastian Aho,NYI,D,129,2,0.735,0.8394,9.1,7.7,8.7,7.9,5.9,5.9,4.2,4.3,8.7,8.9,7.4,7.3,8.3,8.3,5.9,5.7,-0.0471,,,-0.0471,,
Adam Larsson,SEA,D,326,4,0.7417,0.8326,8.2,7.0,7.7,7.0,8.7,8.4,4.7,4.9,8.7,8.4,7.3,7.2,8.6,8.6,6.1,5.9,-0.2183,0.3241,-0.3645,-0.0862,-0.3645,DECLINING
Joel Nystrom,CAR,D,38,1,0.737,0.8528,6.8,7.7,6.5,7.1,5.3,5.3,1.7,1.9,6.3,6.3,7.2,7.1,6.2,6.5,4.8,5.0,,,,,,
Alex Pietrangelo,VGK,D,209,3,0.7485,0.8164,8.7,7.1,8.4,7.4,9.9,9.6,5.1,5.4,9.1,8.4,7.0,7.1,8.6,8.4,5.7,5.1,0.1649,-0.1806,,-0.0079,-0.1806,DECLINING
Denton Mateychuk,CBJ,D,120,2,0.7471,0.8205,7.7,8.4,7.4,7.9,7.9,7.8,2.2,2.6,8.3,7.7,6.9,7.0,7.6,7.7,6.0,5.9,,,0.5093,0.5093,0.5093,RISING
Darnell Nurse,EDM,D,320,4,0.7508,0.8096,7.9,6.9,7.3,6.6,9.3,9.1,5.7,5.8,9.5,8.7,6.9,7.0,8.9,8.8,6.1,5.8,0.1559,-0.2553,0.217,0.0392,0.217,RISING
Sean Durzi,UTA,D,238,4,0.744,0.8112,8.2,7.2,8.0,7.5,8.2,8.1,4.8,5.1,9.0,8.6,6.9,6.9,8.2,8.3,6.5,6.3,-0.0141,0.1242,-0.1464,-0.0121,-0.1464,DECLINING
Alexander Romanov,NYI,D,236,3,0.7433,0.8114,6.8,5.7,6.6,6.0,8.5,8.3,4.8,5.0,9.2,8.9,6.9,6.9,7.9,7.8,5.1,4.6,-0.1686,0.341,,0.0862,0.341,RISING
Kaedan Korczak,VGK,D,154,3,0.7363,0.8305,7.5,8.0,7.4,7.9,7.2,7.1,3.0,3.3,7.8,7.9,7.0,6.9,7.4,7.7,5.5,5.5,,0.3462,-0.0909,0.1276,-0.0909,DECLINING
Alec Martinez,CHI,D,176,3,0.7507,0.8162,7.5,5.7,7.2,6.1,8.5,8.4,3.4,3.8,8.3,7.5,6.8,6.9,7.9,7.8,5.3,4.8,-0.1087,-0.2677,,-0.1882,-0.2677,DECLINING
Noah Dobson,MTL,D,308,4,0.7457,0.8154,7.9,6.9,7.4,6.7,9.3,9.2,6.4,6.6,8.2,7.7,6.8,6.8,7.8,7.7,5.0,4.4,-0.0118,-0.0732,-0.1987,-0.0946,-0.1987,DECLINING
Alexander Nikishin,CAR,D,81,1,0.7395,0.8167,7.1,8.0,6.7,7.4,9.3,9.5,7.0,7.5,8.4,8.3,6.9,6.8,7.0,7.4,6.1,6.5,,,,,,
Dante Fabbro,CBJ,D,277,4,0.743,0.8087,7.6,6.9,7.1,6.6,8.2,8.1,4.5,4.8,8.4,8.1,6.7,6.7,8.5,8.6,6.5,6.4,-0.2276,0.0081,-0.0469,-0.0888,-0.0469,STABLE
Sean Walker,CAR,D,314,4,0.7418,0.8039,7.4,7.3,7.1,7.0,9.5,9.6,6.1,6.5,8.9,8.7,6.7,6.7,9.1,9.2,6.5,6.5,-0.1629,0.0249,0.2435,0.0351,0.2435,RISING
Matthew Schaefer,NYI,D,82,1,0.7537,0.799,7.1,7.4,7.0,7.3,6.7,6.3,4.6,4.4,8.7,7.6,6.5,6.7,6.9,7.0,4.8,4.6,,,,,,
Ryan Pulock,NYI,D,290,4,0.7447,0.8141,8.4,7.3,8.0,7.4,7.9,7.7,5.7,5.7,7.8,7.3,6.7,6.7,7.7,7.7,4.8,4.3,-0.1334,0.1735,-0.2242,-0.0614,-0.2242,DECLINING
Nicolas Hague,NSH,D,285,4,0.7412,0.8127,7.7,6.8,7.1,6.6,8.4,8.3,4.8,5.0,7.8,7.6,6.6,6.6,7.1,7.2,5.3,5.1,0.2295,-0.0738,-0.1183,0.0125,-0.1183,DECLINING
Josh Morrissey,WPG,D,315,4,0.7448,0.797,9.4,8.1,9.3,8.7,8.6,8.3,6.0,5.9,9.0,8.5,6.5,6.6,8.9,8.9,6.6,6.3,-0.0625,0.2624,-0.4219,-0.074,-0.4219,DECLINING
Matt Roy,WSH,D,311,4,0.747,0.8023,7.8,7.0,7.2,6.7,10.0,10.0,5.5,6.0,7.7,7.1,6.4,6.5,7.9,7.9,5.9,5.7,-0.2504,-0.0621,0.0968,-0.0719,0.0968,RISING
Victor Hedman,TBL,D,266,4,0.7394,0.8059,8.1,6.9,7.8,7.1,8.4,8.3,7.2,7.2,8.2,8.1,6.6,6.5,8.3,8.3,6.8,6.5,-0.2382,-0.1201,-0.0595,-0.1392,-0.0595,DECLINING
Shayne Gostisbehere,CAR,D,281,4,0.7388,0.8078,7.7,7.0,7.2,6.8,8.2,8.3,4.8,5.2,7.8,7.7,6.5,6.5,8.6,8.7,6.7,6.7,-0.269,0.1854,-0.0411,-0.0416,-0.0411,STABLE
Brett Kulak,COL,D,328,4,0.7465,0.8002,7.3,7.0,6.8,6.6,9.8,9.9,6.4,6.8,8.2,7.6,6.4,6.5,8.3,8.3,5.5,5.3,-0.2155,0.0315,0.203,0.0063,0.203,RISING
J.J. Moser,TBL,D,295,4,0.7452,0.7966,8.7,7.3,8.3,7.5,7.2,6.8,6.5,6.2,8.7,8.2,6.5,6.5,9.3,9.3,6.1,5.9,0.0927,-0.2043,0.307,0.0652,0.307,RISING
Declan Carlile,TBL,D,46,1,0.7359,0.8064,6.4,7.6,5.9,6.6,7.0,6.9,3.6,3.8,7.8,7.9,6.5,6.4,6.5,7.0,4.2,4.8,,,,,,
Filip Hronek,VAN,D,287,4,0.7479,0.7961,8.7,8.0,8.4,8.1,7.8,7.4,4.7,4.7,8.0,7.3,6.3,6.4,7.9,7.9,5.0,4.6,-0.0069,0.0705,-0.0792,-0.0052,-0.0792,DECLINING
Scott Mayfield,NYI,D,269,4,0.7371,0.795,8.0,7.5,7.5,7.3,7.8,7.8,7.7,7.9,9.0,9.1,6.5,6.4,8.6,8.7,4.6,4.5,-0.0955,0.2567,-0.2362,-0.025,-0.2362,DECLINING
Adam Pelech,NYI,D,261,4,0.7451,0.8045,9.6,8.6,9.2,8.8,8.8,8.7,5.8,6.0,7.5,7.0,6.4,6.4,8.2,8.1,5.0,4.6,-0.1007,0.108,-0.0797,-0.0241,-0.0797,DECLINING
Tony DeAngelo,NYI,D,212,4,0.7414,0.7989,9.2,8.7,9.0,8.9,8.7,8.7,5.1,5.4,8.1,7.9,6.4,6.4,7.5,7.6,5.8,5.6,-0.3149,0.4709,-0.1913,-0.0118,-0.1913,DECLINING
Brock Faber,MIN,D,242,3,0.7513,0.7949,8.2,7.3,8.1,7.7,9.6,9.3,3.5,3.8,8.1,7.2,6.3,6.4,8.7,8.7,7.2,6.9,,0.0795,0.2822,0.1809,0.2822,RISING
Darren Raddysh,TBL,D,245,3,0.7429,0.7914,7.9,7.2,7.6,7.1,7.6,7.4,6.1,6.0,9.1,8.8,6.4,6.4,9.1,9.1,6.9,6.7,,-0.1123,0.3592,0.1234,0.3592,RISING
Zach Werenski,CBJ,D,239,3,0.7516,0.7798,7.2,6.3,6.9,6.3,9.2,8.9,5.8,5.9,9.3,8.5,6.2,6.4,8.6,8.5,5.8,5.3,,0.041,0.1945,0.1178,0.1945,RISING
Vincent Desharnais,SJS,D,218,4,0.7377,0.8048,7.8,7.7,7.3,7.2,8.3,8.4,2.7,3.4,7.3,7.3,6.3,6.3,7.0,7.3,5.0,5.1,-0.0102,-0.2983,0.3509,0.0142,0.3509,RISING
Tobias Bjornfot,FLA,D,47,0,0.7361,0.8143,5.7,6.9,5.3,6.1,6.7,6.9,4.9,5.2,6.6,6.7,6.4,6.3,7.1,7.4,5.6,5.9,,,,,,
Mike Reilly,CAR,D,131,2,0.7434,0.7868,9.5,9.3,9.0,9.0,6.8,6.6,6.3,6.1,9.0,8.7,6.3,6.3,8.9,9.0,5.3,5.2,,,,,,
Nate Schmidt,UTA,D,295,4,0.7442,0.7903,8.8,8.2,8.4,8.2,7.9,7.7,6.1,6.1,8.3,7.8,6.2,6.3,8.1,8.1,5.9,5.6,0.0049,0.1959,-0.0136,0.0624,-0.0136,STABLE
Brett Pesce,NJD,D,261,4,0.7498,0.7831,8.5,7.1,8.2,7.4,7.9,7.5,4.6,4.6,8.7,7.9,6.2,6.3,9.6,9.5,7.3,7.0,-0.2305,-0.1597,0.2189,-0.0571,0.2189,RISING
Ryker Evans,SEA,D,175,3,0.7442,0.7882,6.6,6.8,6.3,6.5,8.1,7.9,5.2,5.3,8.2,7.7,6.2,6.2,6.9,7.0,5.1,5.0,,0.5468,-0.1164,0.2152,-0.1164,DECLINING
Jacob Moverare,LAK,D,90,2,0.7361,0.8001,2.6,3.2,2.4,2.7,7.3,7.4,4.2,4.7,7.6,7.7,6.3,6.2,7.9,8.2,5.9,6.0,,0.3219,,0.3219,0.3219,RISING
Patrik Nemeth,UTA,D,75,1,0.7316,0.8155,7.9,6.0,7.7,6.6,5.1,5.2,5.4,5.4,6.6,7.0,6.4,6.2,6.5,6.7,6.2,6.1,,,,,,
Alexandre Carrier,MTL,D,268,4,0.7452,0.7846,7.6,6.7,7.0,6.3,8.4,8.3,4.6,4.8,7.9,7.4,6.0,6.1,8.5,8.6,6.0,5.8,-0.2983,-0.0619,0.1519,-0.0694,0.1519,RISING
Dmitry Orlov,SJS,D,305,4,0.7426,0.7715,7.6,6.9,7.2,6.9,8.8,8.7,6.0,6.2,9.4,9.1,6.1,6.1,9.1,9.2,6.6,6.5,-0.0184,-0.1613,-0.0528,-0.0775,-0.0528,DECLINING
Neal Pionk,WPG,D,284,4,0.7424,0.7879,8.8,7.8,8.3,7.7,7.4,7.2,5.1,5.1,7.9,7.6,6.1,6.1,8.5,8.5,6.0,5.7,-0.1959,0.3638,-0.1717,-0.0012,-0.1717,DECLINING
