player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Jordan Staal,CAR,C,311,4,0.72,0.8837,8.2,5.1,8.4,7.1,8.7,8.4,3.5,4.0,9.1,8.2,10.0,10.0,9.8,9.8,9.7,9.7,0.1814,-0.3315,0.2877,0.0459,0.2877,RISING
Jordan Martinook,CAR,L,320,4,0.7183,0.8781,8.0,5.0,8.2,7.0,8.7,8.5,3.6,4.1,9.2,8.4,9.9,9.9,10.0,10.0,9.6,9.6,0.1033,-0.1859,0.1001,0.0058,0.1001,RISING
Zach Hyman,EDM,L,289,4,0.7235,0.8721,8.9,5.7,9.1,8.0,8.9,8.6,2.2,2.8,9.1,8.0,9.8,9.8,8.5,8.3,7.5,7.2,0.1376,-0.1566,-0.3994,-0.1395,-0.3994,DECLINING
Jesper Fast,CAR,R,153,2,0.7173,0.8755,9.7,6.4,9.7,8.5,7.6,7.4,2.4,2.9,9.4,8.7,9.9,9.8,9.9,10.0,10.0,10.0,-0.021,,,-0.021,,
Connor McDavid,EDM,C,306,4,0.7248,0.8608,9.1,5.7,9.2,7.9,9.7,9.3,3.9,4.4,9.4,8.2,9.6,9.6,8.8,8.5,7.2,6.9,0.1578,-0.2455,-0.0773,-0.055,-0.0773,DECLINING
Leon Draisaitl,EDM,C,297,4,0.7254,0.8393,8.6,5.3,8.7,7.3,9.0,8.6,3.2,3.6,10.0,8.7,9.2,9.3,9.2,8.9,7.0,6.7,0.0529,0.0229,-0.1102,-0.0115,-0.1102,DECLINING
Ryan Nugent-Hopkins,EDM,C,311,4,0.7235,0.8552,8.1,5.0,8.3,7.0,7.7,7.2,1.7,2.0,8.0,7.0,9.1,9.2,8.5,8.2,6.9,6.7,0.2261,-0.3678,0.0167,-0.0417,0.0167,STABLE
Cal Clutterbuck,NYI,R,131,2,0.7122,0.8643,7.6,5.2,7.6,6.6,7.0,7.4,4.7,5.5,7.9,7.6,9.3,9.2,8.5,8.5,7.3,7.4,0.0108,,,0.0108,,
Andrei Svechnikov,CAR,R,274,4,0.7181,0.8425,7.8,5.4,7.8,6.9,8.2,7.9,4.7,5.0,8.1,7.4,8.9,8.9,8.2,8.2,7.6,7.7,-0.1743,-0.0062,-0.1184,-0.0996,-0.1184,DECLINING
Seth Jarvis,CAR,C,307,4,0.7194,0.8342,8.0,4.9,8.1,6.7,8.1,7.7,4.6,4.8,9.0,8.1,8.9,8.9,8.9,8.8,7.9,7.9,0.0091,-0.0223,-0.195,-0.0694,-0.195,DECLINING
Marc Gatcomb,NYI,C,88,2,0.6879,0.8544,7.8,10.0,7.6,10.0,7.2,8.3,2.7,4.4,8.9,10.0,9.3,8.8,7.8,8.3,6.3,7.4,,,0.0421,0.0421,0.0421,STABLE
Sebastian Aho,CAR,C,311,4,0.7201,0.8312,7.8,4.7,7.9,6.4,7.4,6.8,3.8,3.9,8.5,7.7,8.7,8.7,8.4,8.3,7.4,7.4,-0.0039,-0.0175,-0.1111,-0.0442,-0.1111,DECLINING
Joel Eriksson Ek,MIN,C,271,4,0.723,0.8262,8.6,4.9,8.6,7.0,8.7,8.2,1.4,1.9,8.7,7.6,8.6,8.7,9.0,8.9,7.5,7.4,-0.0308,0.0414,0.1822,0.0643,0.1822,RISING
