player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Marc Gatcomb,NYI,C,88,2,0.684,0.7307,7.8,10.0,7.6,10.0,7.2,8.3,2.7,4.4,8.9,10.0,9.3,8.8,7.8,8.3,6.3,7.4,,,-0.3501,-0.3501,-0.3501,DECLINING
Rourke Chartier,OTT,C,43,1,0.7227,0.7097,9.1,7.9,8.7,8.8,3.9,3.7,4.8,4.8,5.5,5.5,3.9,3.8,6.9,7.0,4.6,4.9,,,,,,
Dalibor Dvorsky,STL,C,72,1,0.707,0.7275,7.9,8.1,7.7,8.7,4.8,5.0,3.2,3.8,4.2,4.3,3.4,3.3,4.6,5.0,2.7,3.6,,,,,,
Kyle MacLean,NYI,C,172,3,0.6983,0.7391,7.4,8.3,7.3,8.7,9.0,9.8,6.7,7.9,8.9,9.3,8.8,8.4,8.2,8.5,6.2,6.8,,0.1059,-0.1271,-0.0106,-0.1271,DECLINING
Clayton Keller,UTA,R,322,4,0.7373,0.8159,9.0,6.6,9.2,8.6,6.7,6.3,5.7,5.7,7.8,7.2,7.2,7.2,8.1,8.0,6.1,6.1,0.0612,0.0649,-0.1107,0.0051,-0.1107,DECLINING
Josh Leivo,STL,L,51,1,0.7385,0.7437,9.5,7.0,9.3,8.6,1.3,1.3,0.3,0.7,3.8,4.6,4.3,4.1,5.2,5.2,3.4,3.7,,,,,,
Jesper Fast,CAR,R,153,2,0.7474,0.7923,9.7,6.4,9.7,8.5,7.6,7.4,2.4,2.9,9.4,8.7,9.9,9.8,9.9,10.0,10.0,10.0,-0.0696,,,-0.0696,,
Owen Tippett,PHI,R,313,4,0.7316,0.762,8.9,7.0,8.8,8.5,8.7,8.6,6.3,6.6,7.0,6.2,5.1,5.2,7.9,7.8,5.5,5.6,0.1433,-0.1148,0.011,0.0132,0.011,STABLE
Berkly Catton,SEA,C,65,1,0.7107,0.7453,7.9,7.8,7.8,8.5,4.0,3.8,3.9,4.0,6.5,6.1,5.5,5.5,6.3,6.5,4.1,4.7,,,,,,
Cole Reinhardt,FLA,L,76,1,0.6904,0.711,6.9,8.6,6.7,8.5,3.6,3.6,3.2,3.5,7.2,7.7,5.8,5.5,6.3,6.7,4.6,5.5,,,,,,
