player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Brent Burns,COL,D,327,4,0.7903,0.9614,8.6,7.4,8.2,7.6,8.2,8.0,4.0,4.2,9.1,8.7,9.6,9.5,9.7,9.7,10.0,10.0,-0.05,-0.1156,-0.1135,-0.093,-0.1135,DECLINING
Jaccob Slavin,CAR,D,276,4,0.7923,0.9469,8.2,6.9,8.1,7.3,8.4,8.3,5.1,5.3,9.9,9.5,8.9,8.8,10.0,10.0,9.8,9.7,0.0121,-0.1279,-0.1616,-0.0925,-0.1616,DECLINING
Jalen Chatfield,CAR,D,301,4,0.788,0.889,8.2,7.7,7.7,7.4,7.9,7.8,4.1,4.4,8.4,8.1,8.2,8.1,9.1,9.2,8.1,8.1,0.0254,0.0029,-0.1218,-0.0312,-0.1218,DECLINING
Mattias Ekholm,EDM,D,303,4,0.8009,0.9032,9.9,7.8,9.7,8.6,9.0,8.5,2.4,2.6,9.4,8.4,10.0,10.0,9.2,9.1,8.4,8.0,-0.068,-0.1231,0.1144,-0.0256,0.1144,RISING
Mikey Anderson,LAK,D,307,4,0.7922,0.8864,7.4,6.3,7.1,6.4,8.3,8.0,3.6,3.8,9.0,8.4,9.1,9.0,8.9,8.9,7.9,7.8,-0.0464,-0.2225,0.2008,-0.0227,0.2008,RISING
Shea Theodore,VGK,D,240,4,0.7955,0.8901,9.2,8.0,9.3,8.8,9.1,8.9,3.0,3.3,9.1,8.7,9.1,9.0,9.1,9.0,8.1,7.8,-0.0481,0.0366,0.2095,0.066,0.2095,RISING
Alexander Edler,LAK,D,64,1,0.7798,0.8816,7.7,5.7,7.2,5.8,7.6,8.2,1.3,2.4,9.2,10.0,8.4,8.0,7.6,7.9,7.3,7.6,,,,,,
Evan Bouchard,EDM,D,326,4,0.8039,0.8817,9.2,7.3,9.2,8.3,9.6,9.1,3.9,4.0,10.0,8.8,8.9,9.0,9.3,9.1,8.0,7.4,0.0351,0.0112,-0.0398,0.0022,-0.0398,STABLE
Cam York,PHI,D,276,4,0.7924,0.8636,10.0,9.5,10.0,10.0,7.8,7.6,5.4,5.5,8.0,7.5,5.7,5.8,9.0,9.0,7.4,7.3,0.1461,-0.023,0.0332,0.0521,0.0332,STABLE
Drew Doughty,LAK,D,264,4,0.7948,0.8656,8.1,6.5,7.4,6.3,8.8,8.5,5.2,5.3,9.7,8.7,8.1,8.2,9.3,9.2,7.6,7.3,0.004,-0.475,0.4708,-0.0001,0.4708,RISING
Brayden McNabb,VGK,D,310,4,0.7955,0.8575,9.4,8.2,9.2,8.7,9.2,9.1,4.3,4.6,9.4,8.9,8.2,8.1,9.2,9.1,7.3,7.1,-0.1242,0.3158,-0.1454,0.0154,-0.1454,DECLINING
Josh Manson,COL,D,230,4,0.7882,0.8495,8.1,8.1,7.8,7.8,8.9,9.0,4.6,5.2,8.2,7.7,5.9,6.0,9.0,9.1,7.1,7.1,0.2744,-0.0912,0.0062,0.0631,0.0062,STABLE
Brady Skjei,NSH,D,324,4,0.7927,0.8624,9.0,7.6,8.6,7.7,8.5,8.3,6.5,6.5,7.9,7.4,6.0,6.1,8.8,8.8,7.3,7.1,-0.0251,-0.2281,-0.0938,-0.1157,-0.0938,DECLINING
Brett Pesce,NJD,D,261,4,0.797,0.8496,8.5,7.1,8.2,7.4,7.9,7.5,4.6,4.6,8.7,7.9,6.2,6.3,9.6,9.5,7.3,7.0,-0.0183,-0.2276,0.136,-0.0366,0.136,RISING
Brock Faber,MIN,D,242,3,0.7954,0.8602,8.2,7.3,8.1,7.7,9.6,9.3,3.5,3.8,8.1,7.2,6.3,6.4,8.7,8.7,7.2,6.9,,-0.11,0.3336,0.1118,0.3336,RISING
Artem Zub,OTT,D,259,4,0.7916,0.8475,8.3,7.2,8.0,7.4,8.4,8.3,6.5,6.6,7.9,7.8,5.1,5.1,8.9,8.9,7.0,6.9,0.0443,0.0397,-0.0311,0.0177,-0.0311,STABLE
Jake Middleton,MIN,D,301,4,0.7907,0.8529,8.6,7.6,8.4,8.0,9.4,9.4,4.9,5.3,7.4,7.0,5.6,5.7,8.3,8.4,6.9,6.8,-0.1804,-0.0667,0.1153,-0.0439,0.1153,RISING
Ryan McDonagh,TBL,D,275,4,0.793,0.8454,8.6,7.4,8.3,7.6,8.6,8.5,6.5,6.6,7.8,7.5,5.7,5.8,9.0,9.0,7.0,6.8,-0.1,0.1858,0.0606,0.0488,0.0606,RISING
Dylan DeMelo,WPG,D,320,4,0.7946,0.8536,9.0,8.0,9.0,8.6,8.2,7.9,4.7,4.7,8.2,7.8,7.5,7.5,8.5,8.5,7.0,6.7,0.0741,0.0863,-0.2099,-0.0165,-0.2099,DECLINING
Shayne Gostisbehere,CAR,D,281,4,0.7879,0.8387,7.7,7.0,7.2,6.8,8.2,8.3,4.8,5.2,7.8,7.7,6.5,6.5,8.6,8.7,6.7,6.7,-0.2052,0.2497,-0.1439,-0.0331,-0.1439,DECLINING
Darren Raddysh,TBL,D,245,3,0.7924,0.8379,7.9,7.2,7.6,7.1,7.6,7.4,6.1,6.0,9.1,8.8,6.4,6.4,9.1,9.1,6.9,6.7,,0.0414,0.2625,0.152,0.2625,RISING
Jonas Brodin,MIN,D,234,4,0.7969,0.8359,8.6,7.4,8.3,7.6,9.2,9.0,5.1,5.3,8.2,7.3,5.8,6.0,9.4,9.3,6.9,6.6,0.0734,0.0761,0.1265,0.092,0.1265,RISING
