player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Jesper Fast,CAR,R,153,2,0.7609,0.9428,9.7,6.4,9.7,8.5,7.6,7.4,2.4,2.9,9.4,8.7,9.9,9.8,9.9,10.0,10.0,10.0,-0.07,,,-0.07,,
Jordan Staal,CAR,C,311,4,0.763,0.9328,8.2,5.1,8.4,7.1,8.7,8.4,3.5,4.0,9.1,8.2,10.0,10.0,9.8,9.8,9.7,9.7,0.1037,-0.1618,0.1349,0.0256,0.1349,RISING
Jordan Martinook,CAR,L,320,4,0.7619,0.9248,8.0,5.0,8.2,7.0,8.7,8.5,3.6,4.1,9.2,8.4,9.9,9.9,10.0,10.0,9.6,9.6,-0.0048,-0.073,0.0126,-0.0217,0.0126,STABLE
Paul Stastny,CAR,C,73,1,0.7443,0.8639,7.8,5.5,7.9,7.1,3.3,3.8,4.4,5.1,7.7,8.1,7.8,7.5,8.0,8.3,7.6,8.2,,,,,,
William Carrier,CAR,L,208,4,0.7558,0.8534,6.3,4.7,6.4,5.8,8.8,9.3,3.5,4.8,8.2,8.2,8.8,8.6,8.8,8.9,7.6,7.9,-0.0698,0.1728,-0.0001,0.0343,-0.0001,STABLE
Seth Jarvis,CAR,C,307,4,0.7635,0.8652,8.0,4.9,8.1,6.7,8.1,7.7,4.6,4.8,9.0,8.1,8.9,8.9,8.9,8.8,7.9,7.9,-0.0519,0.0063,-0.2235,-0.0897,-0.2235,DECLINING
Derek Stepan,CAR,C,73,1,0.7459,0.8407,7.8,6.6,7.8,7.8,3.0,3.7,5.4,6.1,7.8,8.0,7.2,7.0,8.8,9.1,7.4,7.9,,,,,,
Jesperi Kotkaniemi,CAR,C,281,4,0.7551,0.8473,6.9,5.8,7.0,6.8,9.1,9.5,6.0,6.9,8.4,8.1,8.2,8.1,8.8,8.9,7.5,7.8,0.0429,0.0599,-0.2847,-0.0606,-0.2847,DECLINING
Andrei Svechnikov,CAR,R,274,4,0.7593,0.862,7.8,5.4,7.8,6.9,8.2,7.9,4.7,5.0,8.1,7.4,8.9,8.9,8.2,8.2,7.6,7.7,-0.0874,-0.003,-0.1555,-0.082,-0.1555,DECLINING
Jackson Blake,CAR,R,162,2,0.7521,0.8486,5.7,5.5,5.7,6.0,5.9,5.9,2.6,3.2,8.1,7.8,8.7,8.5,8.0,8.1,7.3,7.6,,,0.166,0.166,0.166,RISING
Marc Gatcomb,NYI,C,88,2,0.7322,0.8101,7.8,10.0,7.6,10.0,7.2,8.3,2.7,4.4,8.9,10.0,9.3,8.8,7.8,8.3,6.3,7.4,,,0.1299,0.1299,0.1299,RISING
Martin Necas,COL,C,316,4,0.7568,0.8362,7.6,5.4,7.7,7.0,7.9,7.9,3.8,4.4,8.3,7.9,7.4,7.3,8.5,8.5,7.2,7.4,0.0373,0.2883,-0.1744,0.0504,-0.1744,DECLINING
Cal Clutterbuck,NYI,R,131,2,0.7583,0.8433,7.6,5.2,7.6,6.6,7.0,7.4,4.7,5.5,7.9,7.6,9.3,9.2,8.5,8.5,7.3,7.4,-0.0836,,,-0.0836,,
Sebastian Aho,CAR,C,311,4,0.7637,0.8496,7.8,4.7,7.9,6.4,7.4,6.8,3.8,3.9,8.5,7.7,8.7,8.7,8.4,8.3,7.4,7.4,-0.062,0.0246,-0.1731,-0.0702,-0.1731,DECLINING
Joel Eriksson Ek,MIN,C,271,4,0.7671,0.844,8.6,4.9,8.6,7.0,8.7,8.2,1.4,1.9,8.7,7.6,8.6,8.7,9.0,8.9,7.5,7.4,0.0403,0.0399,0.1569,0.079,0.1569,RISING
Anton Lundell,FLA,C,294,4,0.7639,0.8382,7.8,5.4,7.9,7.1,7.4,6.9,3.6,3.7,8.1,7.1,7.5,7.5,8.8,8.7,7.3,7.3,0.04,0.0353,-0.0164,0.0196,-0.0164,STABLE
Matt Martin,NYI,L,170,3,0.7544,0.8258,8.1,6.6,7.9,7.6,6.9,7.4,4.5,5.5,9.0,8.9,8.7,8.5,8.5,8.6,7.0,7.2,-0.2206,-0.068,,-0.1443,-0.068,DECLINING
Zach Hyman,EDM,L,289,4,0.7706,0.8509,8.9,5.7,9.1,8.0,8.9,8.6,2.2,2.8,9.1,8.0,9.8,9.8,8.5,8.3,7.5,7.2,0.1633,0.0263,-0.2391,-0.0165,-0.2391,DECLINING
Jack Drury,COL,C,265,4,0.7494,0.8177,7.6,7.3,7.5,8.1,7.2,7.5,5.4,6.1,7.4,7.5,7.0,6.8,8.5,8.7,6.8,7.2,-0.0448,0.1599,-0.0031,0.0373,-0.0031,STABLE
Eetu Luostarinen,FLA,C,317,4,0.7625,0.8232,8.1,5.7,8.2,7.4,8.0,7.6,5.1,5.2,8.1,7.2,7.3,7.4,9.1,9.0,7.1,7.1,0.0308,0.1792,-0.072,0.046,-0.072,DECLINING
Matt Boldy,MIN,L,314,4,0.7629,0.8271,8.0,4.9,8.1,6.8,9.3,9.2,2.5,3.3,8.7,7.9,8.1,8.1,8.9,8.8,7.1,7.1,0.0825,-0.0224,0.2216,0.0939,0.2216,RISING
