scenario,variant,pearson_r,r_squared,n_teams
pooled,raw,0.4897,0.2398,32
pooled,C,0.4924,0.2424,32
pooled,L,0.5892,0.3471,32
pooled,CL,0.5769,0.3328,32
20222023,raw,0.3612,0.1305,32
20232024,raw,0.4587,0.2104,32
20242025,raw,0.461,0.2125,32
20252026,raw,0.6467,0.4183,32
20222023,C,0.3311,0.1097,32
20222023,L,0.4694,0.2203,32
20222023,CL,0.4261,0.1815,32
20232024,C,0.4541,0.2062,32
20232024,L,0.511,0.2611,32
20232024,CL,0.4922,0.2423,32
20242025,C,0.4625,0.2139,32
20242025,L,0.4177,0.1744,32
20242025,CL,0.4166,0.1735,32
20252026,C,0.6364,0.4049,32
20252026,L,0.6492,0.4215,32
20252026,CL,0.6345,0.4026,32
