player_id,games_played,toi_5v5_sec,cf_5v5,ca_5v5,cfpct_5v5
8470595,93,60692,1004,1073,0.48339
8470600,287,294512,4657,4718,0.49675
8470604,151,89915,1416,1485,0.48811
8470610,129,93803,1577,1656,0.48778
8470613,333,324747,5878,5402,0.5211
8470621,304,187193,2902,2915,0.49888
8470638,81,55254,1039,880,0.54143
8470794,197,161449,2654,2582,0.50688
8470966,135,118367,1995,1868,0.51644
8471214,280,222676,3676,3912,0.48445
8471215,257,215087,3624,3554,0.50488
8471218,132,98551,1556,1640,0.48686
8471274,82,71967,1160,1119,0.509
8471276,74,60051,951,918,0.50883
8471303,68,53491,953,848,0.52915
8471669,88,54168,962,822,0.53924
8471675,283,259574,4629,4558,0.50386
8471677,218,187375,2835,3169,0.47219
8471685,304,258018,4145,4037,0.5066
8471686,138,123817,2081,2086,0.4994
8471698,114,87650,1307,1495,0.46645
8471699,169,93218,1350,1494,0.47468
8471709,158,136085,2174,2294,0.48657
8471724,263,293227,4991,4993,0.4999
8471794,12,5171,68,77,0.46897
8471817,193,97286,1405,1499,0.48382
8471873,8,6918,112,95,0.54106
8471887,22,8896,145,148,0.49488
8473419,292,223998,3733,3769,0.4976
8473422,248,177577,2578,2707,0.4878
8473446,171,132911,2142,2214,0.49174
8473449,159,108555,1628,1684,0.49155
8473453,230,132984,2189,1950,0.52887
8473473,81,53265,825,826,0.4997
8473504,142,83673,1307,1276,0.506
8473507,213,206427,3338,3473,0.49009
8473512,298,236240,4042,3782,0.51662
8473533,320,246016,4227,3698,0.53338
8473544,62,36745,580,599,0.49194
8473548,86,57393,975,987,0.49694
8473563,47,35160,528,554,0.48799
8473604,104,75711,1058,1222,0.46404
8473986,279,217537,3473,3542,0.49508
8473994,336,231401,3808,4065,0.48368
8474009,107,69796,1159,1054,0.52372
8474013,301,283914,4591,4251,0.51923
8474027,51,40240,625,655,0.48828
8474031,142,124965,1961,2078,0.48552
8474034,216,136855,2072,2201,0.48491
8474037,253,168006,2775,2711,0.50583
8474040,76,45479,741,709,0.51103
8474053,88,66959,1033,1077,0.48957
8474062,1,665,9,6,0.6
8474089,10,3851,59,56,0.51304
8474090,168,129667,2073,2029,0.50536
8474102,244,177418,2678,2695,0.49842
8474141,240,205918,3295,3338,0.49676
8474145,92,60185,939,929,0.50268
8474149,263,192544,2999,3189,0.48465
8474150,289,236452,4102,3734,0.52348
8474151,271,273548,4447,4447,0.5
8474157,104,73777,1261,1209,0.51053
8474161,11,8031,119,150,0.44238
8474162,4,3170,57,60,0.48718
8474166,203,202251,3390,3518,0.49074
8474189,298,207169,3290,3241,0.50375
8474190,18,7918,119,125,0.4877
8474207,65,53115,867,827,0.51181
8474218,1,644,12,10,0.54545
8474563,258,296838,4719,4502,0.51177
8474564,301,244964,3929,4086,0.49021
8474565,247,263820,4728,4470,0.51402
8474567,230,196790,3112,3195,0.49342
8474568,259,216308,3455,3559,0.49259
8474573,64,46253,716,795,0.47386
8474574,282,284436,4342,4434,0.49476
8474578,289,331100,5602,5621,0.49915
8474586,263,217176,3418,3446,0.49796
8474590,255,263683,4528,4375,0.50859
8474600,252,284150,4859,4843,0.50082
8474602,157,133225,2098,2031,0.50811
8474610,27,11499,187,201,0.48196
8474612,191,164681,2822,2848,0.49771
8474613,84,44271,817,630,0.56462
8474618,85,61566,862,1013,0.45973
8474628,48,35140,617,540,0.53328
8474641,302,215603,3284,3499,0.48415
8474673,202,208831,3301,3196,0.50808
8474679,259,196746,3325,3370,0.49664
8474683,46,30573,423,562,0.42944
8474697,4,2059,32,40,0.44444
8474709,175,103174,1526,1526,0.5
8474715,109,68970,1186,1107,0.51723
8474716,218,212565,3623,3292,0.52393
8474818,12,10029,172,155,0.52599
8474870,132,99323,1452,1652,0.46778
8474884,133,96687,1407,1558,0.47454
8475149,282,218476,3608,3535,0.50511
8475151,235,190982,3284,3377,0.49302
8475158,278,230661,3715,3738,0.49846
8475160,2,949,18,18,0.5
8475163,20,10647,134,147,0.47687
8475164,162,98227,1414,1630,0.46452
8475166,313,261502,4249,4362,0.49344
8475167,267,276509,4659,4607,0.50281
8475168,308,251212,4135,4237,0.49391
8475169,210,187156,3114,3097,0.50137
8475170,299,243806,3674,4003,0.47857
8475171,293,282329,4426,4557,0.49271
8475172,291,247127,4270,4167,0.5061
8475177,160,131484,2160,1909,0.53084
8475178,51,27567,344,482,0.41646
8475179,277,250680,3765,4098,0.47882
8475181,220,237704,3533,3776,0.48338
8475184,293,216476,3618,3553,0.50453
8475188,326,333757,5510,5242,0.51246
8475191,303,229693,3849,3767,0.50538
8475193,239,165358,2621,2546,0.50726
8475197,140,126018,1964,2108,0.48232
8475200,305,312657,5123,4844,0.514
8475208,293,286543,4556,4663,0.4942
8475218,315,328484,5572,4990,0.52755
8475220,234,168040,2666,2594,0.50684
8475225,208,129173,2173,2040,0.51578
8475227,46,33349,505,585,0.4633
8475231,292,201270,3189,3137,0.50411
8475233,198,185058,2958,3159,0.48357
8475235,187,94904,1441,1380,0.51081
8475253,3,1562,17,18,0.48571
8475278,25,14733,241,209,0.53556
8475279,282,297163,4657,5051,0.47971
8475287,290,220658,3616,3635,0.49869
8475314,304,243948,4430,4223,0.51196
8475324,262,266061,4084,4354,0.484
8475343,273,192007,3023,2994,0.50241
8475413,57,34632,517,516,0.50048
8475455,294,279922,4506,4551,0.49752
8475461,6,4093,55,63,0.4661
8475462,268,248174,4161,4130,0.50187
8475625,61,44252,677,664,0.50485
8475690,251,249858,4199,3787,0.5258
8475692,261,229646,3751,3693,0.5039
8475714,207,137210,2138,2135,0.50035
8475718,203,181724,2745,2766,0.49809
8475722,260,195324,3261,3123,0.51081
8475726,290,216537,3722,3602,0.50819
8475744,154,117586,1805,1987,0.476
8475745,321,243838,3912,4070,0.4901
8475747,75,63698,850,1078,0.44087
8475750,209,163667,2464,2499,0.49647
8475752,111,63431,944,966,0.49424
8475753,271,291829,4427,4824,0.47854
8475754,307,257120,4456,4471,0.49916
8475755,55,44049,659,675,0.494
8475760,267,193880,3015,3116,0.49176
8475762,152,129680,1951,1980,0.49631
8475763,238,171895,2734,2824,0.4919
8475764,285,303313,4588,5081,0.47451
8475765,300,228747,3711,3843,0.49126
8475766,118,54294,818,835,0.49486
8475768,249,207451,3274,3270,0.50031
8475772,2,976,9,11,0.45
8475780,40,16213,247,265,0.48242
8475784,245,182561,3041,3067,0.49787
8475786,319,291839,5169,4683,0.52467
8475790,189,187901,2951,3420,0.46319
8475791,216,165883,2773,2644,0.51191
8475793,118,79325,1269,1320,0.49015
8475794,229,176840,2955,2978,0.49806
8475795,34,22103,349,360,0.49224
8475797,96,81098,1108,1350,0.45077
8475798,287,234654,3912,4151,0.48518
8475799,290,222049,3627,3556,0.50494
8475810,256,216151,3805,3709,0.50639
8475825,163,150095,2338,2451,0.4882
8475842,259,150428,2313,2475,0.48308
8475848,245,172014,2880,2865,0.50131
8475855,168,123863,2078,1790,0.53723
8475857,29,23834,357,398,0.47285
8475906,152,152578,2453,2638,0.48183
8475913,244,203077,3485,3267,0.51614
8475958,28,17224,261,272,0.48968
8475968,31,20255,292,316,0.48026
8476166,4,2609,65,37,0.63725
8476278,210,130070,1867,2022,0.48007
8476292,256,195950,3258,3278,0.49847
8476310,30,18210,291,249,0.53889
8476312,222,206547,3470,3307,0.51203
8476323,1,338,5,7,0.41667
8476326,62,30347,507,431,0.54051
8476329,101,72186,1015,1173,0.46389
8476331,309,334264,5281,5232,0.50233
8476346,161,142363,2369,2491,0.48745
8476372,272,235092,4213,3594,0.53964
8476374,259,173512,2864,3017,0.48699
8476389,310,276227,4610,4540,0.50383
8476390,4,1830,30,36,0.45455
8476391,8,3333,47,49,0.48958
8476392,302,225134,3698,3513,0.51283
8476393,285,194378,3146,3127,0.50151
8476396,2,1158,9,15,0.375
8476399,284,232541,4069,3669,0.52585
8476404,3,1248,13,32,0.28889
8476410,51,34050,473,487,0.49271
8476419,285,209422,3535,3626,0.49365
8476422,121,104224,1856,1680,0.52489
8476425,6,3278,51,56,0.47664
8476429,241,228871,3542,3743,0.4862
