player_name,team,pos,GP,toi_per_game,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,OZE,DZE,NZE,DNZE,OZE_score,DZE_score,NZE_score,DNZE_score,CF_pct
Aaron Ekblad,FLA,D,72,16.5,154,168,261,0.6533,0.1526,0.1757,-0.1125,7.4,4.5,5.5,6.5,0.4985
Abram Wiebe,CGY,D,3,11.378,7,3,6,,,,,,,,,0.4
Adam Boqvist,NYI,D,28,12.191,49,31,69,,,0.1336,-0.2581,,,3.5,3.0,0.4867
Adam Engstrom,MTL,D,15,12.569,29,14,26,,,,,,,,,0.4947
Adam Fox,NYR,D,55,18.42,159,142,264,0.7122,0.2,0.2032,-0.0875,9.9,7.4,6.8,7.2,0.5126
Adam Ginning,PHI,D,5,13.15,6,4,12,,,,,,,,,0.4818
Adam Larsson,SEA,D,81,18.155,150,221,319,0.6402,0.1763,0.1524,-0.2111,6.8,6.0,4.4,4.1,0.4959
Adam Pelech,NYI,D,82,17.401,150,219,307,0.6355,0.1775,0.1842,-0.1232,6.6,6.0,5.9,6.3,0.5076
Adam Wilsby,NSH,D,57,15.438,83,117,189,0.6214,0.1597,0.169,-0.1801,6.1,4.9,5.2,4.9,0.4854
Albert Johansson,DET,D,82,13.976,147,161,212,0.6286,0.1122,0.157,-0.1623,6.4,2.0,4.6,5.3,0.4929
Alec Regula,EDM,D,29,13.259,40,36,75,,,0.1591,-0.2609,,,4.7,2.9,0.522
Alex Vlasic,CHI,D,81,17.455,117,231,310,0.5914,0.1508,0.1627,-0.1885,4.8,4.4,4.9,4.7,0.4771
Alexander Nikishin,CAR,D,81,15.045,239,111,272,0.6687,0.1889,0.2259,-0.0481,8.0,6.7,7.9,8.1,0.5337
Alexander Petrovic,DAL,D,54,14.639,55,93,150,0.4768,0.1036,0.1541,-0.2286,0.0,1.5,4.5,3.7,0.494
Alexander Romanov,NYI,D,15,16.446,30,20,34,,,,,,,,,0.5023
Alexandre Carrier,MTL,D,73,15.319,85,154,234,0.5461,0.1533,0.171,-0.2047,2.9,4.5,5.3,4.3,0.4975
Andreas Englund,NSH,D,3,8.8,2,4,9,,,,,,,,,0.5047
Andrew Peeke,BOS,D,77,16.507,107,185,257,0.5386,0.1657,0.1785,-0.1755,2.6,5.3,5.6,5.0,0.484
Angus Booth,LAK,D,1,12.3,1,4,2,,,,,,,,,
Arber Xhekaj,MTL,D,65,10.992,67,46,142,0.5377,,0.1989,-0.1282,2.6,,6.6,6.2,0.4837
Artem Zub,OTT,D,81,16.946,127,243,316,0.6321,0.1418,0.1612,-0.1444,6.5,3.8,4.8,5.8,0.5195
Artyom Levshunov,CHI,D,67,15.238,163,89,193,0.6159,0.142,0.1565,-0.2534,5.8,3.8,4.6,3.1,0.4419
Axel Sandin-Pellikka,DET,D,68,13.659,141,129,177,0.6443,0.136,0.1619,-0.1839,7.0,3.5,4.8,4.8,0.4758
Ben Chiarot,DET,D,82,18.105,177,214,302,0.6175,0.1674,0.1702,-0.1789,5.9,5.4,5.2,4.9,0.4797
Ben Hutton,VGK,D,55,14.213,125,63,142,0.6131,0.0868,0.1409,-0.2489,5.7,0.4,3.8,3.2,0.5111
