player_name,team,pos,GP,toi_per_game,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,OZE,DZE,NZE,DNZE,OZE_score,DZE_score,NZE_score,DNZE_score,CF_pct
A.J. Greer,FLA,L,295,9.447,398,346,708,0.6782,0.1609,0.2018,-0.0599,6.6,5.5,6.4,7.4,0.5045
Aatu Räty,VAN,C,113,10.248,209,249,232,0.6722,0.1226,0.1815,-0.1262,6.4,3.5,5.3,6.0,0.4798
Adam Beckman,MIN,L,20,9.552,19,29,39,,,,,,,,,0.485
Adam Edstrom,NYR,C,97,9.125,92,190,204,0.5651,0.1507,0.2061,-0.0992,2.6,4.9,6.6,6.6,0.4807
Adam Erne,DAL,L,130,10.145,195,158,305,0.6417,0.1082,0.1598,-0.1494,5.3,2.7,4.2,5.5,0.4876
Adam Fantilli,CBJ,C,213,14.334,605,235,622,0.6913,0.1775,0.213,-0.1066,7.1,6.3,7.0,6.4,0.4836
Adam Gaudette,SJS,C,155,9.48,265,189,335,0.6236,0.1201,0.1854,-0.1296,4.7,3.3,5.5,5.9,0.4859
Adam Henrique,EDM,C,328,11.858,610,734,992,0.678,0.157,0.1862,-0.1125,6.6,5.3,5.6,6.3,0.4842
Adam Klapka,CGY,R,115,9.656,137,123,221,0.6186,0.1467,0.1922,-0.1694,4.5,4.7,5.9,5.1,0.4993
Adam Lowry,WPG,C,328,12.391,528,973,1231,0.6863,0.1667,0.1997,-0.0636,6.9,5.8,6.3,7.3,0.5128
Adam Raska,MIN,R,8,8.675,4,10,14,,,,,,,,,0.4609
Adam Ruzicka,ARI,C,86,9.077,131,91,174,0.6348,0.0909,0.1289,-0.1808,5.1,1.8,2.6,4.8,0.517
Adam Sykora,NYR,L,11,10.967,19,18,30,,,,,,,,,0.5
Adrian Kempe,LAK,C,337,13.711,836,660,1009,0.6918,0.1977,0.2152,-0.0688,7.1,7.4,7.1,7.2,0.5042
Aidan McDonough,VAN,L,6,9.017,8,8,18,,,,,,,,,0.4286
Akil Thomas,LAK,C,32,9.454,34,38,58,,,0.1448,-0.1983,,,3.4,4.5,0.5292
Aku Raty,ARI,R,1,11.75,1,0,3,,,,,,,,,0.381
Aleksander Barkov,FLA,C,276,13.637,794,710,1006,0.744,0.1777,0.223,-0.024,8.9,6.4,7.5,8.1,0.5129
Aleksanteri Kaskimaki,STL,C,5,9.857,8,7,7,,,,,,,,,0.5513
Aleksi Heponiemi,FLA,C,10,8.407,15,9,21,,,,,,,,,0.3987
Alex Barré-Boulet,COL,C,40,9.801,73,32,88,0.6505,,0.1568,-0.1589,5.6,,4.0,5.3,0.473
Alex Belzile,MTL,R,31,10.89,39,44,64,,,0.1483,-0.2784,,,3.6,2.8,0.4803
Alex Bump,PHI,L,17,11.381,39,20,48,,,,,,,,,0.4629
Alex Chiasson,DET,R,20,8.873,30,22,38,,,,,,,,,0.4769
Alex DeBrincat,DET,R,328,13.982,801,631,966,0.6864,0.1733,0.2129,-0.0757,6.9,6.1,7.0,7.1,0.5133
Alex Galchenyuk,COL,C,11,6.647,9,11,13,,,,,,,,,0.4667
Alex Iafallo,WPG,L,326,11.663,653,543,889,0.6943,0.1653,0.2086,-0.0515,7.2,5.7,6.7,7.6,0.5245
Alex Killorn,ANA,L,314,12.912,687,642,896,0.694,0.1773,0.2144,-0.0637,7.2,6.3,7.0,7.3,0.4951
Alex Laferriere,LAK,R,250,13.568,497,451,679,0.6717,0.1889,0.2184,-0.059,6.4,6.9,7.2,7.4,0.5117
Alex Newhook,MTL,C,273,12.422,568,396,651,0.632,0.1865,0.175,-0.1557,5.0,6.8,5.0,5.4,0.4853
Alex Nylander,TOR,L,42,12.596,102,64,103,0.7206,0.1017,0.1591,-0.2116,8.1,2.4,4.2,4.2,0.491
Alex Ovechkin,WSH,L,313,13.187,1185,142,975,0.6832,0.1684,0.2037,-0.0977,6.8,5.9,6.5,6.6,0.4844
