player_name,team,pos,GP,toi_per_game,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,OZE,DZE,NZE,DNZE,OZE_score,DZE_score,NZE_score,DNZE_score,CF_pct
A.J. Greer,FLA,L,78,11.618,172,100,200,0.6786,0.1117,0.2069,-0.0777,8.0,2.8,6.9,7.9,0.5045
Aatu Räty,VAN,C,65,10.782,114,182,127,0.6576,0.111,0.1552,-0.2179,7.2,2.7,4.0,4.6,0.4798
Adam Edstrom,NYR,C,35,9.342,31,51,65,,0.1038,0.1622,-0.23,,2.3,4.4,4.3,0.4807
Adam Erne,DAL,L,45,9.797,45,54,106,,0.0688,0.1786,-0.1644,,0.3,5.3,5.9,0.4876
Adam Fantilli,CBJ,C,82,15.06,260,95,250,0.6863,0.1602,0.2272,-0.0899,8.2,5.5,8.0,7.6,0.4836
Adam Gaudette,SJS,C,66,10.307,78,127,158,0.5455,0.1112,0.176,-0.1404,3.0,2.7,5.1,6.4,0.4859
Adam Henrique,EDM,C,64,10.747,90,152,164,0.5991,0.1223,0.1825,-0.1596,5.0,3.4,5.5,6.0,0.4842
Adam Klapka,CGY,R,78,10.017,84,93,163,0.5879,0.1443,0.1641,-0.2182,4.6,4.6,4.5,4.6,0.4993
Adam Lowry,WPG,C,69,12.419,120,219,219,0.6471,0.1339,0.1537,-0.1509,6.8,4.0,3.9,6.2,0.5128
Adam Sykora,NYR,L,11,10.967,19,18,30,,,,,,,,,0.5
Adrian Kempe,LAK,C,80,14.207,246,124,205,0.6918,0.1345,0.1911,-0.109,8.4,4.0,6.0,7.2,0.5042
Aleksanteri Kaskimaki,STL,C,5,9.857,8,7,7,,,,,,,,,0.5513
Alex Barré-Boulet,COL,C,1,3.467,0,0,1,,,,,,,,,0.473
Alex Bump,PHI,L,17,11.381,39,20,48,,,,,,,,,0.4629
Alex DeBrincat,DET,R,82,13.984,169,167,231,0.6195,0.1612,0.1823,-0.1222,5.8,5.5,5.5,6.9,0.5133
Alex Iafallo,WPG,L,79,12.856,180,133,253,0.6789,0.1421,0.1671,-0.1305,8.0,4.5,4.6,6.7,0.5245
Alex Killorn,ANA,L,81,12.357,148,164,229,0.6497,0.1687,0.1856,-0.0997,6.9,6.0,5.7,7.4,0.4951
Alex Laferriere,LAK,R,81,14.027,151,171,273,0.6337,0.154,0.2192,-0.0334,6.3,5.1,7.6,9.0,0.5117
Alex Newhook,MTL,C,42,11.757,92,41,100,0.5876,,0.1157,-0.3354,4.6,,1.8,1.8,0.4853
Alex Ovechkin,WSH,L,82,12.119,309,7,200,0.6625,,0.1519,-0.2036,7.4,,3.8,4.9,0.4844
Alex Steeves,BOS,C,43,10.323,68,72,120,0.6154,0.1233,0.1439,-0.2439,5.6,3.4,3.3,4.0,0.5317
Alex Tuch,BUF,R,79,13.725,244,166,289,0.6773,0.1383,0.172,-0.109,7.9,4.3,4.9,7.2,0.5074
Alex Turcotte,LAK,C,62,10.352,100,66,128,0.5859,0.0927,0.1676,-0.1539,4.5,1.7,4.7,6.1,0.5239
Alexander Holtz,VGK,R,28,10.891,47,34,59,,,0.1015,-0.3341,,,1.0,1.8,0.478
Alexander Kerfoot,UTA,C,33,10.363,55,69,84,0.5747,0.1429,0.1702,-0.1444,4.1,4.5,4.8,6.3,0.5036
Alexander Wennberg,SJS,C,80,13.709,147,215,258,0.6308,0.1454,0.1804,-0.1446,6.2,4.7,5.4,6.3,0.4937
Alexandre Texier,MTL,C,51,12.088,74,74,163,0.6143,0.1204,0.1744,-0.1832,5.6,3.2,5.1,5.4,0.4745
Alexey Toropchenko,STL,R,64,10.054,58,146,186,0.5388,0.1268,0.1848,-0.1284,2.7,3.6,5.6,6.7,0.4856
