player_name,team,pos,GP,season,OZI,DZI,NZI,TNZI,shifts_O,shifts_D,shifts_N
Adam Fox,NYR,D,7,20222023,8.5,6.7,10.0,10.0,48,33,28
Vladislav Gavrikov,LAK,D,6,20222023,5.6,6.5,9.2,9.2,30,42,40
Darren Raddysh,TBL,D,6,20222023,7.4,5.2,9.1,9.1,39,44,46
Ryan Lindgren,NYR,D,7,20222023,7.6,7.2,8.6,8.6,37,34,28
Mikhail Sergachev,TBL,D,6,20222023,7.6,5.9,8.5,8.5,36,44,45
Cale Makar,COL,D,6,20222023,6.8,7.4,8.4,8.4,37,39,41
Matt Roy,LAK,D,6,20222023,6.4,7.1,8.2,8.2,30,41,42
Radko Gudas,FLA,D,21,20222023,0.6,4.7,7.8,7.8,66,82,91
Ryan Graves,NJD,D,10,20222023,3.3,3.7,7.8,7.8,47,43,45
Miro Heiskanen,DAL,D,19,20222023,4.0,6.2,7.1,7.1,147,167,136
Luke Schenn,TOR,D,11,20222023,2.9,4.2,7.0,7.0,63,67,69
Carson Soucy,SEA,D,14,20222023,7.4,8.9,7.0,7.0,54,47,49
Ryan Suter,DAL,D,19,20222023,4.2,6.3,7.0,7.0,128,148,144
Dylan DeMelo,WPG,D,5,20222023,10.0,5.3,7.0,7.0,44,23,34
Joshua Mahura,FLA,D,21,20222023,2.4,5.8,6.9,6.9,62,79,95
Morgan Rielly,TOR,D,11,20222023,3.2,4.4,6.7,6.7,74,76,71
Nicolas Hague,VGK,D,22,20222023,4.5,7.2,6.6,6.6,104,115,123
Jamie Oleksiak,SEA,D,14,20222023,2.6,4.6,6.5,6.5,59,74,76
Will Borgen,SEA,D,14,20222023,2.1,3.9,6.5,6.5,49,70,78
Bowen Byram,COL,D,7,20222023,4.3,6.4,6.4,6.4,38,43,42
Jake McCabe,TOR,D,11,20222023,4.3,6.1,6.1,6.1,44,69,51
John Marino,NJD,D,12,20222023,5.7,4.6,6.1,6.1,62,57,64
Zach Whitecloud,VGK,D,22,20222023,5.3,7.3,6.1,6.1,101,103,123
