player_name,team,pos,GP,OZI,DZI,NZI,TNZI,shifts_O,shifts_D,shifts_N
Jared McCann,SEA,F,8,7.8,10.0,10.0,10.0,27,16,37
Patrick Kane,NYR,F,7,7.4,2.9,8.9,8.9,32,27,33
Alex Killorn,TBL,F,6,7.1,3.9,8.6,8.6,27,24,43
Jaden Schwartz,SEA,F,14,5.8,4.2,8.6,8.6,72,76,71
Mitchell Chaffee,TBL,F,9,6.1,4.5,8.5,8.5,25,32,36
Jack Hughes,NJD,F,12,8.0,5.4,8.5,8.5,56,53,38
Ryan Donato,SEA,F,14,6.6,6.6,8.5,8.5,36,35,44
Ivan Barbashev,VGK,F,40,6.6,5.2,8.2,8.2,179,180,154
Jonathan Marchessault,VGK,F,29,7.3,4.8,8.2,8.2,144,146,104
Frederick Gaudreau,MIN,F,12,6.8,3.9,8.2,8.2,28,51,46
Yanni Gourde,TBL,F,19,6.7,5.9,8.2,8.2,66,84,105
Morgan Geekie,BOS,F,26,6.5,4.8,8.1,8.1,119,117,108
Eeli Tolvanen,SEA,F,14,7.8,5.1,8.0,8.0,45,61,74
James van Riemsdyk,BOS,F,11,8.5,7.3,7.9,7.9,29,23,34
Steven Stamkos,TBL,F,11,7.2,3.9,7.9,7.9,62,65,43
Dylan Holloway,EDM,F,25,5.3,5.4,7.9,7.9,78,84,87
Alexis Lafrenière,NYR,F,23,6.3,5.4,7.7,7.7,84,81,69
Anthony Cirelli,TBL,F,16,5.4,4.9,7.7,7.7,61,81,77
Alexander Wennberg,NYR,F,30,5.8,4.3,7.7,7.7,134,144,116
Alex Newhook,MTL,F,12,6.0,4.1,7.7,7.7,34,38,39
Jesper Fast,CAR,F,15,7.0,5.5,7.7,7.7,79,82,65
Hudson Fasching,NYI,F,10,8.3,5.5,7.7,7.7,31,44,39
Kirill Kaprizov,MIN,F,12,7.3,5.7,7.6,7.6,81,72,63
Max Pacioretty,TOR,F,15,4.2,4.4,7.6,7.6,48,42,44
Artemi Panarin,NYR,F,23,6.6,6.0,7.6,7.6,99,86,83
Nikita Kucherov,TBL,F,16,6.3,5.4,7.6,7.6,86,87,70
Michael Bunting,TOR,F,7,4.2,5.5,7.5,7.5,20,41,19
Yakov Trenin,MIN,F,16,6.2,7.1,7.5,7.5,33,39,49
