player_name,team,pos,PFR,PUR,PAR,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,player_OZ_retention_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio,ROC,ROL,ROC_adj,ROL_adj,context_flag,CF_pct,player_id,seasons_covered,player_DZ_time_pct,PUR_raw,PAR_raw,teammates_avg_OZ_retention,teammates_avg_DZ_escape,ROC_weight_sec,ROL_weight_sec
Sam Rinzel,CHI,D,0.9583,0.6387,0.6665,63,998.98,15.857,138,2.19,104,1.651,63.5,22.76,0.9022,0.8587,0.9126,0.9436,0.8635,0.7821,0.7174,0.7555,0.7378,🟡 Neutral,0.461,8483506,"2024-25, 2025-26",77.24,1.8053,1.9029,0.6958,0.2412,117394,60302
Ethan Del Mastro,CHI,D,0.9584,0.6689,0.698,45,710.13,15.781,52,1.156,100,2.222,59.25,26.81,0.8419,1.0112,0.8575,1.0957,0.9251,0.7697,0.7061,0.7399,0.7204,🟡 Neutral,0.4751,8482807,"2023-24, 2024-25, 2025-26",73.19,1.8907,1.9928,0.691,0.2447,82507,42022
Nathan Beaulieu,ANA,D,0.9618,0.4941,0.5137,52,671.22,12.908,56,1.077,102,1.962,63.74,20.35,0.9057,0.7675,0.8896,0.8677,1.0831,0.7432,0.6472,0.7211,0.6555,🔴 Underperforming — neutral,0.4259,8476470,2022-23,79.65,1.3964,1.4665,0.7165,0.2345,77333,40579
Wyatt Kaiser,CHI,D,0.9621,0.6804,0.7072,175,2851.1,16.292,297,1.697,348,1.989,67.36,23.02,0.9572,0.8685,0.9745,0.9424,0.9356,0.7649,0.6731,0.7403,0.6879,🟡 Neutral,0.4699,8482176,"2022-23, 2023-24, 2024-25, 2025-26",76.98,1.923,2.019,0.6913,0.2443,337844,171182
Artyom Levshunov,CHI,D,0.9638,0.6728,0.698,85,1345.87,15.834,213,2.506,116,1.365,68.65,23.38,0.9755,0.8821,0.9828,0.964,0.8881,0.7753,0.717,0.7498,0.7322,🟡 Neutral,0.4419,8484783,"2024-25, 2025-26",76.62,1.9016,1.9929,0.6986,0.2426,158921,81332
Louis Crevier,CHI,D,0.966,0.6083,0.6297,134,2000.68,14.93,141,1.052,372,2.776,70.43,20.69,1.0008,0.7804,1.0139,0.8486,1.0402,0.7814,0.7243,0.7527,0.7451,🔴 Underperforming — neutral,0.4766,8481806,"2023-24, 2024-25, 2025-26",79.31,1.7193,1.7978,0.6947,0.2438,235738,120032
Alex Vlasic,CHI,D,0.9673,0.7528,0.7782,245,4354.93,17.775,470,1.918,709,2.894,67.33,23.72,0.9567,0.8946,0.9699,0.9635,0.9757,0.7804,0.6946,0.7528,0.7072,🟢 Elite — consistent,0.4771,8481568,"2022-23, 2023-24, 2024-25, 2025-26",76.28,2.1276,2.2219,0.6942,0.2462,517584,262175
Kevin Shattenkirk,BOS,D,0.9701,0.653,0.6731,142,2082.75,14.667,281,1.979,255,1.796,70.22,25.14,0.9978,0.9485,0.9846,1.042,1.0699,0.7471,0.6645,0.7246,0.6634,🟡 Neutral,0.4855,8474031,"2022-23, 2023-24",74.86,1.8456,1.9218,0.7133,0.2413,244186,125991
Robert Hagg,VGK,D,0.9706,0.5769,0.5944,45,628.73,13.972,94,2.089,58,1.289,67.55,22.41,0.9598,0.8453,0.9398,0.9388,1.1047,0.7465,0.6709,0.7205,0.6757,🔴 Underperforming — neutral,0.5037,8477462,"2022-23, 2023-24, 2024-25",77.59,1.6305,1.697,0.7187,0.2387,73163,38857
Jarred Tinordi,CHI,D,0.9709,0.5483,0.5647,96,1351.63,14.08,72,0.75,228,2.375,59.7,22.64,0.8482,0.8542,0.8756,0.8957,1.0766,0.7573,0.6717,0.7322,0.6846,🔴 Underperforming — neutral,0.4508,8475797,"2022-23, 2023-24",77.36,1.5496,1.6123,0.6818,0.2528,158976,81362
Kevin Korchinski,CHI,D,0.9724,0.7484,0.7697,105,1727.93,16.457,214,2.038,158,1.505,69.43,26.56,0.9865,1.0017,1.0118,1.0536,0.9441,0.7621,0.7022,0.7375,0.708,🟢 Elite — consistent,0.4661,8483466,"2023-24, 2024-25, 2025-26",73.44,2.1153,2.1975,0.6862,0.252,205832,103909
Isaak Phillips,WPG,D,0.9748,0.5523,0.5666,55,796.95,14.49,70,1.273,111,2.018,57.71,22.43,0.8201,0.8462,0.8424,0.8843,1.0066,0.7565,0.6812,0.7331,0.6943,🔴 Underperforming — neutral,0.447,8482192,"2022-23, 2023-24, 2024-25, 2025-26",77.57,1.561,1.6176,0.6851,0.2537,95883,47711
Connor Murphy,EDM,D,0.9765,0.6881,0.7047,273,4478.83,16.406,303,1.11,689,2.524,63.81,24.57,0.9067,0.9269,0.9244,0.9724,0.993,0.7697,0.6914,0.7439,0.6989,🟡 Neutral,0.4844,8476473,"2022-23, 2023-24, 2024-25, 2025-26",75.43,1.9448,2.0119,0.6902,0.2527,530012,258124
Gustav Lindstrom,ANA,D,0.9767,0.5926,0.6067,82,1176.55,14.348,153,1.866,138,1.683,67.57,22.41,0.9602,0.8454,0.9499,0.9175,0.9976,0.7487,0.6716,0.7254,0.6722,🔴 Underperforming — neutral,0.4651,8480184,"2022-23, 2023-24",77.59,1.6749,1.7323,0.7113,0.2443,138237,71720
Colton White,NJD,D,0.9778,0.5563,0.569,69,886.78,12.852,89,1.29,127,1.841,72.01,23.05,1.0231,0.8693,1.0102,0.9449,0.9709,0.7439,0.6481,0.7228,0.6471,🔴 Underperforming — neutral,0.4426,8478841,"2022-23, 2025-26",76.95,1.5724,1.6245,0.7128,0.2439,103628,51176
Patrik Nemeth,ARI,D,0.9807,0.5612,0.5723,75,1061.63,14.155,109,1.453,175,2.333,68.3,20.22,0.9705,0.7628,0.9262,0.8591,1.0407,0.7584,0.681,0.7315,0.668,🔴 Underperforming — neutral,0.4409,8475747,2022-23,79.78,1.5862,1.6338,0.7374,0.2354,123966,64208
Connor Mackey,NYR,D,0.9819,0.5877,0.5985,36,455.1,12.642,52,1.444,56,1.556,71.85,26.81,1.0209,1.0113,0.9794,1.1111,1.103,0.756,0.6188,0.7338,0.6124,🔴 Underperforming — neutral,0.4628,8482067,"2022-23, 2023-24, 2024-25, 2025-26",73.19,1.6609,1.7086,0.7336,0.2413,52156,27596
Sebastian Aho,NYI,D,0.9863,0.66,0.6691,135,1981.13,14.675,304,2.252,171,1.267,73.06,24.6,1.0381,0.928,1.0064,1.0072,1.0476,0.7577,0.7218,0.7306,0.722,🟡 Neutral,0.5041,8480222,"2022-23, 2023-24",75.4,1.8654,1.9104,0.726,0.2442,232732,120153
Victor Soderstrom,BOS,D,0.987,0.5688,0.5763,41,585.28,14.275,72,1.756,59,1.439,71.9,19.1,1.0216,0.7203,0.982,0.8007,1.0928,0.7502,0.6101,0.7246,0.6111,🔴 Underperforming — neutral,0.4713,8481599,"2022-23, 2023-24, 2025-26",80.9,1.6076,1.6453,0.7322,0.2385,68565,35395
Samuel Bolduc,NYI,D,0.9875,0.4501,0.4558,54,666.9,12.35,113,2.093,66,1.222,66.98,17.0,0.9518,0.6414,0.9207,0.709,0.9636,0.7543,0.6654,0.728,0.6697,🔴 Underperforming — neutral,0.516,8481541,"2022-23, 2023-24, 2024-25",83.0,1.2721,1.3012,0.7276,0.2398,79252,39863
Nikita Zaitsev,CHI,D,0.9883,0.5611,0.5677,84,1191.68,14.187,147,1.75,138,1.643,70.52,19.27,1.002,0.727,1.0094,0.7578,1.0709,0.7475,0.7185,0.7253,0.7268,🔴 Underperforming — neutral,0.4586,8479458,"2022-23, 2023-24",80.73,1.5858,1.6208,0.6986,0.2543,140390,69360
Scott Mayfield,NYI,D,0.9886,0.6783,0.6861,275,4344.92,15.8,425,1.545,538,1.956,69.54,23.56,0.9881,0.8887,0.96,0.9576,1.0074,0.7604,0.7201,0.7345,0.722,🟡 Neutral,0.4862,8476429,"2022-23, 2023-24, 2024-25, 2025-26",76.44,1.9171,1.9588,0.7244,0.246,511344,246787
Ben Chiarot,DET,D,0.9894,0.778,0.7863,316,5587.83,17.683,685,2.168,854,2.703,69.74,24.72,0.991,0.9323,0.9683,0.9954,0.9954,0.7687,0.7356,0.7437,0.7349,🟢 Elite — consistent,0.4797,8475279,"2022-23, 2023-24, 2024-25, 2025-26",75.28,2.1988,2.2449,0.7203,0.2483,661140,339242
Alexander Romanov,NYI,D,0.9897,0.7545,0.7624,245,4427.13,18.07,451,1.841,586,2.392,67.18,23.09,0.9546,0.8708,0.9264,0.9366,0.9029,0.7683,0.7493,0.7398,0.7503,🟢 Elite — consistent,0.5023,8481014,"2022-23, 2023-24, 2024-25, 2025-26",76.91,2.1325,2.1766,0.7251,0.2465,522141,268132
Moritz Seider,DET,D,0.9898,0.7812,0.7892,328,5788.78,17.649,647,1.973,1021,3.113,69.41,25.15,0.9862,0.9487,0.9598,1.015,1.0246,0.7747,0.7722,0.7488,0.7715,🟢 Elite — consistent,0.505,8481542,"2022-23, 2023-24, 2024-25, 2025-26",74.85,2.2079,2.2533,0.7232,0.2478,685281,350054
Adam Pelech,NYI,D,0.9911,0.8411,0.8486,272,4812.6,17.693,573,2.107,882,3.243,74.53,27.02,1.059,1.0191,1.0296,1.0884,1.0132,0.7716,0.7476,0.7444,0.7476,🟢 Elite — consistent,0.5076,8476917,"2022-23, 2023-24, 2024-25, 2025-26",72.98,2.3771,2.4229,0.7238,0.2482,568495,291413
Isaiah George,NYI,D,0.9915,0.636,0.6414,37,550.8,14.886,69,1.865,64,1.73,72.73,22.12,1.0334,0.8344,1.0082,0.8947,0.9452,0.7656,0.7446,0.7419,0.7479,🔴 Underperforming — neutral,0.4648,8483448,"2024-25, 2025-26",77.88,1.7976,1.8314,0.7214,0.2472,65149,32718
Tyler Myers,DAL,D,0.9922,0.7412,0.7471,311,5209.95,16.752,469,1.508,764,2.457,72.43,24.0,1.0291,0.9053,0.988,0.9814,1.0362,0.7672,0.7331,0.7411,0.7267,🟢 Elite — consistent,0.4948,8474574,"2022-23, 2023-24, 2024-25, 2025-26",76.0,2.095,2.1329,0.7331,0.2445,616477,298306
Tom Willander,VAN,D,0.9931,0.5783,0.5823,69,1008.62,14.618,113,1.638,125,1.812,64.04,21.73,0.9099,0.8196,0.8985,0.8607,1.0831,0.7685,0.7591,0.7431,0.7483,🔴 Underperforming — neutral,0.4768,8484240,2025-26,78.27,1.6345,1.6626,0.7127,0.2524,118422,61141
Elias Pettersson,VAN,D,0.9934,0.5426,0.5462,97,1288.75,13.286,155,1.598,163,1.68,69.04,21.32,0.981,0.8044,0.9571,0.8584,0.9797,0.767,0.7403,0.7418,0.7403,🔴 Underperforming — neutral,0.4824,8483678,"2024-25, 2025-26",78.68,1.5336,1.5594,0.7214,0.2484,149692,76959
Juuso Välimäki,UTA,D,0.994,0.6661,0.6701,189,2940.0,15.556,394,2.085,423,2.238,70.71,22.99,1.0047,0.8672,0.9598,0.9425,1.0339,0.763,0.6544,0.7379,0.6447,🟡 Neutral,0.4945,8479976,"2022-23, 2023-24, 2024-25",77.01,1.8825,1.9132,0.7366,0.2439,347149,176148
Ian Mitchell,BOS,D,0.9942,0.5852,0.5886,63,896.68,14.233,110,1.746,81,1.286,70.71,21.01,1.0047,0.7927,1.0075,0.8187,1.0203,0.7453,0.6861,0.7239,0.681,🔴 Underperforming — neutral,0.4594,8480070,"2022-23, 2023-24, 2024-25",78.99,1.654,1.6805,0.7018,0.2567,106781,52093
