player_name,team,pos,PFR,PUR,PAR,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,player_OZ_retention_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio,ROC,ROL,ROC_adj,ROL_adj,context_flag,CF_pct,player_id,seasons_covered,player_DZ_time_pct,PUR_raw,PAR_raw,teammates_avg_OZ_retention,teammates_avg_DZ_escape,ROC_weight_sec,ROL_weight_sec
Thomas Harley,DAL,D,0.8762,0.6845,0.7812,70,1315.53,18.793,147,2.1,150,2.143,63.86,26.5,0.9124,0.9528,0.94,1.1125,0.9058,0.6586,0.5458,0.6752,0.614,🟢 Elite — self made,0.5034,8481581,"2022-23, 2023-24, 2024-25, 2025-26",73.5,2.1444,2.3597,0.6794,0.2382,148512,78051
Alexander Petrovic,DAL,D,0.8794,0.4951,0.5629,54,790.52,14.639,55,1.019,93,1.722,60.88,23.97,0.8699,0.8618,0.8922,1.0064,0.9724,0.648,0.5471,0.6679,0.6197,🔴 Underperforming — tough situation,0.494,8475755,"2023-24, 2024-25, 2025-26",76.03,1.5509,1.7004,0.6824,0.2381,87600,38851
Lian Bichsel,DAL,D,0.8801,0.4783,0.5435,50,721.78,14.436,52,1.04,80,1.6,67.78,20.25,0.9685,0.7282,1.0065,0.8523,0.9309,0.6581,0.5338,0.6738,0.602,🔴 Underperforming — tough situation,0.4946,8483425,"2024-25, 2025-26",79.75,1.4984,1.6416,0.6734,0.2376,79962,43086
Ilya Lyubushkin,DAL,D,0.8868,0.4422,0.4986,53,743.95,14.037,52,0.981,88,1.66,61.72,20.33,0.8819,0.7312,0.9087,0.8451,0.9397,0.6512,0.6013,0.665,0.6813,🔴 Underperforming — tough situation,0.4895,8480950,"2022-23, 2023-24, 2024-25, 2025-26",79.67,1.3852,1.506,0.6792,0.2406,82342,39057
Nils Lundkvist,DAL,D,0.8877,0.5555,0.6257,52,823.65,15.839,83,1.596,114,2.192,65.4,23.95,0.9345,0.8613,0.963,0.9874,0.957,0.6534,0.6556,0.6731,0.7444,🟡 Solid — self made,0.4949,8480878,"2022-23, 2023-24, 2024-25, 2025-26",76.05,1.7401,1.89,0.6792,0.2426,92623,45742
Tom Willander,VAN,D,0.8882,0.4842,0.5451,69,1008.62,14.618,113,1.638,125,1.812,64.04,21.73,0.915,0.7813,0.9095,0.9318,1.1096,0.6521,0.5968,0.67,0.6555,🔴 Underperforming — tough situation,0.4768,8484240,2025-26,78.27,1.5169,1.6466,0.7041,0.2332,110968,56886
Alex Vlasic,CHI,D,0.8895,0.6286,0.7066,81,1413.87,17.455,117,1.444,231,2.852,68.05,24.24,0.9722,0.8718,0.9682,1.0306,1.0025,0.67,0.5238,0.6875,0.5823,🟢 Elite — self made,0.4771,8481568,"2022-23, 2023-24, 2024-25, 2025-26",75.76,1.9692,2.1344,0.7028,0.2353,157783,84920
Matt Grzelcyk,CHI,D,0.8922,0.5306,0.5947,69,1032.68,14.966,149,2.159,120,1.739,65.38,24.51,0.9342,0.8813,0.9314,1.0306,1.0056,0.6557,0.533,0.6743,0.5904,🔴 Underperforming — tough situation,0.4922,8476891,"2022-23, 2023-24, 2024-25, 2025-26",75.49,1.6623,1.7964,0.702,0.2378,114780,59971
Artyom Levshunov,CHI,D,0.893,0.5727,0.6413,67,1020.95,15.238,163,2.433,89,1.328,69.06,26.08,0.9867,0.938,0.9849,1.093,0.9092,0.6636,0.574,0.681,0.6422,🟡 Solid — self made,0.4419,8484783,"2024-25, 2025-26",73.92,1.7942,1.9371,0.7011,0.2386,113928,60347
Miro Heiskanen,DAL,D,0.8932,0.6751,0.7558,77,1320.35,17.147,194,2.519,165,2.143,67.35,29.31,0.9623,1.0539,0.9838,1.1924,0.967,0.6657,0.6421,0.6839,0.7155,🟢 Elite — self made,0.5054,8480036,"2022-23, 2023-24, 2024-25, 2025-26",70.69,2.1151,2.283,0.6845,0.2458,149898,77712
