player_name,team,pos,PFR,PUR,PAR,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,player_OZ_retention_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio,ROC,ROL,ROC_adj,ROL_adj,context_flag,CF_pct,player_id,seasons_covered,player_DZ_time_pct,PUR_raw,PAR_raw,teammates_avg_OZ_retention,teammates_avg_DZ_escape,ROC_weight_sec,ROL_weight_sec
Nick Lardis,CHI,L,0.8348,0.5064,0.6066,41,436.78,10.653,78,1.902,50,1.22,70.68,24.54,0.9783,0.9287,1.0251,1.041,1.051,0.6251,0.5893,0.6839,0.683,🟡 Solid — self made,0.4717,8484185,2025-26,75.46,1.7141,1.857,0.6895,0.2357,74506,51326
Derek Grant,ANA,C,0.8454,0.4569,0.5405,46,509.55,11.077,54,1.174,181,3.935,68.4,18.71,0.9468,0.708,0.9554,0.8148,1.1855,0.6232,0.5213,0.6814,0.6003,🔴 Underperforming — tough situation,0.4294,8474683,2022-23,81.29,1.5466,1.6544,0.7159,0.2296,89268,61113
Oliver Moore,CHI,C,0.846,0.4845,0.5726,60,666.02,11.1,111,1.85,85,1.417,75.23,18.75,1.0414,0.7095,1.0909,0.7808,0.9823,0.6304,0.583,0.6902,0.6753,🔴 Underperforming — tough situation,0.4976,8484197,"2024-25, 2025-26",81.25,1.6397,1.7529,0.6896,0.2401,114198,79888
Ryan Greene,CHI,C,0.8468,0.5956,0.7033,83,1085.1,13.073,196,2.361,188,2.265,68.8,23.12,0.9524,0.8752,1.0002,0.9517,0.9779,0.6457,0.6316,0.7051,0.7313,🟢 Elite — self made,0.4698,8483450,"2024-25, 2025-26",76.88,2.0158,2.153,0.6878,0.243,187346,127928
Colton Dach,EDM,C,0.8469,0.509,0.601,85,911.83,10.727,112,1.318,113,1.329,75.51,22.67,1.0453,0.8581,1.0971,0.9356,1.0397,0.628,0.5831,0.6849,0.6745,🔴 Underperforming — tough situation,0.4747,8482703,"2024-25, 2025-26",77.33,1.7227,1.8397,0.6883,0.2423,156827,105632
Landon Slaggert,CHI,L,0.8476,0.4568,0.539,102,1045.72,10.252,112,1.098,147,1.441,71.95,20.92,0.9959,0.7917,1.0471,0.8603,0.9381,0.6308,0.576,0.6873,0.6669,🔴 Underperforming — tough situation,0.4416,8482172,"2023-24, 2024-25, 2025-26",79.08,1.5463,1.6499,0.6871,0.2432,180619,121277
Connor Bedard,CHI,C,0.8507,0.7524,0.8844,219,3493.43,15.952,630,2.877,315,1.438,67.01,25.49,0.9275,0.9646,0.9775,1.034,0.9171,0.6469,0.5955,0.7053,0.6845,🟢 Elite — self made,0.4574,8484144,"2023-24, 2024-25, 2025-26",74.51,2.5465,2.7071,0.6855,0.2465,612845,416811
Frank Nazar,CHI,C,0.8539,0.57,0.6675,122,1588.48,13.02,244,2.0,228,1.869,66.24,22.18,0.9169,0.8393,0.9583,0.9017,0.8909,0.6452,0.6169,0.7021,0.7061,🟡 Solid — self made,0.4586,8483493,"2023-24, 2024-25, 2025-26",77.82,1.9292,2.0433,0.6912,0.2459,275035,190412
Jakob Silfverberg,ANA,R,0.8544,0.4342,0.5082,162,1637.12,10.106,236,1.457,385,2.377,76.33,17.62,1.0566,0.667,1.0818,0.7428,1.1491,0.6283,0.53,0.6868,0.6053,🔴 Underperforming — tough situation,0.4645,8475164,"2022-23, 2023-24",82.38,1.4696,1.5557,0.7056,0.2373,287555,196338
Maxime Comtois,CAR,L,0.8546,0.5306,0.6208,66,814.97,12.348,127,1.924,175,2.652,73.17,18.78,1.0129,0.7108,1.0303,0.7938,0.9873,0.6205,0.5426,0.6788,0.6215,🟡 Solid — self made,0.4506,8480031,"2022-23, 2023-24",81.22,1.7958,1.9004,0.7102,0.2366,142616,97700
MacKenzie Entwistle,CHI,R,0.8551,0.4957,0.5797,133,1387.48,10.432,125,0.94,157,1.18,66.78,25.95,0.9244,0.982,0.9755,1.0406,1.0636,0.6179,0.542,0.6754,0.6266,🔴 Underperforming — tough situation,0.4596,8480025,"2022-23, 2023-24",74.05,1.6779,1.7745,0.6845,0.2493,239374,142158
Matt Martin,NYI,L,0.856,0.4612,0.5387,179,1761.78,9.842,212,1.184,296,1.654,71.97,23.34,0.9962,0.8835,1.0059,0.98,1.0122,0.6115,0.5206,0.6672,0.5973,🔴 Underperforming — tough situation,0.5,8474709,"2022-23, 2023-24, 2024-25",76.66,1.5608,1.6491,0.7154,0.2382,304345,209172
Jayson Megna,BOS,C,0.8562,0.3906,0.4562,56,506.22,9.04,55,0.982,87,1.554,70.88,19.87,0.9812,0.7521,0.9989,0.832,1.0332,0.607,0.5133,0.6631,0.5854,🔴 Underperforming — tough situation,0.4537,8477126,"2022-23, 2023-24",80.13,1.3219,1.3964,0.7096,0.2389,87934,52665
Reese Johnson,MIN,C,0.8563,0.4814,0.5622,102,989.82,9.704,78,0.765,100,0.98,72.33,26.13,1.0012,0.989,1.0602,1.0419,0.9893,0.6016,0.5267,0.6609,0.6068,🔴 Underperforming — tough situation,0.4737,8481147,"2022-23, 2023-24, 2024-25",73.87,1.6295,1.721,0.6822,0.2508,172100,99356
Lukas Reichel,BOS,L,0.8576,0.5422,0.6322,187,2139.6,11.442,286,1.529,197,1.053,65.91,26.12,0.9123,0.9887,0.9656,1.0392,1.0097,0.6229,0.5844,0.6812,0.668,🟡 Solid — self made,0.4679,8482117,"2022-23, 2023-24, 2024-25, 2025-26",73.88,1.8352,1.9353,0.6826,0.2514,371869,243757
Bo Groulx,TOR,C,0.8589,0.4986,0.5805,60,644.55,10.742,66,1.1,98,1.633,72.44,22.71,1.0027,0.8593,1.0196,0.9409,0.9175,0.6331,0.5214,0.6899,0.5952,🔴 Underperforming — tough situation,0.4543,8480870,"2022-23, 2023-24, 2025-26",77.29,1.6876,1.7769,0.7104,0.2413,112002,77147
Jason Dickinson,EDM,C,0.8593,0.6251,0.7274,283,3633.83,12.84,390,1.378,691,2.442,71.23,25.55,0.986,0.9669,1.0307,1.0245,0.9982,0.6546,0.5791,0.7131,0.6615,🟢 Elite — self made,0.4816,8477450,"2022-23, 2023-24, 2024-25, 2025-26",74.45,2.1156,2.2266,0.691,0.2494,640718,415110
Ryan Donato,CHI,C,0.8595,0.5402,0.6284,325,3935.53,12.109,489,1.505,461,1.418,67.65,22.54,0.9365,0.8531,0.9772,0.9058,0.9493,0.6322,0.5943,0.6908,0.6794,🟡 Solid — self made,0.4861,8477987,"2022-23, 2023-24, 2024-25, 2025-26",77.46,1.8283,1.9237,0.6923,0.2489,682724,466105
Tyler Johnson,BOS,C,0.86,0.5707,0.6635,132,1655.38,12.541,255,1.932,215,1.629,66.9,23.77,0.926,0.8995,0.9779,0.9418,1.0103,0.6278,0.5943,0.6886,0.6799,🟡 Solid — self made,0.4678,8474870,"2022-23, 2023-24, 2024-25",76.23,1.9315,2.0311,0.6841,0.2524,290746,183008
