player_id,player_name,pos,team,seasons_covered,scenario,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,nz_faceoff_shifts,player_OZ_retention_pct,player_DZ_time_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio
8484800,Berkly Catton,C,SEA,2025-26,pooled,65,768.55,11.824,184,2.831,42,0.646,143,73.08,,,1.0116,,1.0322,,1.0351
8482700,Nolan Allan,D,CHI,2024-25,pooled,43,599.45,13.941,46,1.07,73,1.698,105,,70.16,29.84,,1.1255,,1.1641,0.9586
8480160,Radim Simek,D,SJS,2022-23,pooled,44,581.08,13.206,37,0.841,97,2.205,91,,73.6,26.4,,0.9959,,1.0323,0.9411
8476915,Jujhar Khaira,L,MIN,"2022-23, 2023-24",pooled,52,579.67,11.147,40,0.769,76,1.462,142,,69.45,30.55,,1.1561,,1.2125,1.0676
8482758,Ville Koivunen,R,PIT,"2024-25, 2025-26",pooled,47,568.88,12.104,93,1.979,42,0.894,128,73.37,,,1.0156,,1.0228,,1.0123
8478476,Kyle Capobianco,D,DAL,"2022-23, 2024-25, 2025-26",pooled,49,564.17,11.514,80,1.633,48,0.98,95,73.5,,,1.0444,,1.0297,,1.0293
8475227,Chris Wideman,D,MTL,2022-23,pooled,46,555.82,12.083,104,2.261,49,1.065,137,64.83,,,0.9212,,0.9469,,1.0362
8479580,Dylan Gambrell,C,OTT,2022-23,pooled,60,544.67,9.078,43,0.717,78,1.3,152,,77.26,22.74,,0.8607,,0.8995,1.1057
8484768,Zayne Parekh,D,CGY,"2024-25, 2025-26",pooled,37,517.73,13.993,113,3.054,27,0.73,74,71.22,,,1.012,,0.9849,,0.9192
8483510,Elias Salomonsson,D,WPG,2025-26,pooled,32,517.52,16.172,46,1.438,80,2.5,105,,73.05,26.95,,1.0167,,1.0112,1.1155
8476326,Josh Archibald,R,PIT,2022-23,pooled,62,505.78,8.158,45,0.726,102,1.645,125,,74.19,25.81,,0.9769,,0.991,1.0471
8481422,Jake Lucchini,C,NSH,"2022-23, 2023-24, 2024-25",pooled,54,488.6,9.048,32,0.593,57,1.056,93,,71.12,28.88,,1.0929,,1.0447,1.0635
