rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,William Lagesson,DET,D,47,69,64,92,0.36934,0.26165,10.0,8478021
2,Alex Pietrangelo,VGK,D,209,613,579,578,0.27896,0.24398,9.2,8474565
3,Brock Faber,MIN,D,242,781,826,866,0.26746,0.2384,9.0,8482122
4,Jonas Brodin,MIN,D,234,728,663,735,0.2693,0.23693,8.9,8476463
5,Sean Walker,CAR,D,314,828,663,724,0.2681,0.23579,8.8,8480336
6,Ryan Johnson,BUF,D,47,100,75,88,0.33174,0.23569,8.8,8481564
7,Lane Hutson,MTL,D,166,517,298,433,0.28286,0.23474,8.8,8483457
8,Matt Roy,WSH,D,311,732,738,760,0.2616,0.23118,8.6,8478911
9,Evan Bouchard,EDM,D,326,1021,678,791,0.26324,0.23149,8.6,8480803
10,Brett Kulak,COL,D,328,766,677,774,0.26278,0.23103,8.6,8476967
11,Jake Middleton,MIN,D,301,733,923,847,0.25693,0.22978,8.6,8478136
12,Adam Pelech,NYI,D,261,643,770,707,0.25714,0.22753,8.5,8476917
13,Mike Matheson,MTL,D,288,700,929,797,0.25644,0.2294,8.5,8476875
14,Sam Malinski,COL,D,180,353,401,417,0.26986,0.22875,8.5,8484258
15,Adam Fox,NYR,D,283,983,635,761,0.25821,0.22569,8.4,8479323
16,Alec Martinez,CHI,D,176,389,464,444,0.26364,0.22561,8.4,8474166
17,John Marino,UTA,D,253,601,600,731,0.25934,0.22588,8.4,8478507
18,MacKenzie Weegar,UTA,D,322,1087,895,1025,0.25287,0.22549,8.4,8477346
19,Ian Cole,UTA,D,319,651,696,700,0.25623,0.22519,8.4,8474013
20,Zach Werenski,CBJ,D,239,973,763,765,0.25338,0.22381,8.3,8478460
21,Noah Dobson,MTL,D,308,865,733,744,0.25348,0.22333,8.3,8480865
22,Shea Theodore,VGK,D,240,739,565,656,0.25682,0.22252,8.2,8477447
23,Dmitry Orlov,SJS,D,305,772,687,790,0.25305,0.22198,8.2,8475200
24,Josh Manson,COL,D,230,473,616,625,0.25473,0.22191,8.2,8476312
25,Ivan Provorov,CBJ,D,328,928,944,951,0.24743,0.22097,8.2,8478500
26,Damon Severson,CBJ,D,289,794,753,786,0.25219,0.22248,8.2,8476923
27,Jayden Struble,MTL,D,171,300,229,342,0.27546,0.22166,8.2,8481593
28,Matthew Robertson,NYR,D,74,128,135,149,0.29087,0.22089,8.2,8481525
29,Ryan Lindgren,SEA,D,286,806,700,676,0.24964,0.21901,8.1,8479324
30,Bowen Byram,BUF,D,279,816,815,813,0.24717,0.21879,8.1,8481524
31,Darnell Nurse,EDM,D,320,817,813,910,0.24899,0.22049,8.1,8477498
32,Nick Seeler,PHI,D,305,699,593,617,0.25243,0.21913,8.1,8476372
33,Dylan Samberg,WPG,D,266,488,560,584,0.25419,0.21988,8.1,8480049
34,Jakob Chychrun,WSH,D,284,888,665,731,0.25066,0.21922,8.1,8479345
35,Mario Ferraro,SJS,D,310,720,922,867,0.244,0.21737,8.0,8479983
36,Brayden McNabb,VGK,D,310,788,730,837,0.24822,0.21826,8.0,8475188
37,Devon Toews,COL,D,305,1215,832,1034,0.24598,0.21792,8.0,8478038
38,Ryan Graves,PIT,D,231,414,532,519,0.25243,0.21738,8.0,8477435
39,Travis Sanheim,PHI,D,325,922,934,1091,0.24459,0.21811,8.0,8477948
40,Artem Zub,OTT,D,259,549,698,744,0.2474,0.21682,8.0,8482245
41,Brandon Montour,SEA,D,290,872,778,813,0.2462,0.21722,8.0,8477986
42,Nils Lundkvist,DAL,D,210,457,413,484,0.25596,0.21626,8.0,8480878
43,Niko Mikkola,FLA,D,307,802,716,884,0.24639,0.21623,8.0,8478859
44,Colton Parayko,STL,D,301,754,1079,931,0.24183,0.21723,8.0,8476892
45,Mattias Ekholm,EDM,D,303,900,614,731,0.2484,0.21586,7.9,8475218
46,John Carlson,ANA,D,271,863,724,741,0.24514,0.2152,7.9,8474590
47,Pierre-Olivier Joseph,VAN,D,205,372,340,432,0.25944,0.21572,7.9,8480058
48,Jake Sanderson,OTT,D,303,710,774,849,0.24405,0.21511,7.9,8482105
49,Erik Brannstrom,VAN,D,178,403,295,363,0.26235,0.21543,7.9,8480073
50,Moritz Seider,DET,D,328,737,1042,940,0.24089,0.21591,7.9,8481542
51,Parker Wotherspoon,PIT,D,188,389,459,485,0.25223,0.21467,7.9,8478450
52,Thomas Harley,DAL,D,233,679,554,598,0.24893,0.21474,7.9,8481581
53,Martin Fehérváry,WSH,D,295,599,872,783,0.23926,0.21212,7.8,8480796
54,Vladislav Gavrikov,NYR,D,313,795,867,821,0.24108,0.21379,7.8,8478882
55,Rasmus Sandin,WSH,D,294,783,704,711,0.24403,0.21374,7.8,8480873
56,Samuel Girard,PIT,D,268,730,741,827,0.24258,0.21309,7.8,8479398
57,Philip Broberg,STL,D,206,505,550,479,0.24741,0.21318,7.8,8481598
58,Justin Barron,NSH,D,200,510,382,508,0.25502,0.2139,7.8,8482111
59,Spencer Stastney,EDM,D,117,211,215,244,0.26641,0.2118,7.8,8481056
60,David Savard,MTL,D,197,415,450,501,0.2495,0.21175,7.7,8475233
61,Seth Jones,FLA,D,254,793,737,746,0.24122,0.21172,7.7,8477495
62,Luke Schenn,BUF,D,259,419,514,609,0.24612,0.21085,7.7,8474568
63,Marcus Pettersson,VAN,D,309,756,919,930,0.23641,0.21007,7.7,8477969
64,Nick Leddy,SJS,D,223,509,667,643,0.24054,0.20964,7.7,8475181
65,Jake Walman,EDM,D,243,549,626,604,0.24309,0.21112,7.7,8478013
66,Jackson LaCombe,ANA,D,229,646,682,617,0.24064,0.21007,7.7,8481605
67,Alexander Nikishin,CAR,D,81,231,141,212,0.27725,0.21001,7.7,8482100
68,Victor Hedman,TBL,D,266,844,578,638,0.2419,0.20877,7.6,8475167
69,Kris Letang,PIT,D,294,877,719,914,0.23864,0.20893,7.6,8471724
70,Rasmus Dahlin,BUF,D,309,1241,926,1103,0.2344,0.20825,7.6,8480839
71,Noah Hanifin,VGK,D,313,949,824,950,0.23633,0.20859,7.6,8478396
72,Jacob MacDonald,SJS,D,92,96,166,141,0.27017,0.20838,7.6,8479439
73,Cam York,PHI,D,276,756,707,893,0.23918,0.2092,7.6,8481546
74,Vincent Desharnais,SJS,D,218,377,397,452,0.24904,0.20904,7.6,8479576
75,Dante Fabbro,CBJ,D,277,660,617,670,0.23785,0.20594,7.5,8479371
76,John Klingberg,SJS,D,147,438,382,380,0.24678,0.20621,7.5,8475906
77,Adam Larsson,SEA,D,326,1071,851,999,0.23293,0.20577,7.5,8476457
78,Jamie Oleksiak,SEA,D,317,603,910,794,0.23345,0.20712,7.5,8476467
