rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Martin Fehérváry,WSH,D,81,113,219,197,0.30604,0.24878,10.0,8480796
2,Jayden Struble,MTL,D,59,94,77,94,0.342,0.24583,9.8,8481593
3,Damon Severson,CBJ,D,71,224,203,195,0.29911,0.24033,9.4,8476923
4,John Carlson,ANA,D,70,193,169,166,0.30069,0.23661,9.2,8474590
5,Brett Kulak,COL,D,82,176,160,181,0.30224,0.2364,9.2,8476967
6,K'Andre Miller,CAR,D,72,244,167,210,0.30208,0.23754,9.2,8480817
7,Sean Walker,CAR,D,81,256,191,233,0.29481,0.2347,9.1,8480336
8,Thomas Harley,DAL,D,70,171,177,192,0.29636,0.23399,9.0,8481581
9,Noah Dobson,MTL,D,80,227,226,229,0.28524,0.23034,8.8,8480865
10,Nils Lundkvist,DAL,D,52,94,125,147,0.30479,0.23091,8.8,8480878
11,Rasmus Sandin,WSH,D,73,188,175,172,0.29165,0.22936,8.7,8480873
12,Adam Wilsby,NSH,D,57,111,144,149,0.29766,0.22903,8.7,8482482
13,Ian Cole,UTA,D,81,173,165,168,0.2931,0.22898,8.7,8474013
14,Mario Ferraro,SJS,D,82,165,239,212,0.28224,0.22897,8.7,8479983
15,Lane Hutson,MTL,D,82,230,163,203,0.29185,0.2275,8.6,8483457
16,Matt Roy,WSH,D,79,202,193,216,0.28524,0.22622,8.5,8478911
17,Ilya Lyubushkin,DAL,D,53,54,111,124,0.30446,0.22658,8.5,8480950
18,Erik Karlsson,PIT,D,75,253,196,217,0.28271,0.22431,8.4,8474578
19,Kris Letang,PIT,D,74,223,151,181,0.28778,0.22154,8.2,8471724
20,Denton Mateychuk,CBJ,D,75,180,162,168,0.28549,0.22154,8.2,8483485
21,Matthew Robertson,NYR,D,72,118,133,140,0.29207,0.22149,8.2,8481525
22,Thomas Chabot,OTT,D,57,131,106,134,0.3,0.22101,8.1,8478469
23,Brock Faber,MIN,D,80,275,298,296,0.2673,0.22025,8.1,8482122
24,Zach Werenski,CBJ,D,75,288,227,236,0.27518,0.22119,8.1,8478460
25,Noah Hanifin,VGK,D,72,239,166,196,0.28144,0.21857,8.0,8478396
26,Alexandre Carrier,MTL,D,73,129,152,197,0.28071,0.21536,7.8,8478851
27,Jonas Brodin,MIN,D,62,173,169,182,0.27794,0.2159,7.8,8476463
28,Michael Kesselring,BUF,D,34,65,60,66,0.31936,0.21535,7.8,8480891
29,Parker Wotherspoon,PIT,D,80,217,203,238,0.27066,0.21422,7.7,8478450
30,Kaiden Guhle,MTL,D,39,68,96,86,0.29587,0.21384,7.7,8482087
31,Bowen Byram,BUF,D,82,219,256,234,0.26517,0.21486,7.7,8481524
32,Ivan Provorov,CBJ,D,82,240,278,244,0.26222,0.21401,7.7,8478500
33,Sam Malinski,COL,D,81,191,170,185,0.27509,0.2135,7.6,8484258
34,Mike Matheson,MTL,D,78,177,262,229,0.2631,0.21349,7.6,8476875
35,Evan Bouchard,EDM,D,81,254,145,215,0.27895,0.21238,7.6,8480803
36,Jakob Chychrun,WSH,D,80,256,166,229,0.27428,0.21209,7.5,8479345
37,Adam Pelech,NYI,D,82,212,216,232,0.26563,0.2112,7.5,8476917
38,Luke Schenn,BUF,D,50,59,85,81,0.29826,0.21145,7.5,8474568
39,Brian Dumoulin,LAK,D,81,166,167,195,0.27158,0.20982,7.4,8475208
40,Jake Sanderson,OTT,D,67,169,171,195,0.27111,0.21005,7.4,8482105
41,Alexander Nikishin,CAR,D,81,231,141,212,0.27725,0.21001,7.4,8482100
42,Jake Middleton,MIN,D,75,167,184,175,0.26893,0.21007,7.4,8478136
43,Ryan Pulock,NYI,D,76,163,185,219,0.26532,0.20694,7.2,8477506
44,John Klingberg,SJS,D,55,161,150,153,0.27205,0.20719,7.2,8475906
45,Justin Faulk,DET,D,78,190,215,201,0.25969,0.20566,7.1,8475753
46,Brady Skjei,NSH,D,81,202,257,236,0.25582,0.20634,7.1,8476869
47,Logan Stanley,BUF,D,76,123,145,160,0.27208,0.20622,7.1,8479378
48,Sean Durzi,UTA,D,60,196,138,154,0.27305,0.20562,7.1,8480434
49,Moritz Seider,DET,D,82,201,262,247,0.2525,0.20373,7.0,8481542
50,Ryan McDonagh,TBL,D,48,108,124,112,0.2744,0.20353,7.0,8474151
51,Artem Zub,OTT,D,81,136,213,226,0.25804,0.20393,7.0,8482245
52,Quinn Hughes,MIN,D,74,290,260,261,0.25311,0.20412,7.0,8480800
53,Seth Jones,FLA,D,52,139,132,169,0.27101,0.20246,6.9,8477495
54,Spencer Stastney,EDM,D,66,114,127,134,0.27316,0.20318,6.9,8481056
55,Nick Perbix,NSH,D,78,183,187,187,0.25961,0.20206,6.9,8480246
56,Mattias Ekholm,EDM,D,81,240,149,211,0.26478,0.2005,6.8,8475218
57,Rasmus Dahlin,BUF,D,77,258,202,265,0.2566,0.2013,6.8,8480839
58,Travis Sanheim,PHI,D,81,182,217,264,0.25392,0.20063,6.8,8477948
59,Brenden Dillon,NJD,D,82,186,173,165,0.26013,0.20047,6.8,8475455
60,Jared Spurgeon,MIN,D,79,208,219,204,0.25433,0.20123,6.8,8474716
61,Simon Edvinsson,DET,D,72,180,216,201,0.25235,0.1991,6.7,8482762
62,Matthew Schaefer,NYI,D,82,190,174,213,0.25827,0.19896,6.7,8485366
63,Colton Parayko,STL,D,76,201,265,223,0.24858,0.20038,6.7,8476892
64,Dmitry Orlov,SJS,D,81,216,221,227,0.25185,0.1992,6.7,8475200
65,Jacob Trouba,ANA,D,80,249,243,251,0.24972,0.19947,6.7,8476885
66,Cam Fowler,STL,D,81,229,214,193,0.25099,0.19764,6.6,8475764
67,Mikhail Sergachev,UTA,D,77,255,224,234,0.25109,0.19882,6.6,8479410
68,Vince Dunn,SEA,D,80,246,242,243,0.24821,0.198,6.6,8478407
69,Sam Dickinson,SJS,D,71,149,149,155,0.2628,0.19873,6.6,8484806
70,MacKenzie Weegar,UTA,D,78,270,226,270,0.24777,0.19601,6.5,8477346
71,Ben Chiarot,DET,D,82,214,234,227,0.24841,0.19741,6.5,8475279
72,Esa Lindell,DAL,D,82,172,192,220,0.25342,0.19714,6.5,8476902
73,Owen Power,BUF,D,81,230,229,220,0.24724,0.19584,6.4,8482671
