rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Devon Toews,COL,D,305,2422,1650,1891,0.36909,0.34614,10.0,8478038
2,Evan Bouchard,EDM,D,326,2082,1420,1584,0.37132,0.34656,10.0,8480803
3,Cale Makar,COL,D,291,2414,1416,1680,0.36943,0.34467,9.9,8480069
4,Jaccob Slavin,CAR,D,276,1745,1406,1509,0.36083,0.33614,9.7,8476958
5,Mattias Ekholm,EDM,D,303,1871,1368,1528,0.35094,0.3261,9.3,8475218
6,K'Andre Miller,CAR,D,305,1645,1653,1799,0.34386,0.32135,9.2,8480817
7,Brett Kulak,COL,D,328,1501,1406,1617,0.34423,0.31985,9.1,8476967
8,Adam Fox,NYR,D,283,1951,1360,1588,0.34039,0.31569,9.0,8479323
9,Dmitry Orlov,SJS,D,305,1573,1430,1629,0.3417,0.31757,9.0,8475200
10,Samuel Girard,PIT,D,268,1420,1417,1508,0.34032,0.31611,9.0,8479398
11,Drew Doughty,LAK,D,264,1492,1457,1647,0.33694,0.31312,8.9,8474563
12,Jalen Chatfield,CAR,D,301,1586,1224,1616,0.33998,0.31398,8.9,8478970
13,Rasmus Dahlin,BUF,D,309,2207,1801,2063,0.33455,0.31313,8.9,8480839
14,Brady Skjei,NSH,D,324,1839,1736,1836,0.33133,0.30958,8.8,8476869
15,Brandt Clarke,LAK,D,184,1030,679,815,0.34661,0.31177,8.8,8482730
16,Ryan Johnson,BUF,D,47,171,133,169,0.39,0.31131,8.8,8481564
17,Matt Roy,WSH,D,311,1453,1501,1594,0.33185,0.30848,8.7,8478911
18,Brent Burns,COL,D,327,1919,1632,1688,0.32907,0.3067,8.7,8470613
19,MacKenzie Weegar,UTA,D,322,2123,1828,2017,0.32952,0.30835,8.7,8477346
20,Noah Hanifin,VGK,D,313,1935,1648,1905,0.32909,0.30682,8.7,8478396
21,Jakob Chychrun,WSH,D,284,1718,1354,1418,0.3327,0.30811,8.7,8479345
22,Sam Malinski,COL,D,180,679,800,821,0.33839,0.30644,8.7,8484258
23,Erik Karlsson,PIT,D,321,2336,1730,1974,0.32471,0.30305,8.6,8474578
24,Jake Sanderson,OTT,D,303,1529,1718,1720,0.32491,0.30318,8.6,8482105
25,Chris Tanev,TOR,D,226,988,1332,1382,0.32956,0.30484,8.6,8475690
26,Jordan Spence,OTT,D,229,1104,725,985,0.33706,0.30359,8.6,8481606
27,Adam Wilsby,NSH,D,80,305,411,399,0.34804,0.30359,8.6,8482482
28,Gustav Forsling,FLA,D,321,1875,1703,1832,0.32252,0.30074,8.5,8478055
29,Aaron Ekblad,FLA,D,250,1371,1298,1350,0.32516,0.30022,8.5,8477932
30,Ben Harpur,NYR,D,42,150,135,148,0.37881,0.3014,8.5,8477433
31,Quinn Hughes,MIN,D,302,2045,1493,1727,0.32132,0.29812,8.4,8480800
32,Brandon Montour,SEA,D,290,1636,1578,1535,0.32195,0.29935,8.4,8477986
33,Shea Theodore,VGK,D,240,1546,1290,1321,0.32008,0.29519,8.3,8477447
34,Mikey Anderson,LAK,D,307,1424,1685,1814,0.31597,0.29422,8.3,8479998
35,Josh Manson,COL,D,230,911,1175,1214,0.32226,0.29615,8.3,8476312
36,Kris Letang,PIT,D,294,1855,1612,1860,0.31781,0.29554,8.3,8471724
37,John Marino,UTA,D,253,1240,1351,1456,0.31887,0.29457,8.3,8478507
38,Damon Severson,CBJ,D,289,1532,1503,1578,0.31873,0.29566,8.3,8476923
39,Alexander Alexeyev,WSH,D,79,249,341,287,0.34342,0.29502,8.3,8480823
40,Roman Josi,NSH,D,270,2068,1367,1506,0.31664,0.29252,8.2,8474600
41,Brayden McNabb,VGK,D,310,1620,1594,1675,0.31602,0.29366,8.2,8475188
42,Sean Walker,CAR,D,314,1617,1335,1504,0.3166,0.29221,8.2,8480336
43,Vladislav Gavrikov,NYR,D,313,1628,1860,1784,0.31148,0.29084,8.2,8478882
44,Darnell Nurse,EDM,D,320,1709,1710,1894,0.31279,0.29126,8.2,8477498
45,Artem Zub,OTT,D,259,1145,1532,1503,0.31544,0.29266,8.2,8482245
46,Joel Hanley,CGY,D,189,846,768,804,0.32402,0.29187,8.2,8477810
47,Spencer Stastney,EDM,D,117,451,460,513,0.33324,0.2917,8.2,8481056
48,Declan Chisholm,WSH,D,123,447,470,494,0.33272,0.29163,8.2,8480990
49,Vince Dunn,SEA,D,282,1852,1476,1618,0.31088,0.28778,8.1,8478407
50,Dougie Hamilton,NJD,D,243,1446,1102,1309,0.31494,0.2882,8.1,8476462
51,Marc Staal,PHI,D,117,518,534,561,0.32631,0.28791,8.1,8471686
52,Miro Heiskanen,DAL,D,277,2075,1495,1655,0.31061,0.28767,8.1,8480036
53,Cal Foote,NJD,D,54,131,195,200,0.34959,0.28615,8.0,8479984
54,John Carlson,ANA,D,271,1640,1453,1465,0.30965,0.28641,8.0,8474590
55,Brett Pesce,NJD,D,261,1626,1339,1462,0.30945,0.28526,8.0,8477488
56,Bowen Byram,BUF,D,279,1560,1582,1556,0.3071,0.28485,8.0,8481524
57,Mattias Samuelsson,BUF,D,236,1149,1396,1449,0.30967,0.28596,8.0,8480807
58,Owen Power,BUF,D,315,1836,1638,1572,0.30846,0.28656,8.0,8482671
59,Brock Faber,MIN,D,242,1471,1540,1649,0.30962,0.28702,8.0,8482122
60,Alexander Nikishin,CAR,D,81,484,270,414,0.33875,0.28491,8.0,8482100
61,Joel Nystrom,CAR,D,38,232,124,193,0.36554,0.286,8.0,8482911
62,Adam Larsson,SEA,D,326,2016,1733,1836,0.30484,0.28361,7.9,8476457
63,Jonas Siegenthaler,NJD,D,274,1334,1445,1552,0.30516,0.28196,7.9,8478399
64,Thomas Harley,DAL,D,233,1451,1249,1249,0.30671,0.28176,7.9,8481581
65,Marc Del Gaizo,NSH,D,55,183,226,267,0.34211,0.28335,7.9,8481743
66,Alex Pietrangelo,VGK,D,209,1278,1114,1120,0.30665,0.28027,7.8,8474565
67,Daniil Miromanov,CGY,D,83,440,474,460,0.32099,0.28054,7.8,8482624
68,Mikhail Sergachev,UTA,D,267,1696,1503,1611,0.29947,0.27685,7.7,8479410
69,Brian Dumoulin,LAK,D,323,1484,1530,1627,0.30104,0.27857,7.7,8475208
70,Ryan Graves,PIT,D,231,850,1150,1072,0.30172,0.27589,7.7,8477435
71,Parker Wotherspoon,PIT,D,188,731,897,947,0.30746,0.27814,7.7,8478450
72,Luke Hughes,NJD,D,223,1407,1081,1209,0.30325,0.27658,7.7,8482684
73,Ryan McDonagh,TBL,D,275,1294,1546,1541,0.29651,0.27427,7.6,8474151
74,Erik Cernak,TBL,D,276,1099,1512,1580,0.29542,0.27297,7.6,8478416
75,Cody Ceci,LAK,D,326,1404,1757,1795,0.29347,0.27265,7.6,8476879
76,Nate Schmidt,UTA,D,295,1331,1101,1362,0.29969,0.27337,7.6,8477220
77,Owen Pickering,PIT,D,29,91,113,130,0.35753,0.27519,7.6,8483503
78,Alexandre Carrier,MTL,D,268,1019,1507,1513,0.29346,0.27102,7.5,8478851
79,Victor Hedman,TBL,D,266,1643,1177,1342,0.29552,0.27015,7.5,8475167
80,Zach Whitecloud,CGY,D,272,1157,1234,1351,0.29442,0.26966,7.5,8480727
81,Martin Fehérváry,WSH,D,295,1189,1723,1569,0.29083,0.26987,7.5,8480796
82,Jani Hakanpää,TOR,D,148,399,769,716,0.30334,0.27189,7.5,8475825
83,Nils Lundkvist,DAL,D,210,1012,897,1003,0.29925,0.27019,7.5,8480878
84,Jacob Moverare,LAK,D,90,259,248,330,0.32736,0.27198,7.5,8479421
85,Marcus Pettersson,VAN,D,309,1561,1934,1834,0.28647,0.26676,7.4,8477969
86,Ivan Provorov,CBJ,D,328,1708,1847,1890,0.28834,0.26814,7.4,8478500
87,Colin Miller,WPG,D,202,963,724,880,0.30107,0.26877,7.4,8476525
88,Josh Morrissey,WPG,D,315,2463,1624,1829,0.28818,0.26667,7.4,8477504
89,Kyle Capobianco,DAL,D,48,159,123,140,0.34734,0.26897,7.4,8478476
90,Tim Berni,CBJ,D,59,240,310,317,0.31592,0.26669,7.4,8481072
91,Maxwell Crozier,TBL,D,53,204,179,204,0.33316,0.26826,7.4,8481719
92,Mario Ferraro,SJS,D,310,1422,1857,1640,0.28406,0.26401,7.3,8479983
93,Jeremy Lauzon,VGK,D,242,819,1148,1208,0.28922,0.26373,7.3,8478468
94,Trevor van Riemsdyk,WSH,D,295,1255,1314,1428,0.28988,0.26599,7.3,8477845
95,Henri Jokiharju,BOS,D,235,1256,1275,1225,0.29033,0.26608,7.3,8480035
96,Ryan Suter,STL,D,246,1188,1264,1285,0.289,0.26468,7.3,8470600
97,Brenden Dillon,NJD,D,323,1363,1434,1508,0.2883,0.26544,7.3,8475455
98,Justin Barron,NSH,D,200,957,795,968,0.29717,0.26644,7.3,8482111
99,Lane Hutson,MTL,D,166,1040,621,875,0.29867,0.264,7.3,8483457
100,Alexander Edler,LAK,D,64,256,210,217,0.32128,0.26182,7.2,8471303
101,Zach Werenski,CBJ,D,239,1876,1499,1549,0.28367,0.26142,7.2,8478460
102,Jamie Oleksiak,SEA,D,317,1143,1743,1492,0.28298,0.26233,7.2,8476467
103,Tony DeAngelo,NYI,D,212,1146,919,1011,0.29129,0.26283,7.2,8477950
104,Jake Middleton,MIN,D,301,1377,1705,1609,0.28309,0.26222,7.2,8478136
105,Ian Cole,UTA,D,319,1229,1470,1452,0.2857,0.26319,7.2,8474013
106,Emil Andrae,PHI,D,107,443,350,410,0.30916,0.26304,7.2,8482126
107,Ryan Lindgren,SEA,D,286,1527,1418,1383,0.28058,0.25782,7.1,8479324
108,John Klingberg,SJS,D,147,796,693,698,0.29071,0.25813,7.1,8475906
109,Adam Pelech,NYI,D,261,1358,1651,1519,0.27909,0.25799,7.1,8476917
110,Niko Mikkola,FLA,D,307,1523,1450,1726,0.28083,0.2583,7.1,8478859
111,Dylan Samberg,WPG,D,266,988,1135,1188,0.28414,0.25866,7.1,8480049
112,Yan Kuznetsov,CGY,D,58,318,273,353,0.31144,0.25944,7.1,8482165
113,Jacob Bryson,WPG,D,193,582,655,780,0.29031,0.25685,7.0,8480196
114,Jonas Brodin,MIN,D,234,1327,1297,1404,0.27982,0.25607,7.0,8476463
115,Dylan DeMelo,WPG,D,320,2067,1627,1818,0.27576,0.25459,7.0,8476331
116,Vincent Desharnais,SJS,D,218,777,861,904,0.28427,0.25516,7.0,8479576
117,Jacob Trouba,ANA,D,308,1537,1754,1821,0.27448,0.25411,6.9,8476885
118,Sean Durzi,UTA,D,238,1230,1094,1207,0.27728,0.25157,6.9,8480434
119,Nick Jensen,OTT,D,287,1182,1454,1462,0.27403,0.25172,6.9,8475324
120,Johnathan Kovacevic,NJD,D,254,859,1244,1195,0.2758,0.25169,6.9,8480192
121,Justin Schultz,SEA,D,143,664,514,589,0.2917,0.25406,6.9,8474602
122,Thomas Chabot,OTT,D,256,1503,1311,1361,0.27635,0.25282,6.9,8478469
123,Jared Spurgeon,MIN,D,240,1169,1282,1205,0.27553,0.25177,6.9,8474716
124,Scott Harrington,ANA,D,45,180,254,239,0.30188,0.24872,6.8,8476449
125,Connor Clifton,PIT,D,280,877,1111,1204,0.27688,0.25138,6.8,8477365
126,Hampus Lindholm,BOS,D,237,1120,1381,1197,0.2742,0.25132,6.8,8476854
127,Pierre-Olivier Joseph,VAN,D,205,801,742,854,0.28222,0.25102,6.8,8480058
128,Esa Lindell,DAL,D,326,1229,1886,1751,0.27093,0.25135,6.8,8476902
129,Olli Määttä,CGY,D,269,1186,1220,1339,0.27491,0.25059,6.8,8476874
130,Kevin Bahl,CGY,D,273,1329,1517,1466,0.27204,0.25024,6.8,8480860
131,Ville Heinola,WPG,D,32,83,89,101,0.33837,0.24858,6.8,8481572
132,Kaedan Korczak,VGK,D,154,626,590,719,0.28374,0.24886,6.8,8481527
133,Jackson LaCombe,ANA,D,229,1124,1311,1195,0.2734,0.24997,6.8,8481605
134,William Lagesson,DET,D,47,141,123,178,0.32574,0.24928,6.8,8478021
135,Simon Nemec,NJD,D,155,725,621,662,0.28286,0.24885,6.8,8483495
136,Andrew Peeke,BOS,D,271,1119,1492,1309,0.26789,0.24604,6.7,8479369
137,Luke Schenn,BUF,D,259,857,1037,1195,0.27426,0.24798,6.7,8474568
138,Brendan Smith,CBJ,D,170,586,658,610,0.28068,0.2477,6.7,8474090
139,Nicolas Hague,NSH,D,285,1287,1373,1419,0.26856,0.24578,6.7,8479980
140,Cale Fleury,SEA,D,49,165,186,191,0.30974,0.24771,6.7,8479985
141,Marc-Edouard Vlasic,SJS,D,162,511,829,742,0.27225,0.24305,6.6,8471709
142,Calvin de Haan,NYR,D,159,470,585,708,0.27831,0.24353,6.6,8475177
143,Morgan Rielly,TOR,D,297,1998,1397,1511,0.26756,0.24501,6.6,8476853
144,Mark Giordano,TOR,D,124,501,518,535,0.28006,0.24312,6.6,8470966
145,Shayne Gostisbehere,CAR,D,281,1468,1084,1340,0.26918,0.24363,6.6,8476906
146,Nikita Zadorov,BOS,D,319,1571,1647,1625,0.26608,0.2453,6.6,8477507
147,Neal Pionk,WPG,D,284,1389,1483,1497,0.26604,0.24418,6.6,8480145
148,Colton Parayko,STL,D,301,1449,2078,1855,0.2625,0.24403,6.6,8476892
149,Andreas Englund,NSH,D,167,465,530,591,0.28002,0.24348,6.6,8477971
150,Simon Edvinsson,DET,D,175,840,1027,952,0.26972,0.24347,6.6,8482762
151,Ryker Evans,SEA,D,175,738,672,782,0.27635,0.24389,6.6,8482858
152,Rasmus Sandin,WSH,D,294,1485,1403,1448,0.26369,0.2413,6.5,8480873
153,Jordan Harris,BOS,D,162,485,622,676,0.27424,0.24065,6.5,8480887
154,Travis Sanheim,PHI,D,325,1728,1903,2157,0.25958,0.24038,6.5,8477948
155,Nick Leddy,SJS,D,223,1005,1310,1296,0.26498,0.2418,6.5,8475181
156,Connor Mackey,NYR,D,36,119,133,143,0.3148,0.24201,6.5,8482067
157,Nick DeSimone,UTA,D,97,406,305,382,0.28999,0.24192,6.5,8480084
158,Charlie McAvoy,BOS,D,260,1792,1396,1316,0.26298,0.24056,6.5,8479325
159,Tyler Kleven,OTT,D,166,656,557,840,0.2771,0.24155,6.5,8482095
160,Jayden Struble,MTL,D,171,614,488,660,0.27935,0.24138,6.5,8481593
161,Rasmus Andersson,VGK,D,319,2168,1885,1908,0.25614,0.23694,6.4,8478397
162,Dante Fabbro,CBJ,D,277,1300,1282,1377,0.2572,0.23402,6.3,8479371
163,TJ Brodie,CHI,D,190,959,916,982,0.26089,0.2335,6.3,8474673
164,David Savard,MTL,D,197,758,968,975,0.26209,0.23537,6.3,8475233
165,Troy Stecher,TOR,D,265,915,1087,1105,0.25901,0.23385,6.3,8479442
166,Gavin Bayreuther,CBJ,D,51,215,201,192,0.29232,0.23381,6.3,8479945
167,Jacob Bernard-Docker,DET,D,194,757,785,811,0.26456,0.23491,6.3,8480879
168,Philip Broberg,STL,D,206,965,1046,961,0.26119,0.23548,6.3,8481598
169,Darren Raddysh,TBL,D,245,1342,989,1091,0.26035,0.23396,6.3,8478178
170,Seth Jones,FLA,D,254,1513,1404,1410,0.2554,0.23328,6.2,8477495
171,Dmitry Kulikov,FLA,D,232,1186,1060,1220,0.25733,0.23192,6.2,8475179
172,Egor Zamula,CBJ,D,176,628,572,643,0.26527,0.23074,6.2,8481178
173,Ilya Lyubushkin,DAL,D,275,908,1234,1298,0.25487,0.23135,6.2,8480950
174,Mathew Dumba,PIT,D,229,1022,1092,1104,0.2577,0.23264,6.2,8476856
175,Justin Faulk,DET,D,298,1640,1558,1506,0.25244,0.23149,6.2,8475753
176,Tyler Myers,DAL,D,299,1167,1613,1573,0.25206,0.23148,6.2,8474574
177,Matt Grzelcyk,CHI,D,289,1669,1315,1414,0.2539,0.23111,6.2,8476891
178,Joel Edmundson,LAK,D,268,1403,1254,1372,0.25654,0.23314,6.2,8476441
179,Marcus Bjork,CBJ,D,33,129,178,154,0.29484,0.23276,6.2,8483620
180,Scott Perunovich,NYI,D,89,385,224,305,0.28641,0.2312,6.2,8481059
181,Keaton Middleton,COL,D,44,82,117,136,0.30827,0.23181,6.2,8479387
182,Jaycob Megna,VGK,D,110,523,465,547,0.26798,0.22975,6.1,8477034
183,Brandon Carlo,TOR,D,289,812,1660,1448,0.24916,0.22895,6.1,8478443
184,Radko Gudas,ANA,D,275,1064,1315,1251,0.25207,0.22935,6.1,8475462
185,Noah Dobson,MTL,D,308,1778,1526,1573,0.24911,0.22806,6.1,8480865
186,Moritz Seider,DET,D,328,1527,2085,1882,0.24797,0.22991,6.1,8481542
187,Filip Hronek,VAN,D,287,1753,1544,1556,0.24828,0.22738,6.1,8479425
188,Nick Perbix,NSH,D,298,1315,1304,1432,0.25053,0.22777,6.1,8480246
189,Mike Matheson,MTL,D,288,1368,1871,1642,0.24678,0.22778,6.1,8476875
190,Erik Gustafsson,DET,D,208,1073,682,860,0.25788,0.22646,6.0,8476979
191,Jeff Petry,MIN,D,245,1058,1136,1215,0.2504,0.22607,6.0,8473507
192,J.J. Moser,TBL,D,295,1323,1556,1601,0.24689,0.22611,6.0,8482655
193,Justin Braun,PHI,D,51,191,205,215,0.28244,0.22526,6.0,8474027
194,Jake McCabe,TOR,D,295,1259,1702,1731,0.24676,0.22687,6.0,8476931
195,Cam York,PHI,D,276,1443,1471,1754,0.24666,0.22531,6.0,8481546
196,Uvis Balinskis,FLA,D,156,691,488,713,0.26392,0.22676,6.0,8484304
197,Pavel Mintyukov,ANA,D,203,850,958,942,0.25154,0.2251,6.0,8483490
198,Sam Dickinson,SJS,D,71,277,313,326,0.27202,0.22571,6.0,8484806
199,Kaiden Guhle,MTL,D,208,873,1218,1252,0.24682,0.22342,5.9,8482087
200,Ryan Pulock,NYI,D,290,1405,1771,1748,0.24167,0.2223,5.9,8477506
201,Alexander Romanov,NYI,D,236,1117,1258,1244,0.24501,0.22204,5.9,8481014
202,Jake Walman,EDM,D,243,1172,1265,1204,0.2462,0.22325,5.9,8478013
203,Ryan Shea,PIT,D,150,490,618,643,0.25428,0.22154,5.9,8478854
204,Ilya Solovyov,PIT,D,45,146,154,185,0.29007,0.2242,5.9,8482470
205,Jack Thompson,SJS,D,34,147,116,141,0.29992,0.22404,5.9,8482144
206,Olen Zellweger,ANA,D,164,814,651,686,0.25526,0.22327,5.9,8482803
207,Scott Morrow,NYR,D,45,198,152,202,0.28794,0.22189,5.9,8482666
208,Matthew Robertson,NYR,D,74,280,301,313,0.27057,0.2235,5.9,8481525
209,Alec Martinez,CHI,D,176,816,889,876,0.24724,0.22001,5.8,8474166
210,Arber Xhekaj,MTL,D,230,782,670,877,0.25215,0.22074,5.8,8482964
211,Alec Regula,EDM,D,33,121,101,141,0.29912,0.21852,5.8,8480831
