rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Jaccob Slavin,CAR,D,39,199,187,219,0.44914,0.37958,10.0,8476958
2,K'Andre Miller,CAR,D,72,476,358,402,0.43152,0.3812,10.0,8480817
3,Sean Walker,CAR,D,81,521,411,483,0.41287,0.36629,9.6,8480336
4,Devon Toews,COL,D,67,495,323,403,0.40571,0.35357,9.3,8478038
5,Sam Malinski,COL,D,81,378,361,382,0.39272,0.34372,9.0,8484258
6,Jakob Chychrun,WSH,D,80,492,351,412,0.39273,0.34307,9.0,8479345
7,John Carlson,ANA,D,70,383,332,333,0.38953,0.33862,8.9,8474590
8,Erik Karlsson,PIT,D,75,473,387,410,0.37352,0.32679,8.6,8474578
9,Cale Makar,COL,D,74,558,337,410,0.37712,0.32703,8.6,8480069
10,Brian Dumoulin,LAK,D,81,315,378,395,0.36927,0.32216,8.4,8475208
11,Luke Hughes,NJD,D,68,474,369,392,0.36794,0.32033,8.4,8482684
12,Damon Severson,CBJ,D,71,413,437,431,0.36372,0.31999,8.4,8476923
13,Matt Roy,WSH,D,79,357,394,382,0.36277,0.31683,8.3,8478911
14,Kris Letang,PIT,D,74,433,326,365,0.36432,0.31394,8.2,8471724
15,Noah Hanifin,VGK,D,72,489,326,408,0.36089,0.31066,8.1,8478396
16,Jalen Chatfield,CAR,D,72,435,338,427,0.35839,0.30912,8.1,8478970
17,Adam Wilsby,NSH,D,57,216,287,284,0.36379,0.31027,8.1,8482482
18,Adam Fox,NYR,D,55,391,307,379,0.35626,0.30477,8.0,8479323
19,Jake Sanderson,OTT,D,67,397,402,379,0.3503,0.30529,8.0,8482105
20,Alexandre Carrier,MTL,D,73,239,340,373,0.3499,0.30114,7.9,8478851
21,Brady Skjei,NSH,D,81,376,531,487,0.34251,0.30341,7.9,8476869
22,Martin Fehérváry,WSH,D,81,250,445,385,0.34019,0.29771,7.8,8480796
23,Dougie Hamilton,NJD,D,77,421,371,460,0.34319,0.29671,7.8,8476462
24,Samuel Girard,PIT,D,60,272,284,281,0.34698,0.294,7.7,8479398
25,Brenden Dillon,NJD,D,82,357,348,327,0.33858,0.29086,7.6,8475455
26,Nick DeSimone,UTA,D,39,147,135,162,0.36696,0.29039,7.6,8480084
27,Rasmus Dahlin,BUF,D,77,447,431,511,0.33104,0.28828,7.5,8480839
28,Zach Werenski,CBJ,D,75,598,475,492,0.32879,0.28806,7.5,8478460
29,Josh Morrissey,WPG,D,76,587,358,454,0.33265,0.28584,7.5,8477504
30,Joel Nystrom,CAR,D,38,232,124,193,0.36554,0.286,7.5,8482911
31,Parker Wotherspoon,PIT,D,80,404,407,450,0.32866,0.28481,7.4,8478450
32,Nikita Zadorov,BOS,D,81,365,474,436,0.32553,0.2849,7.4,8477507
33,Simon Nemec,NJD,D,68,335,298,292,0.33583,0.2846,7.4,8483495
34,Alexander Nikishin,CAR,D,81,484,270,414,0.33875,0.28491,7.4,8482100
35,Owen Power,BUF,D,81,416,426,414,0.32512,0.28238,7.4,8482671
36,Philippe Myers,TOR,D,39,105,152,140,0.35411,0.28253,7.4,8479026
37,Brandt Clarke,LAK,D,81,526,328,384,0.32948,0.28084,7.3,8482730
38,Joel Hanley,CGY,D,68,305,193,244,0.34167,0.27843,7.3,8477810
39,Simon Edvinsson,DET,D,72,344,448,463,0.31969,0.27819,7.3,8482762
40,Cody Ceci,LAK,D,82,255,391,377,0.31898,0.27473,7.2,8476879
41,Quinn Hughes,MIN,D,74,564,474,502,0.31657,0.27631,7.2,8480800
42,J.J. Moser,TBL,D,79,446,388,413,0.32045,0.27597,7.2,8482655
43,Josh Manson,COL,D,79,340,404,414,0.31481,0.27144,7.1,8476312
44,Bowen Byram,BUF,D,82,400,466,455,0.31238,0.27198,7.1,8481524
45,Brock Faber,MIN,D,80,510,554,562,0.30983,0.27275,7.1,8482122
46,Lane Hutson,MTL,D,82,479,329,425,0.31581,0.26795,7.0,8483457
47,Henri Jokiharju,BOS,D,41,167,215,220,0.32818,0.26891,7.0,8480035
48,Rasmus Sandin,WSH,D,73,349,358,349,0.31254,0.26673,7.0,8480873
49,Moritz Seider,DET,D,82,407,543,539,0.30652,0.26922,7.0,8481542
50,Andrew Peeke,BOS,D,77,306,417,392,0.30769,0.26532,6.9,8479369
51,Brett Kulak,COL,D,82,341,341,398,0.31213,0.26527,6.9,8476967
52,Jamie Drysdale,PHI,D,78,401,354,413,0.31098,0.265,6.9,8482142
53,Tyler Kleven,OTT,D,70,286,253,413,0.31913,0.26476,6.9,8482095
54,Mattias Samuelsson,BUF,D,78,411,470,501,0.3009,0.26118,6.8,8480807
55,Jonas Brodin,MIN,D,62,314,341,344,0.30727,0.26067,6.8,8476463
56,Jordan Spence,OTT,D,73,471,226,393,0.31818,0.26093,6.8,8481606
57,Yan Kuznetsov,CGY,D,57,316,269,349,0.31215,0.25974,6.8,8482165
58,Darren Raddysh,TBL,D,73,395,345,349,0.30173,0.25569,6.7,8478178
59,Roman Josi,NSH,D,68,452,420,416,0.29901,0.25721,6.7,8474600
60,Olli Määttä,CGY,D,42,168,162,195,0.32251,0.25536,6.7,8476874
61,Scott Morrow,NYR,D,29,106,106,110,0.34021,0.25702,6.7,8482666
62,MacKenzie Weegar,UTA,D,78,497,440,514,0.29551,0.2548,6.6,8477346
63,Zach Whitecloud,CGY,D,78,351,365,426,0.29806,0.25344,6.6,8480727
64,Tony DeAngelo,NYI,D,76,435,339,353,0.29926,0.25299,6.6,8477950
65,Ivan Provorov,CBJ,D,82,470,543,510,0.28892,0.25238,6.6,8478500
66,Dylan DeMelo,WPG,D,81,510,387,490,0.29733,0.25396,6.6,8476331
67,John Klingberg,SJS,D,55,296,267,274,0.30466,0.25255,6.6,8475906
68,Vince Dunn,SEA,D,80,468,498,459,0.28981,0.25169,6.6,8478407
69,Mattias Ekholm,EDM,D,81,481,305,418,0.29736,0.24884,6.5,8475218
70,Artem Zub,OTT,D,81,319,500,446,0.28674,0.24884,6.5,8482245
71,Sean Durzi,UTA,D,60,357,276,312,0.29869,0.24776,6.5,8480434
72,Jackson LaCombe,ANA,D,81,461,505,511,0.2888,0.25098,6.5,8481605
73,Ryan McDonagh,TBL,D,48,191,232,232,0.30287,0.24735,6.4,8474151
74,Miro Heiskanen,DAL,D,77,469,378,410,0.28842,0.24506,6.4,8480036
75,Ilya Solovyov,PIT,D,30,86,96,126,0.33083,0.24482,6.4,8482470
76,Emil Andrae,PHI,D,61,250,196,231,0.30706,0.24671,6.4,8482126
77,Johnathan Kovacevic,NJD,D,34,123,181,164,0.30711,0.24449,6.4,8480192
78,Jonas Siegenthaler,NJD,D,82,365,435,485,0.28056,0.2404,6.3,8478399
79,Nils Lundkvist,DAL,D,52,205,259,283,0.29558,0.24332,6.3,8480878
80,Mikhail Sergachev,UTA,D,77,491,476,470,0.28184,0.24329,6.3,8479410
81,Vladislav Gavrikov,NYR,D,82,547,487,548,0.27514,0.23735,6.2,8478882
82,Drew Doughty,LAK,D,71,390,381,443,0.27998,0.23726,6.2,8474563
83,Noah Dobson,MTL,D,80,464,456,489,0.27922,0.24002,6.2,8480865
84,Evan Bouchard,EDM,D,81,503,306,420,0.28659,0.23882,6.2,8480803
85,Spencer Stastney,EDM,D,66,262,263,292,0.29083,0.23927,6.2,8481056
86,Nate Schmidt,UTA,D,81,405,373,442,0.28224,0.23896,6.2,8477220
87,Adam Larsson,SEA,D,81,422,521,478,0.27449,0.23792,6.2,8476457
88,Olen Zellweger,ANA,D,76,334,267,326,0.28929,0.2382,6.2,8482803
89,Jayden Struble,MTL,D,59,210,149,205,0.30669,0.23828,6.2,8481593
90,Gustav Forsling,FLA,D,80,461,402,438,0.27464,0.2333,6.1,8478055
91,Erik Cernak,TBL,D,61,220,293,319,0.2826,0.23411,6.1,8478416
92,Esa Lindell,DAL,D,82,376,406,478,0.274,0.23288,6.1,8476902
93,Brandon Montour,SEA,D,63,358,340,281,0.27768,0.23276,6.1,8477986
94,Nicolas Hague,NSH,D,63,281,331,326,0.28009,0.23445,6.1,8479980
95,Brent Burns,COL,D,81,397,429,424,0.27192,0.23197,6.0,8470613
96,Jeremy Lauzon,VGK,D,68,296,300,358,0.2769,0.22933,6.0,8478468
97,Brayden McNabb,VGK,D,64,332,325,334,0.2747,0.22901,6.0,8475188
98,Adam Pelech,NYI,D,82,435,449,462,0.27085,0.23181,6.0,8476917
99,Justin Barron,NSH,D,51,178,199,218,0.28766,0.22926,6.0,8482111
100,Dmitry Orlov,SJS,D,81,406,440,442,0.27066,0.23126,6.0,8475200
101,Aaron Ekblad,FLA,D,72,388,352,393,0.27069,0.22694,5.9,8477932
102,Morgan Rielly,TOR,D,78,583,317,399,0.27172,0.2257,5.9,8476853
103,Kaedan Korczak,VGK,D,78,311,271,345,0.27843,0.22844,5.9,8481527
104,Mario Ferraro,SJS,D,82,314,453,410,0.26733,0.22865,5.9,8479983
105,Sam Dickinson,SJS,D,71,277,313,326,0.27202,0.22571,5.9,8484806
106,Matthew Robertson,NYR,D,72,262,294,298,0.27559,0.22766,5.9,8481525
107,Jake Walman,EDM,D,52,281,215,240,0.28176,0.22587,5.9,8478013
108,Ryan Shea,PIT,D,80,325,360,376,0.26749,0.2244,5.8,8478854
109,Mike Matheson,MTL,D,78,344,539,496,0.25889,0.2237,5.8,8476875
110,Alec Regula,EDM,D,29,105,89,124,0.31071,0.22408,5.8,8480831
111,Shea Theodore,VGK,D,71,429,394,377,0.26328,0.22223,5.8,8477447
112,Victor Hedman,TBL,D,33,126,101,151,0.30224,0.22128,5.8,8475167
113,Hampus Lindholm,BOS,D,67,305,328,366,0.26549,0.22062,5.7,8476854
114,Charlie McAvoy,BOS,D,69,420,409,384,0.26126,0.22105,5.7,8479325
115,Ben Chiarot,DET,D,82,444,470,461,0.25548,0.21814,5.7,8475279
116,Philip Broberg,STL,D,80,389,470,414,0.2548,0.21751,5.7,8481598
117,John Marino,UTA,D,79,402,423,451,0.25846,0.21904,5.7,8478507
118,Jacob Bernard-Docker,DET,D,63,232,273,235,0.2693,0.22015,5.7,8480879
119,Joel Edmundson,LAK,D,81,479,340,384,0.26059,0.21679,5.6,8476441
120,Trevor van Riemsdyk,WSH,D,68,206,282,337,0.26314,0.21517,5.6,8477845
121,Axel Sandin-Pellikka,DET,D,68,318,268,267,0.26444,0.21523,5.6,8484223
122,Justin Faulk,DET,D,78,382,393,422,0.25554,0.21493,5.6,8475753
123,Kyle Capobianco,DAL,D,33,96,81,95,0.30693,0.21714,5.6,8478476
124,Dylan Samberg,WPG,D,65,283,345,361,0.25932,0.2159,5.6,8480049
125,Brayden Pachal,CGY,D,38,147,117,129,0.28489,0.21096,5.5,8481167
126,Kevin Bahl,CGY,D,76,380,497,431,0.24674,0.21088,5.5,8480860
127,Matthew Schaefer,NYI,D,82,418,380,440,0.25475,0.21354,5.5,8485366
128,Shayne Gostisbehere,CAR,D,55,368,163,286,0.27633,0.21343,5.5,8476906
129,Marcus Pettersson,VAN,D,81,306,512,436,0.24767,0.21226,5.5,8477969
130,Declan Chisholm,WSH,D,26,67,82,93,0.30144,0.21285,5.5,8480990
131,Cam York,PHI,D,74,353,388,472,0.25171,0.21111,5.5,8481546
132,Jeff Petry,MIN,D,67,246,201,324,0.26593,0.20965,5.4,8473507
133,Darnell Nurse,EDM,D,81,439,395,476,0.2468,0.20685,5.4,8477498
134,Thomas Chabot,OTT,D,57,278,225,278,0.26019,0.20723,5.4,8478469
135,Nick Perbix,NSH,D,78,357,401,407,0.24667,0.20701,5.4,8480246
136,Dmitri Simashev,UTA,D,27,112,107,131,0.28377,0.207,5.4,8484386
137,Filip Hronek,VAN,D,81,550,489,458,0.24397,0.208,5.4,8479425
138,Nick Leddy,SJS,D,32,169,139,155,0.27355,0.20629,5.4,8475181
139,Jacob Trouba,ANA,D,80,463,488,502,0.24586,0.20974,5.4,8476885
140,Rasmus Andersson,VGK,D,81,534,475,475,0.24106,0.20477,5.3,8478397
141,Albert Johansson,DET,D,82,325,350,309,0.24847,0.20609,5.3,8481607
142,Scott Mayfield,NYI,D,80,290,263,350,0.25212,0.20347,5.3,8476429
