rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Jordan Staal,CAR,C,311,1335,1448,1637,0.43668,0.41134,10.0,8473533
2,Jordan Martinook,CAR,L,320,1388,1428,1670,0.42144,0.39608,9.6,8476921
3,Jesper Fast,CAR,R,153,649,600,747,0.42967,0.39063,9.5,8475855
4,Luke Evangelista,NSH,R,252,1000,712,925,0.42199,0.38623,9.4,8482146
5,Nathan MacKinnon,COL,C,312,2513,1354,1796,0.39169,0.36603,8.9,8477492
6,Warren Foegele,OTT,L,299,1128,1135,1243,0.38999,0.36203,8.8,8477998
7,Blake Coleman,CGY,C,310,1249,1643,1443,0.37865,0.3555,8.6,8476399
8,Ryan McLeod,BUF,C,298,1006,1122,1215,0.37818,0.35027,8.5,8480802
9,Phillip Danault,MTL,C,315,1159,1321,1322,0.36991,0.34429,8.4,8476479
10,Jesperi Kotkaniemi,CAR,C,281,1218,802,1066,0.37732,0.34443,8.4,8480829
11,Andrei Svechnikov,CAR,R,274,1425,1011,1098,0.37516,0.34584,8.4,8480830
12,Leon Draisaitl,EDM,C,297,1818,1365,1438,0.37085,0.34562,8.4,8477934
13,Seth Jarvis,CAR,C,307,1512,1079,1204,0.36908,0.3408,8.3,8482093
14,Valeri Nichushkin,COL,R,221,1113,935,986,0.3716,0.34121,8.3,8477501
15,Connor McDavid,EDM,C,306,1898,1170,1429,0.36967,0.34248,8.3,8478402
16,Matthew Tkachuk,FLA,L,242,1235,881,1122,0.37387,0.34254,8.3,8479314
17,Dryden Hunt,CGY,L,73,170,164,179,0.41525,0.34262,8.3,8478211
18,Ivan Ivan,COL,C,49,57,119,138,0.42834,0.34305,8.3,8483930
19,Viktor Arvidsson,BOS,L,231,857,893,925,0.36734,0.33635,8.2,8478042
20,Trevor Moore,LAK,C,280,1086,1158,1258,0.35935,0.33222,8.1,8479675
21,Kevin Fiala,LAK,L,288,1249,1102,1196,0.35981,0.33201,8.1,8477942
22,Aleksander Barkov,FLA,C,208,977,902,986,0.36495,0.33417,8.1,8477493
23,Mikael Backlund,CGY,C,321,1248,1829,1480,0.35478,0.33317,8.1,8474150
24,Alexis Lafrenière,NYR,L,327,1499,888,1283,0.35903,0.32815,8.0,8482109
25,John Hayden,SEA,C,32,54,53,91,0.45872,0.33193,8.0,8477401
