rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Austin Watson,DET,L,121,83,183,140,0.57663,0.50419,10.0,8475766
2,Nick Bonino,NYR,C,107,147,217,166,0.5553,0.48879,9.6,8474009
3,Justin Hryckowian,DAL,C,86,79,119,139,0.57302,0.48323,9.4,8484829
4,Ethen Frank,WSH,C,86,101,138,153,0.55226,0.46899,9.0,8483573
5,Derick Brassard,OTT,C,62,87,93,106,0.5668,0.46542,8.9,8473544
6,Ville Koivunen,PIT,R,47,94,56,85,0.59581,0.46517,8.9,8482758
7,Auston Matthews,TOR,C,282,693,506,644,0.50683,0.46338,8.8,8479318
8,Tyler Motte,DET,L,186,170,265,300,0.52125,0.46123,8.8,8477353
9,Ryan McLeod,BUF,C,298,495,555,595,0.49709,0.45565,8.6,8480802
10,Dryden Hunt,CGY,L,73,88,97,94,0.55646,0.45732,8.6,8478211
11,Radek Faksa,DAL,C,283,256,472,442,0.49664,0.45174,8.5,8476889
12,Zach Benson,BUF,L,211,405,354,427,0.50429,0.45244,8.5,8484145
13,Logan Couture,SJS,C,88,162,229,227,0.5123,0.44789,8.4,8474053
14,Owen Tippett,PHI,R,313,724,576,677,0.48801,0.4474,8.4,8480015
15,Blake Coleman,CGY,C,310,627,812,714,0.48288,0.44867,8.4,8476399
16,Warren Foegele,OTT,L,299,562,539,609,0.49143,0.44943,8.4,8477998
17,Jaret Anderson-Dolan,WPG,C,84,122,107,119,0.542,0.44778,8.4,8479994
18,Tomas Nosek,FLA,L,182,160,243,290,0.5082,0.4457,8.3,8477931
19,Morgan Frost,CGY,C,314,760,431,618,0.49332,0.44639,8.3,8480028
20,Yegor Sharangovich,CGY,C,307,684,502,585,0.48912,0.44564,8.3,8481068
21,Jordan Staal,CAR,C,311,573,634,713,0.48097,0.44231,8.2,8473533
22,Tim Stützle,OTT,L,315,826,531,647,0.4858,0.44354,8.2,8482116
23,Tye Kartye,NYR,L,204,269,286,340,0.50099,0.44342,8.2,8481789
24,Nic Dowd,VGK,C,286,177,835,508,0.47077,0.43713,8.1,8475343
25,Craig Smith,DET,C,198,248,300,348,0.49298,0.43686,8.1,8475225
26,Mathieu Joseph,LAK,R,238,333,414,439,0.48523,0.43745,8.1,8478472
27,Adam Klapka,CGY,R,115,135,143,164,0.51724,0.43596,8.0,8483609
28,Patrick Maroon,CHI,L,199,257,299,342,0.48812,0.43197,7.9,8474034
29,Michael Bunting,DAL,L,313,705,451,564,0.47895,0.43321,7.9,8478047
30,Brady Tkachuk,OTT,L,295,750,548,799,0.47249,0.43102,7.9,8480801
31,Mark Kastelic,BOS,C,271,223,447,365,0.47633,0.43043,7.9,8480355
32,Jonathan Drouin,STL,L,244,544,448,568,0.47623,0.43038,7.9,8477494
33,Jonas Rondbjerg,VGK,R,50,43,63,75,0.55396,0.43165,7.9,8480007
34,Matt Coronato,CGY,R,191,451,459,395,0.47737,0.43205,7.9,8482679
35,Boone Jenner,CBJ,C,219,457,481,467,0.47381,0.42958,7.8,8476432
36,Shane Pinto,OTT,C,265,436,607,572,0.4662,0.42685,7.8,8481596
37,William Carrier,CAR,L,208,326,349,505,0.47931,0.42741,7.8,8477478
38,Phillip Danault,MTL,C,315,561,621,624,0.46354,0.42466,7.7,8476479
39,Juraj Slafkovský,MTL,L,282,595,512,538,0.46779,0.42497,7.7,8483515
40,Leon Draisaitl,EDM,C,297,877,623,663,0.46372,0.4249,7.7,8477934
41,Parker Kelly,COL,L,296,333,427,471,0.47124,0.42436,7.7,8480448
42,Drake Batherson,OTT,R,325,799,548,695,0.46487,0.4235,7.7,8480208
43,Anthony Beauvillier,WSH,L,305,574,483,548,0.47003,0.42593,7.7,8478463
44,Mikael Backlund,CGY,C,321,615,911,733,0.45551,0.42342,7.7,8474150
45,Ivan Barbashev,VGK,C,316,812,582,671,0.46639,0.42621,7.7,8477964
