rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Dylan Strome,WSH,C,80,204,80,134,0.62363,0.51411,10.0,8478440
2,Cole Smith,VGK,L,63,64,127,136,0.59102,0.50407,9.7,8482062
3,Sidney Crosby,PIT,C,68,190,134,198,0.57248,0.48785,9.3,8471675
4,Zachary Bolduc,MTL,C,78,120,117,138,0.57921,0.48863,9.3,8482737
5,Adam Henrique,EDM,C,64,74,107,89,0.5808,0.48609,9.3,8474641
6,Justin Hryckowian,DAL,C,81,76,112,134,0.58104,0.48846,9.3,8484829
7,Nick Schmaltz,UTA,C,81,240,147,208,0.56495,0.48416,9.2,8477951
8,Nic Dowd,VGK,C,75,66,162,164,0.55645,0.47952,9.1,8475343
9,Michael Bunting,DAL,L,74,149,118,111,0.5662,0.47609,9.0,8478047
10,Mikko Rantanen,DAL,R,64,167,139,151,0.55325,0.47028,8.9,8478420
11,Owen Tippett,PHI,R,81,160,150,180,0.54345,0.46365,8.7,8480015
12,Colin Blackwell,DAL,C,70,52,107,93,0.55933,0.46482,8.7,8476278
13,Clayton Keller,UTA,R,81,255,129,215,0.54943,0.46338,8.7,8479343
14,Juraj Slafkovský,MTL,L,82,174,156,148,0.5387,0.46048,8.6,8483515
15,Kirby Dach,MTL,C,37,61,58,74,0.58442,0.45623,8.5,8481523
16,Tom Wilson,WSH,R,72,142,169,140,0.53008,0.455,8.5,8476880
17,Tim Stützle,OTT,L,80,195,92,121,0.55618,0.45443,8.5,8482116
18,Ethen Frank,WSH,C,62,63,110,122,0.54828,0.45521,8.5,8483573
19,Brendan Gallagher,MTL,R,77,93,106,134,0.54674,0.45199,8.4,8475848
20,Phillip Danault,MTL,C,75,97,155,139,0.52644,0.44815,8.3,8476479
21,Ivan Barbashev,VGK,C,82,248,146,173,0.52657,0.44594,8.2,8477964
22,Oskar Back,DAL,C,72,56,98,95,0.54118,0.44284,8.2,8480840
23,Cole Caufield,MTL,R,81,181,135,172,0.52481,0.44105,8.1,8481540
24,Adam Erne,DAL,L,45,37,65,69,0.55962,0.43898,8.1,8477454
25,Aliaksei Protas,WSH,C,76,180,179,158,0.51041,0.43773,8.0,8481656
26,Jack Drury,COL,C,81,115,130,115,0.51623,0.4311,7.9,8480835
27,Pierre-Luc Dubois,WSH,L,29,61,84,57,0.53841,0.43246,7.9,8479400
28,Jesperi Kotkaniemi,CAR,C,42,90,53,83,0.56494,0.43159,7.9,8480829
29,Alexander Kerfoot,UTA,C,33,36,57,52,0.5616,0.43297,7.9,8477021
30,Yegor Sharangovich,CGY,C,77,166,147,145,0.50791,0.42792,7.8,8481068
31,Bo Horvat,NYI,C,68,117,121,125,0.51546,0.42731,7.8,8477500
32,Dylan Guenther,UTA,R,79,178,165,164,0.50497,0.42944,7.8,8482699
33,Josh Anderson,MTL,R,72,64,125,126,0.51102,0.42437,7.7,8476981
34,Jake Evans,MTL,C,68,64,134,125,0.50952,0.4258,7.7,8478133
35,Oliver Kapanen,MTL,C,82,149,120,140,0.51151,0.42311,7.7,8482775
36,Brandon Duhaime,WSH,R,82,57,176,165,0.49709,0.42408,7.7,8479520
