rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Kevin Hayes,PIT,C,28,87,85,95,0.64902,0.54312,10.0,8475763
2,Arttu Hyry,DAL,R,20,45,61,61,0.64941,0.52408,9.4,8484938
3,Kirby Dach,MTL,C,37,112,118,162,0.60954,0.51939,9.3,8481523
4,Adam Erne,DAL,L,45,87,132,150,0.60367,0.51843,9.2,8477454
5,Tom Wilson,WSH,R,72,258,341,277,0.5556,0.50253,8.7,8476880
6,Aliaksei Protas,WSH,C,76,335,357,312,0.54838,0.49651,8.6,8481656
7,Nic Dowd,VGK,C,75,133,349,307,0.54778,0.49533,8.5,8475343
8,Dylan Strome,WSH,C,80,445,215,287,0.55777,0.49094,8.4,8478440
9,Cole Schwindt,FLA,R,30,65,60,100,0.61388,0.4874,8.3,8481655
10,Juraj Slafkovský,MTL,L,82,354,296,325,0.54091,0.48398,8.2,8483515
11,Oskar Back,DAL,C,72,113,208,241,0.55416,0.48623,8.2,8480840
12,Sidney Crosby,PIT,C,68,402,283,407,0.54124,0.48302,8.1,8471675
13,Phillip Danault,MTL,C,75,236,343,293,0.53324,0.48037,8.1,8476479
14,Zachary Bolduc,MTL,C,78,229,258,290,0.54146,0.4805,8.1,8482737
15,Colin Blackwell,DAL,C,70,126,205,218,0.54926,0.48087,8.1,8476278
16,Dylan Guenther,UTA,R,79,323,309,305,0.53635,0.48064,8.1,8482699
17,Cole Smith,VGK,L,63,102,265,273,0.53808,0.47793,8.0,8482062
18,Justin Hryckowian,DAL,C,81,175,232,280,0.54375,0.47946,8.0,8484829
19,Clayton Keller,UTA,R,81,476,258,392,0.53516,0.47422,7.9,8479343
20,Nick Schmaltz,UTA,C,81,457,296,377,0.52934,0.47246,7.8,8477951
21,Adam Henrique,EDM,C,64,151,265,203,0.52728,0.46721,7.7,8474641
22,Pavol Regenda,SJS,L,23,48,89,87,0.57361,0.46992,7.7,8483630
23,Cole Caufield,MTL,R,81,358,266,372,0.52472,0.46478,7.6,8481540
24,Nathan Bastian,DAL,R,36,59,81,84,0.57256,0.46395,7.6,8479414
25,Radek Faksa,DAL,C,58,78,186,170,0.53624,0.46457,7.6,8476889
26,Ethen Frank,WSH,C,62,109,224,210,0.52951,0.4642,7.6,8483573
27,Nick Suzuki,MTL,C,82,369,335,388,0.51714,0.46374,7.5,8480018
28,Alex DeBrincat,DET,R,82,352,346,343,0.51446,0.46193,7.5,8479337
29,Michael Amadio,OTT,C,81,195,416,411,0.50916,0.46125,7.5,8478020
30,Mattias Janmark,EDM,C,43,83,137,142,0.54493,0.46146,7.5,8477406
31,Pierre-Luc Dubois,WSH,L,29,102,138,114,0.53791,0.45483,7.3,8479400
32,Kasperi Kapanen,EDM,R,40,124,123,165,0.54451,0.45648,7.3,8477953
33,Mark Stone,VGK,R,61,311,208,245,0.52021,0.45257,7.2,8475913
34,Ivan Barbashev,VGK,C,82,454,288,321,0.51106,0.45357,7.2,8477964
35,Patrick Kane,DET,R,67,307,263,275,0.51423,0.45405,7.2,8474141
36,Eric Robinson,CAR,L,67,276,188,265,0.52405,0.4529,7.2,8480762
37,Timo Meier,NJD,R,77,337,410,396,0.50093,0.45275,7.2,8478414
38,Ryan Reaves,SJS,R,50,75,110,160,0.54699,0.45395,7.2,8471817
39,Danton Heinen,CBJ,L,46,114,169,140,0.52614,0.45112,7.2,8478046
40,Brandon Duhaime,WSH,R,82,103,365,282,0.50014,0.44911,7.1,8479520
41,Alex Tuch,BUF,R,79,379,300,359,0.50406,0.44779,7.1,8477949
42,Mathieu Joseph,LAK,R,50,115,156,192,0.52778,0.44971,7.1,8478472
43,Jack Drury,COL,C,81,249,306,295,0.50026,0.44458,7.0,8480835
44,J.T. Compher,DET,L,82,282,361,316,0.49609,0.44483,7.0,8477456
45,Michael McCarron,MIN,R,79,156,386,298,0.4951,0.44551,7.0,8477446
46,Zach Benson,BUF,L,65,219,237,274,0.50938,0.44609,7.0,8484145
47,Connor Dewar,PIT,C,78,96,417,252,0.48995,0.44228,6.9,8480980
48,Ryan McLeod,BUF,C,81,296,328,295,0.498,0.44423,6.9,8480802
49,Barrett Hayton,UTA,C,67,251,297,266,0.4984,0.44192,6.9,8480849
50,Kyle MacLean,NYI,C,59,142,149,213,0.52218,0.44243,6.9,8481237
51,Jesper Boqvist,FLA,C,73,223,200,279,0.508,0.43922,6.8,8480003
52,Shane Pinto,OTT,C,72,170,391,340,0.48985,0.44064,6.8,8481596
53,Sean Couturier,PHI,C,78,255,386,314,0.48947,0.43995,6.8,8476461
54,Macklin Celebrini,SJS,C,82,475,329,409,0.49419,0.44055,6.8,8484801
55,Tommy Novak,PIT,C,82,331,186,285,0.50928,0.43797,6.7,8478438
56,Yegor Sharangovich,CGY,C,77,304,275,269,0.49441,0.4358,6.7,8481068
57,Brett Howden,VGK,C,59,212,200,294,0.5045,0.43577,6.7,8479353
58,Brady Tkachuk,OTT,L,60,325,178,298,0.50861,0.43577,6.7,8480801
59,Owen Tippett,PHI,R,81,291,338,349,0.48996,0.43708,6.7,8480015
60,Nico Hischier,NJD,C,82,437,472,455,0.48058,0.43585,6.7,8480002
61,Jordan Staal,CAR,C,75,317,344,406,0.48843,0.43603,6.7,8473533
62,Jaroslav Chmelar,NYR,R,28,52,57,80,0.56415,0.43543,6.7,8482877
63,Adam Klapka,CGY,R,78,164,191,223,0.50232,0.43207,6.6,8483609
64,Dawson Mercer,NJD,C,82,345,382,372,0.48177,0.4321,6.6,8482110
65,Boone Jenner,CBJ,C,67,249,269,270,0.49119,0.43199,6.6,8476432
66,Michael Bunting,DAL,L,74,300,224,239,0.49774,0.43286,6.6,8478047
67,Drake Batherson,OTT,R,79,397,187,295,0.50473,0.4337,6.6,8480208
68,Joe Veleno,MTL,C,61,151,192,168,0.50426,0.43415,6.6,8480813
69,Josh Anderson,MTL,R,72,148,272,282,0.49014,0.43129,6.5,8476981
70,Jack Eichel,VGK,C,75,444,275,282,0.48958,0.43104,6.5,8478403
