rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Leon Draisaitl,EDM,C,297,1818,1365,1438,0.23635,0.21511,10.0,8477934
2,Sammy Blais,MTL,L,145,374,340,429,0.24877,0.21021,9.7,8478104
3,Michael Carcone,UTA,L,214,656,686,743,0.24051,0.21116,9.7,8479619
4,Tanner Jeannot,BOS,L,275,717,877,998,0.23434,0.20911,9.6,8479661
5,Yanni Gourde,TBL,C,300,1064,1219,1383,0.23092,0.20948,9.6,8476826
6,Kiefer Sherwood,SJS,L,249,711,877,1032,0.23013,0.20548,9.4,8480748
7,Keegan Kolesar,VGK,R,318,714,1116,1484,0.22683,0.20625,9.4,8478434
8,Jesper Fast,CAR,R,153,649,600,747,0.23449,0.20552,9.4,8475855
9,Connor McDavid,EDM,C,306,1898,1170,1429,0.22615,0.20521,9.4,8478402
10,Jordan Martinook,CAR,L,320,1388,1428,1670,0.22215,0.20286,9.2,8476921
11,Nicolas Deslauriers,CAR,L,202,385,347,503,0.2377,0.20257,9.2,8475235
12,Casey Cizikas,NYI,C,314,761,1285,1191,0.2256,0.20277,9.2,8475231
13,Ryan Reaves,SJS,R,207,304,490,556,0.23412,0.20082,9.1,8471817
14,Jordan Staal,CAR,C,311,1335,1448,1637,0.21981,0.20042,9.1,8473533
15,Zach Hyman,EDM,L,289,1637,1106,1228,0.2237,0.20128,9.1,8475786
16,Evander Kane,VAN,L,189,897,806,824,0.22878,0.20139,9.1,8475169
17,Seth Jarvis,CAR,C,307,1512,1079,1204,0.22181,0.19924,9.0,8482093
18,Evan Rodrigues,FLA,C,300,1333,1113,1192,0.22148,0.19882,9.0,8478542
19,Matt Martin,NYI,L,170,318,517,534,0.2336,0.19969,9.0,8474709
20,Nicolas Aube-Kubel,MIN,R,141,214,713,459,0.23406,0.19763,8.9,8477979
21,Oliver Bjorkstrand,TBL,R,322,1130,1013,1233,0.21966,0.19744,8.9,8477416
22,Mathew Barzal,NYI,C,249,1277,798,969,0.22238,0.19732,8.9,8478445
23,Kyle MacLean,NYI,C,172,444,436,548,0.23185,0.19846,8.9,8481237
24,Marc Gatcomb,NYI,C,88,243,203,317,0.24187,0.198,8.9,8483553
25,Nikita Kucherov,TBL,R,317,1835,1165,1281,0.21717,0.19545,8.8,8476453
26,Brandon Hagel,TBL,L,316,1333,1267,1426,0.21685,0.19624,8.8,8479542
27,Sean Kuraly,BOS,C,297,559,1305,997,0.22086,0.19621,8.8,8476374
28,Jack McBain,UTA,C,306,943,1125,1183,0.21879,0.19616,8.8,8480855
29,Nikolaj Ehlers,CAR,L,278,1375,877,1021,0.22046,0.19611,8.8,8477940
30,Tye Kartye,NYR,L,204,503,605,644,0.22695,0.19628,8.8,8481789
31,Arseny Gritsyuk,NJD,R,66,247,229,272,0.24385,0.19661,8.8,8481721
32,Jack Hughes,NJD,C,263,1471,683,1020,0.21916,0.19485,8.7,8481559
33,Matt Boldy,MIN,L,314,1342,1355,1405,0.2148,0.19411,8.7,8481557
34,Joel Eriksson Ek,MIN,C,271,1025,1237,1297,0.21543,0.19391,8.7,8478493
35,Ivan Barbashev,VGK,C,316,1513,1136,1281,0.21703,0.19532,8.7,8477964
36,Jacob Melanson,SEA,R,37,40,82,126,0.26388,0.19474,8.7,8482874
37,Nicolas Roy,COL,C,279,718,1130,1219,0.21572,0.19354,8.6,8478462
38,Conor Sheary,NYR,L,206,711,644,769,0.22124,0.19332,8.6,8477839
39,Pierre Engvall,NYI,L,212,660,685,776,0.22036,0.19261,8.6,8478115
40,Mason Marchment,CBJ,L,279,1259,1047,1115,0.21595,0.1928,8.6,8478975
41,Ross Johnston,ANA,L,189,339,481,483,0.22847,0.19326,8.6,8477527
42,Alex Laferriere,LAK,R,239,954,921,993,0.21775,0.19319,8.6,8482155
43,Sean Couturier,PHI,C,231,964,1060,948,0.21817,0.19305,8.6,8476461
44,Cole Smith,VGK,L,283,495,1135,1195,0.21434,0.192,8.5,8482062
45,Kevin Fiala,LAK,L,288,1249,1102,1196,0.21435,0.19203,8.5,8477942
46,Taylor Hall,CAR,L,228,949,709,868,0.2177,0.19152,8.5,8475791
47,Sebastian Aho,CAR,C,311,1655,1037,1125,0.2148,0.19179,8.5,8478427
48,Kirill Kaprizov,MIN,L,261,1627,988,1320,0.21281,0.19158,8.5,8478864
49,Logan Stankoven,CAR,C,183,781,603,703,0.22007,0.19101,8.5,8482702
50,Patrick Maroon,CHI,L,199,483,570,660,0.21991,0.18998,8.4,8474034
51,Corey Perry,TBL,R,288,902,646,816,0.21636,0.18947,8.4,8470621
52,Jack Eichel,VGK,C,282,1561,1083,1121,0.21321,0.19024,8.4,8478403
53,Brett Howden,VGK,C,265,892,948,1108,0.21234,0.18928,8.4,8479353
54,Garnet Hathaway,PHI,R,299,553,1113,1095,0.21233,0.18914,8.4,8477903
55,Jesperi Kotkaniemi,CAR,C,281,1218,802,1066,0.2139,0.19034,8.4,8480829
56,Juraj Slafkovský,MTL,L,282,1195,1040,1123,0.21253,0.1896,8.4,8483515
57,Tim Stützle,OTT,L,315,1681,1068,1296,0.21125,0.18989,8.4,8482116
58,Anders Lee,NYI,L,327,1472,1217,1296,0.21046,0.18914,8.4,8475314
59,Mats Zuccarello,MIN,R,275,1465,954,1191,0.21225,0.18997,8.4,8475692
60,Tyler Bertuzzi,CHI,L,291,1143,1118,1178,0.21233,0.18993,8.4,8477479
61,Morgan Barron,WPG,C,289,495,893,972,0.21444,0.18979,8.4,8480289
62,Anthony Cirelli,TBL,C,288,1104,1355,1304,0.2106,0.18933,8.4,8478519
63,Matt Savoie,EDM,C,86,357,239,305,0.23333,0.18936,8.4,8483512
64,Paul Cotter,NJD,C,289,858,924,923,0.2131,0.1879,8.3,8481032
65,Arthur Kaliyev,OTT,R,123,398,284,355,0.22864,0.188,8.3,8481560
66,Martin Necas,COL,C,316,1725,1099,1356,0.20969,0.18886,8.3,8480039
67,Alexander Kerfoot,UTA,C,278,872,1047,1050,0.21162,0.18799,8.3,8477021
68,Miles Wood,CBJ,L,241,622,945,831,0.2149,0.18832,8.3,8477425
69,Marcus Foligno,MIN,L,253,753,997,1010,0.21253,0.18842,8.3,8475220
70,Morgan Geekie,BOS,C,303,1259,1043,1080,0.21118,0.18788,8.3,8479987
71,Kailer Yamamoto,UTA,R,187,564,550,652,0.21844,0.18842,8.3,8479977
72,Yakov Trenin,MIN,C,311,721,1218,1101,0.21005,0.18702,8.2,8478508
73,Liam O'Brien,UTA,C,196,470,600,656,0.21653,0.18671,8.2,8477070
74,Nick Schmaltz,UTA,C,305,1503,1234,1321,0.20809,0.18706,8.2,8477951
75,Nathan Bastian,DAL,R,192,382,573,538,0.2191,0.18621,8.2,8479414
76,Carter Verhaeghe,FLA,C,315,1488,1209,1390,0.20667,0.1862,8.2,8477409
77,Ryan Hartman,MIN,R,278,1163,1180,1152,0.20896,0.18647,8.2,8477451
78,Michael McCarron,MIN,R,255,423,1150,996,0.21035,0.18618,8.2,8477446
79,William Carrier,CAR,L,208,676,753,1040,0.21023,0.18655,8.2,8477478
80,Mark Scheifele,WPG,C,318,1951,1180,1200,0.20825,0.18623,8.2,8476460
81,Pontus Holmberg,TBL,R,229,605,738,846,0.21336,0.18708,8.2,8480995
82,Hudson Fasching,NYI,R,137,320,446,547,0.21869,0.18607,8.2,8477392
83,Ben Kindel,PIT,C,77,250,204,258,0.23353,0.18605,8.2,8485414
84,Gabriel Landeskog,COL,L,60,286,253,255,0.23537,0.18747,8.2,8476455
85,Artemi Panarin,LAK,L,321,1709,914,1295,0.20659,0.18543,8.1,8478550
86,Nick Paul,TBL,L,289,983,1220,1189,0.2072,0.18513,8.1,8477426
87,Viktor Arvidsson,BOS,L,231,857,893,925,0.21074,0.18568,8.1,8478042
88,Marcus Johansson,MIN,L,305,1141,1215,1236,0.20715,0.18548,8.1,8475149
89,Andrei Svechnikov,CAR,R,274,1425,1011,1098,0.20847,0.18548,8.1,8480830
90,Jack Roslovic,EDM,C,285,1235,917,1072,0.209,0.18572,8.1,8478458
91,Cole Caufield,MTL,R,291,1368,1015,1353,0.20524,0.18457,8.1,8481540
92,Nick Suzuki,MTL,C,328,1548,1394,1542,0.2048,0.1854,8.1,8480018
93,Valeri Nichushkin,COL,R,221,1113,935,986,0.20883,0.18462,8.1,8477501
94,Bo Horvat,NYI,C,309,1482,1329,1292,0.20696,0.18576,8.1,8477500
95,Vasily Podkolzin,EDM,R,221,863,657,862,0.21032,0.18443,8.1,8481617
96,Ryan Poehling,ANA,C,272,681,1057,1029,0.20805,0.18436,8.1,8480068
97,Nick Bjugstad,NJD,C,281,860,1167,1202,0.20759,0.18561,8.1,8475760
98,Eetu Luostarinen,FLA,C,317,1319,1097,1397,0.20548,0.18511,8.1,8480185
99,Anton Lundell,FLA,C,294,1222,1019,1219,0.2074,0.18557,8.1,8482113
100,Nick Cousins,OTT,C,279,812,814,972,0.20951,0.18509,8.1,8476393
101,Sam Bennett,FLA,C,284,1367,1023,1253,0.20719,0.18566,8.1,8477935
102,Tyler Pitlick,MIN,C,127,200,321,368,0.2241,0.18447,8.1,8475752
103,Kevin Stenlund,UTA,C,296,722,1290,906,0.21099,0.18567,8.1,8478831
104,Bo Groulx,TOR,C,60,120,217,176,0.24192,0.1846,8.1,8480870
105,Jackson Blake,CAR,R,162,716,405,609,0.21538,0.18457,8.1,8482809
106,Brayden Point,TBL,C,303,1698,1084,1204,0.2058,0.18392,8.0,8478010
107,Vladislav Namestnikov,WPG,C,293,1114,746,1000,0.20735,0.18336,8.0,8476480
108,Vincent Trocheck,NYR,C,313,1475,1336,1236,0.20471,0.18315,8.0,8476389
109,Anze Kopitar,LAK,C,310,1418,1375,1325,0.20357,0.18276,8.0,8471685
110,Gabriel Vilardi,WPG,C,262,1332,796,996,0.20682,0.18282,8.0,8480014
111,Alex Iafallo,WPG,L,302,1022,934,1080,0.20606,0.183,8.0,8480113
112,Jonathan Marchessault,NSH,C,298,1466,1110,1116,0.20665,0.18392,8.0,8476539
113,Anthony Mantha,PIT,R,235,730,655,790,0.21016,0.18318,8.0,8477511
114,David Kampf,WSH,C,259,466,1079,875,0.20861,0.18299,8.0,8480144
115,Ryan Nugent-Hopkins,EDM,C,311,1367,1212,1213,0.20606,0.18424,8.0,8476454
116,Kasperi Kapanen,EDM,R,246,732,857,873,0.2095,0.18381,8.0,8477953
117,Matias Maccelli,TOR,L,272,945,978,1117,0.20603,0.18334,8.0,8481711
118,Michael McLeod,NJD,C,125,364,624,457,0.21899,0.1835,8.0,8479415
119,Travis Konecny,PHI,R,295,1489,1176,1318,0.20387,0.18299,8.0,8478439
120,Sam Reinhart,FLA,C,307,1386,1283,1367,0.20356,0.18306,8.0,8477933
121,Pierre-Luc Dubois,WSH,L,266,1188,1067,1042,0.20654,0.18306,8.0,8479400
122,Mackie Samoskevich,FLA,R,156,584,458,602,0.21527,0.1843,8.0,8482713
123,Eeli Tolvanen,SEA,R,300,1058,1164,1149,0.20498,0.18264,7.9,8480009
124,Barclay Goodrow,SJS,C,321,746,1304,1115,0.20515,0.18248,7.9,8476624
125,Pierre-Edouard Bellemare,SEA,L,113,215,253,288,0.22722,0.1826,7.9,8477930
126,Michael Amadio,OTT,C,293,869,1210,1164,0.20462,0.18243,7.9,8478020
127,Lars Eller,OTT,C,314,797,1380,1046,0.20499,0.18162,7.9,8474189
128,Nic Dowd,VGK,C,286,354,1710,1079,0.20532,0.18228,7.9,8475343
129,Nils Hoglander,VAN,L,214,720,637,669,0.21104,0.18182,7.9,8481535
130,Danton Heinen,CBJ,L,264,721,875,864,0.20799,0.18225,7.9,8478046
131,Kyle Connor,WPG,L,310,1879,1085,1207,0.20387,0.1821,7.9,8478398
132,Cole Perfetti,WPG,C,271,1186,679,857,0.20754,0.18172,7.9,8482149
133,Cal Clutterbuck,NYI,R,131,249,534,492,0.21597,0.18188,7.9,8473504
134,Beck Malenstyn,BUF,L,247,269,1065,860,0.20846,0.18264,7.9,8479359
135,Michael Eyssimont,BOS,C,268,697,830,1030,0.20589,0.18231,7.9,8479591
136,Colton Sissons,VGK,C,301,707,1334,1243,0.201,0.17966,7.8,8476925
137,Ross Colton,COL,C,294,939,1109,1137,0.202,0.17968,7.8,8479525
138,Mark Stone,VGK,R,226,1226,883,915,0.20572,0.18078,7.8,8475913
139,A.J. Greer,FLA,L,279,601,657,881,0.2062,0.18079,7.8,8478421
140,Dylan Strome,WSH,C,325,1765,816,1220,0.20229,0.1807,7.8,8478440
141,Aliaksei Protas,WSH,C,288,1021,1167,1120,0.20307,0.18054,7.8,8481656
142,Eric Robinson,CAR,L,268,862,926,1003,0.20448,0.18067,7.8,8480762
143,Derek Stepan,CAR,C,73,273,172,187,0.23585,0.1807,7.8,8474613
144,Andrei Kuzmenko,LAK,L,271,1069,738,939,0.20481,0.18023,7.8,8483808
145,Lawson Crouse,UTA,L,319,1093,1272,1471,0.20039,0.18073,7.8,8478474
146,Clayton Keller,UTA,R,322,1702,1307,1508,0.20036,0.18093,7.8,8479343
147,Ryan Lomberg,CGY,L,294,632,788,834,0.20692,0.1808,7.8,8479066
148,Brock Nelson,COL,C,324,1523,1299,1342,0.20165,0.18105,7.8,8475754
149,Noel Acciari,PIT,C,278,420,1483,852,0.20602,0.18022,7.8,8478569
150,Warren Foegele,OTT,L,299,1128,1135,1243,0.20187,0.18049,7.8,8477998
151,Jordan Greenway,BUF,L,203,675,826,816,0.20694,0.18055,7.8,8478413
152,Mark Jankowski,CAR,C,210,666,649,726,0.20757,0.17964,7.8,8476873
153,Beckett Sennecke,ANA,R,81,372,294,381,0.21859,0.18001,7.8,8484762
154,Adrian Kempe,LAK,C,320,1485,1375,1382,0.19936,0.17914,7.7,8477960
155,Carl Grundstrom,PHI,R,211,560,519,647,0.20811,0.1786,7.7,8479336
156,Paul Stastny,CAR,C,73,306,198,232,0.22821,0.17889,7.7,8471669
157,Victor Olofsson,CGY,L,260,919,793,843,0.20431,0.17846,7.7,8478109
158,Mark Kastelic,BOS,C,271,469,1037,868,0.20453,0.17902,7.7,8480355
159,Alex DeBrincat,DET,R,328,1464,1316,1338,0.19862,0.17812,7.7,8479337
160,Radek Faksa,DAL,C,283,548,1032,1016,0.20258,0.17901,7.7,8476889
161,Zack Ostapchuk,SJS,C,121,227,307,394,0.21712,0.17924,7.7,8482859
162,Cutter Gauthier,ANA,L,158,646,603,596,0.20961,0.17885,7.7,8483445
163,William Karlsson,VGK,C,220,926,823,781,0.20318,0.17645,7.6,8476448
164,Phillip Danault,MTL,C,315,1159,1321,1322,0.19858,0.17796,7.6,8476479
165,Alex Ovechkin,WSH,L,299,1834,523,1199,0.19882,0.1772,7.6,8471214
166,Connor Brown,NJD,R,232,664,742,855,0.20238,0.1768,7.6,8477015
167,Craig Smith,DET,C,198,480,584,695,0.20581,0.17741,7.6,8475225
168,Auston Matthews,TOR,C,282,1567,1118,1427,0.19635,0.17656,7.6,8479318
169,Ryan Donato,CHI,C,311,888,1046,1091,0.20068,0.17798,7.6,8477987
170,Conor Garland,CBJ,R,315,1142,1293,1234,0.19843,0.17713,7.6,8478856
171,Mason Appleton,DET,C,259,741,1164,1204,0.19907,0.17749,7.6,8478891
172,Trent Frederic,EDM,C,292,725,958,1110,0.19909,0.17666,7.6,8479365
173,Mason Shaw,MIN,C,79,112,200,173,0.23361,0.17676,7.6,8479972
174,Rasmus Kupari,WPG,C,153,316,397,408,0.21482,0.17772,7.6,8480845
175,Jeffrey Viel,ANA,L,53,151,181,208,0.22944,0.17752,7.6,8479705
176,Fredrik Olofsson,COL,L,85,126,212,237,0.22599,0.17736,7.6,8478028
177,Tom Wilson,WSH,R,260,1151,1031,1075,0.20062,0.17777,7.6,8476880
178,Bobby McMann,SEA,C,217,740,857,811,0.20333,0.17706,7.6,8482259
179,Zach Benson,BUF,L,211,729,709,786,0.2036,0.17692,7.6,8484145
180,Zachary Bolduc,MTL,C,175,483,505,588,0.20742,0.1766,7.6,8482737
181,Frank Nazar,CHI,C,122,430,482,430,0.21346,0.17735,7.6,8483493
182,Daniil But,UTA,L,29,101,70,83,0.25983,0.17761,7.6,8484388
183,Nino Niederreiter,WPG,R,297,917,1203,1338,0.1964,0.17599,7.5,8475799
184,Steven Stamkos,NSH,C,323,1586,1272,1289,0.1956,0.17487,7.5,8474564
185,Trevor Moore,LAK,C,280,1086,1158,1258,0.1964,0.17539,7.5,8479675
186,Charlie Coyle,CBJ,C,329,1068,1694,1317,0.19676,0.17619,7.5,8475745
187,Mathieu Olivier,CBJ,R,263,704,1156,1040,0.1992,0.17605,7.5,8479671
188,Teuvo Teravainen,CHI,L,301,1121,1077,1182,0.1967,0.17503,7.5,8476882
189,Barrett Hayton,UTA,C,264,1065,1124,1021,0.19958,0.17621,7.5,8480849
190,Anthony Beauvillier,WSH,L,305,1129,1042,1088,0.19787,0.17528,7.5,8478463
191,Connor Dewar,PIT,C,281,421,1031,797,0.20287,0.17641,7.5,8480980
192,Mikael Backlund,CGY,C,321,1248,1829,1480,0.1945,0.17514,7.5,8474150
193,Reese Johnson,MIN,C,102,137,267,265,0.22169,0.17585,7.5,8481147
194,Dylan Larkin,DET,C,304,1224,1411,1373,0.19577,0.17564,7.5,8477946
195,Adam Lowry,WPG,C,305,826,1570,1456,0.19518,0.17563,7.5,8476392
196,Mattias Janmark,EDM,C,260,644,857,957,0.20034,0.1762,7.5,8477406
197,Teddy Blueger,VAN,C,247,556,1046,927,0.20094,0.17641,7.5,8476927
198,Maxim Tsyplakov,NJD,R,126,422,361,420,0.21152,0.17517,7.5,8484958
199,Jani Nyman,SEA,R,39,124,78,102,0.24922,0.17541,7.5,8483497
200,Matt Duchene,DAL,C,290,1314,1119,1157,0.19547,0.17364,7.4,8475168
201,Jonah Gadjovich,FLA,L,126,251,266,317,0.21506,0.17338,7.4,8479981
202,Blake Lizotte,PIT,C,257,586,941,807,0.19958,0.17346,7.4,8481481
203,Evgeny Kuznetsov,CAR,C,144,649,419,552,0.20564,0.17401,7.4,8475744
204,Mitch Marner,VGK,R,311,1576,1198,1392,0.19358,0.17368,7.4,8478483
205,Colin Blackwell,DAL,C,230,478,748,725,0.20176,0.17415,7.4,8476278
206,Andre Burakovsky,CHI,L,252,1009,818,919,0.19786,0.17339,7.4,8477444
207,Jake Guentzel,TBL,L,306,1800,1186,1538,0.19364,0.17466,7.4,8477404
208,Yegor Sharangovich,CGY,C,307,1264,990,1068,0.19607,0.17336,7.4,8481068
209,Kyle Palmieri,NYI,C,244,1078,906,978,0.19737,0.17363,7.4,8475151
210,Aleksander Barkov,FLA,C,208,977,902,986,0.19752,0.17387,7.4,8477493
211,Matthew Tkachuk,FLA,L,242,1235,881,1122,0.19703,0.1748,7.4,8479314
212,Andrew Mangiapane,CHI,L,300,1115,1096,1203,0.19624,0.17478,7.4,8478233
213,Stefan Noesen,NJD,R,275,1026,824,1005,0.19815,0.17467,7.4,8476474
214,Jack Drury,COL,C,265,877,812,909,0.19897,0.17431,7.4,8480835
215,Simon Holmstrom,NYI,R,279,964,1025,997,0.19811,0.17455,7.4,8481601
216,Kirill Marchenko,CBJ,R,292,1500,1101,1304,0.19498,0.17439,7.4,8480893
217,Logan Cooley,UTA,C,210,859,710,730,0.20077,0.17331,7.4,8483431
218,Reid Schaefer,NSH,L,46,105,161,148,0.23455,0.17353,7.4,8483513
219,Timo Meier,NJD,R,304,1445,1432,1479,0.19118,0.17195,7.3,8478414
220,Tomas Hertl,VGK,C,289,1486,1167,1182,0.19397,0.17243,7.3,8476881
221,David Pastrnak,BOS,R,323,1938,1182,1150,0.19479,0.17293,7.3,8477956
222,Joel Farabee,CGY,L,326,1375,1167,1251,0.1928,0.17189,7.3,8480797
223,Jeff Skinner,SJS,L,257,1124,765,990,0.19622,0.17268,7.3,8475784
224,Zemgus Girgensons,TBL,L,299,839,1102,1216,0.19343,0.17221,7.3,8476878
225,Peyton Krebs,BUF,C,317,1003,1191,1202,0.1938,0.17244,7.3,8481522
226,Jean-Gabriel Pageau,NYI,C,305,975,1521,1221,0.19392,0.17272,7.3,8476419
227,Marco Rossi,VAN,C,232,983,780,841,0.19788,0.17236,7.3,8482079
228,Sam Steel,DAL,C,294,933,948,1100,0.19537,0.17302,7.3,8479351
229,Oskar Sundqvist,STL,C,257,572,940,824,0.19763,0.17187,7.3,8476897
230,Dylan Guenther,UTA,R,227,869,744,829,0.19784,0.17214,7.3,8482699
231,Joel Armia,LAK,R,256,660,881,934,0.19685,0.17261,7.3,8476469
232,Ridly Greig,OTT,C,247,864,1098,1016,0.19543,0.17221,7.3,8482092
