rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Jaccob Slavin,CAR,D,276,835,650,732,0.56884,0.53269,10.0,8476958
2,Drew Doughty,LAK,D,264,769,699,791,0.52855,0.4937,9.2,8474563
3,Brent Burns,COL,D,327,921,772,824,0.5171,0.48298,9.0,8470613
4,Sean Durzi,UTA,D,238,658,543,604,0.50369,0.46392,8.6,8480434
5,Jalen Chatfield,CAR,D,301,744,590,741,0.4968,0.46091,8.5,8478970
6,Mikey Anderson,LAK,D,307,732,800,854,0.49075,0.45734,8.4,8479998
7,Brett Pesce,NJD,D,261,794,640,712,0.49081,0.45423,8.4,8477488
8,Jackson LaCombe,ANA,D,229,646,682,617,0.49098,0.45171,8.3,8481605
9,Evan Bouchard,EDM,D,326,1021,678,791,0.47627,0.44166,8.1,8480803
10,Jared Spurgeon,MIN,D,240,644,691,626,0.47727,0.4384,8.1,8474716
11,Simon Nemec,NJD,D,155,378,311,326,0.49679,0.44286,8.1,8483495
12,Sean Walker,CAR,D,314,828,663,724,0.47153,0.43541,8.0,8480336
13,Sam Rinzel,CHI,D,63,178,131,156,0.51135,0.43358,8.0,8483506
14,Alexander Nikishin,CAR,D,81,231,141,212,0.50135,0.43462,8.0,8482100
15,Adam Fox,NYR,D,283,983,635,761,0.46458,0.42941,7.9,8479323
16,Josh Manson,COL,D,230,473,616,625,0.46802,0.42922,7.9,8476312
17,J.J. Moser,TBL,D,295,697,811,816,0.46227,0.42831,7.8,8482655
18,Joel Nystrom,CAR,D,38,116,63,102,0.52008,0.42417,7.8,8482911
19,Alexander Edler,LAK,D,64,127,108,111,0.51299,0.42114,7.7,8471303
20,Matt Roy,WSH,D,311,732,738,760,0.45475,0.41966,7.7,8478911
21,Brady Skjei,NSH,D,324,914,833,872,0.45214,0.41939,7.7,8476869
22,Mark Giordano,TOR,D,124,223,229,272,0.4778,0.41916,7.7,8470966
