rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Johnathan Kovacevic,NJD,D,34,60,86,88,0.68243,0.57929,10.0,8480192
2,Simon Nemec,NJD,D,68,180,157,152,0.61736,0.5381,9.2,8483495
3,Joshua Mahura,SEA,D,23,39,50,56,0.63782,0.50687,8.5,8479372
4,Jackson LaCombe,ANA,D,81,261,249,244,0.55276,0.49004,8.2,8481605
5,Ilya Solovyov,PIT,D,30,46,48,62,0.61628,0.49184,8.2,8482470
6,Sean Walker,CAR,D,81,256,191,233,0.54136,0.47722,8.0,8480336
7,Jaccob Slavin,CAR,D,39,94,90,111,0.56774,0.47484,7.9,8476958
8,Matthew Kessel,STL,D,29,46,32,56,0.60762,0.47681,7.9,8482516
9,Darren Raddysh,TBL,D,73,209,172,173,0.54352,0.46915,7.8,8478178
10,Jared Spurgeon,MIN,D,79,208,219,204,0.53025,0.46184,7.6,8474716
11,Conor Timmins,BUF,D,39,83,108,109,0.54605,0.45261,7.5,8479982
12,Mikey Anderson,LAK,D,79,172,228,228,0.51235,0.4478,7.4,8479998
13,Luke Hughes,NJD,D,68,246,163,198,0.52136,0.45203,7.4,8482684
14,J.J. Moser,TBL,D,79,234,194,199,0.52083,0.45169,7.4,8482655
15,Trevor van Riemsdyk,WSH,D,68,91,138,183,0.51559,0.44361,7.3,8477845
16,Parker Wotherspoon,PIT,D,80,217,203,238,0.50525,0.44215,7.2,8478450
17,Justin Faulk,DET,D,78,190,215,201,0.50592,0.43734,7.2,8475753
18,Brayden McNabb,VGK,D,64,174,138,173,0.50656,0.43273,7.1,8475188
19,Maxwell Crozier,TBL,D,35,83,65,57,0.56366,0.43496,7.1,8481719
20,Nick Jensen,OTT,D,61,113,104,147,0.51304,0.43294,7.1,8475324
21,K'Andre Miller,CAR,D,72,244,167,210,0.5,0.43298,7.1,8480817
22,Alexander Nikishin,CAR,D,81,231,141,212,0.50135,0.43462,7.1,8482100
23,Sam Rinzel,CHI,D,54,153,101,131,0.51302,0.42828,7.0,8483506
24,Thomas Chabot,OTT,D,57,131,106,134,0.51418,0.43034,7.0,8478469
25,Joel Nystrom,CAR,D,38,116,63,102,0.52008,0.42417,6.9,8482911
26,Drew Doughty,LAK,D,71,205,181,222,0.48682,0.42185,6.8,8474563
27,John Carlson,ANA,D,70,193,169,166,0.49383,0.41877,6.8,8474590
28,Tyler Tucker,STL,D,68,103,108,131,0.49792,0.41358,6.7,8481006
29,Alec Regula,EDM,D,29,49,37,56,0.53945,0.4106,6.6,8480831
30,Owen Power,BUF,D,81,230,229,220,0.47243,0.40749,6.6,8482671
31,Ian Moore,ANA,D,66,127,137,106,0.50127,0.40772,6.6,8482178
32,Brandt Clarke,LAK,D,81,258,160,189,0.47237,0.40246,6.5,8482730
33,Bowen Byram,BUF,D,82,219,256,234,0.46959,0.40665,6.5,8481524
34,Jacob Trouba,ANA,D,80,249,243,251,0.46724,0.40648,6.5,8476885
35,Brock Faber,MIN,D,80,275,298,296,0.4582,0.40233,6.4,8482122
36,Brian Dumoulin,LAK,D,81,166,167,195,0.46172,0.39316,6.3,8475208
37,Arber Xhekaj,MTL,D,65,93,66,108,0.48843,0.39619,6.3,8482964
38,Kaiden Guhle,MTL,D,39,68,96,86,0.49656,0.39332,6.3,8482087
39,MacKenzie Weegar,UTA,D,78,270,226,270,0.45206,0.39378,6.3,8477346
40,Noah Hanifin,VGK,D,72,239,166,196,0.46084,0.39248,6.3,8478396
41,Denton Mateychuk,CBJ,D,75,180,162,168,0.47091,0.39693,6.3,8483485
42,Tyler Kleven,OTT,D,70,138,101,194,0.4656,0.39675,6.3,8482095
43,Josh Manson,COL,D,79,164,202,222,0.4471,0.38315,6.1,8476312
44,Shea Theodore,VGK,D,71,215,174,192,0.45356,0.38473,6.1,8477447
45,Rasmus Dahlin,BUF,D,77,258,202,265,0.44511,0.38648,6.1,8480839
46,Jalen Chatfield,CAR,D,72,216,169,202,0.4535,0.38636,6.1,8478970
47,Lian Bichsel,DAL,D,50,64,101,92,0.48457,0.38513,6.1,8483425
48,Declan Chisholm,WSH,D,26,31,40,51,0.52052,0.38685,6.1,8480990
49,Mike Reilly,CAR,D,42,122,59,111,0.47361,0.38316,6.1,8476422
50,Erik Karlsson,PIT,D,75,253,196,217,0.44417,0.3796,6.0,8474578
51,Jakob Chychrun,WSH,D,80,256,166,229,0.44473,0.3818,6.0,8479345
52,Jonas Siegenthaler,NJD,D,82,183,210,240,0.44154,0.38013,6.0,8478399
53,Cam Fowler,STL,D,81,229,214,193,0.45063,0.38207,6.0,8475764
54,Zach Werenski,CBJ,D,75,288,227,236,0.44228,0.38034,6.0,8478460
55,Sean Durzi,UTA,D,60,196,138,154,0.45697,0.3803,6.0,8480434
56,Ryan McDonagh,TBL,D,48,108,124,112,0.46471,0.37504,5.9,8474151
57,Damon Severson,CBJ,D,71,224,203,195,0.44083,0.37296,5.9,8476923
58,Ilya Lyubushkin,DAL,D,53,54,111,124,0.45818,0.37305,5.9,8480950
59,Mikhail Sergachev,UTA,D,77,255,224,234,0.43917,0.37707,5.9,8479410
60,Quinn Hughes,MIN,D,74,290,260,261,0.43262,0.37392,5.9,8480800
61,Jonas Brodin,MIN,D,62,173,169,182,0.44294,0.37269,5.9,8476463
62,Jeff Petry,MIN,D,67,137,109,157,0.44752,0.37192,5.8,8473507
63,Moritz Seider,DET,D,82,201,262,247,0.42865,0.36849,5.8,8481542
64,Simon Edvinsson,DET,D,72,180,216,201,0.43666,0.36992,5.8,8482762
