rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Jaccob Slavin,CAR,D,276,1745,1406,1509,0.59935,0.5744,10.0,8476958
2,Brent Burns,COL,D,327,1919,1632,1688,0.57725,0.55353,9.5,8470613
3,Drew Doughty,LAK,D,264,1492,1457,1647,0.56019,0.53611,9.1,8474563
4,Jalen Chatfield,CAR,D,301,1586,1224,1616,0.55915,0.53483,9.1,8478970
5,Mikey Anderson,LAK,D,307,1424,1685,1814,0.54484,0.52186,8.8,8479998
6,Jordan Spence,OTT,D,229,1104,725,985,0.54847,0.51726,8.7,8481606
7,Joel Nystrom,CAR,D,38,232,124,193,0.59139,0.52091,8.7,8482911
8,Sean Walker,CAR,D,314,1617,1335,1504,0.53881,0.51354,8.6,8480336
9,Brett Pesce,NJD,D,261,1626,1339,1462,0.53589,0.51027,8.5,8477488
10,Artem Zub,OTT,D,259,1145,1532,1503,0.53224,0.50696,8.4,8482245
11,Jack Thompson,SJS,D,34,147,116,141,0.58769,0.50516,8.4,8482144
12,Evan Bouchard,EDM,D,326,2082,1420,1584,0.52309,0.49847,8.2,8480803
13,Darren Raddysh,TBL,D,245,1342,989,1091,0.52749,0.49782,8.2,8478178
14,Sean Durzi,UTA,D,238,1230,1094,1207,0.51796,0.48976,8.0,8480434
15,Quinn Hughes,MIN,D,302,2045,1493,1727,0.51062,0.48704,8.0,8480800
16,Shayne Gostisbehere,CAR,D,281,1468,1084,1340,0.51532,0.48855,8.0,8476906
17,Dmitry Orlov,SJS,D,305,1573,1430,1629,0.51087,0.4866,7.9,8475200
18,Josh Manson,COL,D,230,911,1175,1214,0.51405,0.48593,7.9,8476312
19,John Marino,UTA,D,253,1240,1351,1456,0.50843,0.48276,7.9,8478507
20,Damon Severson,CBJ,D,289,1532,1503,1578,0.50834,0.48369,7.9,8476923
21,Jared Spurgeon,MIN,D,240,1169,1282,1205,0.51315,0.48494,7.9,8474716
22,J.J. Moser,TBL,D,295,1323,1556,1601,0.5032,0.47873,7.8,8482655
23,Juuso Välimäki,UTA,D,189,832,847,939,0.51455,0.48258,7.8,8479976
24,Erik Karlsson,PIT,D,321,2336,1730,1974,0.50041,0.47838,7.7,8474578
25,Mattias Ekholm,EDM,D,303,1871,1368,1528,0.49964,0.47461,7.7,8475218
26,Jonas Brodin,MIN,D,234,1327,1297,1404,0.50139,0.47527,7.7,8476463
27,Sam Rinzel,CHI,D,63,302,247,297,0.53394,0.47714,7.7,8483506
28,Mikhail Sergachev,UTA,D,267,1696,1503,1611,0.49756,0.47318,7.6,8479410
29,Brayden McNabb,VGK,D,310,1620,1594,1675,0.49666,0.47275,7.6,8475188
30,Samuel Girard,PIT,D,268,1420,1417,1508,0.49651,0.47132,7.6,8479398
31,MacKenzie Weegar,UTA,D,322,2123,1828,2017,0.49477,0.47299,7.6,8477346
32,Mark Friedman,VAN,D,51,192,145,188,0.5452,0.47382,7.6,8478017
33,Shea Theodore,VGK,D,240,1546,1290,1321,0.49538,0.46847,7.5,8477447
34,Darnell Nurse,EDM,D,320,1709,1710,1894,0.49125,0.46878,7.5,8477498
35,Aaron Ekblad,FLA,D,250,1371,1298,1350,0.49426,0.46764,7.5,8477932
36,Brandt Clarke,LAK,D,184,1030,679,815,0.50281,0.46855,7.5,8482730
37,Ian Cole,UTA,D,319,1229,1470,1452,0.49337,0.4677,7.5,8474013
38,Adam Fox,NYR,D,283,1951,1360,1588,0.48931,0.46478,7.4,8479323
39,Alexander Edler,LAK,D,64,256,210,217,0.53104,0.46468,7.4,8471303
40,Vladislav Gavrikov,NYR,D,313,1628,1860,1784,0.48576,0.46262,7.4,8478882
41,Mark Giordano,TOR,D,124,501,518,535,0.50737,0.4651,7.4,8470966
42,Justin Barron,NSH,D,200,957,795,968,0.49496,0.46354,7.4,8482111
43,Erik Cernak,TBL,D,276,1099,1512,1580,0.48376,0.45919,7.3,8478416
44,John Carlson,ANA,D,271,1640,1453,1465,0.48622,0.4607,7.3,8474590
45,Brady Skjei,NSH,D,324,1839,1736,1836,0.48402,0.46122,7.3,8476869
46,Joshua Mahura,SEA,D,199,750,643,807,0.49316,0.45878,7.3,8479372
47,Rasmus Ristolainen,PHI,D,212,887,1125,1003,0.4893,0.45846,7.3,8477499
48,Michael Kesselring,BUF,D,190,903,770,882,0.49193,0.45904,7.3,8480891
49,Luke Hughes,NJD,D,223,1407,1081,1209,0.48551,0.45743,7.3,8482684
50,Ilya Solovyov,PIT,D,45,146,154,185,0.52904,0.45725,7.3,8482470
51,Alexander Nikishin,CAR,D,81,484,270,414,0.50763,0.45962,7.3,8482100
52,Matt Roy,WSH,D,311,1453,1501,1594,0.48023,0.45578,7.2,8478911
53,Trevor van Riemsdyk,WSH,D,295,1255,1314,1428,0.48171,0.45588,7.2,8477845
54,Jake Sanderson,OTT,D,303,1529,1718,1720,0.47824,0.4547,7.2,8482105
55,Noah Hanifin,VGK,D,313,1935,1648,1905,0.47541,0.45306,7.2,8478396
56,Josh Morrissey,WPG,D,315,2463,1624,1829,0.47625,0.45344,7.2,8477504
57,Ethan Bear,WSH,D,85,398,366,392,0.50497,0.45567,7.2,8478451
58,Cam York,PHI,D,276,1443,1471,1754,0.47772,0.45442,7.2,8481546
59,Jackson LaCombe,ANA,D,229,1124,1311,1195,0.48403,0.45579,7.2,8481605
60,Roman Josi,NSH,D,270,2068,1367,1506,0.47687,0.45174,7.1,8474600
61,Cale Makar,COL,D,291,2414,1416,1680,0.47511,0.45132,7.1,8480069
62,Bowen Byram,BUF,D,279,1560,1582,1556,0.47706,0.45233,7.1,8481524
63,Gustav Forsling,FLA,D,321,1875,1703,1832,0.47499,0.4522,7.1,8478055
64,Chad Ruhwedel,NYR,D,104,259,381,307,0.50576,0.45011,7.1,8477244
65,Cale Fleury,SEA,D,49,165,186,191,0.52216,0.45158,7.1,8479985
66,Tyler Kleven,OTT,D,166,656,557,840,0.48286,0.44922,7.1,8482095
67,Emil Andrae,PHI,D,107,443,350,410,0.49849,0.45033,7.1,8482126
68,Dmitri Simashev,UTA,D,27,112,107,131,0.53656,0.45134,7.1,8484386
69,Alexandre Carrier,MTL,D,268,1019,1507,1513,0.47217,0.44711,7.0,8478851
70,Martin Fehérváry,WSH,D,295,1189,1723,1569,0.46892,0.44434,7.0,8480796
71,Hampus Lindholm,BOS,D,237,1120,1381,1197,0.47417,0.44601,7.0,8476854
