rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Nikita Kucherov,TBL,R,76,414,276,266,0.67519,0.61676,10.0,8476453
2,Otto Stenberg,STL,C,32,99,126,110,0.70144,0.61031,9.9,8484230
3,Brandon Hagel,TBL,L,71,320,266,236,0.66998,0.60768,9.8,8479542
4,Taylor Hall,CAR,L,80,369,181,319,0.64605,0.59212,9.5,8475791
5,Jack Drury,COL,C,81,249,306,295,0.64042,0.58418,9.4,8480835
6,Joel Kiviranta,COL,L,50,105,146,168,0.65832,0.58378,9.4,8481641
7,Lars Eller,OTT,C,68,160,268,215,0.63903,0.57291,9.2,8474189
8,Logan Stankoven,CAR,C,81,376,181,311,0.61047,0.55524,8.8,8482702
9,Jackson Blake,CAR,R,81,378,183,324,0.60976,0.55565,8.8,8482809
10,Pontus Holmberg,TBL,R,70,196,308,370,0.59633,0.54559,8.6,8480995
11,Arshdeep Bains,VAN,L,28,48,32,67,0.6622,0.54291,8.6,8483395
12,Connor Dewar,PIT,C,78,96,417,252,0.59538,0.53379,8.4,8480980
13,Jordan Martinook,CAR,L,77,333,320,407,0.58242,0.53396,8.4,8476921
14,Chris Kreider,ANA,L,74,357,230,337,0.58057,0.52726,8.3,8475184
15,Casey Cizikas,NYI,C,81,197,223,282,0.57835,0.52003,8.2,8475231
16,Mark Jankowski,CAR,C,68,272,185,247,0.5854,0.52312,8.2,8476873
17,Linus Karlsson,VAN,C,78,198,223,226,0.58568,0.52055,8.2,8481024
18,Jack Eichel,VGK,C,75,444,275,282,0.57714,0.51882,8.1,8478403
19,Maxim Tsyplakov,NJD,R,49,110,93,131,0.60035,0.51476,8.1,8484958
20,Jordan Staal,CAR,C,75,317,344,406,0.56445,0.51584,8.1,8473533
21,Cutter Gauthier,ANA,L,75,340,257,323,0.5701,0.5156,8.1,8483445
22,Andrei Kuzmenko,LAK,L,52,183,143,180,0.58378,0.51075,8.0,8483808
23,Troy Terry,ANA,R,60,270,216,269,0.57149,0.51175,8.0,8478873
24,Quinton Byfield,LAK,C,78,320,371,379,0.55928,0.50895,7.9,8482124
25,Matt Boldy,MIN,L,76,313,343,331,0.56003,0.50617,7.9,8481557
26,Michael Carcone,UTA,L,78,231,259,315,0.56231,0.5071,7.9,8479619
27,Alex Laferriere,LAK,R,81,331,358,384,0.54986,0.49985,7.8,8482155
28,Josh Norris,BUF,C,44,175,196,178,0.57598,0.50253,7.8,8480064
29,Anthony Cirelli,TBL,C,71,290,254,248,0.56422,0.50199,7.8,8478519
30,Tim Stützle,OTT,L,80,403,175,269,0.56098,0.50122,7.8,8482116
31,Nico Hischier,NJD,C,82,437,472,455,0.54572,0.49978,7.8,8480002
32,Jack Hughes,NJD,C,61,330,128,222,0.56737,0.5016,7.8,8481559
33,William Carrier,CAR,L,70,268,242,336,0.55673,0.50326,7.8,8477478
34,Jesper Bratt,NJD,L,82,430,260,338,0.55229,0.49899,7.8,8479407
35,Mikael Granlund,ANA,C,58,230,267,223,0.56454,0.49891,7.8,8475798
36,Barrett Hayton,UTA,C,67,251,297,266,0.55943,0.49934,7.8,8480849
37,Danton Heinen,CBJ,L,46,114,169,140,0.58243,0.49961,7.8,8478046
38,Blake Lizotte,PIT,C,55,54,305,177,0.57121,0.49755,7.7,8481481
39,Anze Kopitar,LAK,C,66,372,265,249,0.55639,0.49429,7.7,8471685
40,Parker Kelly,COL,L,81,195,257,270,0.55583,0.49619,7.7,8480448
41,Adam Henrique,EDM,C,64,151,265,203,0.56707,0.49828,7.7,8474641
42,Mark Stone,VGK,R,61,311,208,245,0.55721,0.49461,7.7,8475913
43,Yanni Gourde,TBL,C,82,236,361,422,0.54247,0.49477,7.7,8476826
44,Jake Guentzel,TBL,L,81,369,296,312,0.553,0.49752,7.7,8477404
45,David Perron,DET,L,65,195,157,227,0.55894,0.4939,7.7,8474102
