rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Jaret Anderson-Dolan,WPG,C,84,122,107,119,0.65208,0.56296,10.0,8479994
2,Jeffrey Viel,ANA,L,53,76,83,91,0.63385,0.53132,9.3,8479705
3,Arthur Kaliyev,OTT,R,123,179,143,184,0.59438,0.5222,9.1,8481560
4,Kevin Fiala,LAK,L,288,656,528,594,0.56422,0.52405,9.1,8477942
5,Linus Karlsson,VAN,C,105,152,153,158,0.60166,0.52379,9.1,8481024
6,Michael Carcone,UTA,L,214,330,353,365,0.56165,0.51037,8.8,8479619
7,Jordan Martinook,CAR,L,320,600,631,748,0.53207,0.49624,8.5,8476921
8,Walker Duehr,WPG,R,94,110,103,133,0.58116,0.49618,8.5,8482652
9,Josh Archibald,PIT,R,62,35,96,72,0.60994,0.49446,8.4,8476326
10,Alex Laferriere,LAK,R,239,515,453,518,0.53671,0.49366,8.4,8482155
11,Arseny Gritsyuk,NJD,R,66,126,110,149,0.57202,0.49175,8.4,8481721
12,Lenni Hameenaho,NJD,R,33,44,68,62,0.61888,0.49443,8.4,8484177
13,Jani Nyman,SEA,R,39,73,41,64,0.61273,0.49026,8.3,8483497
14,Viktor Arvidsson,BOS,L,231,425,421,455,0.52895,0.48304,8.2,8478042
15,Patrice Bergeron,BOS,C,78,210,129,100,0.58259,0.48464,8.2,8470638
16,Zachary Bolduc,MTL,C,175,248,239,285,0.54518,0.48715,8.2,8482737
17,Brandon Hagel,TBL,L,316,692,605,684,0.51957,0.48213,8.1,8479542
18,Ryan Poehling,ANA,C,272,359,528,493,0.52507,0.48096,8.1,8480068
19,Ilya Mikheyev,CHI,R,281,464,613,619,0.51871,0.47936,8.1,8481624
20,Anze Kopitar,LAK,C,310,621,602,598,0.51756,0.47753,8.0,8471685
21,Alex Iafallo,WPG,L,302,522,441,548,0.51991,0.47809,8.0,8480113
22,Seth Jarvis,CAR,C,307,703,550,589,0.51671,0.47638,8.0,8482093
23,Patrik Laine,MTL,L,130,320,186,251,0.53854,0.47675,8.0,8479339
24,Jack Hughes,NJD,C,263,807,382,599,0.5179,0.4779,8.0,8481559
25,Nick Cousins,OTT,C,279,436,386,491,0.51908,0.47491,8.0,8476393
26,Jakob Pelletier,TBL,L,91,165,111,152,0.55415,0.47476,8.0,8481592
27,Justin Sourdif,WSH,R,82,121,169,167,0.55006,0.47432,8.0,8482088
28,Timo Meier,NJD,R,304,688,686,721,0.50687,0.47044,7.9,8478414
29,Mark Stone,VGK,R,226,615,437,498,0.51518,0.47134,7.9,8475913
30,Adrian Kempe,LAK,C,320,689,612,646,0.50893,0.47044,7.9,8477960
31,Cole Caufield,MTL,R,291,681,491,656,0.51225,0.47404,7.9,8481540
32,Logan O'Connor,COL,R,231,259,494,480,0.51632,0.47166,7.9,8481186
33,Troy Terry,ANA,R,283,763,668,630,0.50935,0.47038,7.9,8478873
34,Matias Maccelli,TOR,L,272,463,497,562,0.51356,0.47228,7.9,8481711
35,Zemgus Girgensons,TBL,L,299,470,582,601,0.51362,0.4737,7.9,8476878
36,Reese Johnson,MIN,C,102,63,150,129,0.55855,0.4724,7.9,8481147
37,Dylan Guenther,UTA,R,227,489,410,452,0.51729,0.47127,7.9,8482699
38,Jordan Greenway,BUF,L,203,365,427,448,0.51864,0.47241,7.9,8478413
39,Joel Armia,LAK,R,256,350,428,429,0.51719,0.46996,7.9,8476469
40,Jiri Kulich,BUF,C,75,189,161,159,0.54859,0.471,7.9,8483468
41,Mitchell Chaffee,TBL,R,107,154,155,186,0.54228,0.47055,7.9,8482070
42,Jordan Staal,CAR,C,311,573,634,713,0.50383,0.46721,7.8,8473533
43,Clayton Keller,UTA,R,322,904,683,807,0.50228,0.46785,7.8,8479343
44,Claude Giroux,OTT,R,327,714,573,663,0.50768,0.46969,7.8,8473512
45,Parker Kelly,COL,L,296,333,427,471,0.51059,0.46554,7.8,8480448
46,Brett Ritchie,UTA,R,50,66,65,82,0.576,0.468,7.8,8476439
47,Oskar Sundqvist,STL,C,257,310,514,432,0.51595,0.46889,7.8,8476897
48,Jack Drury,COL,C,265,421,358,372,0.51827,0.46756,7.8,8480835
49,Cole Schwindt,FLA,R,76,77,82,137,0.54974,0.46621,7.8,8481655
50,Phillip Danault,MTL,C,315,561,621,624,0.50275,0.46362,7.7,8476479
51,Derek Stepan,CAR,C,73,124,79,78,0.57199,0.46136,7.7,8474613
52,Jesper Bratt,NJD,L,327,871,531,766,0.50061,0.46528,7.7,8479407
53,Tim Stützle,OTT,L,315,826,531,647,0.50103,0.46261,7.7,8482116
54,Anders Lee,NYI,L,327,668,563,623,0.50139,0.46224,7.7,8475314
55,Matt Martin,NYI,L,170,156,238,273,0.5241,0.46493,7.7,8474709
56,Pierre-Luc Dubois,WSH,L,266,621,547,547,0.50661,0.46481,7.7,8479400
57,Nikolaj Ehlers,CAR,L,278,700,450,551,0.50371,0.46208,7.7,8477940
58,Anthony Cirelli,TBL,C,288,551,626,631,0.50286,0.46395,7.7,8478519
59,Nikita Kucherov,TBL,R,317,968,581,630,0.49691,0.458,7.6,8476453
60,Vladislav Namestnikov,WPG,C,293,578,389,554,0.49984,0.45835,7.6,8476480
61,Jesper Fast,CAR,R,153,281,257,334,0.51424,0.46079,7.6,8475855
62,Sebastian Aho,CAR,C,311,797,533,569,0.49851,0.45757,7.6,8478427
63,Peyton Krebs,BUF,C,317,580,618,624,0.49808,0.45898,7.6,8481522
64,Kirill Kaprizov,MIN,L,261,907,539,679,0.49742,0.45993,7.6,8478864
65,Mikael Backlund,CGY,C,321,615,911,733,0.49552,0.45944,7.6,8474150
66,Mark Scheifele,WPG,C,318,1007,615,641,0.49581,0.45724,7.6,8476460
67,Nico Hischier,NJD,C,309,705,705,815,0.49485,0.46062,7.6,8480002
68,Sean Couturier,PHI,C,231,466,478,420,0.50537,0.45772,7.6,8476461
69,Frank Nazar,CHI,C,122,248,245,219,0.52599,0.45998,7.6,8483493
70,Nick Suzuki,MTL,C,328,793,678,747,0.48919,0.45349,7.5,8480018
71,Yanni Gourde,TBL,C,300,593,633,695,0.49009,0.45308,7.5,8476826
72,Conor Garland,CBJ,R,315,561,622,618,0.49419,0.45493,7.5,8478856
73,Brock McGinn,ANA,L,125,125,243,191,0.52523,0.45461,7.5,8476934
74,Barrett Hayton,UTA,C,264,555,555,495,0.49807,0.45421,7.5,8480849
75,Nick Bjugstad,NJD,C,281,437,584,605,0.4952,0.45552,7.5,8475760
76,Jeff Skinner,SJS,L,257,623,397,502,0.50026,0.45668,7.5,8475784
77,Alex Tuch,BUF,R,310,857,682,788,0.48946,0.45469,7.5,8477949
78,Arshdeep Bains,VAN,L,49,67,54,79,0.56597,0.45613,7.5,8483395
79,Zakhar Bardakov,COL,C,59,55,61,71,0.57014,0.45432,7.5,8482947
80,Brayden Point,TBL,C,303,913,557,590,0.48939,0.44925,7.4,8478010
81,Michael Amadio,OTT,C,293,387,563,549,0.49182,0.4502,7.4,8478020
82,Jack Eichel,VGK,C,282,816,571,606,0.49124,0.45162,7.4,8478403
83,Taylor Hall,CAR,L,228,484,359,460,0.49717,0.45169,7.4,8475791
84,A.J. Greer,FLA,L,279,341,314,459,0.49693,0.4514,7.4,8478421
85,Jesperi Kotkaniemi,CAR,C,281,615,387,523,0.49237,0.44973,7.4,8480829
86,Teuvo Teravainen,CHI,L,301,569,565,610,0.48977,0.45029,7.4,8476882
87,Jesper Boqvist,FLA,C,268,467,393,489,0.49232,0.44824,7.4,8480003
88,Tage Thompson,BUF,R,306,945,637,786,0.48435,0.44958,7.4,8479420
89,Mats Zuccarello,MIN,R,275,822,525,634,0.4884,0.44968,7.4,8475692
90,Morgan Geekie,BOS,C,303,629,524,551,0.49043,0.4489,7.4,8479987
91,Chris Tierney,NJD,C,88,97,89,125,0.53664,0.44944,7.4,8476919
92,Leo Carlsson,ANA,C,200,496,393,471,0.49657,0.45162,7.4,8484153
93,Eeli Tolvanen,SEA,R,300,534,582,608,0.48723,0.4477,7.3,8480009
94,Trevor Moore,LAK,C,280,548,549,602,0.48497,0.44527,7.3,8479675
95,Chandler Stephenson,SEA,C,313,626,810,584,0.48591,0.4456,7.3,8476905
96,Josh Anderson,MTL,R,300,402,550,628,0.48348,0.44461,7.3,8476981
97,Alexander Kerfoot,UTA,C,278,432,484,507,0.4886,0.44534,7.3,8477021
98,Matty Beniers,SEA,C,320,778,676,758,0.4835,0.4481,7.3,8482665
99,Andrei Kuzmenko,LAK,L,271,586,365,511,0.48739,0.4443,7.3,8483808
100,Nick Schmaltz,UTA,C,305,775,634,701,0.48334,0.44654,7.3,8477951
101,Matt Boldy,MIN,L,314,679,731,711,0.48278,0.44624,7.3,8481557
102,Joel Eriksson Ek,MIN,C,271,527,668,687,0.48432,0.44714,7.3,8478493
103,Brandon Duhaime,WSH,R,295,244,644,520,0.48909,0.44636,7.3,8479520
104,Kevin Rooney,UTA,C,121,104,154,132,0.5316,0.44678,7.3,8479291
105,Elmer Soderblom,PIT,L,106,173,197,179,0.5171,0.44431,7.3,8481725
106,Kyle Connor,WPG,L,310,982,570,642,0.48241,0.44398,7.3,8478398
107,Olle Lycksell,OTT,R,52,70,54,70,0.56326,0.44679,7.3,8480245
108,Kailer Yamamoto,UTA,R,187,311,269,322,0.5009,0.4466,7.3,8479977
109,Sammy Blais,MTL,L,145,202,178,245,0.50775,0.44552,7.3,8478104
110,Logan Cooley,UTA,C,210,495,381,428,0.49436,0.44725,7.3,8483431
111,Kyle MacLean,NYI,C,172,244,218,260,0.50582,0.4454,7.3,8481237
112,Quinton Byfield,LAK,C,292,640,631,667,0.47796,0.44029,7.2,8482124
113,Carl Grundstrom,PHI,R,211,305,264,294,0.49932,0.44254,7.2,8479336
114,Paul Stastny,CAR,C,73,129,96,103,0.53958,0.44363,7.2,8471669
115,Evgenii Dadonov,NJD,R,228,403,350,432,0.48833,0.4415,7.2,8474149
116,Juraj Slafkovský,MTL,L,282,595,512,538,0.48358,0.44162,7.2,8483515
117,Mikko Rantanen,DAL,R,308,1101,693,899,0.47537,0.44289,7.2,8478420
118,Connor McDavid,EDM,C,306,923,576,739,0.47797,0.44216,7.2,8478402
119,Jack McBain,UTA,C,306,489,563,602,0.47934,0.43969,7.2,8480855
120,Jake Guentzel,TBL,L,306,842,596,744,0.47601,0.44034,7.2,8477404
121,Sidney Crosby,PIT,C,312,903,603,916,0.47402,0.44186,7.2,8471675
122,Blake Coleman,CGY,C,310,627,812,714,0.47917,0.44274,7.2,8476399
123,Brandon Saad,VGK,L,274,508,554,538,0.48411,0.44214,7.2,8476438
124,Cutter Gauthier,ANA,L,158,356,317,308,0.49567,0.44022,7.2,8483445
125,Chris Kreider,ANA,L,303,693,564,652,0.47671,0.43862,7.1,8475184
126,Alexis Lafrenière,NYR,L,327,712,423,637,0.47591,0.43738,7.1,8482109
127,Garnet Hathaway,PHI,R,299,277,499,495,0.48313,0.43941,7.1,8477903
128,Jake Evans,MTL,C,286,323,575,529,0.48003,0.43776,7.1,8478133
129,Nick Ritchie,CGY,L,74,140,157,129,0.52516,0.43951,7.1,8477941
130,Travis Konecny,PHI,R,295,769,588,657,0.47567,0.43773,7.1,8478439
131,Mathieu Joseph,LAK,R,238,333,414,439,0.48541,0.43899,7.1,8478472
132,Joe Pavelski,DAL,C,164,368,310,345,0.48791,0.43559,7.1,8470794
133,Jakub Vrana,NSH,L,85,158,114,133,0.52103,0.43673,7.1,8477944
134,Stefan Noesen,NJD,R,275,493,392,462,0.48047,0.43526,7.1,8476474
135,Pius Suter,STL,C,290,450,563,550,0.47849,0.43704,7.1,8480459
136,Teddy Blueger,VAN,C,247,276,495,426,0.48366,0.43657,7.1,8476927
137,Zach Benson,BUF,L,211,405,354,427,0.48317,0.43614,7.1,8484145
138,Brendan Brisson,NYR,C,27,26,33,58,0.56684,0.43911,7.1,8482153
139,Logan Stankoven,CAR,C,183,389,297,350,0.48834,0.43638,7.1,8482702
140,Tomas Hertl,VGK,C,289,649,558,547,0.47469,0.43316,7.0,8476881
141,Filip Chytil,VAN,C,152,302,215,318,0.48649,0.43204,7.0,8480078
142,Artemi Panarin,LAK,L,321,811,419,606,0.47341,0.43395,7.0,8478550
143,Blake Lizotte,PIT,C,257,311,443,360,0.48542,0.43422,7.0,8481481
144,Pierre Engvall,NYI,L,212,356,345,360,0.48216,0.43101,7.0,8478115
145,Valeri Nichushkin,COL,R,221,563,463,536,0.47389,0.43195,7.0,8477501
146,Jared McCann,SEA,L,293,668,553,579,0.47428,0.43391,7.0,8477955
147,Elias Pettersson,VAN,C,299,696,609,633,0.47159,0.43299,7.0,8480012
148,Ryan McLeod,BUF,C,298,495,555,595,0.47181,0.43201,7.0,8480802
149,Bo Horvat,NYI,C,309,643,591,588,0.47295,0.4329,7.0,8477500
150,Vasily Podkolzin,EDM,R,221,440,322,412,0.47932,0.43149,7.0,8481617
151,Liam O'Brien,UTA,C,196,258,318,339,0.48416,0.43144,7.0,8477070
152,Travis Boyd,MIN,C,101,175,223,203,0.5024,0.43422,7.0,8476329
153,Ondrej Palat,NYI,L,277,560,436,562,0.47408,0.43311,7.0,8476292
154,Dawson Mercer,NJD,C,328,660,657,676,0.46931,0.43196,7.0,8482110
155,Jack Quinn,BUF,R,258,527,445,433,0.47981,0.43313,7.0,8482097
156,Drake Batherson,OTT,R,325,799,548,695,0.4684,0.43158,7.0,8480208
157,JJ Peterka,UTA,R,317,710,547,659,0.47047,0.43264,7.0,8482175
158,Eetu Luostarinen,FLA,C,317,679,525,684,0.46798,0.43087,7.0,8480185
