rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Fabian Zetterlund,OTT,L,83,122,104,136,0.64067,0.55719,10.0,8480188
2,Matt Boldy,MIN,L,76,159,179,175,0.6316,0.55802,10.0,8481557
3,Tim Stützle,OTT,L,80,195,92,121,0.62941,0.54061,9.5,8482116
4,Jack Hughes,NJD,C,61,185,78,127,0.6267,0.54002,9.5,8481559
5,Linus Karlsson,VAN,C,78,116,112,116,0.62098,0.53016,9.3,8481024
6,Anze Kopitar,LAK,C,66,159,113,122,0.61712,0.52854,9.2,8471685
7,Pius Suter,STL,C,63,94,129,109,0.61583,0.52205,9.1,8480459
8,Hendrix Lapierre,WSH,C,74,71,69,93,0.61185,0.51025,8.8,8482148
9,Jordan Martinook,CAR,L,77,156,135,188,0.5775,0.50603,8.7,8476921
10,Joel Eriksson Ek,MIN,C,70,138,172,169,0.58517,0.5098,8.7,8478493
11,Lukas Reichel,BOS,L,29,41,45,61,0.62791,0.50243,8.6,8482117
12,Adrian Kempe,LAK,C,80,211,135,174,0.57469,0.50039,8.5,8477960
13,Kyle MacLean,NYI,C,59,67,69,89,0.60063,0.49675,8.4,8481237
14,Jeffrey Viel,ANA,L,44,69,70,81,0.60582,0.49693,8.4,8479705
15,Lenni Hameenaho,NJD,R,33,44,68,62,0.61888,0.49443,8.4,8484177
16,Lars Eller,OTT,C,68,72,133,97,0.59272,0.49322,8.3,8474189
17,Arseny Gritsyuk,NJD,R,66,126,110,149,0.57202,0.49175,8.3,8481721
18,Jesper Bratt,NJD,L,82,224,131,183,0.56269,0.49026,8.2,8479407
19,Jack McBain,UTA,C,75,115,140,129,0.57658,0.49032,8.2,8480855
20,Zemgus Girgensons,TBL,L,74,116,177,192,0.56034,0.48963,8.2,8476878
21,Brandon Duhaime,WSH,R,82,57,176,165,0.56168,0.48542,8.1,8479520
22,Anthony Beauvillier,WSH,L,82,140,129,149,0.56514,0.48489,8.1,8478463
23,Ivan Barbashev,VGK,C,82,248,146,173,0.55935,0.48488,8.1,8477964
24,Josh Norris,BUF,C,44,83,107,89,0.58934,0.4855,8.1,8480064
25,Jordan Staal,CAR,C,75,145,142,183,0.55753,0.48512,8.1,8473533
26,Kirill Kaprizov,MIN,L,78,285,186,227,0.54895,0.48393,8.1,8478864
27,Jack Eichel,VGK,C,75,239,141,145,0.56051,0.4792,8.0,8478403
28,Tyler Bertuzzi,CHI,L,79,177,170,180,0.55029,0.47732,7.9,8477479
29,Cole Caufield,MTL,R,81,181,135,172,0.55006,0.47543,7.9,8481540
30,Nikita Kucherov,TBL,R,76,211,134,129,0.56246,0.47627,7.9,8476453
31,Leo Carlsson,ANA,C,69,182,103,178,0.55194,0.47855,7.9,8484153
32,Justin Sourdif,WSH,R,78,114,166,162,0.5518,0.47491,7.8,8482088
33,Mikael Backlund,CGY,C,81,108,249,183,0.54466,0.47233,7.8,8474150
34,Casey Cizikas,NYI,C,81,88,98,125,0.56195,0.47441,7.8,8475231
35,Dylan Guenther,UTA,R,79,178,165,164,0.55106,0.47464,7.8,8482699
36,Keegan Kolesar,VGK,R,83,85,119,173,0.54552,0.47113,7.7,8478434
37,Claude Giroux,OTT,R,82,137,117,164,0.54694,0.47055,7.7,8473512
38,John Beecher,CGY,C,35,19,54,53,0.60407,0.4697,7.7,8481556
39,Evgeni Malkin,PIT,C,56,154,69,112,0.55803,0.46565,7.6,8471215
40,Yanni Gourde,TBL,C,82,143,200,205,0.53252,0.46425,7.6,8476826
41,Blake Coleman,CGY,C,68,91,187,155,0.53876,0.46029,7.5,8476399
42,Brayden Point,TBL,C,63,178,114,115,0.55267,0.46156,7.5,8478010
43,Timo Meier,NJD,R,77,157,197,196,0.53029,0.46051,7.5,8478414
44,Zachary Bolduc,MTL,C,78,120,117,138,0.54078,0.45766,7.4,8482737
45,Michael Carcone,UTA,L,78,106,135,150,0.53702,0.4573,7.4,8479619
46,Drake Batherson,OTT,R,79,192,85,141,0.5411,0.45885,7.4,8480208
47,Frank Nazar,CHI,C,66,143,138,125,0.54215,0.45486,7.3,8483493
48,David Perron,DET,L,65,96,74,115,0.54499,0.454,7.3,8474102
49,Rodrigo Abols,PHI,C,42,35,44,74,0.56901,0.45554,7.3,8479022
50,Mikael Granlund,ANA,C,58,118,140,115,0.54509,0.4541,7.3,8475798
51,Chris Kreider,ANA,L,74,205,126,163,0.52882,0.4524,7.3,8475184
52,Marc Gatcomb,NYI,C,49,56,54,85,0.55961,0.45377,7.3,8483553
53,Samuel Helenius,LAK,C,52,31,56,62,0.57965,0.45568,7.3,8482726
54,Zakhar Bardakov,COL,C,59,55,61,71,0.57014,0.45432,7.3,8482947
55,Danton Heinen,CBJ,L,46,51,82,77,0.56617,0.45494,7.3,8478046
56,Joel Armia,LAK,R,66,117,118,124,0.5358,0.44827,7.2,8476469
57,Andrei Kuzmenko,LAK,L,52,98,68,88,0.55454,0.45058,7.2,8483808
58,Kevin Fiala,LAK,L,56,161,107,131,0.53348,0.44832,7.2,8477942
59,Kasperi Kapanen,EDM,R,40,60,67,76,0.56294,0.45107,7.2,8477953
60,Tomas Hertl,VGK,C,83,168,118,129,0.53473,0.4489,7.2,8476881
61,Jake Guentzel,TBL,L,81,193,139,158,0.52937,0.45177,7.2,8477404
62,Nico Hischier,NJD,C,82,199,204,216,0.51543,0.4491,7.2,8480002
63,Colton Sissons,VGK,C,66,61,92,111,0.53694,0.44449,7.1,8476925
64,Pontus Holmberg,TBL,R,70,115,173,175,0.51979,0.44614,7.1,8480995
65,Mikko Rantanen,DAL,R,64,167,139,151,0.52423,0.44496,7.1,8478420
66,Alex Iafallo,WPG,L,79,149,114,164,0.52205,0.44598,7.1,8480113
67,Clayton Keller,UTA,R,81,255,129,215,0.51083,0.44441,7.1,8479343
