rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Matthew Kessel,STL,D,29,86,69,104,0.65222,0.55674,10.0,8482516
2,Ryan McDonagh,TBL,D,48,191,232,232,0.60323,0.53909,9.6,8474151
3,Darren Raddysh,TBL,D,73,395,345,349,0.56666,0.51422,8.9,8478178
4,Ilya Solovyov,PIT,D,30,86,96,126,0.59935,0.51207,8.9,8482470
5,Erik Cernak,TBL,D,61,220,293,319,0.56049,0.50563,8.7,8478416
6,Dmitri Simashev,UTA,D,27,112,107,131,0.59243,0.50681,8.7,8484386
7,Arber Xhekaj,MTL,D,65,168,129,207,0.56765,0.49953,8.6,8482964
8,Denton Mateychuk,CBJ,D,75,348,333,375,0.55326,0.50265,8.6,8483485
9,Sam Malinski,COL,D,81,378,361,382,0.5473,0.49716,8.5,8484258
10,Jaccob Slavin,CAR,D,39,199,187,219,0.56163,0.49541,8.5,8476958
11,Jonas Brodin,MIN,D,62,314,341,344,0.54964,0.49681,8.5,8476463
12,Artem Zub,OTT,D,81,319,500,446,0.53978,0.49338,8.4,8482245
13,Simon Nemec,NJD,D,68,335,298,292,0.5506,0.49325,8.4,8483495
14,Jonas Siegenthaler,NJD,D,82,365,435,485,0.53847,0.49398,8.4,8478399
15,Cale Fleury,SEA,D,22,58,107,106,0.58865,0.49347,8.4,8479985
16,Niko Mikkola,FLA,D,68,336,336,399,0.53992,0.49087,8.3,8478859
17,Trevor van Riemsdyk,WSH,D,68,206,282,337,0.54204,0.48867,8.3,8477845
18,Brock Faber,MIN,D,80,510,554,562,0.52989,0.48857,8.3,8482122
19,Conor Timmins,BUF,D,39,160,198,194,0.5568,0.48647,8.2,8479982
20,Tyler Myers,DAL,D,73,257,370,350,0.53735,0.48499,8.2,8474574
21,Sam Rinzel,CHI,D,54,261,192,248,0.53924,0.47707,8.0,8483506
22,Kaiden Guhle,MTL,D,39,129,205,189,0.54738,0.47617,8.0,8482087
23,Bowen Byram,BUF,D,82,400,466,455,0.52375,0.47786,8.0,8481524
24,Jake Sanderson,OTT,D,67,397,402,379,0.52963,0.47933,8.0,8482105
25,Jared Spurgeon,MIN,D,79,360,404,385,0.5266,0.4767,8.0,8474716
26,Cam York,PHI,D,74,353,388,472,0.52363,0.47857,8.0,8481546
27,Shea Theodore,VGK,D,71,429,394,377,0.52294,0.47254,7.9,8477447
28,Dougie Hamilton,NJD,D,77,421,371,460,0.52081,0.47518,7.9,8476462
29,Sean Walker,CAR,D,81,521,411,483,0.51685,0.47233,7.9,8480336
30,Spencer Stastney,EDM,D,66,262,263,292,0.53029,0.47302,7.9,8481056
31,Jackson LaCombe,ANA,D,81,461,505,511,0.51679,0.4735,7.9,8481605
32,Mattias Samuelsson,BUF,D,78,411,470,501,0.51472,0.47101,7.8,8480807
33,K'Andre Miller,CAR,D,72,476,358,402,0.51895,0.47016,7.8,8480817
34,Marcus Pettersson,VAN,D,81,306,512,436,0.51582,0.46897,7.8,8477969
35,Joshua Mahura,SEA,D,23,68,99,95,0.57052,0.47015,7.8,8479372
36,Jacob Trouba,ANA,D,80,463,488,502,0.5142,0.47054,7.8,8476885
37,Parker Wotherspoon,PIT,D,80,404,407,450,0.51176,0.46567,7.7,8478450
38,Brayden McNabb,VGK,D,64,332,325,334,0.52068,0.46717,7.7,8475188
39,Kaedan Korczak,VGK,D,78,311,271,345,0.51786,0.46522,7.7,8481527
40,Alexandre Carrier,MTL,D,73,239,340,373,0.51353,0.46293,7.6,8478851
41,Noah Hanifin,VGK,D,72,489,326,408,0.50972,0.46135,7.6,8478396
42,J.J. Moser,TBL,D,79,446,388,413,0.51157,0.46348,7.6,8482655
43,Nick DeSimone,UTA,D,39,147,135,162,0.53808,0.46131,7.6,8480084
44,Johnathan Kovacevic,NJD,D,34,123,181,164,0.53948,0.46317,7.6,8480192
45,Josh Manson,COL,D,79,340,404,414,0.50431,0.45633,7.5,8476312
46,Drew Doughty,LAK,D,71,390,381,443,0.50469,0.45829,7.5,8474563
47,Mikey Anderson,LAK,D,79,323,443,459,0.50417,0.45859,7.5,8479998
48,Brett Pesce,NJD,D,37,222,178,200,0.52868,0.45961,7.5,8477488
49,Matthew Robertson,NYR,D,72,262,294,298,0.51613,0.45955,7.5,8481525
50,Brandt Clarke,LAK,D,81,526,328,384,0.50415,0.45434,7.4,8482730
51,Thomas Chabot,OTT,D,57,278,225,278,0.51409,0.45555,7.4,8478469
52,Quinn Hughes,MIN,D,74,564,474,502,0.4956,0.45206,7.4,8480800
53,Erik Karlsson,PIT,D,75,473,387,410,0.49766,0.44951,7.3,8474578
54,John Carlson,ANA,D,70,383,332,333,0.50271,0.44928,7.3,8474590
55,Rasmus Dahlin,BUF,D,77,447,431,511,0.49223,0.4491,7.3,8480839
56,Nick Seeler,PHI,D,80,309,283,338,0.501,0.44798,7.3,8476372
57,Jalen Chatfield,CAR,D,72,435,338,427,0.49821,0.45101,7.3,8478970
58,Justin Barron,NSH,D,51,178,199,218,0.51615,0.4501,7.3,8482111
