rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Seth Jarvis,CAR,C,71,179,115,135,0.81215,0.74859,10.0,8482093
2,Dmitri Voronkov,CBJ,L,63,150,94,136,0.80974,0.7395,9.6,8481716
3,Ryan O'Reilly,NSH,C,80,160,168,184,0.80326,0.73486,9.4,8475158
4,Andrei Svechnikov,CAR,R,79,187,136,160,0.79562,0.73215,9.3,8480830
5,Mathieu Olivier,CBJ,R,61,102,128,116,0.8186,0.73272,9.3,8479671
6,Steven Stamkos,NSH,C,81,161,156,159,0.80107,0.73271,9.3,8474564
7,Brock Nelson,COL,C,80,182,163,188,0.79486,0.73039,9.2,8475754
8,Connor McDavid,EDM,C,81,227,131,190,0.78806,0.73032,9.2,8478402
9,Leon Draisaitl,EDM,C,65,183,111,152,0.79358,0.7292,9.2,8477934
10,Anders Lee,NYI,L,82,153,135,165,0.79532,0.72453,9.0,8475314
11,Sebastian Aho,CAR,C,79,203,138,155,0.78341,0.72176,8.9,8478427
12,Chris Kreider,ANA,L,74,205,126,163,0.78458,0.72334,8.9,8475184
13,Parker Kelly,COL,L,81,110,122,124,0.80182,0.7177,8.7,8480448
14,Charlie Coyle,CBJ,C,82,141,211,161,0.78751,0.71283,8.5,8475745
15,Nathan MacKinnon,COL,C,80,291,166,211,0.76229,0.71016,8.4,8477492
16,Filip Forsberg,NSH,L,81,196,202,210,0.77371,0.7102,8.4,8476887
17,Pavel Buchnevich,STL,L,80,178,159,154,0.77514,0.70837,8.3,8477402
18,Luke Evangelista,NSH,R,80,161,138,181,0.77896,0.70879,8.3,8482146
19,Sidney Crosby,PIT,C,68,190,134,198,0.77188,0.70718,8.2,8471675
20,Martin Necas,COL,C,78,258,163,206,0.7619,0.70633,8.2,8480039
21,Jackson Blake,CAR,R,81,214,99,176,0.76457,0.70338,8.1,8482809
22,Zach Hyman,EDM,L,57,134,91,141,0.78061,0.70326,8.1,8475786
23,J.T. Miller,NYR,C,68,132,138,124,0.77981,0.70176,8.0,8476468
24,Valeri Nichushkin,COL,R,71,136,133,157,0.77887,0.702,8.0,8477501
25,Ondrej Palat,NYI,L,80,140,126,127,0.77823,0.7025,8.0,8476292
26,Kirill Kaprizov,MIN,L,78,285,186,227,0.7557,0.70263,8.0,8478864
27,Mikael Granlund,ANA,C,58,118,140,115,0.78348,0.70086,8.0,8475798
28,Mitch Marner,VGK,R,81,230,114,153,0.75939,0.70018,7.9,8478483
29,Ryan McLeod,BUF,C,81,147,165,156,0.77298,0.69882,7.9,8480802
30,Claude Giroux,OTT,R,82,137,117,164,0.77569,0.69887,7.9,8473512
31,Robert Thomas,STL,C,63,162,140,115,0.77084,0.70029,7.9,8480023
32,Leo Carlsson,ANA,C,69,182,103,178,0.76535,0.69869,7.9,8484153
33,Mark Jankowski,CAR,C,68,134,90,123,0.77681,0.69915,7.9,8476873
34,Dalibor Dvorsky,STL,C,70,136,116,122,0.77658,0.69953,7.9,8484164
35,Alexis Lafrenière,NYR,L,82,170,140,182,0.7652,0.69605,7.8,8482109
36,Victor Olofsson,CGY,L,78,122,118,127,0.77799,0.6964,7.8,8478109
37,Morgan Frost,CGY,C,81,213,94,150,0.75885,0.69714,7.8,8480028
38,Kirill Marchenko,CBJ,R,76,229,125,182,0.75694,0.69744,7.8,8480893
39,Bryan Rust,PIT,R,72,206,138,199,0.75932,0.69653,7.8,8475810
40,Mark Stone,VGK,R,61,166,98,128,0.76409,0.69398,7.7,8475913
41,Jean-Gabriel Pageau,NYI,C,74,110,130,115,0.78137,0.69535,7.7,8476419
42,Taylor Hall,CAR,L,80,199,101,163,0.75828,0.69426,7.7,8475791
43,Jimmy Snuggerud,STL,R,69,140,155,127,0.77023,0.69389,7.7,8483516
44,Cole Sillinger,CBJ,C,81,155,158,143,0.76684,0.69431,7.7,8482705
45,Troy Terry,ANA,R,60,161,112,118,0.76548,0.69432,7.7,8478873
46,Ross Colton,COL,C,72,123,141,133,0.77316,0.69154,7.6,8479525
47,Alex Turcotte,LAK,C,62,105,68,99,0.78097,0.69272,7.6,8481532
48,Josh Anderson,MTL,R,72,64,125,126,0.80466,0.6915,7.6,8476981
49,Noah Cates,PHI,L,82,173,128,183,0.76021,0.69138,7.6,8480220
50,Logan Stankoven,CAR,C,81,210,100,168,0.75417,0.69172,7.6,8482702
51,Sam Reinhart,FLA,C,64,135,136,151,0.7675,0.68944,7.5,8477933
52,Jack Eichel,VGK,C,75,239,141,145,0.74778,0.6891,7.5,8478403
53,Jack Quinn,BUF,R,82,153,156,148,0.7625,0.68916,7.5,8482097
54,Matvei Michkov,PHI,R,81,202,86,146,0.75321,0.6894,7.5,8484387
55,Alex Laferriere,LAK,R,81,183,180,194,0.75438,0.68721,7.4,8482155
56,Jonathan Drouin,STL,L,64,125,118,149,0.77008,0.68892,7.4,8477494
57,Jaden Schwartz,SEA,C,50,87,113,111,0.78615,0.68887,7.4,8475768
58,Jack Drury,COL,C,81,115,130,115,0.77045,0.68559,7.3,8480835
59,Vasily Podkolzin,EDM,R,81,179,124,172,0.75268,0.68461,7.3,8481617
60,Pavel Dorofeyev,VGK,L,83,192,114,146,0.75089,0.68519,7.3,8481604
61,Tomas Hertl,VGK,C,83,168,118,129,0.75649,0.68632,7.3,8476881
62,Mathew Barzal,NYI,C,81,183,142,191,0.75203,0.68471,7.3,8478445
63,Clayton Keller,UTA,R,81,255,129,215,0.74298,0.68602,7.3,8479343
64,Beckett Sennecke,ANA,R,81,216,152,195,0.7477,0.6858,7.3,8484762
65,Zemgus Girgensons,TBL,L,74,116,177,192,0.77048,0.68602,7.3,8476878
66,Andre Burakovsky,CHI,L,75,182,108,176,0.75095,0.68337,7.2,8477444
67,Adrian Kempe,LAK,C,80,211,135,174,0.7467,0.68397,7.2,8477960
68,Joel Kiviranta,COL,L,50,58,67,72,0.80194,0.68209,7.2,8481641
69,Matt Savoie,EDM,C,81,160,115,140,0.75505,0.68294,7.2,8483512
70,Michael Amadio,OTT,C,81,88,171,216,0.77954,0.68226,7.2,8478020
