rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Jaccob Slavin,CAR,D,39,94,90,111,0.79618,0.70388,10.0,8476958
2,Jayden Struble,MTL,D,59,94,77,94,0.79206,0.69937,9.9,8481593
3,Mike Reilly,CAR,D,42,122,59,111,0.76224,0.67942,9.6,8476422
4,Evan Bouchard,EDM,D,81,254,145,215,0.68865,0.62925,8.7,8480803
5,Joel Hanley,CGY,D,68,152,88,122,0.69978,0.62272,8.6,8477810
6,Jalen Chatfield,CAR,D,72,216,169,202,0.68701,0.62235,8.6,8478970
7,Tyler Kleven,OTT,D,70,138,101,194,0.70753,0.62683,8.6,8482095
8,Rasmus Ristolainen,PHI,D,44,91,116,120,0.7242,0.62472,8.6,8477499
9,Sean Walker,CAR,D,81,256,191,233,0.67675,0.61721,8.5,8480336
10,Jackson LaCombe,ANA,D,81,261,249,244,0.66695,0.60771,8.3,8481605
11,Mattias Ekholm,EDM,D,81,240,149,211,0.66586,0.60398,8.2,8475218
12,Rasmus Dahlin,BUF,D,77,258,202,265,0.662,0.60228,8.2,8480839
13,Owen Power,BUF,D,81,230,229,220,0.66298,0.59965,8.2,8482671
14,Jordan Spence,OTT,D,73,229,104,195,0.66341,0.59996,8.2,8481606
15,Nick DeSimone,UTA,D,39,77,59,72,0.70742,0.5979,8.1,8480084
16,Simon Edvinsson,DET,D,72,180,216,201,0.65709,0.58511,7.9,8482762
17,Shayne Gostisbehere,CAR,D,55,188,86,145,0.65573,0.5853,7.9,8476906
18,K'Andre Miller,CAR,D,72,244,167,210,0.64395,0.58206,7.8,8480817
19,Jacob Bryson,WPG,D,50,61,63,85,0.69231,0.568,7.6,8480196
20,Pavel Mintyukov,ANA,D,72,178,160,167,0.63908,0.56627,7.6,8483490
21,Jacob Trouba,ANA,D,80,249,243,251,0.63194,0.57045,7.6,8476885
22,Devon Toews,COL,D,67,234,158,196,0.62515,0.56157,7.5,8478038
23,John Carlson,ANA,D,70,193,169,166,0.62952,0.55948,7.5,8474590
24,Ian Cole,UTA,D,81,173,165,168,0.63789,0.564,7.5,8474013
25,Cody Ceci,LAK,D,82,139,188,189,0.63966,0.55708,7.4,8476879
