rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Arthur Kaliyev,OTT,R,123,179,143,184,0.71625,0.6462,10.0,8481560
2,Alex Nylander,TOR,L,42,86,74,76,0.73271,0.63071,9.7,8479423
3,Arshdeep Bains,VAN,L,49,67,54,79,0.74441,0.62872,9.6,8483395
4,Derek Stepan,CAR,C,73,124,79,78,0.70175,0.61616,9.3,8474613
5,Sam Reinhart,FLA,C,307,658,622,689,0.65233,0.61516,9.3,8477933
6,Andrei Svechnikov,CAR,R,274,692,518,567,0.64449,0.60812,9.2,8480830
7,Connor McDavid,EDM,C,306,923,576,739,0.64223,0.61078,9.2,8478402
8,Jordan Staal,CAR,C,311,573,634,713,0.64734,0.60736,9.1,8473533
9,Zach Hyman,EDM,L,289,789,535,642,0.63846,0.60434,9.1,8475786
10,Aleksander Barkov,FLA,C,208,435,423,486,0.65204,0.60613,9.1,8477493
11,Connor Dewar,PIT,C,281,209,552,383,0.67072,0.60443,9.1,8480980
12,Dryden Hunt,CGY,L,73,88,97,94,0.70445,0.60219,9.0,8478211
13,Eric Robinson,CAR,L,268,456,468,486,0.64255,0.59754,8.9,8480762
14,Eetu Luostarinen,FLA,C,317,679,525,684,0.63224,0.59532,8.9,8480185
15,Stefan Noesen,NJD,R,275,493,392,462,0.63884,0.59551,8.9,8476474
16,Evgeny Svechnikov,SJS,L,59,72,87,84,0.70657,0.5931,8.8,8478431
17,Seth Jarvis,CAR,C,307,703,550,589,0.62866,0.59233,8.8,8482093
18,Mark Jankowski,CAR,C,210,334,302,355,0.64125,0.58847,8.7,8476873
19,Jack Drury,COL,C,265,421,358,372,0.63405,0.58701,8.7,8480835
20,Cole Reinhardt,FLA,L,76,78,92,115,0.69781,0.58861,8.7,8481133
21,Jesper Fast,CAR,R,153,281,257,334,0.63981,0.58214,8.6,8475855
22,Jordan Martinook,CAR,L,320,600,631,748,0.62101,0.58154,8.6,8476921
23,Danton Heinen,CBJ,L,264,360,410,438,0.63446,0.58354,8.6,8478046
24,Sebastian Aho,CAR,C,311,797,533,569,0.61373,0.57946,8.5,8478427
25,Peyton Krebs,BUF,C,317,580,618,624,0.6207,0.58054,8.5,8481522
26,Anton Lundell,FLA,C,294,609,487,592,0.61686,0.57763,8.5,8482113
27,Teddy Blueger,VAN,C,247,276,495,426,0.63746,0.57922,8.5,8476927
28,Sean Couturier,PHI,C,231,466,478,420,0.62024,0.57536,8.4,8476461
29,Logan Stankoven,CAR,C,183,389,297,350,0.62309,0.57395,8.4,8482702
30,Chris Kreider,ANA,L,303,693,564,652,0.60498,0.5681,8.3,8475184
31,Cam Atkinson,TBL,R,109,198,156,193,0.63835,0.56938,8.3,8474715
32,Oliver Moore,CHI,C,60,103,88,100,0.66338,0.56771,8.3,8484197
33,Denver Barkey,PHI,C,43,64,71,77,0.69212,0.57086,8.3,8484142
34,Tyler Motte,DET,L,186,170,265,300,0.63992,0.5654,8.2,8477353
35,Dylan Guenther,UTA,R,227,489,410,452,0.60689,0.56293,8.2,8482699
36,Jiri Kulich,BUF,C,75,189,161,159,0.63563,0.56495,8.2,8483468
37,Arseny Gritsyuk,NJD,R,66,126,110,149,0.65153,0.56496,8.2,8481721
38,Vincent Trocheck,NYR,C,313,657,558,539,0.59887,0.56092,8.1,8476389
39,Leon Draisaitl,EDM,C,297,877,623,663,0.59217,0.55931,8.1,8477934
40,Rickard Rakell,PIT,R,293,786,487,775,0.59706,0.56237,8.1,8476483
41,Tim Stützle,OTT,L,315,826,531,647,0.59452,0.56067,8.1,8482116
