rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Jalen Chatfield,CAR,D,301,1586,1224,1616,0.77649,0.75534,10.0,8478970
2,Jaccob Slavin,CAR,D,276,1745,1406,1509,0.74392,0.72292,9.2,8476958
3,Calvin de Haan,NYR,D,159,470,585,708,0.75666,0.71589,9.0,8475177
4,Brent Burns,COL,D,327,1919,1632,1688,0.73497,0.71477,9.0,8470613
5,Jordan Spence,OTT,D,229,1104,725,985,0.74151,0.71488,9.0,8481606
6,Spencer Stastney,EDM,D,117,451,460,513,0.75395,0.71216,8.9,8481056
7,Sean Walker,CAR,D,314,1617,1335,1504,0.728,0.70579,8.8,8480336
8,Rasmus Ristolainen,PHI,D,212,887,1125,1003,0.73512,0.70511,8.8,8477499
9,Jake Sanderson,OTT,D,303,1529,1718,1720,0.72666,0.70377,8.7,8482105
10,Brett Pesce,NJD,D,261,1626,1339,1462,0.71826,0.6959,8.6,8477488
11,Adam Pelech,NYI,D,261,1358,1651,1519,0.7241,0.69972,8.6,8476917
12,K'Andre Miller,CAR,D,305,1645,1653,1799,0.71653,0.69427,8.5,8480817
13,Dmitry Orlov,SJS,D,305,1573,1430,1629,0.71537,0.69256,8.5,8475200
14,Chris Tanev,TOR,D,226,988,1332,1382,0.72445,0.69576,8.5,8475690
15,Alexander Nikishin,CAR,D,81,484,270,414,0.73454,0.69347,8.5,8482100
16,Ian Moore,ANA,D,69,239,269,256,0.74799,0.68932,8.4,8482178
17,Mattias Ekholm,EDM,D,303,1871,1368,1528,0.70523,0.68417,8.3,8475218
18,Adam Fox,NYR,D,283,1951,1360,1588,0.70495,0.68432,8.3,8479323
19,Brady Skjei,NSH,D,324,1839,1736,1836,0.70721,0.686,8.3,8476869
20,Devon Toews,COL,D,305,2422,1650,1891,0.70426,0.68577,8.3,8478038
21,Gustav Forsling,FLA,D,321,1875,1703,1832,0.70769,0.68669,8.3,8478055
22,Aaron Ekblad,FLA,D,250,1371,1298,1350,0.7094,0.68481,8.3,8477932
23,Miro Heiskanen,DAL,D,277,2075,1495,1655,0.70612,0.68615,8.3,8480036
24,Marc-Edouard Vlasic,SJS,D,162,511,829,742,0.72213,0.68174,8.2,8471709
25,Cale Makar,COL,D,291,2414,1416,1680,0.69847,0.67986,8.2,8480069
