rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Jaccob Slavin,CAR,D,39,199,187,219,0.81976,0.76046,10.0,8476958
2,Sean Walker,CAR,D,81,521,411,483,0.79588,0.75917,10.0,8480336
3,Shayne Gostisbehere,CAR,D,55,368,163,286,0.7979,0.75389,9.8,8476906
4,Rasmus Ristolainen,PHI,D,44,187,251,254,0.80874,0.74638,9.6,8477499
5,Mike Reilly,CAR,D,42,233,119,240,0.79808,0.7419,9.5,8476422
6,Jordan Spence,OTT,D,73,471,226,393,0.77959,0.73997,9.4,8481606
7,Jayden Struble,MTL,D,59,210,149,205,0.79819,0.73878,9.4,8481593
8,Jalen Chatfield,CAR,D,72,435,338,427,0.77385,0.73223,9.2,8478970
9,Ilya Solovyov,PIT,D,30,86,96,126,0.82077,0.72656,9.0,8482470
10,Joel Hanley,CGY,D,68,305,193,244,0.76656,0.71595,8.7,8477810
11,K'Andre Miller,CAR,D,72,476,358,402,0.7514,0.71067,8.6,8480817
12,Devon Toews,COL,D,67,495,323,403,0.74537,0.7052,8.4,8478038
13,Brayden McNabb,VGK,D,64,332,325,334,0.75523,0.70623,8.4,8475188
14,Tyler Kleven,OTT,D,70,286,253,413,0.75688,0.70397,8.4,8482095
15,Jake Sanderson,OTT,D,67,397,402,379,0.7439,0.69877,8.2,8482105
16,Alexander Nikishin,CAR,D,81,484,270,414,0.73454,0.69347,8.1,8482100
17,Ian Moore,ANA,D,66,223,264,248,0.75662,0.69627,8.1,8482178
18,Shea Theodore,VGK,D,71,429,394,377,0.73512,0.69141,8.0,8477447
19,Simon Edvinsson,DET,D,72,344,448,463,0.74062,0.69183,8.0,8482762
20,Adam Fox,NYR,D,55,391,307,379,0.7349,0.68902,7.9,8479323
21,Evan Bouchard,EDM,D,81,503,306,420,0.72553,0.68494,7.8,8480803
22,Cale Makar,COL,D,74,558,337,410,0.71838,0.67966,7.7,8480069
23,Mattias Ekholm,EDM,D,81,481,305,418,0.72141,0.67971,7.7,8475218
24,Moritz Seider,DET,D,82,407,543,539,0.72715,0.6819,7.7,8481542
25,Josh Manson,COL,D,79,340,404,414,0.72686,0.67716,7.6,8476312
26,John Carlson,ANA,D,70,383,332,333,0.7202,0.67322,7.5,8474590
27,Tyler Tucker,STL,D,68,201,205,276,0.74034,0.67562,7.5,8481006
28,Pavel Mintyukov,ANA,D,72,315,313,348,0.726,0.67425,7.5,8483490
29,Jacob Trouba,ANA,D,80,463,488,502,0.71784,0.67518,7.5,8476885
30,Nick DeSimone,UTA,D,39,147,135,162,0.75081,0.6751,7.5,8480084
31,MacKenzie Weegar,UTA,D,78,497,440,514,0.71234,0.67104,7.4,8477346
32,Rasmus Dahlin,BUF,D,77,447,431,511,0.71332,0.66972,7.4,8480839
33,Darren Raddysh,TBL,D,73,395,345,349,0.7159,0.66951,7.4,8478178
34,Spencer Stastney,EDM,D,66,262,263,292,0.72593,0.66895,7.4,8481056
35,Cody Ceci,LAK,D,82,255,391,377,0.72486,0.66701,7.3,8476879
36,Vincent Desharnais,SJS,D,53,166,259,253,0.74046,0.66887,7.3,8479576
37,Sam Malinski,COL,D,81,378,361,382,0.71008,0.66241,7.2,8484258
38,Radko Gudas,ANA,D,56,199,203,244,0.72812,0.66242,7.2,8475462
39,Owen Power,BUF,D,81,416,426,414,0.70809,0.66266,7.2,8482671
40,Victor Mancini,VAN,D,24,88,80,56,0.76282,0.66414,7.2,8483768
41,Michael Kesselring,BUF,D,34,120,112,121,0.74942,0.66497,7.2,8480891
42,Noah Dobson,MTL,D,80,464,456,489,0.70319,0.66009,7.1,8480865
43,Jackson LaCombe,ANA,D,81,461,505,511,0.70372,0.66049,7.1,8481605
44,Miro Heiskanen,DAL,D,77,469,378,410,0.70128,0.65836,7.0,8480036
45,Mikhail Sergachev,UTA,D,77,491,476,470,0.69712,0.65507,7.0,8479410
46,Dmitry Orlov,SJS,D,81,406,440,442,0.70218,0.65597,7.0,8475200
47,Hunter Brzustewicz,CGY,D,33,137,98,149,0.73668,0.6572,7.0,8484150
48,Nate Schmidt,UTA,D,81,405,373,442,0.69803,0.65163,6.9,8477220
49,John Marino,UTA,D,79,402,423,451,0.7,0.65348,6.9,8478507
50,Sam Dickinson,SJS,D,71,277,313,326,0.70853,0.65245,6.9,8484806
51,Brandt Clarke,LAK,D,81,526,328,384,0.68905,0.64825,6.8,8482730
52,Brent Burns,COL,D,81,397,429,424,0.698,0.65111,6.8,8470613
53,Dougie Hamilton,NJD,D,77,421,371,460,0.69449,0.6489,6.8,8476462
54,Dante Fabbro,CBJ,D,74,296,329,299,0.70521,0.6509,6.8,8479371
55,Vince Dunn,SEA,D,80,468,498,459,0.69213,0.64888,6.8,8478407
56,Roman Josi,NSH,D,68,452,420,416,0.69162,0.64758,6.7,8474600
57,Esa Lindell,DAL,D,82,376,406,478,0.69447,0.64614,6.7,8476902
58,Filip Hronek,VAN,D,81,550,489,458,0.68555,0.64558,6.7,8479425
59,Nicolas Hague,NSH,D,63,281,331,326,0.70174,0.64582,6.7,8479980
60,Lane Hutson,MTL,D,82,479,329,425,0.68567,0.64275,6.6,8483457
61,Thomas Chabot,OTT,D,57,278,225,278,0.69832,0.64196,6.6,8478469
62,Adam Pelech,NYI,D,82,435,449,462,0.68873,0.64373,6.6,8476917
63,Jonas Siegenthaler,NJD,D,82,365,435,485,0.69376,0.64466,6.6,8478399
64,Cam Fowler,STL,D,81,455,396,408,0.686,0.64194,6.6,8475764
65,Elias Pettersson,VAN,D,69,210,290,282,0.70688,0.64204,6.6,8483678
66,J.J. Moser,TBL,D,79,446,388,413,0.68779,0.64333,6.6,8482655
67,Drew Doughty,LAK,D,71,390,381,443,0.68569,0.638,6.5,8474563
68,Quinn Hughes,MIN,D,74,564,474,502,0.67861,0.63898,6.5,8480800
69,Aaron Ekblad,FLA,D,72,388,352,393,0.68531,0.63748,6.4,8477932
70,Charlie McAvoy,BOS,D,69,420,409,384,0.68241,0.63641,6.4,8479325
71,Olen Zellweger,ANA,D,76,334,267,326,0.68835,0.63677,6.4,8482803
72,Mikey Anderson,LAK,D,79,323,443,459,0.6836,0.63098,6.3,8479998
73,Jonas Brodin,MIN,D,62,314,341,344,0.68669,0.63339,6.3,8476463
74,Joel Edmundson,LAK,D,81,479,340,384,0.67117,0.62788,6.2,8476441
75,Mike Matheson,MTL,D,78,344,539,496,0.68072,0.62969,6.2,8476875
76,Jeremy Lauzon,VGK,D,68,296,300,358,0.68259,0.62751,6.2,8478468
77,Jared Spurgeon,MIN,D,79,360,404,385,0.67743,0.62748,6.2,8474716
78,Ian Cole,UTA,D,81,295,331,337,0.68588,0.63081,6.2,8474013
79,Jake Christiansen,CBJ,D,40,88,104,95,0.72995,0.62902,6.2,8481161
80,Colton White,NJD,D,23,65,65,80,0.74737,0.62999,6.2,8478841
81,Niko Mikkola,FLA,D,68,336,336,399,0.67738,0.62564,6.1,8478859
82,Parker Wotherspoon,PIT,D,80,404,407,450,0.67366,0.62648,6.1,8478450
83,Oliver Ekman-Larsson,TOR,D,78,543,433,416,0.66674,0.62604,6.1,8475171
84,Martin Fehérváry,WSH,D,81,250,445,385,0.68532,0.62532,6.1,8480796
85,Rasmus Andersson,VGK,D,81,534,475,475,0.66792,0.6269,6.1,8478397
86,Artem Zub,OTT,D,81,319,500,446,0.67769,0.62455,6.1,8482245
87,Tony DeAngelo,NYI,D,76,435,339,353,0.66723,0.62166,6.0,8477950
88,Justin Barron,NSH,D,51,178,199,218,0.6939,0.62269,6.0,8482111
89,Zach Werenski,CBJ,D,75,598,475,492,0.66259,0.62377,6.0,8478460
90,Sean Durzi,UTA,D,60,357,276,312,0.67235,0.62205,6.0,8480434
91,Adam Larsson,SEA,D,81,422,521,478,0.66988,0.62365,6.0,8476457
92,Johnathan Kovacevic,NJD,D,34,123,181,164,0.70805,0.62238,6.0,8480192
93,Vladislav Gavrikov,NYR,D,82,547,487,548,0.65797,0.61724,5.9,8478882
94,Carson Soucy,NYI,D,76,272,284,334,0.67483,0.61707,5.9,8477369
95,Brian Dumoulin,LAK,D,81,315,378,395,0.6738,0.6202,5.9,8475208
96,Brayden Pachal,CGY,D,38,147,117,129,0.69839,0.61992,5.9,8481167
97,Bowen Byram,BUF,D,82,400,466,455,0.66566,0.61804,5.9,8481524
98,Olli Määttä,CGY,D,42,168,162,195,0.69173,0.61827,5.9,8476874
99,Drew Helleson,ANA,D,60,289,250,296,0.67506,0.61908,5.9,8481563
100,Ryan Shea,PIT,D,80,325,360,376,0.66786,0.61496,5.8,8478854
101,Luke Hughes,NJD,D,68,474,369,392,0.65931,0.61552,5.8,8482684
102,Will Borgen,NYR,D,75,279,347,328,0.6682,0.61099,5.7,8478840
103,Andrew Peeke,BOS,D,77,306,417,392,0.66627,0.61166,5.7,8479369
104,Noah Hanifin,VGK,D,72,489,326,408,0.65409,0.61087,5.7,8478396
105,Brock Faber,MIN,D,80,510,554,562,0.65296,0.61064,5.7,8482122
106,Justin Faulk,DET,D,78,382,393,422,0.65961,0.61072,5.7,8475753
107,Josh Morrissey,WPG,D,76,587,358,454,0.652,0.61259,5.7,8477504
108,Tyler Myers,DAL,D,73,257,370,350,0.67082,0.61122,5.7,8474574
109,Pierre-Olivier Joseph,VAN,D,31,96,84,110,0.70971,0.61224,5.7,8480058
110,Gustav Forsling,FLA,D,80,461,402,438,0.65358,0.60903,5.6,8478055
111,Urho Vaakanainen,NYR,D,34,69,125,103,0.72496,0.60986,5.6,8480001
112,Kaedan Korczak,VGK,D,78,311,271,345,0.66158,0.6073,5.6,8481527
113,Jacob Bryson,WPG,D,50,121,129,176,0.6938,0.60677,5.6,8480196
114,Travis Sanheim,PHI,D,81,366,498,532,0.65956,0.60958,5.6,8477948
115,Denton Mateychuk,CBJ,D,75,348,333,375,0.66085,0.6096,5.6,8483485
116,Kris Letang,PIT,D,74,433,326,365,0.65032,0.60426,5.5,8471724
117,Alec Regula,EDM,D,29,105,89,124,0.69687,0.6033,5.5,8480831
118,Mattias Samuelsson,BUF,D,78,411,470,501,0.65092,0.60363,5.5,8480807
119,Ryan Pulock,NYI,D,76,368,392,450,0.65626,0.60634,5.5,8477506
120,Brady Skjei,NSH,D,81,376,531,487,0.65586,0.60648,5.5,8476869
121,Damon Severson,CBJ,D,71,413,437,431,0.65307,0.60594,5.5,8476923
122,Cam York,PHI,D,74,353,388,472,0.65748,0.60652,5.5,8481546
123,Joel Nystrom,CAR,D,38,232,124,193,0.66949,0.60663,5.5,8482911
124,Seth Jones,FLA,D,52,239,260,309,0.66468,0.60264,5.4,8477495
125,Erik Karlsson,PIT,D,75,473,387,410,0.64433,0.60019,5.4,8474578
126,Matthew Schaefer,NYI,D,82,418,380,440,0.65008,0.60318,5.4,8485366
127,Ivan Provorov,CBJ,D,82,470,543,510,0.64735,0.60311,5.4,8478500
128,Brandon Montour,SEA,D,63,358,340,281,0.65367,0.60299,5.4,8477986
129,Connor Clifton,PIT,D,50,118,198,248,0.68835,0.59995,5.4,8477365
130,Adam Wilsby,NSH,D,57,216,287,284,0.66407,0.5987,5.3,8482482
131,Dylan DeMelo,WPG,D,81,510,387,490,0.642,0.59947,5.3,8476331
132,Ben Hutton,VGK,D,55,254,142,208,0.65712,0.59679,5.3,8477018
133,Matthew Robertson,NYR,D,72,262,294,298,0.65826,0.59891,5.3,8481525
134,Ryan Graves,PIT,D,22,67,87,104,0.71429,0.59683,5.3,8477435
135,Dylan Samberg,WPG,D,65,283,345,361,0.65478,0.59765,5.3,8480049
136,Arber Xhekaj,MTL,D,65,168,129,207,0.66759,0.5933,5.2,8482964
137,Zach Whitecloud,CGY,D,78,351,365,426,0.64707,0.59573,5.2,8480727
138,Trevor van Riemsdyk,WSH,D,68,206,282,337,0.65826,0.59113,5.1,8477845
139,Erik Cernak,TBL,D,61,220,293,319,0.6549,0.5899,5.1,8478416
140,Jamie Drysdale,PHI,D,78,401,354,413,0.63821,0.59007,5.1,8482142
141,Scott Mayfield,NYI,D,80,290,263,350,0.64886,0.5923,5.1,8476429
142,Zeev Buium,VAN,D,75,427,308,307,0.63891,0.5923,5.1,8484798
143,Colton Parayko,STL,D,76,371,497,436,0.63974,0.58969,5.1,8476892
144,Jeff Petry,MIN,D,67,246,201,324,0.64941,0.5879,5.0,8473507
145,Morgan Rielly,TOR,D,78,583,317,399,0.62909,0.58915,5.0,8476853
146,Hampus Lindholm,BOS,D,67,305,328,366,0.64345,0.58822,5.0,8476854
147,Matt Roy,WSH,D,79,357,394,382,0.63939,0.58834,5.0,8478911
148,Rasmus Sandin,WSH,D,73,349,358,349,0.63772,0.58605,5.0,8480873
149,Thomas Harley,DAL,D,70,375,366,395,0.63578,0.58593,4.9,8481581
150,Matthew Kessel,STL,D,29,86,69,104,0.68792,0.58373,4.9,8482516
151,Brett Kulak,COL,D,82,341,341,398,0.62937,0.57694,4.7,8476967
152,Emil Andrae,PHI,D,61,250,196,231,0.63858,0.57734,4.7,8482126
153,Nick Blankenburg,COL,D,60,212,218,228,0.64257,0.57605,4.7,8483565
154,Mason Lohrei,BOS,D,73,308,275,346,0.63039,0.57518,4.6,8482511
155,Jakob Chychrun,WSH,D,80,492,351,412,0.61779,0.5741,4.6,8479345
156,Darnell Nurse,EDM,D,81,439,395,476,0.62066,0.57441,4.6,8477498
157,Axel Sandin-Pellikka,DET,D,68,318,268,267,0.62807,0.57372,4.6,8484223
158,Donovan Sebrango,FLA,D,42,144,132,208,0.65016,0.56928,4.5,8482131
159,Nick Perbix,NSH,D,78,357,401,407,0.62046,0.56909,4.5,8480246
160,Neal Pionk,WPG,D,51,262,223,267,0.62902,0.56905,4.5,8480145
161,John Klingberg,SJS,D,55,296,267,274,0.62634,0.56994,4.5,8475906
162,Uvis Balinskis,FLA,D,54,240,182,276,0.63343,0.57081,4.5,8484304
163,Kyle Capobianco,DAL,D,33,96,81,95,0.66827,0.56921,4.5,8478476
164,Brett Pesce,NJD,D,37,222,178,200,0.63241,0.56723,4.4,8477488
165,Philip Broberg,STL,D,80,389,470,414,0.61556,0.56632,4.4,8481598
166,Erik Gudbranson,CBJ,D,37,110,175,161,0.6608,0.56823,4.4,8475790
167,Kevin Bahl,CGY,D,76,380,497,431,0.6121,0.56222,4.3,8480860
168,Nikolas Matinpalo,OTT,D,50,141,192,260,0.64418,0.56229,4.3,8484321
169,Logan Mailloux,STL,D,66,300,227,283,0.61876,0.56263,4.3,8482733
170,Logan Stanley,BUF,D,76,251,310,320,0.6244,0.56304,4.3,8479378
171,Charle-Edouard D'Astous,TBL,D,70,314,294,382,0.6144,0.55949,4.2,8480426
172,Kaiden Guhle,MTL,D,39,129,205,189,0.64323,0.55752,4.1,8482087
173,Albert Johansson,DET,D,82,325,350,309,0.61178,0.55779,4.1,8481607
174,Marcus Pettersson,VAN,D,81,306,512,436,0.61053,0.55485,4.1,8477969
175,Elias Salomonsson,WPG,D,32,151,156,146,0.63479,0.55554,4.1,8483510
176,Jake Middleton,MIN,D,75,293,347,334,0.60868,0.55174,4.0,8478136
177,Yan Kuznetsov,CGY,D,57,316,269,349,0.60756,0.55274,4.0,8482165
178,Connor Murphy,EDM,D,79,212,366,356,0.61804,0.55108,3.9,8476473
179,Nikita Zadorov,BOS,D,81,365,474,436,0.60126,0.55023,3.9,8477507
180,Ty Emberson,EDM,D,71,216,291,306,0.61484,0.54847,3.9,8480834
181,Brenden Dillon,NJD,D,82,357,348,327,0.6027,0.55111,3.9,8475455
182,Nick Leddy,SJS,D,32,169,139,155,0.62633,0.55134,3.9,8475181
183,Nick Seeler,PHI,D,80,309,283,338,0.60146,0.54594,3.8,8476372
184,Vincent Iorio,NYR,D,27,95,92,117,0.64496,0.54482,3.8,8482861
185,Alexandre Carrier,MTL,D,73,239,340,373,0.60555,0.54238,3.7,8478851
186,Emil Lilleberg,TBL,D,50,232,203,258,0.60749,0.54339,3.7,8482929
187,Zayne Parekh,CGY,D,36,229,67,106,0.60836,0.54385,3.7,8484768
188,Ben Chiarot,DET,D,82,444,470,461,0.58493,0.53856,3.6,8475279
189,Nick Jensen,OTT,D,61,232,230,293,0.60385,0.53971,3.6,8475324
190,Noah Juulsen,PHI,D,52,186,136,191,0.61121,0.53958,3.6,8478454
191,Luke Schenn,BUF,D,50,126,172,173,0.62473,0.53767,3.6,8474568
192,Mario Ferraro,SJS,D,82,314,453,410,0.59568,0.54056,3.6,8479983
193,Wyatt Kaiser,CHI,D,77,361,343,411,0.58665,0.53519,3.5,8482176
194,Conor Timmins,BUF,D,39,160,198,194,0.61428,0.53701,3.5,8479982
195,Louis Crevier,CHI,D,78,219,469,409,0.59721,0.53111,3.4,8481806
196,Ryan McDonagh,TBL,D,48,191,232,232,0.60215,0.53137,3.4,8474151
197,Timothy Liljegren,WSH,D,48,180,284,239,0.6058,0.53292,3.4,8480043
198,Jonathan Aspirot,BOS,D,61,255,307,300,0.5945,0.53327,3.4,8481219
199,Simon Nemec,NJD,D,68,335,298,292,0.58247,0.52902,3.3,8483495
200,Shakir Mukhamadullin,SJS,D,50,186,244,231,0.59928,0.52753,3.3,8482166
201,Jamie Oleksiak,SEA,D,78,262,319,332,0.58441,0.52394,3.2,8476467
202,Ryan Lindgren,SEA,D,75,309,386,322,0.5809,0.52523,3.2,8479324
203,Samuel Girard,PIT,D,60,272,284,281,0.58249,0.52313,3.1,8479398
204,Jake McCabe,TOR,D,80,296,549,454,0.5792,0.5223,3.1,8476931
205,Jacob Bernard-Docker,DET,D,63,232,273,235,0.58696,0.52268,3.1,8480879
206,Victor Hedman,TBL,D,33,126,101,151,0.60537,0.51812,3.0,8475167
207,Maxwell Crozier,TBL,D,35,154,107,128,0.59649,0.51757,3.0,8481719
208,Sam Rinzel,CHI,D,54,261,192,248,0.57576,0.51512,2.9,8483506
209,Egor Zamula,CBJ,D,33,103,75,134,0.61073,0.51421,2.9,8481178
210,Nils Lundkvist,DAL,D,52,205,259,283,0.57887,0.51044,2.8,8480878
211,Alexander Petrovic,DAL,D,54,144,224,215,0.59266,0.51102,2.8,8475755
212,Braden Schneider,NYR,D,82,307,421,387,0.5649,0.50898,2.7,8482073
213,Alex Vlasic,CHI,D,81,286,506,449,0.56661,0.50867,2.7,8481568
214,Ilya Lyubushkin,DAL,D,53,127,215,252,0.59247,0.50551,2.6,8480950
215,Ryker Evans,SEA,D,66,219,236,290,0.57157,0.50535,2.6,8482858
216,Travis Hamonic,DET,D,26,85,105,96,0.60831,0.50202,2.5,8474612
217,Henri Jokiharju,BOS,D,41,167,215,220,0.57263,0.49679,2.4,8480035
218,Troy Stecher,TOR,D,64,228,302,322,0.55473,0.48984,2.2,8479442
219,Tom Willander,VAN,D,69,248,278,290,0.55337,0.49115,2.2,8484240
220,Artyom Levshunov,CHI,D,68,356,243,279,0.5395,0.48758,2.1,8484783
221,Brandon Carlo,TOR,D,55,205,271,329,0.55517,0.48674,2.1,8478443
222,Joshua Mahura,SEA,D,23,68,99,95,0.60613,0.48733,2.1,8479372
223,Scott Morrow,NYR,D,29,106,106,110,0.58125,0.4861,2.1,8482666
224,Dmitri Simashev,UTA,D,27,112,107,131,0.57689,0.48433,2.0,8484386
225,Declan Carlile,TBL,D,42,162,123,175,0.55993,0.48298,2.0,8483398
226,Declan Chisholm,WSH,D,26,67,82,93,0.59524,0.47565,1.8,8480990
227,David Jiricek,PHI,D,26,71,106,75,0.59105,0.47489,1.7,8483460
228,Lian Bichsel,DAL,D,50,128,196,196,0.55617,0.46971,1.6,8483425
229,Matt Grzelcyk,CHI,D,69,322,278,307,0.52119,0.46669,1.5,8476891
230,Adam Boqvist,NYI,D,28,106,62,106,0.56037,0.46542,1.5,8480871
231,Jake Walman,EDM,D,52,281,215,240,0.52401,0.46569,1.5,8478013
232,Philippe Myers,TOR,D,39,105,152,140,0.55094,0.45568,1.2,8479026
233,Daemon Hunt,MIN,D,32,78,113,109,0.55677,0.44644,0.9,8482094
234,Haydn Fleury,WPG,D,37,93,95,102,0.54116,0.44027,0.7,8477938
235,Simon Benoit,TOR,D,73,160,397,339,0.50569,0.429,0.4,8481122
236,Zach Metsa,BUF,D,43,114,124,143,0.518,0.4272,0.4,8484305
237,Jack St. Ivany,PIT,D,20,76,90,94,0.54152,0.43021,0.4,8481030
238,Zach Bogosian,MIN,D,41,134,127,145,0.5016,0.41808,0.1,8474567
239,Cale Fleury,SEA,D,22,58,107,106,0.54167,0.41487,0.0,8479985
