rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Jesper Fast,CAR,R,153,649,600,747,0.8362,0.80576,10.0,8475855
2,Jordan Staal,CAR,C,311,1335,1448,1637,0.79782,0.77544,9.4,8473533
3,Jordan Martinook,CAR,L,320,1388,1428,1670,0.78157,0.75907,9.0,8476921
4,Grigori Denisenko,VGK,L,25,51,69,86,0.87311,0.75509,9.0,8480844
5,Derek Stepan,CAR,C,73,273,172,187,0.80233,0.75103,8.9,8474613
6,Jack Drury,COL,C,265,877,812,909,0.77983,0.75122,8.9,8480835
7,Stefan Noesen,NJD,R,275,1026,824,1005,0.75676,0.72958,8.4,8476474
8,Andrei Svechnikov,CAR,R,274,1425,1011,1098,0.74536,0.7221,8.3,8480830
9,Sam Reinhart,FLA,C,307,1386,1283,1367,0.7438,0.72016,8.3,8477933
10,Mark Jankowski,CAR,C,210,666,649,726,0.7566,0.7226,8.3,8476873
11,Alex Nylander,TOR,L,42,176,144,145,0.78811,0.72191,8.3,8479423
12,Denver Barkey,PHI,C,43,133,139,160,0.79953,0.72352,8.3,8484142
13,Aleksander Barkov,FLA,C,208,977,902,986,0.7476,0.71942,8.2,8477493
14,Eetu Luostarinen,FLA,C,317,1319,1097,1397,0.74237,0.71809,8.2,8480185
15,Arthur Kaliyev,OTT,R,123,398,284,355,0.75919,0.71483,8.1,8481560
16,Seth Jarvis,CAR,C,307,1512,1079,1204,0.73329,0.71043,8.1,8482093
17,Sebastian Aho,CAR,C,311,1655,1037,1125,0.73557,0.71379,8.1,8478427
18,Josh Leivo,STL,L,51,143,148,168,0.78528,0.71098,8.1,8476410
19,Claude Giroux,OTT,R,327,1558,1410,1399,0.72901,0.7064,8.0,8473512
20,Nick Cousins,OTT,C,279,812,814,972,0.73899,0.70771,8.0,8476393
21,Connor Dewar,PIT,C,281,421,1031,797,0.75222,0.70882,8.0,8480980
22,Rourke Chartier,OTT,C,43,85,101,129,0.8042,0.70748,8.0,8478078
23,Sean Couturier,PHI,C,231,964,1060,948,0.73589,0.70716,8.0,8476461
24,Logan Stankoven,CAR,C,183,781,603,703,0.73413,0.70205,7.9,8482702
25,Patrice Bergeron,BOS,C,78,533,360,234,0.73611,0.6971,7.8,8470638
26,Paul Stastny,CAR,C,73,306,198,232,0.74737,0.69582,7.8,8471669
27,Zach Hyman,EDM,L,289,1637,1106,1228,0.72106,0.69884,7.8,8475786
28,Connor McDavid,EDM,C,306,1898,1170,1429,0.72006,0.69944,7.8,8478402
29,Anton Lundell,FLA,C,294,1222,1019,1219,0.72431,0.69858,7.8,8482113
30,Matthew Tkachuk,FLA,L,242,1235,881,1122,0.72386,0.69826,7.8,8479314
31,Joe Pavelski,DAL,C,164,786,696,726,0.73192,0.69987,7.8,8470794
32,Oliver Moore,CHI,C,60,196,171,189,0.76215,0.69787,7.8,8484197
33,Colton Sissons,VGK,C,301,707,1334,1243,0.72735,0.69336,7.7,8476925
34,Valeri Nichushkin,COL,R,221,1113,935,986,0.72073,0.69365,7.7,8477501
35,Rickard Rakell,PIT,R,293,1711,1011,1537,0.71501,0.69316,7.7,8476483
36,Brady Tkachuk,OTT,L,295,1549,1148,1545,0.71677,0.69381,7.7,8480801
37,Tim Stützle,OTT,L,315,1681,1068,1296,0.7128,0.6907,7.7,8482116
38,Roope Hintz,DAL,C,282,1264,1206,1279,0.7203,0.69491,7.7,8478449
39,Cole Reinhardt,FLA,L,76,149,194,229,0.76612,0.69199,7.7,8481133
40,Arseny Gritsyuk,NJD,R,66,247,229,272,0.74915,0.69155,7.7,8481721
41,Adrian Kempe,LAK,C,320,1485,1375,1382,0.71223,0.68868,7.6,8477960
42,Evan Rodrigues,FLA,C,300,1333,1113,1192,0.71273,0.68785,7.6,8478542
43,William Carrier,CAR,L,208,676,753,1040,0.72221,0.68726,7.6,8477478
44,Dylan Larkin,DET,C,304,1224,1411,1373,0.71523,0.6893,7.6,8477946
45,Ridly Greig,OTT,C,247,864,1098,1016,0.72023,0.68938,7.6,8482092
46,Cam Atkinson,TBL,R,109,376,310,363,0.73461,0.68777,7.6,8474715
47,Nico Sturm,MIN,C,249,631,1039,800,0.71727,0.6809,7.5,8481477
48,Tomas Hertl,VGK,C,289,1486,1167,1182,0.70681,0.68315,7.5,8476881
49,Phillip Danault,MTL,C,315,1159,1321,1322,0.70878,0.68196,7.5,8476479
50,Colin Blackwell,DAL,C,230,478,748,725,0.72581,0.68414,7.5,8476278
51,J.T. Miller,NYR,C,302,1376,1397,1385,0.70898,0.68442,7.5,8476468
52,Jesse Puljujarvi,FLA,R,128,413,392,452,0.7292,0.68438,7.5,8479344
53,Sidney Crosby,PIT,C,312,2105,1314,1937,0.70531,0.68548,7.5,8471675
54,Mathieu Joseph,LAK,R,238,606,808,927,0.72149,0.68449,7.5,8478472
55,Mark Kastelic,BOS,C,271,469,1037,868,0.72449,0.68235,7.5,8480355
