rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,David Kampf,WSH,C,40,136,208,177,0.8418,0.7712,10.0,8480144
2,Andrei Svechnikov,CAR,R,79,412,272,317,0.80335,0.76224,9.8,8480830
3,Valeri Nichushkin,COL,R,71,275,288,304,0.79715,0.74568,9.5,8477501
4,Josh Norris,BUF,C,44,175,196,178,0.80337,0.73824,9.4,8480064
5,Sebastian Aho,CAR,C,79,432,251,307,0.77966,0.73821,9.4,8478427
6,William Carrier,CAR,L,70,268,242,336,0.78429,0.73121,9.3,8477478
7,Seth Jarvis,CAR,C,71,384,216,275,0.77836,0.73417,9.3,8482093
8,Luke Evangelista,NSH,R,80,332,308,378,0.78084,0.73326,9.3,8482146
9,Jansen Harkins,ANA,C,44,98,128,115,0.82239,0.73502,9.3,8478424
10,Connor Dewar,PIT,C,78,96,417,252,0.81505,0.72581,9.2,8480980
11,Jordan Staal,CAR,C,75,317,344,406,0.77141,0.7221,9.1,8473533
12,Denver Barkey,PHI,C,43,133,139,160,0.79953,0.72352,9.1,8484142
13,Jack Drury,COL,C,81,249,306,295,0.77578,0.72001,9.0,8480835
14,Tomas Hertl,VGK,C,83,414,272,292,0.76212,0.71882,9.0,8476881
15,Eric Robinson,CAR,L,67,276,188,265,0.7682,0.71494,9.0,8480762
16,Nikolaj Ehlers,CAR,L,82,388,266,343,0.76418,0.71948,9.0,8477940
17,Brandon Tanev,UTA,L,55,105,161,174,0.80211,0.71584,9.0,8479293
18,Adrian Kempe,LAK,C,80,444,309,331,0.7557,0.71365,8.9,8477960
19,Chris Kreider,ANA,L,74,357,230,337,0.76047,0.71357,8.9,8475184
20,Mark Jankowski,CAR,C,68,272,185,247,0.76517,0.71132,8.9,8476873
21,Oliver Moore,CHI,C,51,174,144,160,0.77893,0.71161,8.9,8484197
22,Jordan Martinook,CAR,L,77,333,320,407,0.75694,0.70811,8.8,8476921
23,Colin Blackwell,DAL,C,70,126,205,218,0.7862,0.7067,8.8,8476278
24,Alexandre Texier,MTL,C,51,141,173,207,0.78238,0.70727,8.8,8480074
25,Victor Olofsson,CGY,L,78,277,244,254,0.75482,0.7009,8.7,8478109
26,Tom Wilson,WSH,R,72,258,341,277,0.75517,0.6992,8.7,8476880
27,Logan Stankoven,CAR,C,81,376,181,311,0.74547,0.69911,8.7,8482702
28,Anze Kopitar,LAK,C,66,372,265,249,0.74141,0.6946,8.6,8471685
29,Phillip Danault,MTL,C,75,236,343,293,0.75375,0.69501,8.6,8476479
30,Joel Kiviranta,COL,L,50,105,146,168,0.78182,0.69364,8.6,8481641
31,Cole Reinhardt,FLA,L,59,123,151,183,0.77896,0.6978,8.6,8481133
32,Danton Heinen,CBJ,L,46,114,169,140,0.77896,0.6944,8.6,8478046
33,Connor McDavid,EDM,C,81,464,261,361,0.73465,0.69267,8.5,8478402
34,Colton Sissons,VGK,C,66,130,234,243,0.77067,0.69126,8.5,8476925
35,Taylor Hall,CAR,L,80,369,181,319,0.73895,0.69184,8.5,8475791
36,Arseny Gritsyuk,NJD,R,66,247,229,272,0.74915,0.69155,8.5,8481721
37,Jamie Benn,DAL,L,60,210,183,227,0.75091,0.68826,8.5,8473994
38,Brock Nelson,COL,C,80,371,356,352,0.73465,0.68748,8.4,8475754
39,Dakota Joshua,TOR,C,55,100,214,251,0.77689,0.68591,8.4,8478057
40,Dylan Cozens,OTT,C,82,367,275,407,0.73054,0.68294,8.4,8481528
41,Jean-Gabriel Pageau,NYI,C,74,251,310,280,0.74353,0.68612,8.4,8476419
42,Jackson Blake,CAR,R,81,378,183,324,0.72955,0.68263,8.4,8482809
43,Pius Suter,STL,C,63,182,237,240,0.75327,0.68583,8.4,8480459
44,Eetu Luostarinen,FLA,C,73,261,297,372,0.73506,0.67839,8.3,8480185
45,Josh Anderson,MTL,R,72,148,272,282,0.75577,0.68066,8.3,8476981
46,Pavel Dorofeyev,VGK,L,83,420,246,275,0.7221,0.67739,8.3,8481604
47,Brady Tkachuk,OTT,L,60,325,178,298,0.73275,0.68213,8.3,8480801
48,Claude Giroux,OTT,R,82,298,325,326,0.73295,0.67999,8.3,8473512
49,Anders Lee,NYI,L,82,349,296,319,0.73034,0.68146,8.3,8475314
50,Mikael Granlund,ANA,C,58,230,267,223,0.74034,0.68006,8.3,8475798
51,Ryan Poehling,ANA,C,74,217,328,297,0.74419,0.68224,8.3,8480068
52,Drake Batherson,OTT,R,79,397,187,295,0.72632,0.68045,8.3,8480208
53,Alexis Lafrenière,NYR,L,82,378,311,375,0.72058,0.6733,8.2,8482109
54,Will Cuylle,NYR,L,82,330,344,304,0.72724,0.67677,8.2,8482157
55,Jeff Malott,LAK,L,58,98,120,157,0.7656,0.67269,8.2,8482408
56,Nick Cousins,OTT,C,81,172,183,297,0.74553,0.67557,8.2,8476393
57,Owen Tippett,PHI,R,81,291,338,349,0.73083,0.6771,8.2,8480015
58,Ross Johnston,ANA,L,62,139,205,172,0.75015,0.67211,8.2,8477527
59,Scott Laughton,LAK,C,63,87,370,245,0.77209,0.67356,8.2,8476872
60,Ryan Strome,CGY,C,51,184,155,205,0.74207,0.67436,8.2,8476458
61,Blake Lizotte,PIT,C,55,54,305,177,0.7931,0.66744,8.1,8481481
62,Mitch Marner,VGK,R,81,440,251,291,0.71089,0.66685,8.1,8478483
63,Dylan Holloway,STL,L,58,273,197,229,0.72484,0.66902,8.1,8482077
64,Tyson Jost,NSH,C,68,177,215,208,0.7403,0.67108,8.1,8479370
65,Mathieu Olivier,CBJ,R,61,194,283,255,0.73503,0.6688,8.1,8479671
66,Nick Schmaltz,UTA,C,81,457,296,377,0.71429,0.67121,8.1,8477951
67,Adam Erne,DAL,L,45,87,132,150,0.76864,0.66982,8.1,8477454
68,Liam O'Brien,UTA,C,37,85,95,114,0.76911,0.66908,8.1,8477070
69,J.T. Miller,NYR,C,68,322,337,329,0.716,0.66442,8.0,8476468
70,Nathan MacKinnon,COL,C,80,612,320,417,0.70304,0.66567,8.0,8477492
71,Juraj Slafkovský,MTL,L,82,354,296,325,0.71231,0.66307,8.0,8483515
72,Mark Kastelic,BOS,C,82,174,325,322,0.73172,0.66141,8.0,8480355
73,Brandon Saad,VGK,L,49,182,158,195,0.73435,0.66582,8.0,8476438
74,Alex Tuch,BUF,R,79,379,300,359,0.70922,0.66158,8.0,8477949
75,Sean Couturier,PHI,C,78,255,386,314,0.72332,0.66541,8.0,8476461
76,Emil Heineman,NYI,L,82,335,300,331,0.71397,0.66337,8.0,8482476
77,Clayton Keller,UTA,R,81,476,258,392,0.70848,0.66612,8.0,8479343
78,Drew O'Connor,VAN,L,81,266,252,311,0.71898,0.66214,8.0,8482055
79,Troy Terry,ANA,R,60,270,216,269,0.72148,0.66519,8.0,8478873
80,Barrett Hayton,UTA,C,67,251,297,266,0.72144,0.66296,8.0,8480849
81,Igor Chernyshov,SJS,L,27,131,95,118,0.74549,0.66464,8.0,8484994
82,Tim Washe,ANA,C,38,81,166,107,0.76498,0.66196,8.0,8485512
83,Artturi Lehkonen,COL,L,69,359,256,348,0.70982,0.66085,7.9,8477476
84,Ross Colton,COL,C,72,252,290,278,0.71556,0.65695,7.9,8479525
85,Warren Foegele,OTT,L,68,219,261,256,0.71935,0.65646,7.9,8477998
86,Alex Turcotte,LAK,C,62,205,160,202,0.72286,0.65792,7.9,8481532
87,Nicolas Roy,COL,C,73,159,300,249,0.7301,0.65627,7.9,8478462
88,Sean Kuraly,BOS,C,82,149,309,292,0.73396,0.65778,7.9,8476374
89,Leon Draisaitl,EDM,C,65,400,250,337,0.70517,0.65871,7.9,8477934
90,Tage Thompson,BUF,R,81,413,311,377,0.70232,0.65652,7.9,8479420
91,Brandon Hagel,TBL,L,71,320,266,236,0.71017,0.6582,7.9,8479542
92,Tim Stützle,OTT,L,80,403,175,269,0.70524,0.65895,7.9,8482116
93,David Perron,DET,L,65,195,157,227,0.72262,0.65594,7.9,8474102
94,Jonathan Drouin,STL,L,64,244,222,261,0.71962,0.66019,7.9,8477494
95,Adam Fantilli,CBJ,C,82,464,250,364,0.70328,0.66019,7.9,8484166
96,Roope Hintz,DAL,C,53,203,240,233,0.72353,0.65829,7.9,8478449
97,Dylan Guenther,UTA,R,79,323,309,305,0.71222,0.66058,7.9,8482699
98,Brock Boeser,VAN,R,74,332,333,289,0.70965,0.65865,7.9,8478444
99,Mason McTavish,ANA,C,74,325,233,281,0.71157,0.66007,7.9,8482745
100,Leo Carlsson,ANA,C,69,328,188,348,0.7119,0.66066,7.9,8484153
101,Luke Kunin,FLA,C,63,148,153,170,0.72802,0.65123,7.8,8479316
102,A.J. Greer,FLA,L,78,285,218,290,0.71062,0.65545,7.8,8478421
103,Noel Acciari,PIT,C,67,69,388,200,0.7654,0.65309,7.8,8478569
104,Gabriel Landeskog,COL,L,60,286,253,255,0.70604,0.65079,7.8,8476455
105,Andrew Mangiapane,CHI,L,62,193,194,217,0.72118,0.65407,7.8,8478233
106,Alex DeBrincat,DET,R,82,352,346,343,0.70383,0.65413,7.8,8479337
107,Dylan Larkin,DET,C,74,307,391,339,0.70729,0.65408,7.8,8477946
108,Fabian Zetterlund,OTT,L,83,267,201,303,0.71007,0.65297,7.8,8480188
109,Michael Amadio,OTT,C,81,195,416,411,0.71946,0.65263,7.8,8478020
110,Curtis Douglas,VAN,C,42,80,53,118,0.75799,0.65373,7.8,8480876
111,Simon Holmstrom,NYI,R,79,278,285,277,0.70907,0.65312,7.8,8481601
112,Nico Hischier,NJD,C,82,437,472,455,0.69849,0.65389,7.8,8480002
113,Jesperi Kotkaniemi,CAR,C,42,189,118,160,0.71894,0.65098,7.8,8480829
114,Marcus Foligno,MIN,L,56,130,208,189,0.73681,0.6551,7.8,8475220
115,Charlie Coyle,CBJ,C,82,280,457,347,0.71057,0.65489,7.8,8475745
116,Frank Vatrano,ANA,R,50,131,167,154,0.73271,0.65109,7.8,8478366
117,Cutter Gauthier,ANA,L,75,340,257,323,0.70472,0.65416,7.8,8483445
118,Anton Lundell,FLA,C,64,250,267,322,0.70925,0.65012,7.7,8482113
119,Sidney Crosby,PIT,C,68,402,283,407,0.69641,0.64977,7.7,8471675
120,Nick Suzuki,MTL,C,82,369,335,388,0.69791,0.64921,7.7,8480018
121,Shane Pinto,OTT,C,72,170,391,340,0.7214,0.64969,7.7,8481596
122,Lars Eller,OTT,C,68,160,268,215,0.71985,0.64574,7.7,8474189
123,Dmitri Voronkov,CBJ,L,63,296,176,254,0.6999,0.6454,7.7,8481716
124,Kirill Marchenko,CBJ,R,76,453,246,366,0.69125,0.64724,7.7,8480893
125,Radek Faksa,DAL,C,58,78,186,170,0.75163,0.64547,7.7,8476889
126,Aatu Räty,VAN,C,65,199,286,164,0.71654,0.65028,7.7,8482691
127,Jeffrey Viel,ANA,L,44,139,158,183,0.72764,0.64825,7.7,8479705
128,Nils Hoglander,VAN,L,37,122,91,90,0.73285,0.64811,7.7,8481535
129,Taylor Raddysh,NYR,R,68,130,212,191,0.7268,0.64452,7.6,8479390
130,Rickard Rakell,PIT,R,60,336,231,311,0.69237,0.64107,7.6,8476483
131,Martin Necas,COL,C,78,530,323,394,0.68556,0.64481,7.6,8480039
132,Peyton Krebs,BUF,C,82,266,330,351,0.69797,0.6403,7.6,8481522
133,Mavrik Bourque,DAL,C,82,234,266,324,0.7061,0.64478,7.6,8482145
134,Will Smith,SJS,C,69,364,237,319,0.69313,0.64393,7.6,8484227
135,Zach Hyman,EDM,L,57,288,173,245,0.69724,0.64187,7.6,8475786
136,Mackie Samoskevich,FLA,R,77,259,238,324,0.6952,0.63662,7.5,8482713
137,Trevor Moore,LAK,C,68,250,298,326,0.69724,0.63765,7.5,8479675
138,Alex Laferriere,LAK,R,81,331,358,384,0.68965,0.63787,7.5,8482155
139,Cole Caufield,MTL,R,81,358,266,372,0.68558,0.63573,7.5,8481540
140,Pierre-Luc Dubois,WSH,L,29,102,138,114,0.73143,0.63818,7.5,8479400
141,Lucas Raymond,DET,L,80,339,385,371,0.6862,0.63495,7.5,8482078
142,Anthony Cirelli,TBL,C,71,290,254,248,0.69205,0.63669,7.5,8478519
143,Jesper Bratt,NJD,L,82,430,260,338,0.68394,0.63853,7.5,8479407
144,Dawson Mercer,NJD,C,82,345,382,372,0.68521,0.63439,7.5,8482110
145,Cole Sillinger,CBJ,C,81,297,362,324,0.69288,0.63823,7.5,8482705
146,Fedor Svechkov,NSH,C,69,230,180,219,0.70091,0.63883,7.5,8482768
147,Kailer Yamamoto,UTA,R,58,151,170,202,0.71582,0.63922,7.5,8479977
