rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Ilya Solovyov,PIT,D,45,75,76,99,0.6652,0.55267,10.0,8482470
2,K'Andre Miller,CAR,D,305,836,745,890,0.56695,0.53313,9.4,8480817
3,Rasmus Ristolainen,PHI,D,212,461,552,483,0.57322,0.52764,9.3,8477499
4,Timothy Liljegren,WSH,D,238,596,573,587,0.56899,0.52891,9.3,8480043
5,Adam Fox,NYR,D,283,983,635,761,0.55765,0.52644,9.2,8479323
6,Victor Mancini,VAN,D,55,105,94,83,0.61738,0.52183,9.1,8483768
7,Charlie McAvoy,BOS,D,260,902,616,638,0.55092,0.51831,9.0,8479325
8,Scott Morrow,NYR,D,45,94,76,88,0.61279,0.51174,8.8,8482666
9,Brayden McNabb,VGK,D,310,788,730,837,0.54266,0.50776,8.7,8475188
10,Derek Forbort,VAN,D,145,203,324,321,0.57711,0.50834,8.7,8475762
11,Evan Bouchard,EDM,D,326,1021,678,791,0.53991,0.50924,8.7,8480803
12,Jordan Spence,OTT,D,229,553,329,491,0.55026,0.50859,8.7,8481606
13,Mike Reilly,CAR,D,131,372,184,304,0.55559,0.50478,8.6,8476422
14,Adam Pelech,NYI,D,261,643,770,707,0.54456,0.50592,8.6,8476917
15,Ian Cole,UTA,D,319,651,696,700,0.54328,0.50488,8.6,8474013
16,Cam York,PHI,D,276,756,707,893,0.54117,0.50553,8.6,8481546
17,Ian Moore,ANA,D,69,134,139,110,0.58901,0.50435,8.6,8482178
18,Jamie Drysdale,PHI,D,190,528,380,474,0.54312,0.50047,8.5,8482142
19,Joshua Mahura,SEA,D,199,383,308,437,0.55113,0.50105,8.5,8479372
20,Jalen Chatfield,CAR,D,301,744,590,741,0.53412,0.4982,8.4,8478970
21,Drew Doughty,LAK,D,264,769,699,791,0.5291,0.49376,8.3,8474563
22,Cam Fowler,STL,D,312,935,947,809,0.52664,0.4946,8.3,8475764
