rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Sam Malinski,COL,D,180,353,401,417,0.36537,0.31972,10.0,8484258
2,Sean Walker,CAR,D,314,828,663,724,0.33797,0.30299,9.4,8480336
3,Brett Kulak,COL,D,328,766,677,774,0.33568,0.30113,9.3,8476967
4,Brock Faber,MIN,D,242,781,826,866,0.33125,0.3,9.3,8482122
5,Philip Broberg,STL,D,206,505,550,479,0.33717,0.29891,9.2,8481598
6,Lane Hutson,MTL,D,166,517,298,433,0.34765,0.29583,9.1,8483457
7,Declan Chisholm,WSH,D,123,248,240,255,0.34773,0.2903,8.9,8480990
8,Keaton Middleton,COL,D,44,40,56,78,0.40812,0.28935,8.9,8479387
9,Adam Fox,NYR,D,283,983,635,761,0.32267,0.28747,8.8,8479323
10,Bowen Byram,BUF,D,279,816,815,813,0.31828,0.28722,8.8,8481524
11,Jake Sanderson,OTT,D,303,710,774,849,0.31817,0.28632,8.8,8482105
12,Jonas Brodin,MIN,D,234,728,663,735,0.32262,0.28814,8.8,8476463
13,MacKenzie Weegar,UTA,D,322,1087,895,1025,0.31804,0.28836,8.8,8477346
14,Matt Roy,WSH,D,311,732,738,760,0.31633,0.2838,8.7,8478911
15,Jake Middleton,MIN,D,301,733,923,847,0.31456,0.28542,8.7,8478136
16,Mike Matheson,MTL,D,288,700,929,797,0.31326,0.28425,8.7,8476875
17,Parker Wotherspoon,PIT,D,188,389,459,485,0.32571,0.28444,8.7,8478450
18,Marc Del Gaizo,NSH,D,55,108,107,140,0.37134,0.28574,8.7,8481743
19,Alex Pietrangelo,VGK,D,209,613,579,578,0.31838,0.28174,8.6,8474565
20,Dmitry Orlov,SJS,D,305,772,687,790,0.31519,0.28156,8.6,8475200
21,Vladislav Gavrikov,NYR,D,313,795,867,821,0.31221,0.28225,8.6,8478882
22,Zach Werenski,CBJ,D,239,973,763,765,0.3131,0.2812,8.6,8478460
23,Arber Xhekaj,MTL,D,230,410,307,452,0.33359,0.28319,8.6,8482964
24,Johnathan Kovacevic,NJD,D,254,436,604,604,0.31805,0.28215,8.6,8480192
25,Luke Schenn,BUF,D,259,419,514,609,0.32094,0.28204,8.6,8474568
26,Damon Severson,CBJ,D,289,794,753,786,0.31453,0.28238,8.6,8476923
27,Rasmus Sandin,WSH,D,294,783,704,711,0.31185,0.27873,8.5,8480873
28,Ivan Provorov,CBJ,D,328,928,944,951,0.3073,0.2787,8.5,8478500
29,Ryan Graves,PIT,D,231,414,532,519,0.31871,0.28054,8.5,8477435
30,Denton Mateychuk,CBJ,D,120,290,281,287,0.3314,0.27896,8.5,8483485
31,Victor Hedman,TBL,D,266,844,578,638,0.31178,0.27536,8.4,8475167
32,Josh Manson,COL,D,230,473,616,625,0.31267,0.27731,8.4,8476312
33,Evan Bouchard,EDM,D,326,1021,678,791,0.31118,0.27747,8.4,8480803
34,Brian Dumoulin,LAK,D,323,774,761,814,0.30717,0.27543,8.4,8475208
35,John Marino,UTA,D,253,601,600,731,0.31254,0.27675,8.4,8478507
36,William Lagesson,DET,D,47,69,64,92,0.38676,0.27711,8.4,8478021
37,Jayden Struble,MTL,D,171,300,229,342,0.33333,0.27547,8.4,8481593
