rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Brett Berard,NYR,L,48,59,59,66,0.44261,0.32326,10.0,8482132
2,Juraj Slafkovský,MTL,L,282,595,512,538,0.35625,0.31598,9.7,8483515
3,Parker Kelly,COL,L,296,333,427,471,0.36096,0.31683,9.7,8480448
4,Pontus Holmberg,TBL,R,229,324,386,415,0.36412,0.31767,9.7,8480995
5,Adam Klapka,CGY,R,115,135,143,164,0.3937,0.31741,9.7,8483609
6,Ethen Frank,WSH,C,86,101,138,153,0.39184,0.31438,9.6,8483573
7,Auston Matthews,TOR,C,282,693,506,644,0.35166,0.31132,9.4,8479318
8,Nick Suzuki,MTL,C,328,793,678,747,0.34316,0.3084,9.3,8480018
9,Max Pacioretty,TOR,L,89,172,139,153,0.3853,0.30851,9.3,8474157
10,Connor Brown,NJD,R,232,338,359,438,0.35348,0.30582,9.2,8477015
11,Cole Caufield,MTL,R,291,681,491,656,0.3479,0.30709,9.2,8481540
12,Ryan McLeod,BUF,C,298,495,555,595,0.34369,0.30538,9.2,8480802
13,Ville Koivunen,PIT,R,47,94,56,85,0.4256,0.30501,9.2,8482758
14,Marco Rossi,VAN,C,232,551,415,424,0.3485,0.30424,9.1,8482079
15,Samuel Helenius,LAK,C,102,88,103,131,0.39228,0.30348,9.1,8482726
16,Yakov Trenin,MIN,C,311,364,592,555,0.33763,0.3007,9.0,8478508
17,Zachary Bolduc,MTL,C,175,248,239,285,0.36086,0.30262,9.0,8482737
18,Jakub Lauko,BOS,C,139,100,231,250,0.3583,0.29925,8.9,8480880
19,Marcus Foligno,MIN,L,253,416,517,525,0.33936,0.29986,8.9,8475220
20,Oskar Back,DAL,C,145,131,200,201,0.36346,0.29995,8.9,8480840
21,Macklin Celebrini,SJS,C,152,432,329,378,0.34852,0.29904,8.9,8484801
22,Nic Dowd,VGK,C,286,177,835,508,0.32856,0.29755,8.8,8475343
23,Mathieu Olivier,CBJ,R,263,368,603,511,0.33393,0.29744,8.8,8479671
24,Jack Hughes,NJD,C,263,807,382,599,0.34246,0.29665,8.8,8481559
25,Matt Boldy,MIN,L,314,679,731,711,0.32998,0.29686,8.8,8481557
26,Patrick Kane,DET,R,262,595,500,551,0.33223,0.29236,8.6,8474141
27,Logan O'Connor,COL,R,231,259,494,480,0.33373,0.29357,8.6,8481186
28,Leon Draisaitl,EDM,C,297,877,623,663,0.32968,0.29391,8.6,8477934
29,Kevin Rooney,UTA,C,121,104,154,132,0.36587,0.29391,8.6,8479291
30,Mackie Samoskevich,FLA,R,156,310,255,303,0.34989,0.29398,8.6,8482713
31,Tye Kartye,NYR,L,204,269,286,340,0.34525,0.29253,8.6,8481789
32,Connor Zary,CGY,C,191,435,317,399,0.34281,0.29272,8.6,8482074
33,Maxim Tsyplakov,NJD,R,126,225,171,191,0.36104,0.29283,8.6,8484958
34,Conor Geekie,TBL,C,66,111,100,140,0.38232,0.29311,8.6,8483447
35,Keegan Kolesar,VGK,R,318,359,542,727,0.32975,0.29149,8.5,8478434
36,Mitch Marner,VGK,R,311,752,533,643,0.33021,0.29162,8.5,8478483
37,Dylan Holloway,STL,L,224,394,337,370,0.34009,0.29157,8.5,8482077
38,Morgan Frost,CGY,C,314,760,431,618,0.33388,0.291,8.5,8480028
39,Tim Stützle,OTT,L,315,826,531,647,0.32976,0.29112,8.5,8482116
40,Anthony Beauvillier,WSH,L,305,574,483,548,0.33173,0.29121,8.5,8478463
