rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Sam Malinski,COL,D,180,679,800,821,0.34154,0.30951,10.0,8484258
2,Ryan Johnson,BUF,D,47,171,133,169,0.37099,0.29359,9.4,8481564
3,Marc Del Gaizo,NSH,D,55,183,226,267,0.34991,0.2907,9.2,8481743
4,Declan Chisholm,WSH,D,123,447,470,494,0.3294,0.28844,9.2,8480990
5,Philip Broberg,STL,D,206,965,1046,961,0.31383,0.28643,9.1,8481598
6,Brandt Clarke,LAK,D,184,1030,679,815,0.31805,0.28412,9.0,8482730
7,Brett Kulak,COL,D,328,1501,1406,1617,0.30459,0.2811,8.9,8476967
8,Keaton Middleton,COL,D,44,82,117,136,0.36429,0.28269,8.9,8479387
9,Matt Roy,WSH,D,311,1453,1501,1594,0.30213,0.27943,8.8,8478911
10,Brock Faber,MIN,D,242,1471,1540,1649,0.30099,0.2786,8.8,8482122
11,Sean Walker,CAR,D,314,1617,1335,1504,0.30176,0.27773,8.7,8480336
12,Zach Werenski,CBJ,D,239,1876,1499,1549,0.29687,0.27428,8.6,8478460
13,Dmitry Orlov,SJS,D,305,1573,1430,1629,0.29607,0.27298,8.5,8475200
14,Bowen Byram,BUF,D,279,1560,1582,1556,0.29528,0.27332,8.5,8481524
15,Brian Dumoulin,LAK,D,323,1484,1530,1627,0.29447,0.27216,8.5,8475208
16,Damon Severson,CBJ,D,289,1532,1503,1578,0.29591,0.27338,8.5,8476923
17,Jacob Moverare,LAK,D,90,259,248,330,0.32826,0.27282,8.5,8479421
18,K'Andre Miller,CAR,D,305,1645,1653,1799,0.29188,0.27047,8.4,8480817
19,Martin Fehérváry,WSH,D,295,1189,1723,1569,0.29094,0.26998,8.4,8480796
20,Arber Xhekaj,MTL,D,230,782,670,877,0.30231,0.26874,8.4,8482964
21,Evan Bouchard,EDM,D,326,2082,1420,1584,0.29284,0.26975,8.4,8480803
22,MacKenzie Weegar,UTA,D,322,2123,1828,2017,0.29012,0.26977,8.4,8477346
23,Jack Thompson,SJS,D,34,147,116,141,0.35063,0.26985,8.4,8482144
24,Adam Wilsby,NSH,D,80,305,411,399,0.31267,0.26976,8.4,8482482
25,Ryan McDonagh,TBL,D,275,1294,1546,1541,0.28971,0.26764,8.3,8474151
26,Adam Fox,NYR,D,283,1951,1360,1588,0.2902,0.2667,8.3,8479323
27,Brandon Carlo,TOR,D,289,812,1660,1448,0.28766,0.2664,8.3,8478443
28,Calvin de Haan,NYR,D,159,470,585,708,0.30445,0.26853,8.3,8475177
29,Johnathan Kovacevic,NJD,D,254,859,1244,1195,0.29134,0.26676,8.3,8480192
30,Darnell Nurse,EDM,D,320,1709,1710,1894,0.28821,0.26723,8.3,8477498
31,Ryan Graves,PIT,D,231,850,1150,1072,0.29345,0.26785,8.3,8477435
32,Jake Middleton,MIN,D,301,1377,1705,1609,0.28906,0.26803,8.3,8478136
33,Joel Hanley,CGY,D,189,846,768,804,0.29758,0.26632,8.3,8477810
34,Maxwell Crozier,TBL,D,53,204,179,204,0.33187,0.26706,8.3,8481719
35,Mario Ferraro,SJS,D,310,1422,1857,1640,0.28544,0.26536,8.2,8479983
36,Vladislav Gavrikov,NYR,D,313,1628,1860,1784,0.28435,0.26431,8.2,8478882
