rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Cole Smith,VGK,L,63,64,127,136,0.42028,0.33801,10.0,8482062
2,Tim Stützle,OTT,L,80,195,92,121,0.38002,0.28753,8.5,8482116
3,Kyle Connor,WPG,L,81,276,127,177,0.35552,0.27763,8.2,8478398
4,Zachary Bolduc,MTL,C,78,120,117,138,0.35765,0.27659,8.1,8482737
5,Sebastian Aho,CAR,C,79,203,138,155,0.35075,0.27615,8.1,8478427
6,Mark Scheifele,WPG,C,81,276,130,176,0.34383,0.26772,7.9,8476460
7,Nick Schmaltz,UTA,C,81,240,147,208,0.34149,0.26975,7.9,8477951
8,Jesperi Kotkaniemi,CAR,C,42,90,53,83,0.38311,0.26438,7.8,8480829
9,Ozzy Wiesblatt,NSH,C,39,35,71,70,0.36735,0.26472,7.8,8482103
10,Jordan Martinook,CAR,L,77,156,135,188,0.33698,0.26273,7.7,8476921
11,Clayton Keller,UTA,R,81,255,129,215,0.33867,0.26272,7.7,8479343
12,Ivan Demidov,MTL,R,82,153,110,134,0.34272,0.26068,7.6,8484984
13,Tom Wilson,WSH,R,72,142,169,140,0.32373,0.25778,7.6,8476880
14,Ivan Barbashev,VGK,C,82,248,146,173,0.328,0.25711,7.5,8477964
15,Jordan Staal,CAR,C,75,145,142,183,0.32773,0.25595,7.5,8473533
16,Nikolaj Ehlers,CAR,L,82,198,136,172,0.32856,0.25528,7.5,8477940
17,Oliver Kapanen,MTL,C,82,149,120,140,0.32525,0.24798,7.3,8482775
18,Zach Benson,BUF,L,65,132,117,149,0.32812,0.24969,7.3,8484145
19,Jack Eichel,VGK,C,75,239,141,145,0.31576,0.24479,7.2,8478403
20,Dylan Strome,WSH,C,80,204,80,134,0.3382,0.24407,7.1,8478440
21,Matt Coronato,CGY,R,79,191,158,159,0.31059,0.24366,7.1,8482679
22,Mark Stone,VGK,R,61,166,98,128,0.32902,0.24398,7.1,8475913
23,Seth Jarvis,CAR,C,71,179,115,135,0.31933,0.24114,7.1,8482093
24,John Beecher,CGY,C,35,19,54,53,0.35566,0.2415,7.1,8481556
25,Valeri Nichushkin,COL,R,71,136,133,157,0.3121,0.23956,7.0,8477501
26,Ryan McLeod,BUF,C,81,147,165,156,0.30621,0.24096,7.0,8480802
27,Brock Nelson,COL,C,80,182,163,188,0.30053,0.2354,6.9,8475754
28,Casey Mittelstadt,BOS,C,71,120,130,136,0.30755,0.2347,6.9,8479999
29,Reilly Smith,VGK,R,69,109,98,149,0.32163,0.23739,6.9,8475191
30,Luke Evangelista,NSH,R,80,161,138,181,0.30672,0.23588,6.9,8482146
31,Pierre-Luc Dubois,WSH,L,29,61,84,57,0.3249,0.23432,6.8,8479400
32,Nic Dowd,VGK,C,75,66,162,164,0.29828,0.23317,6.8,8475343
33,Aliaksei Protas,WSH,C,76,180,179,158,0.29485,0.23293,6.8,8481656
34,Anthony Cirelli,TBL,C,71,145,134,120,0.30596,0.23425,6.8,8478519
35,Ryan O'Reilly,NSH,C,80,160,168,184,0.29719,0.23324,6.8,8475158
36,Viktor Arvidsson,BOS,L,69,110,122,137,0.30429,0.22965,6.7,8478042
37,Lucas Raymond,DET,L,80,170,195,173,0.2896,0.23049,6.7,8482078
38,Leon Draisaitl,EDM,C,65,183,111,152,0.30307,0.22535,6.6,8477934
39,Pontus Holmberg,TBL,R,70,115,173,175,0.29022,0.22772,6.6,8480995
40,Steven Stamkos,NSH,C,81,161,156,159,0.29177,0.22612,6.6,8474564
41,Logan Cooley,UTA,C,53,129,85,117,0.31495,0.22603,6.6,8483431
42,Jack Quinn,BUF,R,82,153,156,148,0.28741,0.22218,6.5,8482097
43,Arseny Gritsyuk,NJD,R,66,126,110,149,0.30123,0.2234,6.5,8481721
44,Andrei Svechnikov,CAR,R,79,187,136,160,0.29234,0.22244,6.5,8480830
45,Adam Henrique,EDM,C,64,74,107,89,0.29714,0.2188,6.4,8474641
46,Kailer Yamamoto,UTA,R,58,87,73,103,0.31586,0.22072,6.4,8479977
47,Mikael Backlund,CGY,C,81,108,249,183,0.26596,0.21494,6.3,8474150
48,Blake Coleman,CGY,C,68,91,187,155,0.27666,0.21753,6.3,8476399
49,Zemgus Girgensons,TBL,L,74,116,177,192,0.27728,0.21659,6.3,8476878
50,Phillip Danault,MTL,C,75,97,155,139,0.2775,0.21304,6.2,8476479
51,Alex Laferriere,LAK,R,81,183,180,194,0.27412,0.21418,6.2,8482155
52,Dylan Larkin,DET,C,74,150,194,158,0.26899,0.21152,6.2,8477946
53,Brandon Hagel,TBL,L,71,167,138,104,0.28137,0.21305,6.2,8479542
54,Quinton Byfield,LAK,C,78,180,190,194,0.26743,0.20956,6.1,8482124
55,Pavel Zacha,BOS,C,78,135,147,139,0.27417,0.2085,6.1,8478401
56,Matt Boldy,MIN,L,76,159,179,175,0.26961,0.20995,6.1,8481557
57,Cole Sillinger,CBJ,C,81,155,158,143,0.2704,0.2072,6.0,8482705
58,Gabriel Vilardi,WPG,C,81,228,116,145,0.27853,0.20506,6.0,8480014
59,Alexander Wennberg,SJS,C,81,142,221,187,0.26161,0.20809,6.0,8477505
60,Trevor Moore,LAK,C,68,118,143,158,0.26779,0.20199,5.9,8479675
61,Jack Drury,COL,C,81,115,130,115,0.27071,0.20172,5.9,8480835
62,Anthony Beauvillier,WSH,L,82,140,129,149,0.27151,0.2022,5.9,8478463
63,Emmitt Finnie,DET,C,82,151,159,166,0.26565,0.20311,5.9,8484471
64,Yanni Gourde,TBL,C,82,143,200,205,0.25854,0.20281,5.9,8476826
65,Dylan Guenther,UTA,R,79,178,165,164,0.26513,0.20368,5.9,8482699
66,Eetu Luostarinen,FLA,C,73,134,138,188,0.2685,0.20157,5.8,8480185
67,Ross Colton,COL,C,72,123,141,133,0.26618,0.20014,5.8,8479525
68,Jesper Boqvist,FLA,C,73,132,98,146,0.27368,0.19521,5.7,8480003
69,Anze Kopitar,LAK,C,66,159,113,122,0.26932,0.19611,5.7,8471685
70,Brendan Gallagher,MTL,R,77,93,106,134,0.27221,0.19656,5.7,8475848
71,Connor Brown,NJD,R,75,154,112,162,0.2708,0.19713,5.7,8477015
72,Michael McCarron,MIN,R,79,91,168,148,0.25817,0.19792,5.7,8477446
73,Matt Duchene,DAL,C,57,102,94,106,0.27423,0.19425,5.6,8475168
74,Conor Garland,CBJ,R,71,120,165,137,0.25244,0.19231,5.6,8478856
75,Mason McTavish,ANA,C,74,183,124,135,0.26161,0.19225,5.6,8482745
76,Sidney Crosby,PIT,C,68,190,134,198,0.2558,0.18945,5.5,8471675
77,Connor McMichael,WSH,C,78,157,155,199,0.25361,0.19165,5.5,8481580
78,Yegor Sharangovich,CGY,C,77,166,147,145,0.25248,0.18916,5.5,8481068
79,Josh Doan,BUF,R,82,175,174,181,0.2469,0.18875,5.5,8482659
80,Marcus Foligno,MIN,L,56,71,121,99,0.25871,0.18896,5.5,8475220
81,Filip Forsberg,NSH,L,81,196,202,210,0.24485,0.19068,5.5,8476887
82,Will Smith,SJS,C,69,203,119,173,0.2601,0.18966,5.5,8484227
83,Artemi Panarin,LAK,L,77,223,126,161,0.25349,0.18561,5.4,8478550
84,Gabriel Landeskog,COL,L,60,125,124,128,0.25709,0.18828,5.4,8476455
85,Parker Kelly,COL,L,81,110,122,124,0.25609,0.18691,5.4,8480448
86,Kevin Fiala,LAK,L,56,161,107,131,0.26166,0.18768,5.4,8477942
87,Josh Anderson,MTL,R,72,64,125,126,0.2557,0.18731,5.4,8476981
88,Connor Zary,CGY,C,74,147,133,142,0.25475,0.1883,5.4,8482074
89,Ryan Hartman,MIN,R,76,206,190,181,0.24195,0.18656,5.4,8477451
90,Yakov Trenin,MIN,C,82,100,163,140,0.24797,0.18799,5.4,8478508
91,Danila Yurov,MIN,R,73,156,132,163,0.25426,0.18765,5.4,8483525
92,Drake Batherson,OTT,R,79,192,85,141,0.27075,0.18774,5.4,8480208
93,Lenni Hameenaho,NJD,R,33,44,68,62,0.28025,0.18748,5.4,8484177
94,Warren Foegele,OTT,L,68,103,139,136,0.24834,0.18394,5.3,8477998
95,Morgan Frost,CGY,C,81,213,94,150,0.26021,0.18218,5.3,8480028
96,Trevor Zegras,PHI,C,81,188,120,174,0.25093,0.18191,5.3,8481533
97,Jonathan Marchessault,NSH,C,62,138,126,128,0.25122,0.18361,5.3,8476539
98,Mikko Rantanen,DAL,R,64,167,139,151,0.24615,0.18201,5.3,8478420
99,Macklin Celebrini,SJS,C,82,259,165,219,0.24165,0.18269,5.3,8484801
100,Alexander Kerfoot,UTA,C,33,36,57,52,0.28211,0.18195,5.3,8477021
101,Alexis Lafrenière,NYR,L,82,170,140,182,0.24335,0.17974,5.2,8482109
102,Alex Tuch,BUF,R,79,212,168,188,0.23764,0.17959,5.2,8477949
103,Kirill Marchenko,CBJ,R,76,229,125,182,0.24677,0.17949,5.2,8480893
104,JJ Peterka,UTA,R,81,174,115,165,0.25161,0.18121,5.2,8482175
105,Tyler Toffoli,SJS,R,80,162,178,161,0.23796,0.18135,5.2,8475726
106,William Carrier,CAR,L,70,133,103,170,0.25177,0.17791,5.1,8477478
107,Boone Jenner,CBJ,C,67,129,120,133,0.24695,0.17845,5.1,8476432
108,William Eklund,SJS,L,77,145,168,159,0.23628,0.17839,5.1,8482667
109,Beckett Sennecke,ANA,R,81,216,152,195,0.23693,0.17634,5.1,8484762
110,Jonathan Huberdeau,CGY,C,50,155,70,108,0.26653,0.1771,5.1,8476456
111,Calum Ritchie,NYI,C,65,114,79,133,0.26259,0.17821,5.1,8484221
112,John Tavares,TOR,C,82,198,152,126,0.23419,0.17393,5.0,8475166
113,Bobby McMann,SEA,C,77,144,160,175,0.23069,0.17219,5.0,8482259
114,Auston Matthews,TOR,C,60,143,127,118,0.23793,0.17226,5.0,8479318
115,Tage Thompson,BUF,R,81,251,155,195,0.23146,0.17205,5.0,8479420
116,Owen Tippett,PHI,R,81,160,150,180,0.2358,0.17499,5.0,8480015
117,Joel Eriksson Ek,MIN,C,70,138,172,169,0.22875,0.17231,5.0,8478493
118,Vladimir Tarasenko,MIN,R,75,172,184,171,0.22671,0.17216,5.0,8475765
119,Ben Meyers,SEA,C,51,32,98,75,0.24682,0.17208,5.0,8483570
120,Braeden Bowman,VGK,R,54,123,77,107,0.25908,0.17434,5.0,8483890
121,Jason Dickinson,EDM,C,64,73,179,142,0.2241,0.16918,4.9,8477450
122,Martin Necas,COL,C,78,258,163,206,0.22658,0.16904,4.9,8480039
123,Juraj Slafkovský,MTL,L,82,174,156,148,0.22789,0.16907,4.9,8483515
124,Nazem Kadri,COL,C,77,239,137,188,0.2349,0.17175,4.9,8475172
125,Tomas Hertl,VGK,C,83,168,118,129,0.23966,0.17163,4.9,8476881
126,Jason Zucker,BUF,L,62,131,112,105,0.24144,0.17162,4.9,8475722
127,Brady Tkachuk,OTT,L,60,146,74,148,0.25573,0.17012,4.9,8480801
128,Fabian Zetterlund,OTT,L,83,122,104,136,0.24422,0.17174,4.9,8480188
129,Dylan Cozens,OTT,C,82,164,111,195,0.24017,0.17025,4.9,8481528
130,Dawson Mercer,NJD,C,82,182,184,182,0.22476,0.17043,4.9,8482110
131,Cody Glass,NJD,C,70,123,122,150,0.23789,0.17107,4.9,8479996
132,Jason Robertson,DAL,L,82,149,165,172,0.2259,0.16875,4.9,8480027
133,Jack Roslovic,EDM,C,68,150,103,138,0.24443,0.17161,4.9,8478458
134,Mackie Samoskevich,FLA,R,77,137,130,168,0.23214,0.16789,4.8,8482713
135,Jake Evans,MTL,C,68,64,134,125,0.23171,0.16835,4.8,8478133
136,William Nylander,TOR,R,65,178,102,110,0.2397,0.16727,4.8,8477939
137,Ryan Leonard,WSH,R,75,102,125,165,0.2341,0.16848,4.8,8484186
138,Adam Klapka,CGY,R,78,83,106,121,0.2392,0.16802,4.8,8483609
139,Peyton Krebs,BUF,C,82,150,181,185,0.22039,0.16616,4.8,8481522
140,Marco Kasper,DET,C,81,110,154,141,0.22742,0.16833,4.8,8483464
141,Shane Pinto,OTT,C,72,76,164,179,0.22264,0.16573,4.8,8481596
142,Ondrej Palat,NYI,L,80,140,126,127,0.23377,0.16843,4.8,8476292
143,Timo Meier,NJD,R,77,157,197,196,0.22094,0.16865,4.8,8478414
144,Barrett Hayton,UTA,C,67,145,141,126,0.22707,0.1657,4.8,8480849
