rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Devon Toews,COL,D,67,495,323,403,0.47008,0.41632,10.0,8478038
2,K'Andre Miller,CAR,D,72,476,358,402,0.45054,0.3998,9.6,8480817
3,Sean Walker,CAR,D,81,521,411,483,0.44361,0.39632,9.5,8480336
4,Brian Dumoulin,LAK,D,81,315,378,395,0.44167,0.39244,9.4,8475208
5,Jaccob Slavin,CAR,D,39,199,187,219,0.46026,0.39034,9.4,8476958
6,Cale Makar,COL,D,74,558,337,410,0.42228,0.37071,8.9,8480069
7,Sam Malinski,COL,D,81,378,361,382,0.41457,0.36491,8.7,8484258
8,Jakob Chychrun,WSH,D,80,492,351,412,0.40502,0.35496,8.5,8479345
9,Luke Hughes,NJD,D,68,474,369,392,0.39757,0.34893,8.3,8482684
10,John Carlson,ANA,D,70,383,332,333,0.39242,0.34141,8.2,8474590
11,Damon Severson,CBJ,D,71,413,437,431,0.38854,0.344,8.2,8476923
12,Erik Karlsson,PIT,D,75,473,387,410,0.3822,0.33517,8.0,8474578
13,Matt Roy,WSH,D,79,357,394,382,0.37997,0.33342,8.0,8478911
14,Nick DeSimone,UTA,D,39,147,135,162,0.40851,0.32923,7.9,8480084
15,Jalen Chatfield,CAR,D,72,435,338,427,0.37806,0.32801,7.8,8478970
16,Noah Hanifin,VGK,D,72,489,326,408,0.3716,0.32092,7.7,8478396
17,Jake Sanderson,OTT,D,67,397,402,379,0.36707,0.32142,7.7,8482105
18,Dougie Hamilton,NJD,D,77,421,371,460,0.36545,0.31805,7.6,8476462
19,Adam Wilsby,NSH,D,57,216,287,284,0.37085,0.31701,7.6,8482482
20,Kris Letang,PIT,D,74,433,326,365,0.36706,0.31656,7.5,8471724
21,Adam Fox,NYR,D,55,391,307,379,0.36692,0.31496,7.5,8479323
22,Cody Ceci,LAK,D,82,255,391,377,0.36132,0.31526,7.5,8476879
23,Alexandre Carrier,MTL,D,73,239,340,373,0.36444,0.31506,7.5,8478851
24,Brandt Clarke,LAK,D,81,526,328,384,0.3623,0.31215,7.4,8482730
25,Martin Fehérváry,WSH,D,81,250,445,385,0.35482,0.31178,7.4,8480796
26,Brady Skjei,NSH,D,81,376,531,487,0.3509,0.31151,7.4,8476869
27,Zach Werenski,CBJ,D,75,598,475,492,0.35427,0.31258,7.4,8478460
28,J.J. Moser,TBL,D,79,446,388,413,0.35568,0.30967,7.4,8482655
29,Brenden Dillon,NJD,D,82,357,348,327,0.35699,0.30846,7.3,8475455
30,Rasmus Dahlin,BUF,D,77,447,431,511,0.34696,0.30355,7.2,8480839
31,Samuel Girard,PIT,D,60,272,284,281,0.35136,0.29816,7.1,8479398
32,Nikita Zadorov,BOS,D,81,365,474,436,0.33897,0.2978,7.1,8477507
33,Parker Wotherspoon,PIT,D,80,404,407,450,0.33707,0.29286,7.0,8478450
34,Rasmus Sandin,WSH,D,73,349,358,349,0.34154,0.29433,7.0,8480873
35,Alexander Nikishin,CAR,D,81,484,270,414,0.34902,0.29464,7.0,8482100
