rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Jordan Staal,CAR,C,311,1335,1448,1637,0.451,0.42553,10.0,8473533
2,Jesper Fast,CAR,R,153,649,600,747,0.45742,0.41795,9.8,8475855
3,Jordan Martinook,CAR,L,320,1388,1428,1670,0.43705,0.41153,9.7,8476921
4,Luke Evangelista,NSH,R,252,1000,712,925,0.44311,0.40702,9.6,8482146
5,Nathan MacKinnon,COL,C,312,2513,1354,1796,0.41907,0.39305,9.2,8477492
6,Blake Coleman,CGY,C,310,1249,1643,1443,0.41355,0.38997,9.2,8476399
7,Warren Foegele,OTT,L,299,1128,1135,1243,0.41448,0.38615,9.1,8477998
8,Viktor Arvidsson,BOS,L,231,857,893,925,0.40978,0.37798,8.9,8478042
9,Jesperi Kotkaniemi,CAR,C,281,1218,802,1066,0.41128,0.37772,8.9,8480829
10,Matthew Tkachuk,FLA,L,242,1235,881,1122,0.39723,0.36543,8.6,8479314
11,Mikael Backlund,CGY,C,321,1248,1829,1480,0.38951,0.36742,8.6,8474150
12,Phillip Danault,MTL,C,315,1159,1321,1322,0.38846,0.36254,8.5,8476479
13,Leon Draisaitl,EDM,C,297,1818,1365,1438,0.38874,0.36323,8.5,8477934
14,Trevor Moore,LAK,C,280,1086,1158,1258,0.38709,0.35946,8.4,8479675
15,Seth Jarvis,CAR,C,307,1512,1079,1204,0.38559,0.357,8.4,8482093
16,Artturi Lehkonen,COL,L,247,1394,971,1247,0.38646,0.35634,8.4,8477476
17,Ryan McLeod,BUF,C,298,1006,1122,1215,0.38554,0.3575,8.4,8480802
18,William Karlsson,VGK,C,220,926,823,781,0.38587,0.35322,8.3,8476448
19,Valeri Nichushkin,COL,R,221,1113,935,986,0.38604,0.35536,8.3,8477501
20,Connor McDavid,EDM,C,306,1898,1170,1429,0.38239,0.35497,8.3,8478402
21,Derek Ryan,EDM,C,186,450,616,566,0.38979,0.35207,8.3,8478585
22,Kiefer Sherwood,SJS,L,249,711,877,1032,0.37917,0.34765,8.2,8480748
23,Andrei Svechnikov,CAR,R,274,1425,1011,1098,0.37815,0.34877,8.2,8480830
24,Aleksander Barkov,FLA,C,208,977,902,986,0.37955,0.34845,8.2,8477493
25,Sam Reinhart,FLA,C,307,1386,1283,1367,0.3711,0.34509,8.1,8477933
26,Dryden Hunt,CGY,L,73,170,164,179,0.41879,0.34598,8.1,8478211
27,Ivan Ivan,COL,C,49,57,119,138,0.43312,0.34756,8.1,8483930
28,Kevin Fiala,LAK,L,288,1249,1102,1196,0.36944,0.34144,8.0,8477942
29,Tim Stützle,OTT,L,315,1681,1068,1296,0.36965,0.34122,8.0,8482116
30,Mark Jankowski,CAR,C,210,666,649,726,0.37849,0.34199,8.0,8476873
31,Arseny Gritsyuk,NJD,R,66,247,229,272,0.40246,0.34106,8.0,8481721
32,Alexis Lafrenière,NYR,L,327,1499,888,1283,0.36695,0.33588,7.9,8482109
33,Logan O'Connor,COL,R,231,486,978,892,0.36817,0.33852,7.9,8481186
34,Mikko Rantanen,DAL,R,308,2216,1354,1617,0.36347,0.33826,7.9,8478420
35,Zach Hyman,EDM,L,289,1637,1106,1228,0.36308,0.33526,7.9,8475786
36,Matt Boldy,MIN,L,314,1342,1355,1405,0.36305,0.33787,7.9,8481557
37,Michael McCarron,MIN,R,255,423,1150,996,0.36575,0.3384,7.9,8477446
38,Jason Robertson,DAL,L,328,1474,1433,1479,0.36169,0.33722,7.9,8480027
39,Anthony Cirelli,TBL,C,288,1104,1355,1304,0.36442,0.33921,7.9,8478519
40,Samuel Honzek,CGY,L,23,76,112,83,0.42375,0.33625,7.9,8484180
41,Sebastian Aho,CAR,C,311,1655,1037,1125,0.36106,0.33239,7.8,8478427
